Ca-44(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 44.6831
1.25000E-05 39.9658
1.50000E-05 36.4836
2.00000E-05 31.5958
2.75000E-05 26.9449
3.50000E-05 23.8841
4.25000E-05 21.6745
5.00000E-05 19.9829
6.25000E-05 17.8733
7.50000E-05 16.3160
0.000100000 14.1301
0.000125000 12.6383
0.000150000 11.5371
0.000200000 9.99145
0.000275000 8.52074
0.000350000 7.55283
0.000425000 6.85408
0.000500000 6.31915
0.000625000 5.65202
0.000750000 5.15956
0.00100000 4.46831
0.00125000 3.99658
0.00150000 3.64836
0.00200000 3.15957
0.00275000 2.69449
0.00350000 2.38841
0.00425000 2.16745
0.00500000 1.99829
0.00625000 1.78732
0.00750000 1.63160
0.0100000 1.41300
0.0125000 1.26383
0.0150000 1.15371
0.0200000 0.999142
0.0253000 0.888344
0.0314750 0.796449
0.0376500 0.728212
0.0500000 0.631909
0.0625000 0.565195
0.0750000 0.515949
0.100000 0.446823
0.125000 0.399649
0.150000 0.364826
0.200000 0.315946
0.275000 0.269436
0.350000 0.238826
0.500000 0.199810
0.750000 0.163137
1.00000 0.141274
1.50000 0.115339
2.00000 0.0998769
2.75000 0.0851633
3.50000 0.0754786
5.00000 0.0631321
7.50000 0.0515229
10.0000 0.0445992
15.0000 0.0363809
20.0000 0.0314772
27.5000 0.0268061
35.0000 0.0237277
50.0000 0.0197964
75.0000 0.0160884
100.000 0.0138682
150.000 0.0112188
200.000 0.00962665
275.000 0.00809769
350.000 0.00708080
500.000 0.00576710
750.000 0.00450700
1000.00 0.00374037
1500.00 0.00281410
2000.00 0.00225524
2750.00 0.00172471
3500.00 0.00138206
5000.00 0.000965581
7500.00 0.000616908
10000.0 0.000445366
11089.8 0.000402488
11634.7 0.000399642
11907.2 0.000453478
12043.4 0.000696269
12111.5 0.00167534
12128.6 0.00268645
12145.6 0.00555420
12154.1 0.00953305
12162.6 0.0207104
12166.9 0.0360615
12171.1 0.0784072
12173.3 0.135377
12174.3 0.190926
12175.4 0.288054
12176.5 0.486224
12177.0 0.669778
12177.5 0.979960
12178.1 1.56493
12178.3 2.08442
12178.6 2.86720
12178.9 4.23725
12179.1 6.67560
12179.3 8.89029
12179.4 11.9710
12179.5 16.6440
12179.6 23.7407
12179.8 37.9887
12180.0 47.4881
12180.2 37.9874
12180.4 23.7399
12180.5 14.6085
12180.7 9.49543
12180.9 6.54862
12181.1 4.74784
12181.3 3.58337
12181.4 2.79301
12181.8 1.84601
12182.2 1.29514
12182.5 0.957326
12183.2 0.586490
12183.9 0.393468
12184.7 0.283257
12186.1 0.166255
12187.5 0.109232
12188.9 0.0772456
12191.8 0.0445298
12197.5 0.0204137
12203.2 0.0117734
12214.7 0.00548923
12226.1 0.00326415
12271.8 0.00109534
12363.3 0.000545764
12546.2 0.000404719
12912.1 0.000366283
13643.8 0.000370420
14009.7 0.000404942
14375.5 0.000521161
14558.5 0.000690376
14649.9 0.000861658
14741.4 0.00117687
14832.9 0.00185489
14878.6 0.00253234
14924.3 0.00376975
14947.2 0.00481388
14970.1 0.00641017
14992.9 0.00902953
15015.8 0.0137746
15027.2 0.0177506
15038.7 0.0237778
15050.1 0.0335635
15061.5 0.0510274
15073.0 0.0869709
15078.7 0.121226
15081.5 0.146493
15084.4 0.180421
15087.2 0.227817
15090.1 0.296564
15091.5 0.343158
15093.0 0.401565
15094.4 0.476094
15095.8 0.572405
15097.2 0.701721
15098.7 0.879339
15100.1 1.13188
15101.5 1.50627
15103.0 2.09006
15104.4 3.05635
15105.8 4.75952
15106.5 6.07250
15107.2 7.83212
15108.6 12.5168
15110.0 15.6329
15111.4 12.4778
15112.8 7.80112
15114.0 5.10536
15115.2 3.48682
15116.4 2.48460
15117.6 1.84843
15119.9 1.12261
15122.3 0.749599
15124.7 0.533484
15127.1 0.398354
15131.9 0.246041
15136.7 0.166616
15141.4 0.120285
15146.2 0.0908923
15151.0 0.0710954
15160.5 0.0469058
15170.1 0.0332858
15179.6 0.0248546
15189.1 0.0192872
15208.2 0.0126139
15227.3 0.00892215
15246.4 0.00666843
15265.5 0.00519252
15303.7 0.00344084
15341.9 0.00248112
15380.1 0.00189888
15418.2 0.00151926
15494.6 0.00107060
15571.0 0.000825549
15723.7 0.000580135
15876.4 0.000465183
16029.1 0.000401768
16334.6 0.000336766
16945.5 0.000285970
17556.4 0.000264607
20000.0 0.000240798
20773.7 0.000248324
21547.4 0.000281077
21934.2 0.000330548
22127.6 0.000380858
22321.1 0.000473543
22514.5 0.000672922
22611.2 0.000872175
22707.9 0.00123624
22756.3 0.00154355
22804.6 0.00201349
22853.0 0.00278536
22901.3 0.00418581
22925.5 0.00536003
22949.7 0.00714410
22973.9 0.0100469
22998.0 0.0152408
23022.2 0.0259743
23034.3 0.0362534
23046.4 0.0541564
23052.4 0.0685685
23058.5 0.0895544
23061.5 0.103900
23064.5 0.121903
23067.6 0.144991
23070.6 0.175250
23073.6 0.216097
23076.6 0.272589
23079.6 0.353924
23082.7 0.476528
23085.7 0.672134
23088.7 1.00660
23090.2 1.26595
23091.7 1.62462
23093.2 2.12646
23094.7 2.82371
23097.4 4.51488
23100.0 5.64059
23102.6 4.50673
23105.3 2.81710
23107.3 1.93323
23109.3 1.36880
23111.3 1.00303
23113.3 0.761112
23117.4 0.475110
23121.4 0.322538
23125.4 0.232261
23129.4 0.175014
23137.5 0.109268
23145.5 0.0745642
23153.6 0.0540888
23161.6 0.0410213
23169.7 0.0321814
23185.8 0.0213399
23201.9 0.0152007
23218.0 0.0113923
23234.1 0.00886903
23266.3 0.00583875
23298.5 0.00415923
23330.7 0.00313235
23362.9 0.00245916
23427.3 0.00165948
23491.7 0.00122098
23620.5 0.000781477
23749.3 0.000576821
23878.1 0.000465436
24135.8 0.000355034
24651.0 0.000278893
25166.2 0.000258181
25681.5 0.000260999
26196.7 0.000298174
26454.3 0.000356742
26583.1 0.000416547
26711.9 0.000526910
26840.8 0.000764762
26905.2 0.00100290
26969.6 0.00143872
27001.8 0.00180729
27034.0 0.00237176
27066.2 0.00330057
27098.4 0.00499102
27130.6 0.00857725
27146.7 0.0121130
27162.8 0.0184772
27178.9 0.0317388
27195.0 0.0671241
27203.0 0.112492
27207.1 0.154732
27211.1 0.225724
27213.1 0.281253
27215.1 0.359361
27217.1 0.474531
27219.1 0.653819
27221.1 0.955056
27222.2 1.18647
27223.2 1.50390
27224.2 1.96149
27225.2 2.62780
27226.2 3.64235
27227.2 5.15662
27228.6 8.26184
27230.0 10.3120
27231.4 8.23748
27232.8 5.15562
27233.7 3.75431
27234.7 2.78698
27236.5 1.66030
27238.3 1.08097
27240.1 0.753477
27241.9 0.552939
27243.7 0.422108
27247.3 0.268271
27251.0 0.184935
27254.6 0.135165
27261.8 0.0811431
27269.1 0.0540240
27276.3 0.0385640
27283.6 0.0289062
27290.8 0.0224899
27305.3 0.0147472
27319.8 0.0104360
27334.3 0.00779234
27348.8 0.00605538
27377.7 0.00398745
27406.7 0.00285042
27435.7 0.00215918
27464.7 0.00170802
27522.6 0.00117414
