Ca-44(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 48.0029
1.25000E-05 43.2856
1.50000E-05 39.8034
2.00000E-05 34.9155
2.75000E-05 30.2647
3.50000E-05 27.2039
4.25000E-05 24.9943
5.00000E-05 23.3027
6.25000E-05 21.1930
7.50000E-05 19.6357
0.000100000 17.4498
0.000125000 15.9581
0.000150000 14.8569
0.000200000 13.3112
0.000275000 11.8405
0.000350000 10.8726
0.000425000 10.1738
0.000500000 9.63890
0.000625000 8.97177
0.000750000 8.47932
0.00100000 7.78807
0.00125000 7.31633
0.00150000 6.96812
0.00200000 6.47933
0.00275000 6.01425
0.00350000 5.70817
0.00425000 5.48720
0.00500000 5.31804
0.00625000 5.10708
0.00750000 4.95135
0.0100000 4.73275
0.0125000 4.58358
0.0150000 4.47346
0.0200000 4.31889
0.0253000 4.20809
0.0314750 4.11619
0.0376500 4.04795
0.0500000 3.95164
0.0625000 3.88492
0.0750000 3.83567
0.100000 3.76654
0.125000 3.71935
0.150000 3.68452
0.200000 3.63562
0.275000 3.58908
0.350000 3.55844
0.500000 3.51936
0.750000 3.48258
1.00000 3.46061
1.50000 3.43447
2.00000 3.41880
2.75000 3.40378
3.50000 3.39378
5.00000 3.38081
7.50000 3.36817
10.0000 3.36021
15.0000 3.34993
20.0000 3.34296
27.5000 3.33520
35.0000 3.32904
50.0000 3.31895
75.0000 3.30504
100.000 3.29268
150.000 3.26994
200.000 3.24851
275.000 3.21767
350.000 3.18788
500.000 3.13056
750.000 3.04027
1000.00 2.95547
1500.00 2.79993
2000.00 2.66039
2750.00 2.47589
3500.00 2.31572
5000.00 2.05085
7500.00 1.72078
10000.0 1.47528
11089.8 1.38429
11634.7 1.34105
11907.2 1.31993
12043.4 1.31010
12111.5 1.30795
12128.6 1.30990
12145.6 1.31789
12154.1 1.33018
12162.6 1.36596
12166.9 1.41572
12171.1 1.55370
12173.3 1.73971
12174.3 1.92122
12175.4 2.23871
12176.5 2.88669
12177.0 3.48701
12177.5 4.50160
12178.1 6.41523
12178.3 8.11480
12178.6 10.6759
12178.9 15.1587
12179.1 23.1374
12179.3 30.3846
12179.4 40.4659
12179.5 55.7584
12179.6 78.9835
12179.8 125.616
12180.0 156.713
12180.2 125.628
12180.4 79.0021
12180.5 49.1167
12180.7 32.3816
12180.9 22.7363
12181.1 16.8419
