Ti-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 32.3599
1.25000E-05 29.2289
1.50000E-05 26.9177
2.00000E-05 23.6736
2.75000E-05 20.5867
3.50000E-05 18.5552
4.25000E-05 17.0887
5.00000E-05 15.9659
6.25000E-05 14.5657
7.50000E-05 13.5321
0.000100000 12.0813
0.000125000 11.0912
0.000150000 10.3603
0.000200000 9.33440
0.000275000 8.35826
0.000350000 7.71584
0.000425000 7.25207
0.000500000 6.89703
0.000625000 6.45424
0.000750000 6.12739
0.00100000 5.66859
0.00125000 5.35549
0.00150000 5.12437
0.00200000 4.79996
0.00275000 4.49127
0.00350000 4.28812
0.00425000 4.14146
0.00500000 4.02919
0.00625000 3.88917
0.00750000 3.78581
0.0100000 3.64072
0.0125000 3.54171
0.0150000 3.46863
0.0200000 3.36603
0.0253000 3.29249
0.0314750 3.23150
0.0376500 3.18621
0.0500000 3.12229
0.0625000 3.07801
0.0750000 3.04532
0.100000 2.99943
0.125000 2.96811
0.150000 2.94499
0.200000 2.91254
0.275000 2.88165
0.350000 2.86131
0.500000 2.83537
0.750000 2.81096
1.00000 2.79638
1.50000 2.77902
2.00000 2.76862
2.75000 2.75864
3.50000 2.75200
5.00000 2.74338
7.50000 2.73497
10.0000 2.72967
15.0000 2.72279
20.0000 2.71812
27.5000 2.71289
35.0000 2.70872
50.0000 2.70187
75.0000 2.69235
100.000 2.68384
150.000 2.66808
200.000 2.65312
275.000 2.63143
350.000 2.61029
500.000 2.56910
750.000 2.50285
1000.00 2.43902
1500.00 2.31752
2000.00 2.20312
2994.89 1.99262
3492.34 1.89422
3741.06 1.84638
3865.42 1.82278
3927.60 1.81112
3958.69 1.80559
3974.23 1.80393
3982.01 1.80732
3985.89 1.82469
3986.87 1.84203
3987.84 1.88760
3988.32 1.94474
3988.81 2.08221
3989.05 2.23693
3989.29 2.55803
3989.42 2.86392
3989.54 3.37571
3989.66 4.30044
3989.78 6.04106
3989.89 8.59046
3990.00 10.2660
3990.11 8.56399
3990.22 6.03852
3990.35 4.26741
3990.47 3.34628
3990.59 2.83703
3990.72 2.53907
3990.96 2.22435
3991.21 2.07370
3991.70 1.93964
3992.19 1.88393
3993.18 1.83933
3994.17 1.82219
3998.11 1.80398
4006.00 1.79784
4021.78 1.79369
4053.33 1.78748
4116.44 1.77562
4242.67 1.75214
4495.11 1.70563
5000.00 1.61390
6632.39 1.31664
7448.58 1.15452
7856.68 1.06462
8060.73 1.01626
8162.75 0.991020
8213.77 0.978146
8239.27 0.971784
8252.03 0.969141
8258.40 0.969855
8261.59 0.977513
8263.18 1.00554
8263.98 1.08757
8264.38 1.27052
8264.58 1.54840
8264.78 2.30404
8265.00 3.63513
8265.22 2.29594
8265.43 1.51653
8265.65 1.24461
8266.07 1.07320
8266.92 0.998761
8268.61 0.973476
8272.00 0.965467
8278.77 0.961837
8292.33 0.957839
8319.43 0.950599
8373.65 0.936097
8482.07 0.906260
