Cr-53(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 917.572
1.25000E-05 821.527
1.50000E-05 750.630
2.00000E-05 651.112
2.75000E-05 556.422
3.50000E-05 494.104
4.25000E-05 449.115
5.00000E-05 414.674
6.25000E-05 371.722
7.50000E-05 340.016
0.000100000 295.510
0.000125000 265.138
0.000150000 242.718
0.000200000 211.248
0.000275000 181.304
0.000350000 161.598
0.000425000 147.371
0.000500000 136.480
0.000625000 122.897
0.000750000 112.871
0.00100000 98.7966
0.00125000 89.1921
0.00150000 82.1024
0.00200000 72.1507
0.00275000 62.6816
0.00350000 56.4498
0.00425000 51.9510
0.00500000 48.5069
0.00625000 44.2116
0.00750000 41.0410
0.0100000 36.5905
0.0125000 33.5532
0.0150000 31.3113
0.0200000 28.1643
0.0253000 25.9085
0.0314750 24.0375
0.0376500 22.6482
0.0500000 20.6876
0.0625000 19.3293
0.0750000 18.3267
0.100000 16.9194
0.125000 15.9591
0.150000 15.2502
0.200000 14.2552
0.275000 13.3086
0.350000 12.6857
0.500000 11.8920
0.750000 11.1464
1.00000 10.7023
1.50000 10.1764
2.00000 9.86363
2.75000 9.56717
3.50000 9.37310
5.00000 9.12792
7.50000 8.90188
10.0000 8.77122
15.0000 8.62453
20.0000 8.54537
27.5000 8.48137
35.0000 8.44993
50.0000 8.43280
75.0000 8.46353
100.000 8.52634
150.000 8.69409
200.000 8.89123
275.000 9.22008
350.000 9.57931
500.000 10.3780
750.000 11.9540
999.999 13.8888
1000.00 13.8888
1000.01 13.8889
1000.02 13.8889
1000.03 13.8891
1000.06 13.8893
1000.12 13.8899
1000.25 13.8909
1000.49 13.8930
1000.98 13.8972
1001.96 13.9056
1003.91 13.9223
1007.81 13.9560
1015.63 14.0236
1031.25 14.1602
1062.50 14.4389
1125.00 15.0191
1250.00 16.2780
1500.00 19.2585
2000.00 27.8562
2391.70 38.6157
2783.40 55.8129
3175.10 84.7885
3566.80 134.731
3907.45 197.979
4248.10 239.026
4418.45 224.344
4588.80 186.469
4929.50 100.446
5000.00 87.1057
5138.63 67.8503
5277.25 60.2724
5346.56 63.2017
5415.88 74.0523
5485.19 99.3514
5554.50 152.916
5670.60 297.335
5699.63 288.352
5728.65 247.590
5786.70 145.940
5837.85 86.0468
5889.00 52.7541
5940.15 35.0783
5991.30 26.3337
6042.45 23.1066
6093.60 23.6844
6195.90 33.1711
6343.98 61.9067
6492.05 100.904
6640.13 135.301
6788.20 151.771
7084.40 142.424
7380.60 131.952
7636.70 149.018
7921.95 205.830
8207.20 250.248
8492.50 214.736
8777.80 157.598
9083.35 114.046
9388.90 86.7302
9694.45 69.0271
10000.0 56.9045
10525.3 43.2975
11050.5 34.6750
11575.8 28.7550
11838.4 26.4499
11969.7 25.4431
12002.6 25.2232
12035.4 25.0561
12051.8 25.0387
12060.0 25.0793
12068.2 25.1979
12076.4 25.5028
12080.5 25.8175
12084.6 26.3793
12088.7 27.4976
12090.8 28.5052
12092.8 30.1376
12094.9 33.0134
12096.9 38.7076
12098.0 43.8578
12099.0 51.9865
12100.0 65.7222
12101.0 88.9094
12102.2 127.774
12103.3 153.410
12104.4 127.463
12105.5 88.9443
12106.3 69.1783
12107.2 56.3283
