Fe-57(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 122.025
1.25000E-05 109.143
1.50000E-05 99.6333
2.00000E-05 86.2850
2.75000E-05 73.5841
3.50000E-05 65.2253
4.25000E-05 59.1910
5.00000E-05 54.5714
6.25000E-05 48.8102
7.50000E-05 44.5574
0.000100000 38.5878
0.000125000 34.5140
0.000150000 31.5068
0.000200000 27.2857
0.000275000 23.2693
0.000350000 20.6260
0.000425000 18.7178
0.000500000 17.2570
0.000625000 15.4351
0.000750000 14.0903
0.00100000 12.2025
0.00125000 10.9143
0.00150000 9.96330
0.00200000 8.62846
0.00275000 7.35836
0.00350000 6.52248
0.00425000 5.91904
0.00500000 5.45708
0.00625000 4.88094
0.00750000 4.45566
0.0100000 3.85869
0.0125000 3.45130
0.0150000 3.15057
0.0200000 2.72844
0.0253000 2.42585
0.0314750 2.17488
0.0376500 1.98851
0.0500000 1.72549
0.0625000 1.54328
0.0750000 1.40877
0.100000 1.21996
0.125000 1.09110
0.150000 0.995971
0.200000 0.862431
0.275000 0.735350
0.350000 0.651700
0.414000 0.599120
0.414000 0.599120
0.414001 0.599120
0.414002 0.599119
0.414003 0.599118
0.414005 0.599116
0.414011 0.599112
0.414021 0.599105
0.414042 0.599090
0.414084 0.599059
0.414168 0.598998
0.414336 0.598877
0.414672 0.598633
0.415344 0.598148
0.416688 0.597181
0.419375 0.595261
0.424750 0.591474
0.435500 0.584114
0.457000 0.570178
0.500000 0.545053
0.625000 0.487362
0.750000 0.444764
1.00000 0.384944
1.50000 0.313927
2.00000 0.271541
2.75000 0.231155
3.50000 0.204529
5.00000 0.170512
7.50000 0.138404
10.0000 0.119166
15.0000 0.0961917
20.0000 0.0823791
27.5000 0.0691198
35.0000 0.0603140
50.0000 0.0489825
75.0000 0.0382287
100.000 0.0318053
150.000 0.0242788
200.000 0.0199408
275.000 0.0160374
350.000 0.0136643
500.000 0.0109867
750.000 0.00900381
999.999 0.00821971
1000.00 0.00821970
1000.01 0.00821969
1000.01 0.00821969
1000.02 0.00821967
1000.04 0.00821963
1000.08 0.00821957
1000.16 0.00821943
1000.31 0.00821915
1000.62 0.00821860
1001.23 0.00821749
1002.46 0.00821530
1004.92 0.00821094
1009.84 0.00820238
1019.68 0.00818588
1039.36 0.00815530
1078.71 0.00810347
1157.42 0.00803532
1314.85 0.00804610
1400.00 0.00817561
1400.00 0.00817562
1400.01 0.00817564
1400.02 0.00817565
1400.03 0.00817569
1400.06 0.00817576
1400.11 0.00817590
1400.23 0.00817617
1400.45 0.00817673
1400.90 0.00817785
1401.80 0.00818010
1403.59 0.00818468
1407.18 0.00819417
1414.36 0.00821453
1428.71 0.00826152
1457.43 0.00838989
1514.85 0.00895766
1543.56 0.00971673
1572.27 0.0118345
1586.63 0.0147642
1593.81 0.0176925
1600.98 0.0230526
1608.16 0.0345354
1611.75 0.0459788
1615.34 0.0668267
1617.13 0.0843741
1618.93 0.111112
1620.72 0.154842
1622.52 0.233597
1623.42 0.299213
1624.31 0.398069
1625.21 0.557236
1626.11 0.837823
1626.56 1.06652
1627.00 1.40325
1627.45 1.93087
1627.90 2.82018
1628.35 4.50038
1628.57 5.95472
1628.80 8.22841
1629.02 12.0695
1629.25 19.1345
1629.36 25.0442
1629.47 33.8126
1629.58 47.1737
1629.69 67.5652
1629.85 107.998
1630.00 134.912
1630.15 107.723
1630.31 67.3551
1630.49 38.1755
1630.67 23.4163
1630.85 15.5344
1631.03 10.9855
1631.21 8.13252
1631.39 6.25734
1631.75 4.01642
1632.11 2.78995
1632.47 2.04896
1633.20 1.23878
1633.92 0.829714
1634.64 0.595094
1635.36 0.448257
1636.08 0.350332
1637.53 0.231959
1638.97 0.165875
1640.42 0.125274
1641.86 0.0985590
1644.75 0.0666952
1647.64 0.0491525
1653.41 0.0314936
1659.19 0.0232271
1664.97 0.0187074
1676.52 0.0141906
1699.63 0.0109616
1722.73 0.00985024
1815.15 0.00892225
2000.00 0.00916128
2000.00 0.00916128
2000.01 0.00916131
2000.02 0.00916133
2000.03 0.00916137
2000.06 0.00916145
2000.11 0.00916161
2000.23 0.00916193
2000.45 0.00916257
2000.91 0.00916386
2001.81 0.00916645
2003.61 0.00917164
2007.23 0.00918213
2014.45 0.00920349
2028.90 0.00924777
2057.80 0.00934223
2115.59 0.00955366
2231.18 0.0100653
2462.35 0.0115016
2693.53 0.0137530
2924.70 0.0175122
3000.00 0.0193022
3000.00 0.0193023
3000.01 0.0193024
3000.01 0.0193026
3000.03 0.0193030
3000.05 0.0193036
3000.11 0.0193050
3000.21 0.0193078
3000.42 0.0193132
3000.83 0.0193242
3001.66 0.0193461
3003.32 0.0193902
3006.64 0.0194790
3013.27 0.0196593
3026.55 0.0200305
3053.09 0.0208188
3106.18 0.0226046
3212.35 0.0272933
3318.53 0.0343188
3371.61 0.0392470
3424.70 0.0456241
3477.79 0.0540915
3530.88 0.0656833
3583.96 0.0821468
3637.05 0.106593
3690.14 0.144902
3743.23 0.208878
3769.77 0.257369
3796.31 0.323018
3822.86 0.412384
3849.40 0.532227
3899.70 0.829638
3924.85 0.949475
3950.00 0.973163
4000.30 0.735429
4050.60 0.455076
4106.78 0.270464
4162.95 0.174730
4219.13 0.122420
4275.30 0.0917478
4387.65 0.0602169
4500.00 0.0461534
4500.00 0.0461532
4500.01 0.0461526
4500.02 0.0461519
4500.03 0.0461506
4500.06 0.0461481
4500.12 0.0461430
4500.25 0.0461329
4500.49 0.0461125
4500.98 0.0460720
4501.95 0.0459913
4503.90 0.0458315
4507.80 0.0455184
4515.61 0.0449166
4531.21 0.0438063
4562.42 0.0419249
4624.84 0.0393391
4687.26 0.0386174
4718.47 0.0417718
4726.27 0.0454130
4734.07 0.0558296
4737.97 0.0701906
4741.87 0.109990
4743.82 0.163494
4744.80 0.215316
4745.77 0.306750
4746.75 0.491534
4747.24 0.664121
4747.73 0.955619
4748.21 1.50788
4748.46 1.98870
4748.70 2.73982
4748.94 4.01287
4749.19 6.38219
4749.31 8.38116
4749.43 11.3718
4749.55 15.9765
4749.68 23.0161
4749.84 36.8496
4750.00 45.9971
4750.16 36.7604
4750.33 23.0177
4750.45 15.9314
4750.57 11.3432
4750.69 8.36259
4750.81 6.36980
4751.06 4.00685
4751.30 2.73662
4751.55 1.98447
4751.79 1.50522
4752.28 0.955232
4752.76 0.663549
4753.25 0.491244
4754.23 0.306805
4755.20 0.215305
4756.18 0.163495
4758.13 0.109991
4762.03 0.0701129
4765.93 0.0556839
4773.73 0.0451451
4781.54 0.0413908
4812.74 0.0377830
4875.16 0.0374063
5000.00 0.0399934
5000.00 0.0399935
5000.01 0.0399937
5000.02 0.0399940
5000.03 0.0399945
5000.06 0.0399954
5000.12 0.0399973
5000.25 0.0400012
5000.49 0.0400088
5000.98 0.0400242
5001.96 0.0400550
5003.93 0.0401172
5007.85 0.0402433
5015.70 0.0405030
5031.39 0.0410523
5062.78 0.0422727
5125.55 0.0452287
5251.10 0.0535761
5376.65 0.0663915
5502.20 0.0863505
5627.75 0.118799
5753.30 0.175118
5878.85 0.281221
5941.63 0.369269
6004.40 0.494504
6210.00 1.02792
6261.43 0.991757
6312.85 0.857348
6415.70 0.538983
6500.00 0.357754
6500.00 0.357751
6500.01 0.357741
6500.01 0.357732
6500.02 0.357716
6500.04 0.357682
6500.08 0.357613
6500.17 0.357475
6500.33 0.357200
6500.66 0.356651
6501.31 0.355555
6502.62 0.353377
6505.23 0.349068
6510.46 0.340646
6520.92 0.324548
6541.84 0.295140
6583.67 0.245976
6667.34 0.176283
6751.01 0.131318
6834.68 0.101180
7002.02 0.0660256
7085.70 0.0596263
7106.61 0.0623182
7127.53 0.0744032
7137.99 0.0930800
7143.22 0.112150
7148.45 0.147145
7153.68 0.221498
7156.29 0.294528
7158.91 0.425030
7160.22 0.532770
7161.52 0.693691
7162.83 0.949588
7164.14 1.39255
7165.44 2.26063
7166.10 3.04495
7166.75 4.32345
7167.41 6.61498
7167.73 8.49872
7168.06 11.2784
7168.39 15.6178
7168.71 22.7872
7169.04 35.3947
7169.37 58.2031
7169.68 93.1577
7170.00 116.359
7170.32 93.0351
7170.64 58.2007
7170.98 34.5878
7171.32 21.9580
7171.66 14.9086
7172.00 10.6968
7172.34 8.01050
7172.68 6.21492
7173.37 4.04453
7174.05 2.83823
7174.73 2.10383
7176.10 1.29332
7177.46 0.880858
7178.83 0.643093
7180.19 0.493748
7181.55 0.393932
7184.28 0.272787
7187.01 0.204915
7192.47 0.135394
7197.93 0.102194
7203.39 0.0836938
7214.31 0.0646297
7236.15 0.0497719
7257.98 0.0435322
7345.33 0.0335756
7520.03 0.0246926
7694.72 0.0197532
7782.07 0.0198277
7803.91 0.0215529
7825.74 0.0272910
7836.66 0.0356162
7842.12 0.0439976
7847.58 0.0593077
7853.04 0.0917902
7855.77 0.123745
7858.50 0.181010
7861.23 0.299530
7862.59 0.413172
7863.96 0.611137
7865.32 1.00337
7866.00 1.36233
7866.69 1.95536
7867.37 3.03986
7867.71 3.94847
7868.05 5.32157
7868.39 7.51994
7868.73 11.2980
7869.07 18.3312
7869.42 32.1199
7869.71 51.4189
7870.00 64.2279
7870.29 51.3518
7870.59 32.1232
7870.86 20.2974
7871.14 13.4569
7871.41 9.41210
7871.69 6.90140
7872.24 4.11580
7872.79 2.71804
7873.34 1.92353
7873.89 1.43280
7875.00 0.883614
7876.10 0.600571
7877.20 0.436104
7878.31 0.332240
7879.41 0.262514
7881.62 0.177656
7883.82 0.129956
7888.23 0.0810536
7892.65 0.0577530
7897.06 0.0448452
7905.88 0.0317439
7923.53 0.0220406
7941.17 0.0184177
7976.47 0.0154675
8011.76 0.0141067
8152.94 0.0115096
8435.29 0.00872867
9000.00 0.00570945
9000.00 0.00570944
9000.01 0.00570941
9000.02 0.00570938
9000.03 0.00570932
9000.06 0.00570921
9000.12 0.00570898
9000.25 0.00570853
9000.49 0.00570763
9000.98 0.00570582
9001.96 0.00570220
9003.91 0.00569497
9007.81 0.00568058
9015.63 0.00565197
9031.25 0.00559549
9062.50 0.00548544
9125.00 0.00527635
9250.00 0.00489790
9500.00 0.00427210
9999.99 0.00338995
10000.0 0.00338992
10000.1 0.00338985
10000.1 0.00338980
10000.2 0.00338968
10000.4 0.00338945
10000.7 0.00338899
10001.4 0.00338805
10002.7 0.00338619
10005.4 0.00338247
10010.7 0.00337508
10021.3 0.00336038
10042.7 0.00333140
10085.3 0.00327500
10170.6 0.00316818
10341.2 0.00297634
10682.3 0.00266553
11364.6 0.00226116
12046.9 0.00210376
12388.1 0.00225102
12558.6 0.00290729
12643.9 0.00541919
12665.3 0.00797750
12686.6 0.0151710
12697.2 0.0250527
12707.9 0.0524830
12713.2 0.0894899
12715.9 0.125579
12718.6 0.189310
12721.2 0.319426
12722.6 0.441459
12723.9 0.649672
12725.2 1.05252
12725.9 1.40957
12726.6 1.96986
12727.2 2.95233
12727.9 4.81352
12728.2 6.49229
12728.6 9.02214
12728.9 13.0774
12729.2 19.6385
12729.6 31.4595
12730.0 39.0331
12730.4 31.1509
12730.8 19.3975
12731.1 13.3959
12731.4 9.62401
12731.7 7.07521
12732.0 5.42164
12732.6 3.41134
12733.2 2.33976
12733.7 1.68980
12734.3 1.28092
12735.5 0.803981
12736.7 0.550633
12737.8 0.400528
12740.2 0.239298
12742.5 0.159215
12744.9 0.113756
12749.5 0.0667668
12758.9 0.0317220
12768.3 0.0190395
12787.0 0.00978627
12805.7 0.00650273
12843.2 0.00414912
12880.6 0.00334018
13030.4 0.00270311
13180.2 0.00286521
13330.0 0.00340203
13479.8 0.00464258
13554.7 0.00587959
13629.5 0.00809699
13704.4 0.0126618
13741.9 0.0170110
13779.3 0.0245446
13816.8 0.0393584
13835.5 0.0528461
13854.2 0.0751307
13873.0 0.116101
13882.3 0.150995
13891.7 0.205169
13901.0 0.297076
13910.4 0.478811
13915.1 0.655899
13919.8 1.00697
13922.1 1.36826
13923.3 1.66948
13924.4 2.14206
13925.6 2.97345
13926.8 4.70439
13927.4 6.41424
13928.0 9.38920
13928.5 15.3401
13928.8 20.3999
13929.1 27.7685
13929.6 43.6118
13930.0 54.1279
13930.5 43.3210
13930.9 27.6619
13931.3 18.8954
13931.6 13.5196
13932.0 10.1938
13932.4 8.06254
13933.1 5.67187
13933.9 4.49527
13935.3 3.56526
13936.8 3.40356
13939.8 4.02846
13942.7 5.58058
13950.0 11.8637
13951.8 11.6844
13953.7 10.2642
13957.3 6.53882
13959.6 4.78409
13961.9 3.55698
13966.4 2.11102
13970.9 1.36944
13975.5 0.952227
13980.0 0.697352
13984.6 0.532027
13993.6 0.338188
14002.7 0.233567
14011.8 0.171032
14030.0 0.103177
14048.2 0.0691615
14066.3 0.0497334
14084.5 0.0376069
14102.7 0.0295385
14139.0 0.0197969
14175.3 0.0143679
14211.7 0.0110364
14248.0 0.00884657
14248.0 0.00884508
14248.1 0.00884013
14248.2 0.00883569
14248.4 0.00882680
14248.8 0.00880859
14249.5 0.00877286
14251.0 0.00870170
14253.9 0.00856246
14259.8 0.00829620
14271.5 0.00780631
14295.0 0.00697223
14342.0 0.00573093
14436.0 0.00423940
14624.0 0.00290443
14812.0 0.00234191
15000.0 0.00205416
15500.0 0.00174149
16000.0 0.00164901
17000.0 0.00168398
17500.0 0.00185436
17750.0 0.00216855
17875.0 0.00263438
17937.5 0.00314500
18000.0 0.00419889
18049.3 0.00610350
18073.9 0.00799161
18098.6 0.0114148
18110.9 0.0142849
18123.2 0.0186394
18135.5 0.0257168
18147.9 0.0383668
18154.0 0.0488084
18160.2 0.0644303
18166.3 0.0893134
18172.5 0.132499
18178.7 0.217400
18181.7 0.294427
18184.8 0.420804
18187.9 0.648637
18189.4 0.837283
18191.0 1.11872
18192.5 1.56139
18194.1 2.30315
18195.6 3.63409
18197.1 6.11692
18198.6 9.78597
18200.0 12.2304
18201.4 9.78340
18202.9 6.11524
18204.4 3.61041
18206.0 2.27814
18207.5 1.53995
18209.1 1.10338
18210.7 0.824447
18212.2 0.637922
18215.3 0.413703
18218.4 0.289116
