Ni-64(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 74.7215
1.25000E-05 66.8626
1.50000E-05 61.0614
2.00000E-05 52.9184
2.75000E-05 45.1703
3.50000E-05 40.0711
4.25000E-05 36.3899
5.00000E-05 33.5718
6.25000E-05 30.0572
7.50000E-05 27.4628
0.000100000 23.8211
0.000125000 21.3359
0.000150000 19.5014
0.000200000 16.9264
0.000275000 14.4762
0.000350000 12.8637
0.000425000 11.6996
0.000500000 10.8085
0.000625000 9.69704
0.000750000 8.87663
0.00100000 7.72503
0.00125000 6.93915
0.00150000 6.35903
0.00200000 5.54472
0.00275000 4.76992
0.00350000 4.26000
0.00425000 3.89188
0.00500000 3.61007
0.00625000 3.25861
0.00750000 2.99917
0.0100000 2.63501
0.0125000 2.38649
0.0150000 2.20304
0.0200000 1.94553
0.0253000 1.76095
0.0314750 1.60786
0.0376500 1.49418
0.0500000 1.33375
0.0625000 1.22261
0.0750000 1.14057
0.100000 1.02541
0.125000 0.946830
0.150000 0.888822
0.200000 0.807401
0.275000 0.729933
0.350000 0.678953
0.500000 0.613985
0.750000 0.552935
1.00000 0.516557
1.50000 0.473438
2.00000 0.447764
2.75000 0.423376
3.50000 0.407365
5.00000 0.387037
7.50000 0.368091
10.0000 0.356946
15.0000 0.344024
20.0000 0.336619
27.5000 0.329976
35.0000 0.325982
50.0000 0.321697
75.0000 0.319297
100.000 0.319391
150.000 0.322631
200.000 0.327740
275.000 0.337061
350.000 0.347525
500.000 0.370573
750.000 0.413461
999.999 0.461126
1000.00 0.461126
1000.01 0.461128
1000.02 0.461129
1000.03 0.461132
1000.06 0.461138
1000.12 0.461151
1000.25 0.461175
1000.49 0.461224
1000.98 0.461322
1001.96 0.461517
1003.91 0.461908
1007.81 0.462691
1015.63 0.464260
1031.25 0.467412
1062.50 0.473771
1125.00 0.486711
1250.00 0.513487
1500.00 0.570745
2000.00 0.701305
2750.00 0.944057
3500.00 1.25742
4000.00 1.51607
4000.00 1.51607
4000.01 1.51607
4000.02 1.51608
4000.03 1.51608
4000.06 1.51610
4000.12 1.51614
4000.25 1.51620
4000.49 1.51634
4000.98 1.51662
4001.96 1.51717
4003.91 1.51827
4007.81 1.52048
4015.63 1.52490
4031.25 1.53378
4062.50 1.55168
4125.00 1.58809
4250.00 1.66334
4500.00 1.82424
5000.00 2.19281
6129.01 3.32686
7258.03 5.10545
8387.04 8.03584
8951.54 10.2433
9092.67 10.9169
9233.80 11.6738
9304.36 12.1165
9339.64 12.3771
9374.92 12.6972
9410.21 13.1598
9427.85 13.5199
9445.49 14.0867
9454.31 14.5231
9463.13 15.1525
9471.95 16.1281
9480.77 17.7900
9489.59 21.0257
9494.00 23.9552
9498.41 28.7694
9502.82 37.4900
9505.03 44.7529
9507.23 55.6560
9509.44 72.9558
9511.64 102.310
9513.85 155.949
9516.05 258.531
9518.03 406.851
9520.00 506.211
9521.98 407.441
9523.95 259.445
9525.81 168.912
9527.67 116.543
9529.53 85.5643
9531.39 66.2784
9535.11 44.9516
9538.83 34.2286
9542.55 28.1465
9546.27 24.3886
9553.70 20.2016
9561.14 18.0613
9568.58 16.8349
9576.02 16.0762
9583.46 15.5814
9598.33 15.0152
9613.21 14.7381
9642.96 14.5485
9672.72 14.5626
9702.47 14.6620
9761.98 14.9724
9880.99 15.7714
10000.0 16.6861
10356.1 19.9465
10712.3 24.0987
11424.5 36.3775
12136.8 57.7595
12849.0 95.6682
13574.5 153.822
14300.0 185.670
14549.7 177.321
14674.5 169.823
14736.9 165.464
14768.1 163.174
14775.9 162.600
14783.7 162.047
14787.6 161.800
14791.5 161.638
14793.5 161.665
14794.5 161.755
14795.4 161.959
14796.4 162.414
14796.9 162.840
14797.4 163.513
14797.9 164.696
14798.4 166.928
14798.6 168.870
14798.9 171.665
14799.1 175.932
14799.3 182.456
14799.7 195.544
14800.0 204.325
