Cu-63(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 224.809
1.25000E-05 201.075
1.50000E-05 183.556
2.00000E-05 158.964
2.75000E-05 135.565
3.50000E-05 120.166
4.25000E-05 109.048
5.00000E-05 100.538
6.25000E-05 89.9236
7.50000E-05 82.0886
0.000100000 71.0908
0.000125000 63.5856
0.000150000 58.0454
0.000200000 50.2688
0.000275000 42.8693
0.000350000 37.9996
0.000425000 34.4841
0.000500000 31.7927
0.000625000 28.4363
0.000750000 25.9586
0.00100000 22.4808
0.00125000 20.1074
0.00150000 18.3554
0.00200000 15.8962
0.00275000 13.5563
0.00350000 12.0163
0.00425000 10.9046
0.00500000 10.0535
0.00625000 8.99206
0.00750000 8.20853
0.0100000 7.10870
0.0125000 6.35813
0.0150000 5.80408
0.0200000 5.02634
0.0253000 4.46884
0.0253000 4.46883
0.0253001 4.46883
0.0253001 4.46883
0.0253002 4.46882
0.0253004 4.46880
0.0253008 4.46877
0.0253015 4.46870
0.0253030 4.46857
0.0253061 4.46830
0.0253121 4.46777
0.0253241 4.46670
0.0253483 4.46458
0.0253965 4.46033
0.0254930 4.45188
0.0256860 4.43512
0.0260719 4.40217
0.0268438 4.33840
0.0283875 4.21875
0.0314750 4.00643
0.0376500 3.66305
0.0500000 3.17842
0.0625000 2.84268
0.0750000 2.59482
0.100000 2.24688
0.125000 2.00940
0.150000 1.83407
0.200000 1.58793
0.275000 1.35364
0.350000 1.19939
0.500000 1.00267
0.750000 0.817580
1.00000 0.707096
1.50000 0.575797
2.00000 0.497326
2.75000 0.422431
3.50000 0.372960
5.00000 0.309587
7.50000 0.249508
10.0000 0.213325
15.0000 0.169856
20.0000 0.143548
27.5000 0.118158
35.0000 0.101237
50.0000 0.0794563
75.0000 0.0589629
100.000 0.0469813
135.000 0.0366427
170.000 0.0301605
200.000 0.0263481
300.935 0.0198191
351.403 0.0190433
376.636 0.0193987
389.253 0.0201029
395.562 0.0217129
397.139 0.0231640
398.716 0.0270635
399.504 0.0322459
400.293 0.0460764
400.687 0.0638839
400.884 0.0805179
401.082 0.108676
401.279 0.162002
401.377 0.208467
401.476 0.281403
401.574 0.404916
401.673 0.635005
401.722 0.829704
401.772 1.12162
401.821 1.57227
401.870 2.26842
401.935 3.60979
402.000 4.50104
402.065 3.61038
402.130 2.26916
402.178 1.58893
402.226 1.14363
402.273 0.851695
402.321 0.655115
402.417 0.420331
402.512 0.293238
402.608 0.217643
402.704 0.169326
402.895 0.113654
403.086 0.0841077
403.277 0.0666302
403.659 0.0478758
404.424 0.0333110
405.189 0.0278898
406.718 0.0239037
408.247 0.0225212
414.364 0.0214724
426.598 0.0221501
451.065 0.0254613
475.533 0.0319924
500.000 0.0459711
519.616 0.0720286
529.424 0.0980871
539.232 0.145646
544.136 0.185732
549.039 0.246970
553.943 0.347398
558.847 0.529375
561.299 0.681756
563.751 0.913072
566.203 1.28908
568.655 1.96151
569.881 2.51707
571.107 3.34915
571.720 3.93002
572.333 4.67680
572.946 5.65913
573.559 6.98700
574.172 8.84368
574.785 11.5501
575.398 15.7116
576.011 22.5790
576.318 27.8141
576.624 35.0702
576.931 45.5093
577.237 61.2291
577.544 86.2749
577.850 129.019
578.157 207.778
578.310 271.537
578.463 359.925
578.732 575.364
579.000 718.488
579.269 574.221
579.538 358.573
579.813 218.434
580.087 140.962
580.362 96.7185
580.636 69.8734
580.911 52.5920
581.185 40.9094
581.734 26.6725
582.283 18.7052
582.832 13.8222
583.931 8.41124
585.029 5.64601
586.127 4.04818
587.225 3.04323
588.323 2.37070
590.519 1.55510
592.715 1.09846
594.912 0.817467
597.108 0.632439
601.500 0.411769
605.893 0.290355
610.285 0.216643
614.677 0.168715
623.462 0.113009
632.247 0.0858726
636.639 0.0809697
641.032 0.0883624
643.228 0.106379
644.326 0.126009
645.424 0.162766
646.522 0.241243
647.071 0.317968
647.620 0.453830
648.169 0.728674
648.444 0.985366
648.718 1.41986
648.993 2.24144
649.130 2.95615
649.268 4.07640
649.405 5.96823
649.542 9.48056
649.611 12.4437
649.679 16.8644
649.748 23.6589
649.817 34.1348
649.908 54.6105
650.000 68.2799
650.092 54.6473
650.184 34.1783
650.260 22.7398
650.336 15.6951
650.413 11.2996
650.489 8.45803
650.642 5.19447
650.795 3.49453
650.948 2.50824
651.101 1.88856
651.407 1.18579
651.713 0.818620
652.018 0.603340
652.630 0.374146
653.242 0.261070
653.853 0.197018
655.076 0.130638
656.299 0.0984195
657.523 0.0801522
659.969 0.0607980
664.862 0.0447360
669.754 0.0373785
679.539 0.0296173
689.325 0.0251052
708.895 0.0196979
728.466 0.0165359
767.607 0.0134545
