Zn-66(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 31.0737
1.25000E-05 27.7932
1.50000E-05 25.3716
2.00000E-05 21.9724
2.75000E-05 18.7382
3.50000E-05 16.6096
4.25000E-05 15.0730
5.00000E-05 13.8966
6.25000E-05 12.4295
7.50000E-05 11.3465
0.000100000 9.82637
0.000125000 8.78897
0.000150000 8.02320
0.000200000 6.94829
0.000275000 5.92553
0.000350000 5.25242
0.000425000 4.76649
0.000500000 4.39449
0.000625000 3.93055
0.000750000 3.58808
0.00100000 3.10737
0.00125000 2.77932
0.00150000 2.53716
0.00200000 2.19724
0.00275000 1.87382
0.00350000 1.66096
0.00425000 1.50730
0.00500000 1.38966
0.00625000 1.24295
0.00750000 1.13465
0.0100000 0.982635
0.0125000 0.878895
0.0150000 0.802318
0.0200000 0.694827
0.0253000 0.617776
0.0314750 0.553870
0.0376500 0.506416
0.0500000 0.439445
0.0625000 0.393050
0.0750000 0.358803
0.100000 0.310731
0.125000 0.277925
0.150000 0.253709
0.200000 0.219716
0.275000 0.187372
0.350000 0.166085
0.500000 0.138953
0.750000 0.113449
1.00000 0.0982455
1.50000 0.0802097
2.00000 0.0694572
2.75000 0.0592251
3.50000 0.0524902
5.00000 0.0439044
7.50000 0.0358315
10.0000 0.0310170
15.0000 0.0253027
20.0000 0.0218937
27.5000 0.0186472
35.0000 0.0165087
50.0000 0.0137803
75.0000 0.0112143
100.000 0.00968849
150.000 0.00790997
200.000 0.00695647
261.701 0.00693947
277.126 0.00766111
292.551 0.0100316
300.264 0.0134634
304.120 0.0169307
307.976 0.0233060
309.904 0.0287114
311.833 0.0370102
313.761 0.0507048
315.689 0.0757289
316.653 0.0968546
317.617 0.129176
318.581 0.182272
319.545 0.278681
320.027 0.359573
320.509 0.482536
320.991 0.682791
321.473 1.04182
321.714 1.33925
321.955 1.78554
322.196 2.49961
322.437 3.74715
322.678 6.22594
322.799 8.50101
322.919 12.2811
323.040 19.2280
323.100 25.1016
323.160 34.0270
323.221 48.4857
323.251 59.2131
323.281 73.6550
323.311 93.6173
323.341 121.619
323.371 161.593
323.401 218.347
323.426 279.501
323.451 349.078
323.500 436.398
323.500 436.398
323.500 436.398
323.501 436.387
323.501 436.361
323.502 436.268
323.503 435.938
323.506 434.624
323.513 429.507
323.525 410.490
323.550 348.737
323.599 218.056
323.636 150.333
323.674 106.754
323.711 78.5111
323.748 59.6621
323.823 37.3524
323.897 25.3805
323.972 18.2996
324.047 13.7915
324.196 8.61455
324.345 5.87698
324.494 4.26177
324.643 3.23029
324.793 2.53220
325.091 1.67546
325.390 1.19030
325.688 0.889165
325.986 0.689686
326.583 0.450097
327.180 0.317240
327.777 0.236007
328.374 0.182760
329.568 0.119501
330.762 0.0848038
331.955 0.0637477
333.149 0.0500204
335.537 0.0338036
337.924 0.0249563
342.699 0.0161224
347.474 0.0120116
352.249 0.00976448
361.799 0.00750125
380.900 0.00581159
400.000 0.00514830
411.799 0.00490414
455.900 0.00437406
500.000 0.00406243
600.000 0.00359330
700.000 0.00326269
750.000 0.00312690
875.000 0.00284545
1000.00 0.00262362
1500.00 0.00206455
2000.00 0.00177468
2778.96 0.00159911
3168.43 0.00165810
3363.17 0.00179129
3460.54 0.00193482
3509.23 0.00208916
3533.57 0.00238784
3545.74 0.00337663
3551.83 0.00715881
3554.87 0.0217364
3555.63 0.0363458
3556.39 0.0761974
3556.77 0.129025
3557.15 0.266765
3557.34 0.438596
3557.53 0.850394
3557.63 1.31184
3557.72 2.26449
3557.77 3.17418
3557.82 4.66750
3557.87 7.40976
3557.91 12.4228
3557.96 19.8754
3558.00 24.8440
3558.04 19.8756
3558.09 12.4231
3558.12 9.17640
3558.14 6.89534
3558.20 4.16974
3558.25 2.74084
3558.30 1.92285
3558.41 1.08605
3558.52 0.693809
3558.74 0.352293
3558.95 0.212625
3559.38 0.102184
3559.82 0.0604133
3561.54 0.0174847
3564.99 0.00609196
3571.90 0.00317464
3585.71 0.00247510
3613.33 0.00239439
3668.57 0.00263785
3723.81 0.00308251
3779.04 0.00384229
3834.28 0.00527347
3861.90 0.00651610
3889.52 0.00847053
3917.14 0.0118071
3944.76 0.0182214
3958.57 0.0239243
3972.38 0.0331166
3986.19 0.0493590
3993.10 0.0626190
3996.55 0.0714134
4000.00 0.0822499
4002.71 0.0926108
4005.41 0.105094
4008.12 0.120326
4010.83 0.139177
4012.18 0.150336
4013.53 0.162897
4016.24 0.193293
4018.94 0.233131
4021.65 0.286751
4024.36 0.361327
4027.06 0.469204
4029.77 0.633453
4032.48 0.900745
4033.83 1.10191
4035.18 1.37707
4036.54 1.76653
4037.89 2.34055
4039.24 3.22865
4040.59 4.68296
4041.95 7.20889
4043.30 11.7256
4044.65 18.7600
4046.00 23.4432
4047.35 18.7441
4048.70 11.7103
4050.01 7.29420
4051.33 4.78545
4052.64 3.32183
4053.95 2.41951
4055.27 1.83194
4056.58 1.43161
4059.21 0.939619
4061.83 0.661962
4064.46 0.490880
4069.71 0.300296
4074.97 0.202424
4080.22 0.145693
4085.47 0.109932
4090.72 0.0859611
4101.23 0.0568391
4111.74 0.0405048
4122.24 0.0304402
4132.75 0.0238065
4153.76 0.0158849
4174.77 0.0115209
4195.78 0.00886842
4216.79 0.00714204
4258.82 0.00513107
4300.84 0.00414160
4321.85 0.00395076
4342.86 0.00418580
4353.37 0.00480656
4363.88 0.00682182
4369.13 0.00973611
4374.38 0.0180965
4377.01 0.0297280
4379.63 0.0624487
4380.95 0.107303
4381.60 0.151598
4382.26 0.231244
4382.92 0.397600
4383.25 0.558302
4383.57 0.841244
4383.90 1.41287
4384.07 1.94366
4384.23 2.83891
4384.39 4.52221
4384.48 5.97851
4384.56 8.25040
4384.64 12.0543
4384.72 19.0384
4384.76 24.8501
4384.80 33.4307
4384.85 46.4261
4384.89 66.1268
4384.94 105.808
4385.00 132.264
4385.06 105.807
4385.11 66.1269
4385.15 47.6111
4385.19 35.0084
4385.27 20.6540
4385.34 13.3672
4385.42 9.28154
4385.49 6.79321
4385.57 5.17597
4385.72 3.28129
4385.87 2.26059
4386.02 1.65029
4386.32 0.989316
4386.62 0.657700
4386.92 0.469343
4387.52 0.273758
4388.12 0.179462
4388.72 0.127071
4389.92 0.0737935
4392.32 0.0348116
4394.72 0.0209009
4399.53 0.0108218
4404.33 0.00723822
4423.55 0.00366260
4442.76 0.00290965
4461.98 0.00258916
4538.84 0.00209859
4692.56 0.00177020
5000.00 0.00159374
5101.96 0.00160692
5152.94 0.00165253
5178.43 0.00173762
5191.17 0.00197022
5197.54 0.00280816
5200.73 0.00600877
5202.32 0.0180019
5203.12 0.0603328
5203.52 0.192204
5203.72 0.521111
5203.82 1.10752
5203.87 1.79785
5203.91 3.11202
5203.96 4.97649
5204.00 6.21877
5204.04 4.97653
5204.09 3.10846
5204.15 1.48098
5204.22 0.813800
5204.36 0.343101
5204.63 0.116305
5205.17 0.0351769
5206.25 0.0107781
5208.42 0.00408917
5212.76 0.00234963
5221.43 0.00193354
5238.77 0.00191273
5273.45 0.00232534
5308.14 0.00470346
5316.81 0.00716256
5325.48 0.0141377
5329.82 0.0238089
5334.15 0.0510049
5336.32 0.0883229
5337.40 0.125177
5338.49 0.191632
5339.57 0.330489
5340.11 0.465116
5340.66 0.702850
5341.20 1.18326
5341.47 1.63231
5341.74 2.39347
5342.01 3.83573
5342.15 5.09936
5342.28 7.07262
5342.42 10.4426
5342.55 16.6966
5342.62 22.0354
