Zn-66(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 35.9743
1.25000E-05 32.6938
1.50000E-05 30.2722
2.00000E-05 26.8730
2.75000E-05 23.6388
3.50000E-05 21.5102
4.25000E-05 19.9736
5.00000E-05 18.7972
6.25000E-05 17.3301
7.50000E-05 16.2471
0.000100000 14.7270
0.000125000 13.6896
0.000150000 12.9238
0.000200000 11.8489
0.000275000 10.8261
0.000350000 10.1530
0.000425000 9.66709
0.000500000 9.29509
0.000625000 8.83115
0.000750000 8.48868
0.00100000 8.00797
0.00125000 7.67992
0.00150000 7.43776
0.00200000 7.09784
0.00275000 6.77441
0.00350000 6.56156
0.00425000 6.40789
0.00500000 6.29025
0.00625000 6.14354
0.00750000 6.03524
0.0100000 5.88323
0.0125000 5.77948
0.0150000 5.70290
0.0200000 5.59541
0.0253000 5.51835
0.0314750 5.45444
0.0376500 5.40698
0.0500000 5.33999
0.0625000 5.29358
0.0750000 5.25932
0.100000 5.21122
0.125000 5.17839
0.150000 5.15414
0.200000 5.12009
0.275000 5.08767
0.350000 5.06630
0.500000 5.03900
0.750000 5.01321
1.00000 4.99773
1.50000 4.97913
2.00000 4.96782
2.75000 4.95675
3.50000 4.94918
5.00000 4.93891
7.50000 4.92805
10.0000 4.92044
15.0000 4.90915
20.0000 4.90018
27.5000 4.88860
35.0000 4.87815
50.0000 4.85885
75.0000 4.82879
100.000 4.79990
150.000 4.74341
200.000 4.68664
261.701 4.60810
277.126 4.58227
292.551 4.54679
300.264 4.51999
304.120 4.50159
307.976 4.47715
309.904 4.46144
311.833 4.44232
313.761 4.41860
315.689 4.38893
316.653 4.37174
317.617 4.35375
318.581 4.33766
319.545 4.33269
320.027 4.34273
320.509 4.37318
320.991 4.44743
321.473 4.62481
321.714 4.79763
321.955 5.08427
322.196 5.58672
322.437 6.54137
322.678 8.59191
322.799 10.5728
322.919 13.9818
323.040 20.4660
323.100 26.0807
323.160 34.7571
323.221 49.0522
323.251 59.7892
323.281 74.3711
323.311 94.7101
323.341 123.513
323.371 165.054
323.401 224.725
323.426 289.859
323.451 365.200
323.500 466.243
323.500 466.266
323.500 466.287
323.501 466.363
323.501 466.424
323.502 466.501
323.503 466.481
323.506 465.768
323.513 461.679
323.525 443.983
323.550 382.219
323.599 246.122
323.636 173.936
323.674 126.847
323.711 95.9748
323.748 75.1530
323.823 50.1659
323.897 36.5077
323.972 28.2869
324.047 22.9639
324.196 16.7089
324.345 13.2948
324.494 11.2183
324.643 9.85280
324.793 8.90198
325.091 7.68867
325.390 6.96445
325.688 6.49192
325.986 6.16366
326.583 5.74338
327.180 5.48980
327.777 5.32216
328.374 5.20398
329.568 5.04949
330.762 4.95361
331.955 4.88854
333.149 4.84153
