Ge-73(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 744.345
1.25000E-05 666.267
1.50000E-05 608.633
2.00000E-05 527.732
2.75000E-05 450.755
3.50000E-05 400.095
4.25000E-05 363.523
5.00000E-05 335.525
6.25000E-05 300.607
7.50000E-05 274.832
0.000100000 238.653
0.000125000 213.962
0.000150000 195.737
0.000200000 170.154
0.000275000 145.811
0.000350000 129.791
0.000425000 118.226
0.000500000 109.372
0.000625000 98.3302
0.000750000 90.1794
0.00100000 78.7382
0.00125000 70.9303
0.00150000 65.1668
0.00200000 57.0766
0.00275000 49.3787
0.00350000 44.3125
0.00425000 40.6552
0.00500000 37.8552
0.00625000 34.3632
0.00750000 31.7855
0.0100000 28.1671
0.0125000 25.6977
0.0150000 23.8748
0.0200000 21.3158
0.0253000 19.4814
0.0314750 17.9597
0.0376500 16.8296
0.0500000 15.2344
0.0625000 14.1290
0.0750000 13.3128
0.100000 12.1665
0.125000 11.3836
0.150000 10.8052
0.200000 9.99231
0.275000 9.21695
0.350000 8.70498
0.500000 8.04895
0.750000 7.42562
1.00000 7.04807
1.50000 6.58871
2.00000 6.30391
2.75000 6.01880
3.50000 5.81862
5.00000 5.53868
7.50000 5.23081
10.0000 5.01135
15.0000 4.69332
20.0000 4.46292
27.5000 4.21965
35.0000 4.07778
50.0000 4.17019
62.5000 5.05102
68.7500 6.19604
75.0000 8.50077
78.1250 10.5195
81.2500 13.6316
84.3750 18.6891
87.5000 27.5371
90.6250 44.7738
92.1875 60.0874
93.7500 84.5299
95.3125 126.763
96.8750 208.502
97.6563 281.054
98.4375 396.993
99.2188 597.604
100.000 984.840
100.433 1370.65
100.865 2006.86
101.298 3120.97
101.730 5132.84
102.160 8287.32
102.590 10424.0
103.020 8369.59
103.450 5258.69
103.827 3447.56
104.204 2355.59
104.582 1686.80
104.959 1259.22
105.713 773.502
106.467 522.360
107.222 376.965
107.976 285.553
109.484 181.501
110.993 126.707
112.502 94.2736
114.010 73.4439
115.519 59.2377
118.536 41.5741
121.553 31.3510
124.570 24.8564
127.588 20.4427
133.622 14.9333
139.656 11.6891
145.691 9.56630
151.725 8.06184
163.794 6.01046
175.863 4.54615
181.897 3.89578
187.931 3.26912
190.949 2.98931
193.966 2.82341
195.474 2.87256
196.983 3.16361
198.492 4.07268
199.246 5.07816
200.000 6.90985
200.474 8.85810
200.948 11.9526
201.421 17.1667
201.658 21.1679
201.895 26.7077
202.132 34.6391
202.369 46.4653
202.606 65.0526
202.843 96.3639
203.079 154.501
