Ge-74(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 26.0984
1.25000E-05 23.3432
1.50000E-05 21.3093
2.00000E-05 18.4544
2.75000E-05 15.7380
3.50000E-05 13.9502
4.25000E-05 12.6596
5.00000E-05 11.6716
6.25000E-05 10.4394
7.50000E-05 9.52980
0.000100000 8.25305
0.000125000 7.38175
0.000150000 6.73859
0.000200000 5.83579
0.000275000 4.97677
0.000350000 4.41144
0.000425000 4.00332
0.000500000 3.69087
0.000625000 3.30122
0.000750000 3.01359
0.00100000 2.60984
0.00125000 2.33431
0.00150000 2.13093
0.00200000 1.84543
0.00275000 1.57379
0.00350000 1.39502
0.00425000 1.26595
0.00500000 1.16715
0.00625000 1.04393
0.00750000 0.952973
0.0100000 0.825296
0.0125000 0.738165
0.0150000 0.673848
0.0200000 0.583566
0.0253000 0.518851
0.0314750 0.465176
0.0376500 0.425319
0.0500000 0.369068
0.0625000 0.330100
0.0750000 0.301335
0.100000 0.260957
0.125000 0.233401
0.150000 0.213059
0.200000 0.184505
0.275000 0.157334
0.350000 0.139451
0.500000 0.116654
0.750000 0.0952229
1.00000 0.0824438
1.50000 0.0672798
2.00000 0.0582355
2.75000 0.0496243
3.50000 0.0439527
5.00000 0.0367158
7.50000 0.0299001
10.0000 0.0258269
15.0000 0.0209783
20.0000 0.0180741
27.5000 0.0152952
35.0000 0.0134544
50.0000 0.0110875
75.0000 0.00883132
100.000 0.00746526
150.000 0.00581721
200.000 0.00481856
275.000 0.00385930
350.000 0.00322775
500.000 0.00243657
750.000 0.00174125
1000.00 0.00138371
1500.00 0.00111192
1750.00 0.00112775
2000.00 0.00127877
2213.46 0.00163383
2320.19 0.00199620
2426.92 0.00265212
2533.65 0.00402664
2587.02 0.00537117
2640.38 0.00778617
2667.06 0.00979814
2693.75 0.0128450
2720.43 0.0177946
2747.11 0.0266657
2760.45 0.0340266
2773.79 0.0451116
2780.46 0.0528948
2783.80 0.0575879
2787.13 0.0629526
2790.47 0.0691255
2793.81 0.0762735
2797.14 0.0846161
2800.48 0.0944356
2802.14 0.100012
2803.81 0.106106
2807.15 0.120115
2810.48 0.137143
2813.82 0.158109
2817.15 0.184343
2820.49 0.217743
2823.82 0.261180
2827.16 0.319096
2830.49 0.398697
2833.83 0.512132
2837.16 0.681431
2840.50 0.949426
2843.84 1.40794
2845.50 1.76792
2847.17 2.27757
2848.84 3.02634
2850.51 4.16825
2852.17 5.97297
2853.84 8.84278
2855.92 14.1400
2858.00 17.6580
2860.08 14.1137
2862.16 8.81745
2863.63 6.22576
2865.10 4.50420
2866.57 3.36038
2868.04 2.58222
2870.98 1.64170
2873.93 1.12679
2876.87 0.818244
2879.81 0.620031
2885.69 0.390497
2891.57 0.268273
2897.45 0.195807
2903.34 0.149450
2909.22 0.118081
2920.98 0.0797422
2932.75 0.0583379
2944.51 0.0455009
2956.27 0.0376106
2979.80 0.0310723
2991.57 0.0320048
3003.33 0.0373328
3015.09 0.0522522
3020.98 0.0682473
3026.86 0.0980820
3029.80 0.123397
3032.74 0.162083
3035.68 0.225300
3038.62 0.338863
3040.09 0.433001
3041.56 0.574209
3043.03 0.800242
3043.77 0.967735
3044.50 1.19457
3045.24 1.51286
3045.61 1.72220
3045.97 1.97751
3046.34 2.29508
3046.71 2.69442
3047.08 3.20895
3047.44 3.88308
3047.81 4.79481
3048.18 6.06456
3048.55 7.90247
3048.92 10.6832
3049.28 15.1722
3049.47 18.4953
3049.65 22.9265
3049.83 29.0310
3050.02 37.5739
3050.20 49.6937
3050.39 66.6758
3050.69 106.738
3051.00 133.318
3051.31 106.575
3051.62 66.6513
3051.89 43.1476
3052.16 29.1721
3052.44 20.6886
3052.71 15.3036
3053.25 9.24159
3053.80 6.14084
3054.35 4.36247
3054.89 3.25391
3055.98 2.00613
3057.08 1.35890
3058.17 0.981273
3059.26 0.742124
3060.35 0.581247
3062.54 0.385045
3064.72 0.274525
3066.90 0.206187
3069.09 0.160998
3073.46 0.106791
3077.83 0.0767290
3082.19 0.0583022
3086.56 0.0461715
3095.30 0.0316384
3104.03 0.0235385
3121.51 0.0151725
3138.98 0.0110605
3156.45 0.00867864
3191.40 0.00608241
3226.34 0.00471905
3261.29 0.00389254
3331.18 0.00296804
3470.96 0.00223908
3610.74 0.00205321
3890.31 0.00237464
4030.09 0.00290138
4099.98 0.00353682
4117.45 0.00395031
4134.93 0.00495667
4143.66 0.00627092
4148.03 0.00756153
4152.40 0.00990548
4156.77 0.0149062
4158.95 0.0198874
4161.13 0.0289755
4163.32 0.0483545
4164.41 0.0675780
4165.50 0.102428
4166.59 0.175896
4167.14 0.247833
4167.69 0.376302
4168.23 0.640637
4168.51 0.892643
4168.78 1.32933
4169.05 2.18581
4169.19 2.96446
4169.32 4.22920
4169.39 5.20025
4169.46 6.51807
4169.53 8.39309
4169.60 11.1757
4169.67 15.6029
4169.70 18.7522
4169.73 22.8743
4169.77 28.3598
4169.80 35.7660
4169.84 45.8460
4169.87 59.6855
4169.94 95.3463
4170.00 119.365
4170.03 112.086
4170.07 95.3442
4170.13 59.6832
4170.18 41.0120
4170.23 28.9246
4170.28 21.1601
4170.33 16.0998
4170.43 10.0139
4170.53 6.80015
4170.63 4.88663
4170.73 3.68391
4170.92 2.30269
4171.12 1.56976
4171.32 1.13785
4171.72 0.677009
4172.12 0.448430
4172.51 0.319351
4173.31 0.186144
4174.10 0.122305
4174.90 0.0869135
4176.49 0.0511056
