Se-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4276.00
1.25000E-05 3824.57
1.50000E-05 3491.34
2.00000E-05 3023.59
2.75000E-05 2578.53
3.50000E-05 2285.62
4.25000E-05 2074.17
5.00000E-05 1912.29
6.25000E-05 1710.40
7.50000E-05 1561.38
0.000100000 1352.19
0.000125000 1209.44
0.000150000 1104.06
0.000200000 956.142
0.000275000 815.400
0.000350000 722.775
0.000425000 655.907
0.000500000 604.716
0.000625000 540.874
0.000750000 493.748
0.00100000 427.597
0.00125000 382.454
0.00150000 349.131
0.00200000 302.355
0.00275000 257.848
0.00350000 228.557
0.00425000 207.411
0.00500000 191.222
0.00625000 171.033
0.00750000 156.130
0.0100000 135.210
0.0125000 120.934
0.0150000 110.395
0.0200000 95.6015
0.0253000 84.9971
0.0314750 76.2016
0.0376500 69.6701
0.0500000 60.4517
0.0625000 54.0651
0.0750000 49.3504
0.100000 42.7316
0.125000 38.2139
0.150000 34.8786
0.200000 30.1957
0.275000 25.7382
0.350000 22.8031
0.500000 19.0595
0.750000 15.5363
1.00000 13.4326
1.50000 10.9315
2.00000 9.43580
2.75000 8.00727
3.50000 7.06284
5.00000 5.85154
7.50000 4.70084
10.0000 4.00605
15.0000 3.16856
20.0000 2.65954
27.5000 2.16612
35.0000 1.83573
50.0000 1.40821
75.0000 1.00324
100.000 0.765198
150.000 0.496674
200.000 0.352323
244.433 0.274456
288.865 0.228180
311.081 0.219681
333.298 0.237843
344.406 0.280000
349.960 0.326234
355.514 0.413836
361.068 0.604900
363.845 0.796314
366.622 1.14519
368.011 1.43842
369.399 1.88470
370.788 2.61231
372.176 3.91849
372.870 5.00149
373.217 5.72711
373.391 6.15271
373.565 6.62868
373.738 7.16392
373.912 7.76833
373.999 8.10025
374.085 8.45434
374.172 8.83262
374.259 9.23684
374.432 10.1359
374.606 11.1744
374.780 12.3844
374.953 13.8038
375.127 15.4860
375.300 17.4984
375.474 19.9333
375.647 22.9154
375.821 26.6253
375.994 31.3133
376.168 37.3608
376.342 45.3335
376.515 56.1474
376.689 71.2991
376.862 93.4048
377.036 127.301
377.209 182.764
377.383 281.013
377.470 359.971
377.557 472.742
377.643 636.696
377.730 873.825
377.865 1397.73
378.000 1746.54
378.135 1396.79
378.270 872.855
378.389 567.739
378.508 384.727
378.627 273.281
378.746 202.378
378.983 122.387
