Se-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4294.40
1.25000E-05 3842.97
1.50000E-05 3509.74
2.00000E-05 3041.99
2.75000E-05 2596.93
3.50000E-05 2304.02
4.25000E-05 2092.57
5.00000E-05 1930.69
6.25000E-05 1728.80
7.50000E-05 1579.78
0.000100000 1370.59
0.000125000 1227.84
0.000150000 1122.46
0.000200000 974.544
0.000275000 833.802
0.000350000 741.176
0.000425000 674.309
0.000500000 623.118
0.000625000 559.275
0.000750000 512.149
0.00100000 445.999
0.00125000 400.856
0.00150000 367.532
0.00200000 320.756
0.00275000 276.249
0.00350000 246.958
0.00425000 225.812
0.00500000 209.623
0.00625000 189.434
0.00750000 174.531
0.0100000 153.611
0.0125000 139.334
0.0150000 128.795
0.0200000 114.002
0.0253000 103.397
0.0314750 94.6010
0.0376500 88.0692
0.0500000 78.8500
0.0625000 72.4626
0.0750000 67.7471
0.100000 61.1267
0.125000 56.6075
0.150000 53.2706
0.200000 48.5846
0.275000 44.1224
0.350000 41.1826
0.500000 37.4296
0.750000 33.8908
1.00000 31.7715
1.50000 29.2394
2.00000 27.7128
2.75000 26.2382
3.50000 25.2479
5.00000 23.9458
7.50000 22.6460
10.0000 21.8051
15.0000 20.6835
20.0000 19.9009
27.5000 19.0156
35.0000 18.3137
50.0000 17.1983
75.0000 15.7849
100.000 14.6771
150.000 12.9701
200.000 11.6523
244.433 10.6464
288.865 9.65172
311.081 9.06980
333.298 8.27773
344.406 7.67820
349.960 7.26757
355.514 6.72739
361.068 5.97767
363.845 5.48986
366.622 4.92337
368.011 4.63229
369.399 4.38413
370.788 4.29390
372.176 4.69250
372.870 5.34933
373.217 5.90065
373.391 6.25706
373.565 6.68069
373.738 7.18525
373.912 7.78683
373.999 8.13016
374.085 8.50574
374.172 8.91691
374.259 9.36692
374.432 10.4037
374.606 11.6560
374.780 13.1786
374.953 15.0397
375.127 17.3338
375.300 20.1847
375.474 23.7626
375.647 28.3021
375.821 34.1462
375.994 41.7798
376.168 51.9492
376.342 65.7822
376.515 85.1257
376.689 113.049
376.862 154.995
377.036 221.195
377.209 332.661
377.383 535.916
377.470 702.735
377.557 944.729
377.643 1302.48
377.730 1829.79
377.865 3034.99
378.000 3932.05
378.135 3259.97
378.270 2111.49
378.389 1417.18
378.508 990.786
378.627 725.942
378.746 554.406
378.983 356.329
379.221 251.638
379.459 189.705
379.697 149.987
380.172 103.516
380.648 78.1293
381.123 62.5794
381.599 52.2676
382.074 45.0198
383.025 35.6421
383.976 29.9324
384.927 26.1382
385.878 23.4550
387.780 19.9405
389.682 17.7580
391.584 16.2777
393.486 15.2096
397.290 13.7713
401.094 12.8443
408.703 11.7065
416.311 11.0189
423.919 10.5449
439.135 9.90480
469.568 9.11970
500.000 8.57354
590.031 7.29903
680.063 5.90395
725.078 4.91194
747.586 4.24789
770.094 3.39430
792.602 2.26258
803.856 1.57862
815.109 0.882632
820.736 0.611704
823.550 0.534053
824.957 0.519356
826.363 0.526316
827.067 0.539592
827.770 0.560460
828.474 0.589837
829.177 0.628757
829.880 0.678400
830.584 0.740088
831.287 0.815323
831.990 0.905800
833.397 1.14060
834.804 1.46360
836.211 1.90006
837.617 2.48360
839.024 3.25974
840.431 4.29066
841.838 5.66335
843.244 7.50093
844.651 9.98260
846.058 13.3742
847.464 18.0835
848.871 24.7557
850.278 34.4554
851.685 49.0211
853.091 71.8291
854.498 109.529
855.905 176.483
856.608 230.238
857.312 307.338
858.015 421.620
858.718 596.922
859.422 874.177
860.125 1315.45
861.063 2217.51
862.000 2914.95
862.938 2449.35
863.875 1607.03
864.750 1066.53
865.625 741.093
866.500 542.120
867.374 414.607
869.124 268.501
870.874 191.544
872.623 145.981
874.373 116.643
877.872 82.0766
881.372 62.9727
884.871 51.1314
888.370 43.1886
891.870 37.5455
898.868 30.1426
905.867 25.5680
909.366 23.9075
912.865 22.5784
914.615 22.0720
915.490 21.8940
916.365 21.8203
917.240 21.9853
917.677 22.2774
918.114 22.8984
918.552 24.2931
918.771 25.6581
918.989 28.0258
919.208 32.5969
919.317 36.6360
919.427 43.0469
919.536 54.0538
919.645 74.9690
919.700 93.0192
919.755 120.609
919.809 164.273
919.864 233.750
919.932 361.986
920.000 447.518
920.068 361.956
920.136 233.693
920.214 142.961
920.292 96.2013
920.370 70.8853
920.448 56.0704
920.526 46.7761
920.604 40.6030
920.760 33.2070
920.916 29.1265
921.072 26.6397
921.384 23.8795
921.696 22.4438
922.008 21.5864
922.632 20.6188
923.256 20.0742
923.880 19.7070
925.128 19.1985
926.375 18.8207
927.623 18.5025
930.119 17.9572
935.111 17.0553
940.102 16.3052
950.085 15.1031
960.068 14.1748
980.034 12.8271
1000.00 11.8899
1052.47 10.3733
1104.94 9.48742
1157.40 8.88353
1183.64 8.64616
1190.20 8.59467
1196.76 8.55262
1200.03 8.54289
1201.67 8.54650
1203.31 8.56397
1204.95 8.61593
1205.77 8.67369
1206.59 8.78303
1207.00 8.87641
1207.41 9.01916
1207.82 9.25158
1208.23 9.66531
1208.44 10.0044
1208.64 10.5073
1208.85 11.2983
1209.05 12.6450
1209.26 15.2121
1209.36 17.4780
1209.46 21.0291
1209.57 27.1609
1209.67 38.6598
1209.72 48.5103
1209.77 63.4689
1209.82 86.9424
1209.87 123.993
1209.94 193.518
1210.00 238.766
1210.07 192.411
1210.13 123.145
1210.20 75.9882
1210.27 50.9889
1210.34 37.1640
1210.41 29.0468
1210.48 23.8155
1210.56 20.3202
1210.70 16.1333
1210.84 13.7970
1210.98 12.3842
1211.26 10.8244
1211.54 10.0268
1211.83 9.56674
1212.11 9.27720
1212.39 9.08358
1212.96 8.84640
1213.52 8.71203
1214.09 8.62755
1214.65 8.57054
1215.79 8.49898
1216.92 8.45573
1219.18 8.40386
1221.44 8.37074
1223.70 8.34522
1228.22 8.30359
1237.27 8.23353
1246.32 8.16976
1282.50 7.93968
1318.69 7.73595
1327.74 7.68927
1336.78 7.64668
1341.30 7.62997
1343.57 7.62499
1345.83 7.62555
1348.09 7.63994
1349.22 7.65997
1350.35 7.70100
1350.92 7.73744
1351.48 7.79423
1352.05 7.88865
1352.61 8.05971
1352.90 8.20232
1353.18 8.41681
1353.46 8.76018
1353.74 9.35634
1354.03 10.5381
1354.17 11.6111
1354.31 13.3768
1354.45 16.6047
1354.52 19.3001
1354.59 23.2837
1354.66 29.6842
1354.73 40.3536
1354.80 60.0376
1354.87 96.8257
1354.94 150.549
1355.00 185.513
1355.06 149.716
1355.13 96.2037
1355.19 63.2284
1355.25 44.3011
1355.31 33.1723
1355.37 26.2712
1355.43 21.7605
1355.49 18.6741
1355.62 14.8676
1355.74 12.7122
1355.86 11.3798
1356.10 9.89576
1356.35 9.12693
1356.59 8.68004
1356.84 8.39753
1357.08 8.20818
1357.57 7.97576
1358.05 7.84432
1358.54 7.76221
1359.03 7.70715
1360.00 7.63923
1360.98 7.59956
1362.93 7.55471
1364.88 7.52859
1366.82 7.51000
1370.72 7.48203
1378.52 7.43822
1386.32 7.39927
1417.50 7.25571
1448.69 7.12191
1456.49 7.09043
1464.28 7.06179
1468.18 7.05106
1470.13 7.04845
1472.08 7.05037
1474.03 7.06368
1475.00 7.08089
1475.98 7.11537
1476.47 7.14568
1476.95 7.19265
1477.44 7.27016
1477.93 7.41001
1478.17 7.52611
1478.42 7.70004
1478.66 7.97701
1478.90 8.45403
1479.15 9.38921
1479.27 10.2316
1479.39 11.5877
1479.51 14.0145
1479.57 15.9954
1479.63 18.9084
1479.69 23.4011
1479.76 30.7235
1479.82 43.3503
1479.88 65.2203
1479.94 100.194
1480.00 123.537
1480.06 100.253
1480.12 65.2944
1480.17 49.0854
1480.21 38.2375
1480.29 25.4555
1480.37 18.9515
1480.45 15.3000
1480.53 13.0743
1480.61 11.6269
1480.77 9.93002
1480.93 9.01502
1481.10 8.46739
1481.42 7.87455
1481.74 7.57575
1482.07 7.40467
1482.39 7.29746
1482.71 7.22587
1483.36 7.13814
1484.01 7.08814
1485.30 7.03462
1486.60 7.00652
1487.89 6.98868
1490.48 6.96553
1495.66 6.93548
1500.84 6.91152
1521.56 6.82668
1563.00 6.66684
1604.44 6.51189
1625.16 6.43653
1630.34 6.41877
1635.52 6.40350
1638.11 6.39926
1640.70 6.40471
1642.00 6.42052
1642.64 6.43848
1643.29 6.47269
1643.94 6.54670
1644.26 6.61937
1644.59 6.74759
1644.91 7.00669
1645.07 7.24749
1645.23 7.64913
1645.40 8.40289
1645.48 9.05013
1645.56 10.0517
1645.64 11.7089
1645.72 14.6966
1645.76 17.1725
1645.80 20.6740
1645.84 25.8318
1645.88 33.4108
1645.94 49.6575
1646.00 60.5009
1646.06 49.6857
1646.12 33.4459
1646.16 25.2534
1646.21 19.9909
1646.25 16.5092
1646.29 14.1464
1646.38 11.2765
1646.47 9.73205
1646.55 8.79838
1646.64 8.20673
1646.81 7.51765
1646.99 7.15080
1647.16 6.93296
1647.50 6.69858
1647.85 6.58094
1648.19 6.51371
1648.89 6.44274
1649.58 6.40727
1650.27 6.38644
1651.65 6.36277
1654.42 6.33897
1657.18 6.32394
1662.71 6.30010
1668.24 6.27856
1690.36 6.19624
1734.59 6.03302
1823.06 5.69770
2000.00 4.91691
2059.92 4.55382
2074.90 4.43180
2089.87 4.26819
2097.36 4.14834
2101.11 4.06721
2104.85 3.95981
2106.73 3.89029
2108.60 3.80462
2110.47 3.69538
2112.34 3.55066
2113.28 3.45934
2114.22 3.35198
2115.15 3.22713
2116.09 3.09164
2116.56 3.03058
2117.02 2.99282
2117.49 3.01882
2117.96 3.21664
2118.19 3.46445
2118.43 3.91944
2118.66 4.76915
2118.90 6.43548
2119.01 7.86105
2119.07 8.82771
2119.13 10.0020
2119.19 11.4934
2119.25 13.3453
2119.31 15.7567
2119.36 18.8372
2119.42 22.9815
2119.48 28.4765
2119.54 36.1926
2119.60 46.9329
2119.66 62.8564
2119.71 86.3348
2119.77 123.046
2119.83 178.609
2119.92 302.041
2120.00 398.181
2120.04 385.441
2120.09 337.659
2120.17 223.912
2120.23 169.259
2120.28 130.545
2120.39 84.1987
2120.50 59.2300
2120.61 44.7587
2120.72 35.5167
2120.83 29.3524
2121.05 21.7735
2121.26 17.4104
2121.48 14.6621
2121.92 11.4495
2122.36 9.67911
2122.79 8.57735
2123.23 7.83314
2123.67 7.30003
2124.54 6.59101
2125.42 6.14435
2126.29 5.83775
