Rb-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6.03517
1.25000E-05 5.39802
1.50000E-05 4.92770
2.00000E-05 4.26751
2.75000E-05 3.63934
3.50000E-05 3.22593
4.25000E-05 2.92749
5.00000E-05 2.69901
6.25000E-05 2.41407
7.50000E-05 2.20373
0.000100000 1.90849
0.000125000 1.70701
0.000150000 1.55828
0.000200000 1.34951
0.000275000 1.15086
0.000350000 1.02013
0.000425000 0.925754
0.000500000 0.853504
0.000625000 0.763397
0.000750000 0.696884
0.00100000 0.603520
0.00125000 0.539805
0.00150000 0.492773
0.00200000 0.426755
0.00275000 0.363939
0.00350000 0.322598
0.00425000 0.292754
0.00500000 0.269907
0.00625000 0.241413
0.00750000 0.220380
0.0100000 0.190857
0.0125000 0.170710
0.0150000 0.155838
0.0200000 0.134962
0.0253000 0.119999
0.0314750 0.107588
0.0376500 0.0983734
0.0500000 0.0853686
0.0625000 0.0763601
0.0750000 0.0697107
0.100000 0.0603777
0.125000 0.0540093
0.150000 0.0493089
0.200000 0.0427119
0.275000 0.0364367
0.350000 0.0323081
0.500000 0.0270484
0.750000 0.0221088
1.00000 0.0191675
1.50000 0.0156842
2.00000 0.0136124
2.75000 0.0116466
3.50000 0.0103575
5.00000 0.00872286
7.50000 0.00720126
10.0000 0.00630638
15.0000 0.00526695
20.0000 0.00466775
27.5000 0.00412438
35.0000 0.00379195
50.0000 0.00342501
75.0000 0.00321364
100.000 0.00325231
150.000 0.00388040
175.000 0.00456335
200.000 0.00574189
216.758 0.00714065
233.516 0.00998730
241.895 0.0131655
246.085 0.0160638
250.274 0.0211062
254.464 0.0315332
256.559 0.0417807
258.653 0.0603954
259.701 0.0760898
260.748 0.100122
261.795 0.139702
262.843 0.211910
263.366 0.272801
263.890 0.365860
264.414 0.518497
264.938 0.794981
265.199 1.02633
265.461 1.37693
265.723 1.94578
265.985 2.95888
266.116 3.79305
266.247 5.03613
266.378 7.00712
266.509 10.4051
266.640 17.0158
266.705 22.9516
266.770 32.5578
266.836 49.5913
266.869 63.4153
266.901 83.6575
266.934 114.822
266.967 165.129
267.000 251.080
267.032 401.616
267.066 643.170
267.100 804.438
267.134 643.192
267.168 401.671
267.195 272.887
267.221 191.357
267.248 139.402
267.275 105.287
267.328 65.2706
267.381 44.1075
267.435 31.6683
267.488 23.8081
267.595 14.8196
267.701 10.0923
267.808 7.30959
267.915 5.53638
268.021 4.33813
268.235 2.87012
268.448 2.03960
268.662 1.52468
268.875 1.18375
269.302 0.774269
269.729 0.547246
270.155 0.408435
270.582 0.317442
271.436 0.209324
272.289 0.150035
273.143 0.114075
273.996 0.0906667
275.703 0.0631221
277.410 0.0482440
280.825 0.0337962
284.239 0.0275940
287.653 0.0247290
294.481 0.0232758
308.138 0.0276673
321.795 0.0397718
328.623 0.0505294
335.452 0.0671828
342.280 0.0946942
349.109 0.144829
352.523 0.186997
355.937 0.251284
359.351 0.356410
362.765 0.546133
364.472 0.704357
366.180 0.943595
367.887 1.33038
368.740 1.62026
369.594 2.01672
370.447 2.57933
371.301 3.41538
372.154 4.73548
373.008 6.99773
373.435 8.78843
373.862 11.3606
374.288 15.2385
374.715 21.4617
375.142 32.3256
375.355 41.0298
375.569 53.5960
375.782 72.5307
375.995 102.421
376.209 151.792
376.422 234.640
376.661 375.420
376.900 469.049
377.139 374.848
377.378 234.081
377.618 143.833
377.857 93.3883
378.097 64.3523
378.336 46.6245
378.576 35.1687
378.815 27.3974
379.294 17.8982
379.773 12.5674
380.252 9.29316
381.210 5.65890
382.168 3.79863
383.126 2.72268
384.084 2.04554
385.042 1.59224
386.958 1.04224
388.874 0.734216
390.790 0.544651
