Sr-84(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 46.7934
1.25000E-05 42.4291
1.50000E-05 39.2075
2.00000E-05 34.6854
2.75000E-05 30.3827
3.50000E-05 27.5509
4.25000E-05 25.5066
5.00000E-05 23.9416
6.25000E-05 21.9898
7.50000E-05 20.5491
0.000100000 18.5268
0.000125000 17.1467
0.000150000 16.1279
0.000200000 14.6979
0.000275000 13.3372
0.000350000 12.4418
0.000425000 11.7953
0.000500000 11.3004
0.000625000 10.6832
0.000750000 10.2276
0.00100000 9.58807
0.00125000 9.15164
0.00150000 8.82949
0.00200000 8.37728
0.00275000 7.94700
0.00350000 7.66383
0.00425000 7.45940
0.00500000 7.30290
0.00625000 7.10772
0.00750000 6.96364
0.0100000 6.76140
0.0125000 6.62339
0.0150000 6.52151
0.0200000 6.37850
0.0253000 6.27598
0.0314750 6.19095
0.0376500 6.12780
0.0500000 6.03868
0.0625000 5.97693
0.0750000 5.93134
0.100000 5.86732
0.125000 5.82361
0.150000 5.79133
0.200000 5.74597
0.275000 5.70274
0.350000 5.67421
0.500000 5.63769
0.750000 5.60305
1.00000 5.58210
1.50000 5.55665
2.00000 5.54087
2.75000 5.52504
3.50000 5.51385
5.00000 5.49793
7.50000 5.47963
10.0000 5.46560
15.0000 5.44256
20.0000 5.42236
27.5000 5.39409
35.0000 5.36673
50.0000 5.31215
75.0000 5.21694
100.000 5.11203
150.000 4.85408
200.000 4.48233
240.958 4.00709
261.437 3.66054
281.917 3.18727
292.156 2.88034
302.396 2.50895
312.635 2.05852
322.875 1.52876
327.995 1.25405
333.114 1.01832
335.674 0.944350
338.234 0.932099
339.514 0.962600
340.154 0.990437
340.794 1.02839
341.434 1.07805
342.074 1.14121
342.714 1.22006
343.354 1.31709
343.994 1.43530
344.634 1.57821
345.274 1.75002
345.914 1.95572
347.194 2.49431
348.474 3.25914
349.754 4.34811
351.034 5.91171
352.314 8.19043
353.594 11.5828
354.874 16.7856
356.153 25.0899
357.433 39.0927
358.713 64.5785
359.353 85.5564
359.993 116.458
360.633 164.134
361.273 242.205
361.913 380.659
362.233 492.412
362.553 654.107
362.873 897.335
363.193 1278.82
363.513 1901.09
363.833 2928.55
364.217 4818.68
364.600 6189.80
364.984 5087.22
365.368 3266.72
365.607 2442.75
365.847 1859.31
366.325 1155.84
366.804 782.245
367.282 565.458
367.761 429.614
368.240 339.148
369.197 229.913
370.154 168.760
371.111 130.913
373.025 88.0552
374.939 65.3038
376.854 51.6042
378.768 42.6186
380.682 36.3498
384.511 28.2937
388.339 23.4159
392.168 20.1844
395.996 17.9031
403.654 14.9184
411.311 13.0652
418.968 11.8075
426.625 10.8989
441.939 9.67117
457.253 8.87325
472.567 8.30707
476.396 8.19237
480.224 8.09357
482.139 8.05852
483.096 8.05078
484.053 8.05847
485.010 8.10376
485.489 8.16044
485.967 8.27154
486.446 8.51309
486.685 8.74857
486.924 9.15999
487.164 9.97002
487.283 10.7029
487.403 11.8977
487.523 14.0330
487.582 15.7813
487.642 18.3614
487.702 22.3598
487.762 28.9207
487.822 40.3469
487.881 60.8465
487.941 92.6189
488.000 113.793
488.059 92.5603
488.119 60.7980
488.165 43.9019
488.212 33.1921
488.258 26.3446
488.304 21.8226
488.397 16.5271
488.490 13.7140
488.583 12.0591
488.676 11.0110
488.861 9.81062
489.047 9.17631
489.233 8.80105
489.604 8.39577
489.975 8.19084
490.347 8.07093
491.089 7.93857
491.832 7.86592
492.574 7.81778
494.059 7.75192
497.030 7.66125
500.000 7.58793
504.220 7.49675
508.440 7.42332
510.550 7.40431
511.605 7.40767
512.660 7.43184
513.716 7.50731
514.243 7.59179
514.771 7.75149
515.034 7.88697
515.298 8.09245
515.562 8.42342
515.826 9.00245
516.089 10.1492
516.221 11.1945
516.353 12.9145
516.485 16.0318
516.551 18.6271
516.617 22.5099
516.683 28.6624
516.749 39.0400
516.815 57.8686
516.881 93.5167
516.940 145.368
517.000 179.876
517.060 145.305
517.120 93.5517
517.177 61.3223
517.234 42.8616
517.292 32.0304
517.349 25.3254
517.407 20.9485
517.464 17.9567
517.579 14.2729
517.693 12.1864
517.808 10.8982
518.038 9.45797
518.267 8.71450
518.497 8.28125
518.726 8.00616
518.956 7.82008
519.415 7.59014
519.874 7.45704
520.333 7.37146
520.792 7.31191
521.710 7.23346
522.628 7.18213
524.464 7.11271
526.300 7.06137
528.136 7.01734
531.809 6.93822
539.153 6.79103
546.498 6.64544
561.187 6.33628
575.876 5.96798
590.566 5.46850
597.910 5.12343
605.255 4.66320
608.927 4.36747
612.599 4.00959
616.272 3.57156
619.944 3.04074
621.780 2.74874
623.616 2.46705
625.452 2.27081
627.289 2.38803
627.748 2.53206
628.207 2.75853
628.436 2.91238
628.666 3.09995
628.895 3.32774
629.125 3.60357
629.354 3.93727
629.584 4.34048
629.813 4.82822
630.043 5.41920
630.272 6.13718
630.502 7.01257
630.961 9.40526
631.420 13.0899
631.879 18.9648
632.338 28.8010
632.567 36.2559
632.797 46.4290
633.027 60.6828
633.256 81.2757
633.486 112.219
633.715 161.038
633.945 242.965
634.174 391.598
634.289 512.791
634.404 687.284
634.518 943.345
