Sr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.754480
1.25000E-05 0.674828
1.50000E-05 0.616031
2.00000E-05 0.533498
2.75000E-05 0.454969
3.50000E-05 0.403287
4.25000E-05 0.365977
5.00000E-05 0.337414
6.25000E-05 0.301793
7.50000E-05 0.275498
0.000100000 0.238588
0.000125000 0.213400
0.000150000 0.194807
0.000200000 0.168707
0.000275000 0.143874
0.000350000 0.127531
0.000425000 0.115732
0.000500000 0.106700
0.000625000 0.0954355
0.000750000 0.0871203
0.00100000 0.0754484
0.00125000 0.0674831
0.00150000 0.0616034
0.00200000 0.0533501
0.00275000 0.0454971
0.00350000 0.0403289
0.00425000 0.0365979
0.00500000 0.0337416
0.00625000 0.0301794
0.00750000 0.0275499
0.0100000 0.0238589
0.0125000 0.0213401
0.0150000 0.0194808
0.0200000 0.0168708
0.0253000 0.0150000
0.0314750 0.0134483
0.0376500 0.0122961
0.0500000 0.0106700
0.0625000 0.00954357
0.0750000 0.00871204
0.100000 0.00754485
0.125000 0.00674831
0.150000 0.00616034
0.200000 0.00533501
0.275000 0.00454971
0.350000 0.00403288
0.500000 0.00337415
0.750000 0.00275498
1.00000 0.00238588
1.50000 0.00194806
2.00000 0.00168707
2.75000 0.00143874
3.50000 0.00127530
5.00000 0.00106700
7.50000 0.000871197
10.0000 0.000754479
15.0000 0.000616029
20.0000 0.000533496
27.5000 0.000454967
35.0000 0.000403285
50.0000 0.000337412
75.0000 0.000275496
100.000 0.000238586
150.000 0.000194805
200.000 0.000168706
275.000 0.000143873
350.000 0.000127529
500.000 0.000106699
750.000 8.71190E-05
1000.00 7.54472E-05
1500.00 6.16024E-05
2000.00 5.33492E-05
2750.00 4.54963E-05
3500.00 4.03282E-05
5000.00 3.37409E-05
6000.00 3.08011E-05
6000.00 0.0532754
7000.00 0.0469035
8000.00 0.0419289
10000.0 0.0349011
12500.0 0.0288479
15000.0 0.0246979
17000.0 0.0222377
20000.0 0.0194564
25000.0 0.0163194
30000.0 0.0142660
35000.0 0.0128409
40000.0 0.0118051
50000.0 0.0103930
60000.0 0.00986807
70000.0 0.00935892
80000.0 0.00901309
99999.9 0.00855565
100000 0.00857005
150000 0.00823574
200000 0.00809593
250000 0.00793369
300000 0.00774946
500000 0.00714586
700000 0.00747647
800000 0.00769661
841031 0.00781009
900000 0.00445470
1.00000E+06 0.00373472
1.06250E+06 0.00369672
1.12500E+06 0.00366125
1.18750E+06 0.00362801
1.25000E+06 0.00359675
1.31250E+06 0.00367081
1.37500E+06 0.00374285
1.43750E+06 0.00381300
1.50000E+06 0.00388140
1.54362E+06 0.00395776
1.58724E+06 0.00403343
1.63086E+06 0.00410844
1.67448E+06 0.00418281
1.75000E+06 0.00331288
1.83177E+06 0.00326882
1.91353E+06 0.00322723
1.91353E+06 0.00322723
2.00000E+06 0.00297954
2.05794E+06 0.00299230
2.11588E+06 0.00300476
2.17382E+06 0.00301694
2.23176E+06 0.00302884
2.23176E+06 0.00302884
2.30515E+06 0.00302511
