Y-89(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 64.3078
1.25000E-05 57.5186
1.50000E-05 52.5071
2.00000E-05 45.4725
2.75000E-05 38.7790
3.50000E-05 34.3739
4.25000E-05 31.1938
5.00000E-05 28.7593
6.25000E-05 25.7231
7.50000E-05 23.4819
0.000100000 20.3359
0.000125000 18.1890
0.000150000 16.6042
0.000200000 14.3796
0.000275000 12.2630
0.000350000 10.8700
0.000425000 9.86433
0.000500000 9.09446
0.000625000 8.13432
0.000750000 7.42558
0.00100000 6.43073
0.00125000 5.75180
0.00150000 5.25064
0.00200000 4.54717
0.00275000 3.87782
0.00350000 3.43730
0.00425000 3.11928
0.00500000 2.87582
0.00625000 2.57218
0.00750000 2.34805
0.0100000 2.03343
0.0125000 1.81872
0.0150000 1.66022
0.0200000 1.43774
0.0253000 1.27825
0.0314750 1.14597
0.0376500 1.04774
0.0500000 0.909089
0.0625000 0.813033
0.0750000 0.742121
0.100000 0.642568
0.125000 0.574617
0.150000 0.524447
0.200000 0.454005
0.275000 0.386947
0.350000 0.342788
0.500000 0.286457
0.750000 0.233429
1.00000 0.201757
1.50000 0.164086
2.00000 0.141544
2.75000 0.120001
3.50000 0.105747
5.00000 0.0874460
7.50000 0.0700328
10.0000 0.0595005
15.0000 0.0467834
20.0000 0.0390435
27.5000 0.0315386
35.0000 0.0265189
50.0000 0.0200468
75.0000 0.0139740
100.000 0.0104559
150.000 0.00656508
200.000 0.00451458
275.000 0.00285346
350.000 0.00195725
425.000 0.00142166
500.000 0.00107835
625.000 0.000732494
750.000 0.000535072
875.000 0.000414827
1000.00 0.000338973
1250.00 0.000262571
1500.00 0.000249766
1750.00 0.000301083
1875.00 0.000367710
2000.00 0.000490344
2074.69 0.000613050
2149.38 0.000804394
2224.07 0.00112276
2298.75 0.00170551
2336.10 0.00219599
2373.44 0.00294245
2410.79 0.00415791
2448.13 0.00633346
2466.80 0.00813093
2485.48 0.0108222
2504.15 0.0151151
2522.82 0.0225878
2541.49 0.0373915
2550.83 0.0509862
2560.16 0.0737052
2569.50 0.116254
2574.17 0.153359
2578.84 0.212599
2583.50 0.317934
2585.84 0.406527
2588.17 0.545284
2590.51 0.791066
2591.67 1.00068
2592.84 1.33670
2593.42 1.59233
2594.01 1.95117
2594.59 2.48638
2595.17 3.34457
2595.47 3.98988
2595.76 4.87753
2596.05 6.14820
2596.34 8.05029
2596.63 11.0958
2596.93 16.3336
2597.07 20.4267
2597.22 26.1330
2597.36 34.1965
2597.51 45.4322
2597.75 72.0846
2598.00 89.8574
2598.25 72.1712
2598.49 45.6224
2598.79 26.0889
2599.09 16.4597
2599.39 11.4240
2599.69 8.57457
2600.28 5.77266
2600.88 4.62371
2602.07 4.15241
2603.26 4.92594
2604.45 7.03272
2605.05 8.94813
2605.65 11.9298
2606.24 16.8150
2606.84 25.4085
2607.43 41.8832
2607.73 55.7200
2608.03 75.4724
2608.52 120.952
2609.00 151.376
2609.49 120.865
2609.97 75.3761
2610.35 51.4463
2610.72 36.2597
2611.10 26.5080
2611.48 20.0759
2612.23 12.5179
2612.98 8.49859
2613.73 6.12831
2614.49 4.62322
2615.99 2.89835
2617.50 1.98589
2619.00 1.44653
2620.51 1.10103
2622.01 0.866682
2625.03 0.577761
2628.04 0.413036
2631.05 0.310193
2634.06 0.241645
2640.08 0.158711
2646.10 0.112294
2652.12 0.0836873
2658.15 0.0648090
2670.19 0.0422010
2682.23 0.0296851
2694.28 0.0220333
2706.32 0.0170143
2730.41 0.0110435
2754.50 0.00776074
2778.58 0.00576344
2802.67 0.00445815
2850.85 0.00291175
2899.02 0.00206579
2947.20 0.00155433
2995.37 0.00122363
3091.72 0.000848085
3188.07 0.000698724
3236.25 0.000723047
3284.42 0.000946309
3308.51 0.00131668
3332.60 0.00242204
3344.64 0.00398537
3350.66 0.00555748
3356.68 0.00844333
3362.71 0.0146387
3365.72 0.0208212
3368.73 0.0320979
3370.23 0.0416004
3371.74 0.0560938
3373.24 0.0798349
3374.75 0.122680
3375.50 0.158435
3376.26 0.212484
3377.01 0.299801
3377.76 0.454206
3378.14 0.580818
3378.51 0.768044
3378.89 1.06244
3379.27 1.56394
3379.64 2.52517
3379.83 3.36924
3380.02 4.70929
3380.21 7.01038
3380.39 11.4023
3380.49 15.2060
3380.58 21.0462
3380.68 30.3445
3380.77 45.2805
3380.89 72.4472
3381.00 90.5532
3381.12 72.4400
3381.23 45.2761
3381.32 31.3595
3381.40 22.4169
3381.49 16.5156
3381.57 12.6045
3381.74 7.91976
3381.91 5.40494
3382.08 3.90208
3382.25 2.94809
3382.60 1.84544
3382.94 1.25975
3383.28 0.914489
3383.62 0.693679
3383.96 0.544065
3384.64 0.360072
3385.33 0.255889
3386.01 0.191096
3386.69 0.148195
3388.06 0.0965918
3389.42 0.0679499
3390.79 0.0504228
3392.15 0.0389307
3394.88 0.0252555
3397.61 0.0177451
3400.34 0.0131819
3403.07 0.0102042
3408.53 0.00667959
3413.99 0.00475276
3424.91 0.00282315
3435.83 0.00192196
3446.74 0.00142791
3468.58 0.000929189
3512.26 0.000558063
3555.93 0.000416175
3643.28 0.000296787
3730.63 0.000241530
3905.33 0.000184937
4080.04 0.000155110
4429.44 0.000130333
4604.14 0.000148277
4691.49 0.000248839
4735.17 0.000659766
4757.00 0.00229548
4767.92 0.00873417
4770.65 0.0152988
4773.38 0.0336296
4774.75 0.0585648
4776.11 0.126660
4776.79 0.216695
4777.48 0.451356
4777.82 0.743663
