Y-91(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 76.1200
1.25000E-05 68.6855
1.50000E-05 63.1976
2.00000E-05 55.4944
2.75000E-05 48.1648
3.50000E-05 43.3410
4.25000E-05 39.8586
5.00000E-05 37.1927
6.25000E-05 33.8679
7.50000E-05 31.4136
0.000100000 27.9686
0.000125000 25.6177
0.000150000 23.8823
0.000200000 21.4463
0.000275000 19.1285
0.000350000 17.6031
0.000425000 16.5018
0.000500000 15.6588
0.000625000 14.6074
0.000750000 13.8313
0.00100000 12.7419
0.00125000 11.9985
0.00150000 11.4497
0.00200000 10.6794
0.00275000 9.94643
0.00350000 9.46406
0.00425000 9.11583
0.00500000 8.84923
0.00625000 8.51676
0.00750000 8.27134
0.0100000 7.92684
0.0125000 7.69175
0.0150000 7.51821
0.0200000 7.27461
0.0253000 7.10000
0.0314750 6.95517
0.0376500 6.84763
0.0500000 6.69585
0.0625000 6.59071
0.0750000 6.51310
0.100000 6.40416
0.125000 6.32981
0.150000 6.27494
0.200000 6.19790
0.275000 6.12461
0.350000 6.07637
0.500000 6.01489
0.750000 5.95711
1.00000 5.92266
1.50000 5.88180
2.00000 5.85744
2.75000 5.83426
3.50000 5.81901
5.00000 5.79957
7.50000 5.78130
10.0000 5.77041
15.0000 5.75749
20.0000 5.74978
27.5000 5.74246
35.0000 5.73763
50.0000 5.73149
75.0000 5.72571
100.000 5.72226
150.000 5.71818
200.000 5.71574
290.000 5.71307
380.000 5.71142
380.000 13.8978
400.000 13.7028
500.000 12.9149
600.000 12.3381
720.000 11.8160
800.000 11.5376
1000.00 11.0005
1250.00 10.5290
1500.00 10.1883
1700.00 9.97582
2000.00 9.72450
2500.00 9.42177
3000.00 9.20832
3500.00 9.05011
4000.00 8.92871
5000.00 8.75673
6000.00 8.64312
7000.00 8.56499
8000.00 8.51030
10000.0 8.44402
12500.0 8.40811
15000.0 8.40016
17000.0 8.40534
20000.0 8.42446
25000.0 8.47236
30000.0 8.52895
35000.0 8.58780
40000.0 8.64625
50000.0 8.75748
60000.0 8.85841
70000.0 8.94856
80000.0 9.02863
99999.9 9.16208
100000 9.14896
150000 9.28981
200000 9.28209
250000 9.18631
300000 9.03897
500000 8.26988
561765 8.02522
660245 7.64978
700000 7.50486
750000 7.31838
800000 7.15884
850000 6.99040
900000 6.83970
936072 6.73101
1.00000E+06 6.54644
1.10004E+06 6.26517
1.20007E+06 6.03079
1.25000E+06 5.91542
1.31988E+06 5.76212
1.31989E+06 5.76210
1.40497E+06 5.58324
1.49005E+06 5.42544
1.49005E+06 5.42543
1.50000E+06 5.40725
1.56305E+06 5.29553
1.56305E+06 5.29552
1.56518E+06 5.29187
1.59743E+06 5.23713
1.59743E+06 5.23713
1.67372E+06 5.11029
1.75000E+06 4.99789
1.83607E+06 4.87502
1.92213E+06 4.76368
2.00000E+06 4.66788
2.00237E+06 4.66508
2.00238E+06 4.66507
2.08953E+06 4.56583
2.08953E+06 4.56583
2.15272E+06 4.49854
2.15272E+06 4.49854
2.18700E+06 4.46343
2.18700E+06 4.46343
2.23118E+06 4.41967
2.23119E+06 4.41966
2.30469E+06 4.35039
2.30469E+06 4.35038
2.37183E+06 4.29069
2.43896E+06 4.23456
2.43897E+06 4.23456
2.50145E+06 4.18508
2.50145E+06 4.18508
2.55807E+06 4.14253
2.55807E+06 4.14253
2.59852E+06 4.11342
2.60064E+06 4.11192
2.65974E+06 4.07155
2.71884E+06 4.03298
2.81085E+06 3.97734
2.90185E+06 3.92821
2.99284E+06 3.88158
2.99284E+06 3.88158
3.00000E+06 3.87820
3.01306E+06 3.87207
3.01307E+06 3.87207
3.04593E+06 3.85724
3.07879E+06 3.84267
3.10660E+06 3.83105
