Zr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.501620
1.25000E-05 0.448663
1.50000E-05 0.409571
2.00000E-05 0.354699
2.75000E-05 0.302488
3.50000E-05 0.268127
4.25000E-05 0.243321
5.00000E-05 0.224331
6.25000E-05 0.200648
7.50000E-05 0.183166
0.000100000 0.158626
0.000125000 0.141880
0.000150000 0.129518
0.000200000 0.112166
0.000275000 0.0956552
0.000350000 0.0847892
0.000425000 0.0769450
0.000500000 0.0709398
0.000625000 0.0634505
0.000750000 0.0579221
0.00100000 0.0501620
0.00125000 0.0448663
0.00150000 0.0409571
0.00200000 0.0354699
0.00275000 0.0302488
0.00350000 0.0268127
0.00425000 0.0243322
0.00500000 0.0224332
0.00625000 0.0200648
0.00750000 0.0183166
0.0100000 0.0158627
0.0125000 0.0141880
0.0150000 0.0129518
0.0200000 0.0112166
0.0253000 0.00997281
0.0314750 0.00894120
0.0376500 0.00817517
0.0500000 0.00709408
0.0625000 0.00634516
0.0750000 0.00579233
0.100000 0.00501635
0.125000 0.00448679
0.150000 0.00409589
0.200000 0.00354720
0.275000 0.00302512
0.350000 0.00268154
0.500000 0.00224364
0.750000 0.00183206
1.00000 0.00158672
1.50000 0.00129574
2.00000 0.00112231
2.75000 0.000957318
3.50000 0.000848757
5.00000 0.000710432
7.50000 0.000580488
10.0000 0.000503084
15.0000 0.000411367
20.0000 0.000356776
27.5000 0.000304929
35.0000 0.000270886
50.0000 0.000227643
75.0000 0.000187251
100.000 0.000163378
150.000 0.000135423
200.000 0.000119086
275.000 0.000103958
350.000 9.43781E-05
500.000 8.29765E-05
750.000 7.40303E-05
1000.00 7.06946E-05
1500.00 7.28673E-05
2000.00 8.61328E-05
2461.74 0.000117160
2692.61 0.000148594
2923.48 0.000205717
3154.35 0.000326488
3269.79 0.000445598
3385.22 0.000661037
3442.94 0.000841527
3500.66 0.00111612
3558.37 0.00156466
3616.09 0.00237460
3644.95 0.00305153
3673.81 0.00407844
3702.67 0.00574820
3731.53 0.00874052
3745.96 0.0112208
3760.38 0.0149500
3774.81 0.0209371
3782.03 0.0253950
3785.64 0.0281818
3789.24 0.0314573
3792.85 0.0353436
3796.46 0.0400000
3798.26 0.0426833
3800.07 0.0456470
3801.87 0.0489314
3803.67 0.0525824
3805.48 0.0566609
3807.28 0.0612338
3810.89 0.0722089
3814.50 0.0864204
3818.10 0.105268
3821.71 0.131000
3825.32 0.167358
