Zr-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 5.99926
1.25000E-05 5.94630
1.50000E-05 5.90721
2.00000E-05 5.85234
2.75000E-05 5.80013
3.50000E-05 5.76577
4.25000E-05 5.74096
5.00000E-05 5.72197
6.25000E-05 5.69829
7.50000E-05 5.68081
0.000100000 5.65627
0.000125000 5.63952
0.000150000 5.62716
0.000200000 5.60981
0.000275000 5.59330
0.000350000 5.58243
0.000425000 5.57459
0.000500000 5.56858
0.000625000 5.56109
0.000750000 5.55556
0.00100000 5.54780
0.00125000 5.54251
0.00150000 5.53860
0.00200000 5.53311
0.00275000 5.52789
0.00350000 5.52445
0.00425000 5.52197
0.00500000 5.52007
0.00625000 5.51771
0.00750000 5.51596
0.0100000 5.51350
0.0125000 5.51183
0.0150000 5.51059
0.0200000 5.50886
0.0253000 5.50761
0.0314750 5.50658
0.0376500 5.50581
0.0500000 5.50473
0.0625000 5.50398
0.0750000 5.50343
0.100000 5.50265
0.125000 5.50212
0.150000 5.50172
0.200000 5.50117
0.275000 5.50064
0.350000 5.50029
0.500000 5.49984
0.750000 5.49941
1.00000 5.49915
1.50000 5.49882
2.00000 5.49860
2.75000 5.49838
3.50000 5.49821
5.00000 5.49795
7.50000 5.49761
10.0000 5.49733
15.0000 5.49684
20.0000 5.49638
27.5000 5.49571
35.0000 5.49507
50.0000 5.49380
75.0000 5.49170
100.000 5.48960
150.000 5.48536
200.000 5.48107
275.000 5.47451
350.000 5.46778
500.000 5.45378
750.000 5.42859
1000.00 5.40059
1500.00 5.33296
2000.00 5.24023
2461.74 5.11051
2692.61 5.01431
2923.48 4.87742
3154.35 4.66156
3269.79 4.49636
3385.22 4.25789
3442.94 4.09337
3500.66 3.88079
3558.37 3.59525
3616.09 3.19168
3644.95 2.92075
3673.81 2.58118
3702.67 2.14600
3731.53 1.57774
3745.96 1.23135
3760.38 0.843301
3774.81 0.434778
3782.03 0.245292
3785.64 0.163412
3789.24 0.0966071
3792.85 0.0523204
3796.46 0.0412398
3798.26 0.0527302
3800.07 0.0788102
3801.87 0.122566
3803.67 0.187726
3805.48 0.278999
3807.28 0.402086
3810.89 0.773865
3814.50 1.38496
3818.10 2.36811
3821.71 3.94735
3825.32 6.51576
3828.92 10.8079
3832.53 18.2904
3836.14 32.1631
3837.94 43.5758
3839.75 60.1613
3841.55 85.0138
3843.35 123.389
3845.16 184.337
3846.96 281.575
3849.48 496.027
3852.00 679.316
3854.52 592.626
3857.04 402.521
3859.40 275.193
3861.75 196.714
3864.11 147.811
3866.46 115.971
3871.17 78.7395
3875.88 58.6252
3880.60 46.4497
3885.31 38.4525
3894.73 28.7948
3904.15 23.2924
3913.57 19.7941
3922.99 17.3955
3932.41 15.6592
3951.26 13.3287
3960.68 12.5134
3970.10 11.8493
3979.52 11.3014
3984.23 11.0647
3988.94 10.8529
3993.65 10.6723
3996.01 10.6012
3998.36 10.5557
3999.54 10.5510
4000.72 10.5686
4001.90 10.6266
4003.08 10.7672
4003.66 10.8988
4004.25 11.1079
4004.84 11.4571
4005.43 12.0857
4005.73 12.6041
4006.02 13.3693
4006.31 14.5710
4006.61 16.5899
4006.90 20.3859
4007.05 23.6427
4007.20 28.6892
4007.34 37.0542
4007.49 52.1769
4007.57 64.6646
4007.64 82.5790
4007.71 109.578
4007.79 149.102
4007.89 232.948
4008.00 288.159
4008.11 232.110
4008.22 149.086
4008.34 90.4858
4008.46 60.2560
4008.58 43.7369
4008.70 34.0090
4008.82 27.8807
4008.94 23.7994
4009.18 18.9001
4009.43 16.1880
4009.67 14.5471
4010.15 12.7377
4010.64 11.8111
4011.12 11.2730
4011.61 10.9298
4012.09 10.6954
4013.06 10.3995
4014.03 10.2211
4015.00 10.1000
4015.96 10.0104
4017.90 9.88069
4019.84 9.78456
4023.71 9.63571
4027.59 9.51328
4031.46 9.40428
4039.21 9.21003
4046.96 9.03736
4054.71 8.88100
4070.20 8.60674
4085.70 8.37307
4101.20 8.17128
4132.19 7.84007
4163.18 7.57942
4194.18 7.36887
4256.16 7.04933
4318.15 6.81798
4380.14 6.64238
4504.11 6.39249
4628.08 6.22197
4752.05 6.09705
5000.00 5.92334
5281.18 5.79157
5562.36 5.69519
5843.54 5.61847
6124.72 5.55354
6405.90 5.49619
6546.49 5.46972
6687.08 5.44481
6757.37 5.43318
6827.67 5.42246
6897.96 5.41333
6968.26 5.40748
7003.41 5.40705
7038.55 5.40992
7073.70 5.41897
7108.85 5.44117
7126.42 5.46234
7144.00 5.49671
7161.57 5.55575
7179.14 5.66660
7187.93 5.76135
7196.72 5.90706
7205.50 6.14687
7214.29 6.58124
7218.68 6.94381
7223.08 7.49124
7227.47 8.37372
7231.86 9.92940
7234.06 11.1954
7236.26 13.0621
7238.45 15.9762
7240.65 20.8837
7242.85 30.0963
7243.95 38.0430
7245.04 50.4038
7246.14 71.0341
7247.24 108.633
7247.79 139.706
7248.34 185.280
7248.89 253.737
7249.44 356.573
7250.22 568.226
7251.00 709.714
7251.78 568.665
7252.56 357.251
7253.34 222.154
7254.12 146.505
7254.90 102.791
7255.68 76.0820
7256.46 58.7720
7257.24 47.0292
7258.80 32.6423
7260.36 24.5539
7261.92 19.5783
7265.04 14.0449
7268.15 11.2054
7271.27 9.55912
7274.39 8.52067
7277.51 7.82383
7283.74 6.97557
7289.98 6.49815
7296.22 6.20276
7302.45 6.00712
7314.92 5.77161
7327.40 5.64000
7339.87 5.55854
7352.34 5.50423
7377.28 5.43765
7402.23 5.39888
7427.17 5.37346
7452.12 5.35525
7502.00 5.32994
7551.89 5.31199
7601.78 5.29758
7651.67 5.28506
7751.44 5.26297
7851.22 5.24279
8050.77 5.20478
8250.32 5.16857
8350.10 5.15164
8449.88 5.13683
8499.76 5.13115
8549.65 5.12782
8599.54 5.12897
8649.43 5.13977
8674.37 5.15259
8699.32 5.17513
8724.26 5.21583
8749.20 5.29453
8761.68 5.36261
8774.15 5.46772
8786.62 5.64078
8799.09 5.95310
8805.33 6.21219
8811.56 6.60078
8817.80 7.22075
8824.04 8.29724
8830.27 10.4111
8833.39 12.3242
8836.51 15.4527
8839.63 21.0619
8841.19 25.6784
8842.74 32.5233
8844.30 43.1979
8845.86 60.8689
8847.42 92.0321
8848.98 148.888
8850.49 235.908
8852.00 294.222
8853.51 236.186
8855.02 149.318
8856.46 95.7742
8857.90 65.0183
8859.33 46.9100
8860.77 35.6686
8862.21 28.3143
8863.64 23.2784
8866.52 17.0619
8869.39 13.5368
8872.27 11.3569
8878.01 8.91879
8883.76 7.66038
8889.51 6.92790
8895.26 6.46424
8901.01 6.15211
8912.50 5.77042
8924.00 5.55412
8935.50 5.41922
8946.99 5.32902
8969.99 5.21853
8992.98 5.15478
9015.98 5.11361
9038.97 5.08470
9084.96 5.04583
9130.94 5.01948
9176.93 4.99908
9222.92 4.98185
9314.89 4.95206
9406.86 4.92504
9498.84 4.89890
9544.83 4.88581
9567.82 4.87957
9579.32 4.87920
9585.06 4.89259
9587.94 4.95488
9588.66 5.01781
9589.38 5.18398
9589.74 5.39213
9590.09 5.88492
9590.27 6.42923
9590.45 7.51608
9590.54 8.51309
9590.63 10.1288
9590.72 12.8914
9590.81 17.6959
9590.91 25.4741
9591.00 30.7859
9591.09 25.6883
9591.19 17.9632
9591.29 12.7472
9591.39 9.90450
9591.49 8.30822
9591.59 7.34991
9591.79 6.32542
9591.99 5.82667
9592.39 5.37507
9592.78 5.18395
9593.58 5.02795
9594.38 4.96683
9597.58 4.90037
9603.96 4.87919
9616.74 4.86964
9642.29 4.86044
9693.39 4.84520
9795.59 4.81544
10000.0 4.75377
10276.9 4.66291
10553.7 4.56078
11107.4 4.30718
11661.1 3.94228
11938.0 3.68416
12076.4 3.52419
12111.0 3.47999
12145.6 3.43390
12180.2 3.38592
12197.5 3.36227
12206.2 3.35543
12210.5 3.37308
12212.7 3.45990
12213.2 3.54422
12213.7 3.75745
12214.0 4.01056
12214.3 4.57268
12214.5 6.20153
12214.7 8.49424
12214.8 10.6145
12214.8 13.4880
12214.9 19.8339
12215.0 23.6803
12215.1 19.9071
12215.2 13.5274
12215.3 8.57547
12215.5 6.26602
12215.7 4.61591
12216.0 4.04171
12216.3 3.78090
12216.8 3.55574
12217.4 3.46672
12219.5 3.36693
12223.9 3.33285
12232.6 3.31192
12250.1 3.28279
12284.9 3.22627
12354.7 3.10561
12494.1 2.82176
12633.6 2.46014
12773.0 1.98307
12842.8 1.68385
12912.5 1.33279
12982.2 0.924131
13052.0 0.471126
13086.8 0.251330
13104.3 0.154687
13121.7 0.0763255
13130.4 0.0474231
13139.2 0.0279311
13147.9 0.0203550
13156.6 0.0278228
13165.3 0.0543208
13174.0 0.104821
13182.7 0.185882
13191.4 0.305604
13200.2 0.475032
13208.9 0.708171
13217.6 1.02369
13226.3 1.44600
13243.7 2.75983
13261.2 5.10401
13278.6 9.39146
13287.3 12.8016
13296.0 17.5589
13304.8 24.3037
13313.5 33.9681
13322.2 47.9620
13330.9 68.0884
13348.0 130.112
13365.0 191.247
13373.5 194.163
13382.1 177.524
13399.1 127.444
13412.8 95.5672
13426.4 73.6725
13440.1 58.7922
13453.7 48.4323
13481.1 35.4338
13508.4 27.8985
13535.7 23.1013
13563.0 19.8293
13617.6 15.7107
13672.2 13.2560
13726.9 11.6391
13836.1 9.64666
13945.4 8.46309
14054.6 7.67114
14273.1 6.65178
