Mo-92(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4.01697
1.25000E-05 3.59288
1.50000E-05 3.27984
2.00000E-05 2.84042
2.75000E-05 2.42232
3.50000E-05 2.14716
4.25000E-05 1.94852
5.00000E-05 1.79644
6.25000E-05 1.60679
7.50000E-05 1.46679
0.000100000 1.27028
0.000125000 1.13617
0.000150000 1.03718
0.000200000 0.898221
0.000275000 0.766005
0.000350000 0.678991
0.000425000 0.616174
0.000500000 0.568085
0.000625000 0.508110
0.000750000 0.463839
0.00100000 0.401696
0.00125000 0.359288
0.00150000 0.327983
0.00200000 0.284042
0.00275000 0.242232
0.00350000 0.214715
0.00425000 0.194851
0.00500000 0.179643
0.00625000 0.160678
0.00750000 0.146678
0.0100000 0.127026
0.0125000 0.113616
0.0150000 0.103716
0.0200000 0.0898202
0.0253000 0.0798594
0.0314750 0.0715980
0.0376500 0.0654634
0.0500000 0.0568054
0.0625000 0.0508077
0.0750000 0.0463802
0.100000 0.0401654
0.125000 0.0359240
0.150000 0.0327931
0.200000 0.0283982
0.275000 0.0242161
0.350000 0.0214636
0.500000 0.0179548
0.750000 0.0146561
1.00000 0.0126892
1.50000 0.0103552
2.00000 0.00896306
2.75000 0.00763764
3.50000 0.00676467
5.00000 0.00565078
7.50000 0.00460179
10.0000 0.00397496
15.0000 0.00322902
20.0000 0.00278248
27.5000 0.00235567
35.0000 0.00207345
50.0000 0.00171196
75.0000 0.00137107
100.000 0.00116956
150.000 0.000943837
200.000 0.000847384
236.730 0.000861203
273.459 0.00105618
291.824 0.00138257
301.007 0.00172145
310.189 0.00235112
314.780 0.00288768
319.371 0.00371385
323.963 0.00508109
328.554 0.00758869
330.849 0.00971309
333.145 0.0129750
335.441 0.0183609
337.736 0.0282172
338.884 0.0365517
340.032 0.0493260
341.180 0.0703652
342.327 0.108719
342.901 0.141020
343.475 0.190324
344.049 0.271058
344.623 0.416967
344.910 0.538795
345.197 0.723055
345.484 1.02123
345.771 1.55036
345.914 1.98429
346.058 2.62922
346.201 3.64732
346.345 5.38998
346.488 8.74900
346.560 11.7336
346.632 16.5112
346.704 24.8443
346.775 41.0830
346.811 55.4986
346.847 78.0889
346.865 94.3643
346.883 115.283
346.901 142.364
346.919 177.086
346.939 226.758
346.959 283.217
347.000 353.911
347.020 333.010
347.041 282.903
347.082 176.826
347.119 113.015
347.156 75.6418
347.194 53.2072
347.231 39.1520
347.306 23.4629
347.380 15.5217
347.455 10.9869
347.530 8.17186
347.679 5.01735
347.828 3.38583
347.978 2.43682
348.127 1.83675
348.276 1.43357
348.575 0.942424
348.874 0.666260
349.172 0.495779
349.471 0.383259
350.068 0.248596
350.666 0.174211
351.263 0.128836
351.860 0.0991487
353.055 0.0639489
354.250 0.0446783
355.444 0.0329996
356.639 0.0253938
359.028 0.0164197
361.418 0.0115316
363.807 0.00857960
366.196 0.00666223
370.975 0.00440629
375.754 0.00318064
380.533 0.00244152
385.311 0.00196161
394.869 0.00139633
404.426 0.00108784
423.541 0.000777098
442.656 0.000628623
461.770 0.000544014
500.000 0.000451757
625.000 0.000339318
750.000 0.000293871
1000.00 0.000255810
1217.17 0.000252267
1434.33 0.000274361
1542.92 0.000302788
1651.50 0.000366871
1705.79 0.000443184
1760.09 0.000642523
1787.23 0.000910913
1814.38 0.00166515
1827.95 0.00271371
1841.52 0.00569574
1848.31 0.00985207
1851.70 0.0140151
1855.10 0.0216437
1858.49 0.0380012
1860.19 0.0543208
1861.88 0.0840575
1862.73 0.109130
1863.58 0.147346
1864.43 0.209876
1865.28 0.322730
1865.70 0.417061
1866.12 0.559294
1866.55 0.788885
1866.97 1.19513
1867.18 1.52706
1867.40 2.01871
1867.61 2.79122
1867.82 4.10579
1868.03 6.61182
1868.14 8.81175
1868.24 12.2965
1868.35 18.2610
1868.46 29.5884
1868.51 39.3481
1868.56 54.2573
1868.62 77.8413
1868.67 115.447
1868.73 184.940
1868.80 231.362
1868.87 184.943
1868.93 115.453
1869.00 71.9977
1869.06 47.2657
1869.12 32.8251
1869.19 23.9168
1869.25 18.1166
1869.32 14.1595
1869.44 9.29429
1869.57 6.54806
1869.70 4.85450
1869.96 2.96733
1870.21 1.99759
1870.47 1.43518
1870.72 1.08049
1870.98 0.842630
1871.49 0.553475
1872.00 0.391148
1872.52 0.291042
1873.03 0.224996
1874.05 0.146026
1875.08 0.102414
1876.10 0.0758185
1877.12 0.0584136
1879.17 0.0377728
1881.22 0.0264658
1885.32 0.0151386
1889.41 0.00985926
1893.51 0.00697896
1901.70 0.00410462
1918.08 0.00204481
1934.47 0.00132539
1967.23 0.000820726
2000.00 0.000656983
2080.62 0.000576889
2161.23 0.000657551
2201.54 0.000779080
2241.85 0.00109680
2262.01 0.00151954
2282.16 0.00269761
2292.24 0.00432803
2302.31 0.00895004
2307.35 0.0153755
2309.87 0.0217988
2312.39 0.0335456
2314.91 0.0586715
2316.17 0.0836570
2317.43 0.129014
2318.06 0.167101
