Mo-95(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 680.158
1.25000E-05 608.996
1.50000E-05 556.465
2.00000E-05 482.730
2.58114E-05 425.656
3.16228E-05 385.149
4.08114E-05 339.760
5.00000E-05 307.545
6.25000E-05 275.720
7.50000E-05 252.228
0.000100000 219.252
0.000125000 196.749
0.000150000 180.137
0.000200000 156.820
0.000258114 138.771
0.000316228 125.962
0.000408114 111.608
0.000500000 101.421
0.000625000 91.3571
0.000750000 83.9280
0.00100000 73.5000
0.00125000 66.3835
0.00150000 61.1302
0.00200000 53.7563
0.00258114 48.0485
0.00316228 43.9974
0.00408114 39.4580
0.00500000 36.2361
0.00625000 33.0530
0.00750000 30.7032
0.0100000 27.4047
0.0125000 25.1534
0.0150000 23.4915
0.0200000 21.1582
0.0253000 19.4853
0.0316228 18.0693
0.0408114 16.6318
0.0500000 15.6110
0.0625000 14.6020
0.0750000 13.8567
0.100000 12.8093
0.125000 12.0934
0.150000 11.5640
0.200000 10.8189
0.258114 10.2397
0.316228 9.82665
0.408114 9.36068
0.500000 9.02699
0.750000 8.44427
1.00000 8.08680
1.50000 7.64375
2.00000 7.36190
2.58114 7.12772
3.16228 6.94833
4.08114 6.72749
5.00000 6.55197
7.50000 6.18971
9.99999 5.91037
10.0000 5.91037
10.0001 5.91036
10.0001 5.91036
10.0003 5.91034
10.0005 5.91032
10.0011 5.91026
10.0021 5.91016
10.0042 5.90995
10.0083 5.90953
10.0165 5.90868
10.0331 5.90700
10.0661 5.90363
10.1322 5.89692
10.2644 5.88358
10.5288 5.85720
11.0577 5.80552
12.1153 5.70596
12.1153 5.70596
12.1154 5.70595
12.1155 5.70594
12.1156 5.70593
12.1159 5.70590
12.1166 5.70584
12.1178 5.70572
12.1203 5.70549
12.1253 5.70503
12.1353 5.70411
12.1554 5.70227
12.1954 5.69860
12.2755 5.69126
12.4357 5.67666
12.7560 5.64771
13.3967 5.59077
14.6780 5.48009
14.6780 5.48008
14.6781 5.48008
14.6781 5.48008
14.6782 5.48007
14.6784 5.48005
14.6788 5.48002
14.6795 5.47995
14.6811 5.47983
14.6841 5.47957
14.6901 5.47905
14.7023 5.47802
14.7265 5.47597
14.7750 5.47185
14.8721 5.46364
15.0661 5.44727
15.4542 5.41474
16.2304 5.35043
17.7828 5.22430
17.7828 5.22430
17.7829 5.22429
17.7830 5.22429
17.7831 5.22428
17.7834 5.22425
17.7839 5.22421
17.7850 5.22412
17.7872 5.22395
17.7915 5.22360
17.8001 5.22291
17.8175 5.22152
17.8521 5.21874
17.9214 5.21318
18.0600 5.20208
18.3371 5.17993
18.8914 5.13587
20.0000 5.04862
21.5443 4.92901
21.5443 4.92901
21.5444 4.92900
21.5445 4.92900
21.5446 4.92899
21.5449 4.92896
21.5454 4.92892
21.5465 4.92884
21.5488 4.92867
21.5532 4.92832
21.5621 4.92764
21.5799 4.92628
21.6155 4.92355
21.6867 4.91810
21.8291 4.90722
22.1140 4.88554
22.6836 4.84251
23.8230 4.75811
26.1016 4.60006
26.1016 4.60006
26.1017 4.60005
26.1017 4.60005
26.1018 4.60004
26.1020 4.60003
26.1023 4.60001
26.1030 4.59997
26.1043 4.59988
26.1070 4.59971
26.1124 4.59936
26.1232 4.59866
26.1448 4.59727
26.1879 4.59450
26.2742 4.58898
26.4467 4.57808
26.7918 4.55683
27.4819 4.51694
28.8622 4.45142
31.6228 4.43048
31.6228 4.43048
31.6229 4.43049
31.6229 4.43049
31.6230 4.43049
31.6232 4.43050
31.6236 4.43051
31.6245 4.43054
31.6261 4.43060
31.6294 4.43073
31.6359 4.43097
31.6489 4.43146
31.6751 4.43247
31.7273 4.43458
31.8319 4.43918
32.0409 4.45002
32.4590 4.47892
33.2951 4.57235
34.9674 4.98292
36.6396 5.98622
38.3119 8.45830
38.3119 8.45834
38.3120 8.45846
38.3120 8.45857
38.3121 8.45878
38.3123 8.45921
38.3127 8.46009
38.3134 8.46181
38.3149 8.46528
38.3179 8.47221
38.3240 8.48612
38.3360 8.51409
38.3601 8.57063
38.4084 8.68621
38.5048 8.92767
38.6977 9.45540
39.0836 10.7227
39.8552 14.4761
40.6268 21.0943
41.0127 26.3600
41.3985 33.8680
41.7843 44.9781
42.1701 62.2196
42.5559 90.7197
42.9417 142.130
43.1346 184.546
43.3276 247.590
43.5205 346.578
43.7134 513.785
43.9063 826.482
44.0027 1094.16
44.0992 1505.81
44.1957 2179.46
44.2921 3370.52
44.3886 5676.67
44.4368 7631.78
44.4850 10442.8
44.5625 16879.6
44.6400 21303.0
44.7175 17207.5
44.7950 10866.2
44.8457 7927.52
44.8963 5901.20
44.9976 3534.47
45.0989 2320.80
45.2002 1634.54
45.3015 1213.29
45.4028 937.539
45.6055 611.252
45.8081 433.075
46.0107 325.132
46.2133 254.696
46.4159 206.108
46.4159 206.104
46.4160 206.092
46.4160 206.081
46.4161 206.059
46.4164 206.015
46.4168 205.927
46.4177 205.750
46.4194 205.399
46.4229 204.700
46.4299 203.314
46.4439 200.589
46.4719 195.316
46.5279 185.434
46.6399 167.994
46.8639 140.363
47.3119 103.693
47.7600 81.0154
48.2080 65.9306
49.1040 47.5808
50.0000 37.1400
50.7793 31.2706
51.5585 27.1140
53.1171 21.6973
54.6756 18.3781
56.2341 16.1644
56.2341 16.1644
56.2342 16.1643
56.2342 16.1643
56.2343 16.1642
56.2345 16.1640
56.2348 16.1635
56.2356 16.1627
56.2370 16.1610
56.2399 16.1575
56.2457 16.1507
56.2574 16.1371
56.2806 16.1099
56.3271 16.0559
56.4200 15.9495
56.6058 15.7431
56.9776 15.3537
57.7210 14.6575
59.2079 13.5260
62.1817 11.9486
65.1554 10.9067
68.1292 10.1694
68.1292 10.1694
68.1293 10.1694
68.1293 10.1694
68.1294 10.1694
68.1297 10.1693
68.1301 10.1692
68.1310 10.1690
68.1327 10.1687
68.1363 10.1679
68.1433 10.1664
68.1574 10.1635
68.1855 10.1575
68.2418 10.1457
68.3544 10.1223
68.5796 10.0762
69.0299 9.98695
69.9306 9.81939
71.7320 9.52221
75.3348 9.04455
