Pd-102(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 97.6398
1.25000E-05 87.9627
1.50000E-05 80.8195
2.00000E-05 70.7926
2.75000E-05 61.2520
3.50000E-05 54.9731
4.25000E-05 50.4403
5.00000E-05 46.9702
6.25000E-05 42.6425
7.50000E-05 39.4479
0.000100000 34.9638
0.000125000 31.9036
0.000150000 29.6447
0.000200000 26.4739
0.000275000 23.4569
0.000350000 21.4713
0.000425000 20.0379
0.000500000 18.9406
0.000625000 17.5720
0.000750000 16.5618
0.00100000 15.1437
0.00125000 14.1760
0.00150000 13.4616
0.00200000 12.4589
0.00275000 11.5048
0.00350000 10.8768
0.00425000 10.4235
0.00500000 10.0764
0.00625000 9.64360
0.00750000 9.32407
0.0100000 8.87552
0.0125000 8.56939
0.0150000 8.34339
0.0200000 8.02610
0.0253000 7.79861
0.0314750 7.60988
0.0376500 7.46969
0.0500000 7.27174
0.0625000 7.13450
0.0750000 7.03312
0.100000 6.89064
0.125000 6.79322
0.150000 6.72116
0.200000 6.61969
0.275000 6.52258
0.350000 6.45816
0.500000 6.37500
0.750000 6.29481
1.00000 6.24521
1.50000 6.18288
2.00000 6.14238
2.75000 6.09951
3.50000 6.06739
5.00000 6.01860
7.50000 5.95808
10.0000 5.90958
15.0000 5.82973
20.0000 5.76252
27.5000 5.67527
35.0000 5.59822
50.0000 5.46095
75.0000 5.24678
100.000 5.00563
122.635 4.70621
133.953 4.49431
145.271 4.20271
150.929 4.00876
156.588 3.76550
162.247 3.45106
167.906 3.03145
170.735 2.76781
173.565 2.46134
176.394 2.11654
179.223 1.77896
180.638 1.66685
182.053 1.68108
182.760 1.78591
183.114 1.87881
183.468 2.00840
183.644 2.09006
183.821 2.18486
183.998 2.29468
184.175 2.42144
184.352 2.56762
184.529 2.73581
184.705 2.92927
184.882 3.15171
185.059 3.40767
185.236 3.70202
185.590 4.43208
185.943 5.40639
186.297 6.71802
186.651 8.50673
187.004 10.9851
187.358 14.4909
187.712 19.5804
188.065 27.2273
188.419 39.2297
188.773 59.2050
189.126 95.2379
189.303 124.827
189.480 168.410
189.657 235.915
189.834 347.260
190.011 547.700
190.099 712.105
190.187 954.180
190.276 1326.92
190.364 1930.96
190.453 2961.39
190.541 4759.87
190.636 7770.19
190.730 9906.41
190.825 8082.21
190.919 5151.98
190.990 3615.52
191.061 2610.63
191.132 1950.44
191.203 1505.71
191.345 971.661
191.487 680.019
191.629 504.721
191.770 391.397
192.054 258.555
192.338 186.344
192.622 142.543
192.906 113.840
193.189 93.9271
193.757 68.6286
194.324 53.6146
194.892 43.8736
195.460 37.1399
196.595 28.5757
197.730 23.4524
198.865 20.0910
200.000 17.7373
201.730 15.2751
203.459 13.6086
206.918 11.5138
210.377 10.2601
213.836 9.42912
217.295 8.83883
220.754 8.39795
227.672 7.78237
234.591 7.37116
241.509 7.07485
255.345 6.66977
269.181 6.39666
283.017 6.19005
310.690 5.86281
338.362 5.54578
352.198 5.35330
366.034 5.10320
372.952 4.94007
379.871 4.73532
386.789 4.46658
393.707 4.09358
397.166 3.84594
400.625 3.53782
404.084 3.14636
407.543 2.64232
409.273 2.34129
411.002 2.01440
412.732 1.69622
414.461 1.51470
415.326 1.59539
415.542 1.65210
415.758 1.72971
415.974 1.83259
416.191 1.96610
416.407 2.13712
416.623 2.35402
416.839 2.62744
417.055 2.97092
417.272 3.40184
417.488 3.94273
417.704 4.62316
417.920 5.48197
418.136 6.57286
418.352 7.96793
418.569 9.76814
418.785 12.1171
419.001 15.2237
419.217 19.4006
419.433 25.1298
419.650 33.1787
419.866 44.8456
420.082 62.4080
420.298 90.1734
420.514 137.001
420.731 223.249
420.839 295.359
420.947 403.168
421.055 572.163
421.163 852.083
421.271 1342.94
421.379 2227.88
421.490 3678.65
421.600 4743.32
421.711 3913.06
421.821 2521.45
421.897 1832.03
421.974 1362.36
422.050 1042.65
422.126 820.940
422.279 546.329
422.432 391.479
422.585 296.250
422.737 233.607
423.043 158.774
