Ag-107(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1897.95
1.25000E-05 1697.58
1.50000E-05 1549.67
2.00000E-05 1342.05
2.75000E-05 1144.51
3.50000E-05 1014.50
4.25000E-05 920.638
5.00000E-05 848.786
6.25000E-05 759.176
7.50000E-05 693.028
0.000100000 600.178
0.000125000 536.814
0.000150000 490.040
0.000200000 424.384
0.000275000 361.912
0.000350000 320.797
0.000425000 291.116
0.000500000 268.393
0.000625000 240.053
0.000750000 219.134
0.00100000 189.769
0.00125000 169.728
0.00150000 154.935
0.00200000 134.168
0.00275000 114.406
0.00350000 101.400
0.00425000 92.0089
0.00500000 84.8190
0.00625000 75.8509
0.00750000 69.2298
0.0100000 59.9336
0.0125000 53.5872
0.0150000 48.9009
0.0200000 42.3194
0.0253000 37.5983
0.0314750 33.6796
0.0376500 30.7672
0.0500000 26.6519
0.0625000 23.7962
0.0750000 21.6847
0.100000 18.7136
0.125000 16.6794
0.150000 15.1731
0.200000 13.0492
0.275000 11.0137
0.350000 9.66282
0.500000 7.92219
0.750000 6.25828
1.00000 5.24875
1.50000 4.03064
2.00000 3.29520
2.75000 2.59542
3.50000 2.14278
5.00000 1.59764
7.50000 1.18757
10.0000 1.14114
11.5568 1.36735
12.3351 1.65060
13.1135 2.19927
13.8919 3.39353
14.2811 4.57689
14.6703 6.70370
14.8649 8.46668
15.0594 11.1146
15.2540 15.3563
15.4486 22.7827
15.6432 37.6053
15.7405 51.2869
15.8378 74.1719
15.9351 116.698
15.9838 153.050
16.0324 209.063
16.0811 301.281
16.1297 466.372
16.1540 600.339
16.1784 793.352
16.2027 1077.04
16.2270 1492.66
16.2635 2379.42
16.3000 2965.58
16.3365 2373.42
16.3730 1485.46
16.4114 893.515
16.4497 570.967
16.4881 389.056
16.5264 279.624
16.5648 209.670
16.6032 162.601
16.6799 105.552
16.7566 73.8098
16.8333 54.4306
16.9868 33.0498
17.1402 22.1716
17.2936 15.9077
17.4471 11.9793
17.6005 9.35693
17.9074 6.18594
18.2143 4.41724
18.5211 3.33400
18.8280 2.67042
18.9000 2.59316
18.9720 2.41773
19.2290 2.00724
19.4860 1.72676
20.0000 1.33949
20.2280 1.26155
20.3000 1.28137
20.3720 1.19263
20.6126 1.04323
20.8532 0.954744
21.3343 0.818917
22.2966 0.640331
24.2211 0.460646
26.1457 0.381161
28.0703 0.347301
31.9194 0.365633
33.8439 0.427524
34.8062 0.483628
35.2874 0.523397
35.5279 0.551457
35.7685 0.655509
35.8400 0.751575
35.9115 0.671910
36.0861 0.619016
36.2607 0.633710
36.6099 0.684339
37.3083 0.830720
38.0067 1.06554
38.7052 1.47913
39.4036 2.32813
39.7528 3.14714
40.1020 4.59929
40.2766 5.79376
40.4512 7.57924
40.6258 10.4261
40.8004 15.3855
40.9750 25.2188
41.0623 34.2339
41.1496 49.2060
41.2369 76.7177
41.2806 99.9606
41.3242 135.354
41.3679 192.630
41.3897 235.235
41.4115 292.622
41.4333 371.771
41.4552 483.220
41.4770 642.680
41.4988 869.430
41.5344 1390.32
41.5700 1737.12
41.5878 1634.56
41.6056 1389.07
41.6412 867.913
41.6755 543.177
41.7098 357.605
41.7441 248.898
41.7784 181.689
41.8127 137.863
41.8470 107.934
41.9155 71.1064
41.9841 50.3094
42.0527 37.4872
42.1899 23.2201
42.3270 15.9246
42.4642 11.7496
42.6013 9.25180
42.7385 8.35102
42.8100 8.73814
42.8815 7.11867
43.0030 5.56974
43.1246 4.87315
43.3676 4.13882
43.6107 3.89461
43.8537 4.11041
44.0968 5.07346
44.2183 6.12827
44.3398 8.01371
44.4613 11.7067
44.5221 14.9867
44.5829 20.2152
44.6436 29.2200
44.7044 46.4398
44.7348 61.3729
44.7651 84.3249
44.7955 120.912
44.8259 179.765
44.8444 229.603
44.8630 286.513
44.9000 357.576
44.9371 286.257
44.9741 179.432
45.0134 108.008
45.0526 69.3667
45.0919 47.6691
45.1312 34.6581
45.1704 26.3541
45.2097 20.7746
45.2882 14.0176
45.3668 10.2609
45.4453 7.96896
45.6023 5.44563
45.7594 4.17193
45.9165 3.45182
46.2306 2.74347
46.8588 2.40316
47.4871 2.62785
48.1153 3.27887
48.7435 4.57388
49.3718 7.24635
49.6859 9.72007
50.0000 13.8412
50.1846 17.6832
50.3693 23.4372
50.5539 32.6124
50.6462 39.3954
50.7386 48.5573
50.8309 61.3532
50.9232 79.9784
51.0155 108.562
51.1078 155.604
51.1540 191.370
51.2002 240.824
51.2463 311.750
51.2925 418.118
51.3386 586.640
51.3848 871.966
51.4310 1391.68
51.4540 1808.12
51.4771 2380.50
51.5186 3806.16
51.5600 4754.54
51.6015 3802.40
51.6429 2376.12
51.6918 1346.37
51.7408 825.409
51.7897 547.240
51.8386 386.047
51.8876 285.662
51.9365 219.381
52.0343 140.535
52.1322 97.4335
52.2300 71.4233
52.4258 43.0167
52.6215 28.6938
52.8172 20.4893
53.0129 15.3598
53.2086 11.9421
53.6000 7.81528
53.9915 5.51446
54.3829 4.10225
54.7743 3.17373
55.5572 2.06717
56.3400 1.45779
57.1229 1.08667
57.9057 0.843913
59.4714 0.556154
61.0371 0.399628
62.6028 0.312967
63.3857 0.310511
63.5814 0.330937
63.7771 0.390360
63.8749 0.462488
63.9728 0.620942
64.0217 0.779974
64.0707 1.06631
64.1196 1.63971
64.1440 2.14352
64.1685 2.89049
64.2043 4.45637
64.2400 5.50499
64.2758 4.47744
64.3115 2.93214
64.3561 1.78443
64.4008 1.24600
64.4454 0.996491
64.4900 0.900508
64.5346 0.916067
64.5793 1.05905
64.6239 1.41956
64.6685 2.22313
64.7043 3.31941
64.7400 4.04785
64.7758 3.28944
64.8115 2.16021
64.8440 1.48344
64.8766 1.08163
64.9091 0.838054
64.9416 0.682905
65.0067 0.505977
65.0717 0.412941
65.2018 0.321565
65.3319 0.278095
65.8524 0.215110
66.8933 0.175935
68.9750 0.138851
71.0568 0.120329
72.0976 0.131608
72.3579 0.149135
72.6181 0.197570
72.7482 0.258259
72.8132 0.312749
72.8783 0.400739
72.9434 0.555290
73.0084 0.860132
73.0409 1.13330
73.0735 1.56709
