Cd-106(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 54.1436
1.25000E-05 48.9070
1.50000E-05 45.0414
2.00000E-05 39.6155
2.75000E-05 34.4527
3.50000E-05 31.0549
4.25000E-05 28.6020
5.00000E-05 26.7242
6.25000E-05 24.3823
7.50000E-05 22.6536
0.000100000 20.2271
0.000125000 18.5711
0.000150000 17.3487
0.000200000 15.6328
0.000275000 14.0002
0.000350000 12.9258
0.000425000 12.1501
0.000500000 11.5563
0.000625000 10.8157
0.000750000 10.2690
0.00100000 9.50164
0.00125000 8.97796
0.00150000 8.59140
0.00200000 8.04878
0.00275000 7.53248
0.00350000 7.19268
0.00425000 6.94737
0.00500000 6.75957
0.00625000 6.52534
0.00750000 6.35244
0.0100000 6.10973
0.0125000 5.94409
0.0150000 5.82181
0.0200000 5.65014
0.0253000 5.52707
0.0314750 5.42497
0.0376500 5.34914
0.0500000 5.24208
0.0625000 5.16788
0.0750000 5.11308
0.100000 5.03609
0.125000 4.98348
0.150000 4.94459
0.200000 4.88990
0.275000 4.83765
0.350000 4.80308
0.500000 4.75866
0.750000 4.71620
1.00000 4.69027
1.50000 4.65830
2.00000 4.63810
2.75000 4.61737
3.50000 4.60238
5.00000 4.58056
7.50000 4.55493
10.0000 4.53528
15.0000 4.50408
20.0000 4.47857
27.5000 4.44631
35.0000 4.41873
50.0000 4.37268
75.0000 4.31257
100.000 4.26462
125.000 4.22368
150.000 4.18684
200.000 4.11828
264.133 4.02644
296.199 3.97245
328.266 3.90717
360.332 3.82123
376.365 3.76432
392.398 3.69060
408.432 3.58622
416.448 3.51280
424.465 3.41316
428.473 3.34750
432.481 3.26538
436.490 3.15876
440.498 3.01370
442.502 2.91948
444.506 2.80489
446.510 2.66416
448.515 2.49371
449.517 2.40053
450.519 2.31213
451.521 2.25524
452.523 2.31125
453.024 2.45162
453.525 2.76417
454.026 3.43305
454.276 4.02269
454.402 4.42149
454.527 4.91439
454.652 5.52925
454.715 5.89364
454.778 6.30265
454.840 6.76449
454.903 7.28587
454.965 7.87726
455.028 8.55041
455.153 10.2036
455.279 12.3995
455.404 15.3830
455.529 19.5341
455.654 25.5024
455.780 34.4101
455.905 48.4078
456.030 71.8570
456.093 89.8889
456.155 114.882
456.218 150.744
456.281 204.310
456.343 288.439
456.406 427.799
456.468 672.934
456.531 1117.53
456.594 1833.83
456.657 2352.76
456.720 1932.15
456.783 1239.09
456.822 926.056
456.861 704.474
456.940 437.486
457.018 295.869
457.097 213.792
457.175 162.445
457.253 128.298
457.410 87.1602
457.567 64.1750
457.724 49.9914
458.037 33.9749
458.351 25.5066
458.664 20.4287
458.978 17.1094
459.291 14.8009
459.918 11.8458
460.545 10.0658
461.172 8.89170
461.799 8.06596
463.053 6.99070
464.308 6.32708
465.562 5.87917
466.816 5.55734
469.324 5.12612
471.832 4.84995
474.340 4.65699
476.848 4.51361
481.865 4.31220
486.881 4.17522
489.389 4.12272
491.897 4.08282
493.151 4.07333
493.778 4.07559
494.405 4.08888
495.032 4.12895
495.346 4.17312
495.659 4.25573
495.816 4.32523
495.973 4.42982
496.130 4.59673
496.286 4.88486
496.443 5.44424
496.522 5.94340
496.600 6.74567
496.678 8.15187
496.757 10.9178
496.796 13.3898
496.835 17.3081
496.874 23.8143
496.913 34.7702
496.957 53.2516
497.000 65.5288
497.043 53.2084
497.087 34.7365
497.132 22.4653
497.178 15.8013
497.223 12.0412
497.269 9.77732
497.315 8.32622
497.360 7.35139
497.451 6.16787
497.542 5.50714
497.633 5.10315
497.815 4.65525
497.997 4.42532
498.179 4.29146
498.361 4.20631
498.543 4.14847
498.908 4.07619
499.272 4.03338
500.000 3.98455
501.052 3.94633
502.104 3.92129
504.207 3.88416
508.415 3.82534
516.829 3.72354
533.659 3.52931
550.488 3.31002
567.318 3.02445
575.732 2.83776
584.147 2.60475
592.562 2.30408
600.976 1.90258
605.184 1.64977
609.391 1.35498
