In-113(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 599.962
1.25000E-05 537.011
1.50000E-05 490.542
2.00000E-05 425.316
2.75000E-05 363.253
3.50000E-05 322.408
4.25000E-05 292.922
5.00000E-05 270.349
6.25000E-05 242.198
7.50000E-05 221.417
0.000100000 192.249
0.000125000 172.344
0.000150000 157.651
0.000200000 137.027
0.000275000 117.405
0.000350000 104.492
0.000425000 95.1702
0.000500000 88.0346
0.000625000 79.1363
0.000750000 72.5686
0.00100000 63.3511
0.00125000 57.0622
0.00150000 52.4210
0.00200000 45.9082
0.00275000 39.7148
0.00350000 35.6415
0.00425000 32.7029
0.00500000 30.4548
0.00625000 27.6536
0.00750000 25.5882
0.0100000 22.6938
0.0125000 20.7231
0.0150000 19.2719
0.0200000 17.2418
0.0253000 15.7939
0.0314750 14.5999
0.0376500 13.7189
0.0500000 12.4875
0.0625000 11.6464
0.0750000 11.0351
0.100000 10.1974
0.125000 9.64699
0.150000 9.25817
0.200000 8.75317
0.275000 8.35358
0.350000 8.17773
0.500000 8.19521
0.750000 9.02872
1.00000 11.3067
1.19023 15.4017
1.28534 19.3508
1.38045 26.2296
1.47556 39.8192
1.52312 52.2272
1.57068 72.7562
1.61823 110.306
1.64201 141.905
1.66579 189.866
1.68957 267.176
1.71334 401.479
1.73712 655.787
1.74901 867.208
1.76090 1166.47
1.77068 1488.64
1.78045 1855.64
1.80000 2308.87
1.81955 1841.77
1.83910 1149.17
1.85921 697.241
1.87933 448.857
1.89944 307.799
1.91955 222.554
1.93966 167.895
1.95978 131.049
2.00000 86.3282
2.04160 60.7872
2.08320 45.4259
2.12480 35.5047
2.16640 28.7419
2.24960 20.3975
2.33280 15.6553
2.41600 12.7140
2.49920 10.7700
2.66560 8.45215
2.83200 7.18789
2.99840 6.43704
3.33120 5.68256
3.66400 5.47872
3.83040 5.57004
3.99680 5.88010
4.16320 6.66520
4.24640 7.46509
4.32960 8.88926
4.41280 11.7362
4.45440 14.3419
4.49600 18.6416
4.53760 26.4430
4.55840 32.9387
4.57920 42.6792
4.60000 58.1030
4.62080 84.1885
4.64160 131.617
4.66240 221.676
4.68120 352.458
4.70000 439.878
4.71880 352.744
4.73760 222.026
4.75400 146.493
4.77040 100.976
4.78680 73.1478
4.80320 55.3875
4.83600 35.2847
4.86880 24.9456
4.90160 18.9927
4.93440 15.2703
5.00000 11.0642
5.07813 8.57377
5.15625 7.22964
5.23438 6.42086
5.31250 5.89511
5.46875 5.27208
5.62500 4.92720
5.93750 4.57032
