In-115(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 9821.31
1.25000E-05 8784.48
1.50000E-05 8019.12
2.00000E-05 6944.81
2.75000E-05 5922.61
3.50000E-05 5249.89
4.25000E-05 4764.25
5.00000E-05 4392.46
6.25000E-05 3928.80
7.50000E-05 3586.55
0.000100000 3106.15
0.000125000 2778.32
0.000150000 2536.33
0.000200000 2196.68
0.000275000 1873.52
0.000350000 1660.87
0.000425000 1507.37
0.000500000 1389.86
0.000625000 1243.34
0.000750000 1135.20
0.00100000 983.448
0.00125000 879.921
0.00150000 803.526
0.00200000 696.346
0.00275000 594.450
0.00350000 527.460
0.00425000 479.150
0.00500000 442.205
0.00625000 396.192
0.00750000 362.288
0.0100000 314.821
0.0125000 282.547
0.0150000 258.812
0.0200000 225.679
0.0253000 202.122
0.0314750 182.766
0.0376500 168.545
0.0500000 148.801
0.0625000 135.457
0.0750000 125.872
0.100000 113.010
0.125000 104.861
0.150000 99.3755
0.200000 92.9589
0.275000 89.5317
0.350000 90.3547
0.500000 100.871
0.625000 119.085
0.750000 150.166
0.875000 204.558
0.937500 247.590
1.00000 309.105
1.05244 383.567
1.10488 492.574
1.15731 661.346
1.20975 943.158
1.23597 1160.87
1.26219 1466.78
1.28841 1915.30
1.31463 2609.04
1.34084 3758.63
1.36706 5840.87
1.38017 7552.16
1.39328 10050.5
1.40639 13783.2
1.41950 19355.0
1.43825 30766.2
1.45700 38197.3
1.47575 30348.0
1.49450 18843.9
1.51030 12413.8
1.52609 8486.36
1.54189 6058.67
1.55769 4497.50
1.58928 2719.51
1.62088 1801.74
1.65247 1273.37
1.68406 943.738
1.74725 573.374
1.81044 382.310
1.87363 271.663
1.93681 202.186
2.00000 155.879
2.11308 104.539
2.22616 74.6723
2.33924 55.9206
2.45233 43.4846
2.67849 28.8381
2.90465 21.4391
3.13081 18.3927
3.35698 20.4197
3.47006 25.9176
3.52660 31.5835
3.58314 41.4756
3.63968 60.3770
3.66795 76.7785
3.69622 102.311
3.72449 144.812
3.75276 222.011
3.76690 285.516
3.78103 378.243
3.79517 516.743
3.80930 723.406
3.82965 1150.68
3.85000 1433.04
3.87035 1144.38
3.89070 715.383
3.90803 472.541
3.92537 324.622
3.94270 233.382
3.96003 174.770
3.99470 108.011
4.02936 73.4734
4.06403 53.5052
4.09869 40.9758
4.16803 26.7470
4.23736 19.2634
4.30669 14.8243
4.44535 9.98368
4.58401 7.48505
4.72268 5.99163
5.00000 4.31503
5.44100 3.05985
5.88200 2.47473
6.32300 2.22842
6.54350 2.21964
6.76400 2.46181
6.85300 2.74614
6.94200 2.54407
7.20290 2.55181
7.46380 2.95583
7.72470 3.71544
7.98560 5.16078
8.24650 8.25109
8.37695 11.2681
8.50740 16.6080
8.63785 27.4167
8.70308 37.5358
8.76830 54.7248
8.83353 87.4218
8.86614 116.073
