Sn-119(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 110.463
1.25000E-05 98.8012
1.50000E-05 90.1926
2.00000E-05 78.1089
2.75000E-05 66.6113
3.50000E-05 59.0445
4.25000E-05 53.5818
5.00000E-05 49.3998
6.25000E-05 44.1843
7.50000E-05 40.3344
0.000100000 34.9303
0.000125000 31.2423
0.000150000 28.5199
0.000200000 24.6984
0.000275000 21.0623
0.000350000 18.6692
0.000425000 16.9415
0.000500000 15.6188
0.000625000 13.9692
0.000750000 12.7514
0.00100000 11.0420
0.00125000 9.87523
0.00150000 9.01391
0.00200000 7.80471
0.00275000 6.65389
0.00350000 5.89627
0.00425000 5.34918
0.00500000 4.93022
0.00625000 4.40752
0.00750000 4.02149
0.0100000 3.47924
0.0125000 3.10883
0.0150000 2.83513
0.0200000 2.45041
0.0253000 2.17409
0.0314750 1.94441
0.0376500 1.77347
0.0500000 1.53143
0.0625000 1.36300
0.0750000 1.23813
0.100000 1.06177
0.125000 0.940448
0.150000 0.850205
0.200000 0.722231
0.237500 0.653328
0.275000 0.598569
0.350000 0.515844
0.500000 0.408453
0.750000 0.305288
1.00000 0.242994
1.50000 0.169443
2.00000 0.127009
2.75000 0.0893113
3.50000 0.0674016
4.25000 0.0549861
5.00000 0.0537392
5.29000 0.0614453
5.43500 0.0705367
5.58000 0.0876944
5.72500 0.123415
5.79750 0.156885
5.87000 0.213046
5.94250 0.316947
5.97875 0.404978
6.01500 0.539130
6.05125 0.756133
6.08750 1.13418
6.12375 1.85152
6.14188 2.44858
6.16000 3.29463
6.19000 5.26673
6.22000 6.59199
6.25000 5.29162
6.28000 3.32542
6.30906 2.09120
6.33813 1.38628
6.36719 0.973537
6.39625 0.718326
6.45438 0.437937
6.51250 0.297524
6.57063 0.217894
6.62875 0.168527
6.74500 0.113028
6.86125 0.0840598
6.97750 0.0669245
7.21000 0.0482180
7.67500 0.0325463
8.14000 0.0256062
9.07000 0.0187181
10.0000 0.0149322
12.5000 0.00947585
15.0000 0.00666710
17.5000 0.00498032
20.0000 0.00388412
23.7500 0.00284380
27.5000 0.00220405
35.0000 0.00150264
42.5000 0.00116305
50.0000 0.000997177
56.1275 0.000951550
62.2550 0.00102147
65.3187 0.00117352
68.3824 0.00163579
69.9143 0.00228643
70.6802 0.00293739
71.4462 0.00412625
72.2121 0.00665890
72.5951 0.00916526
72.9780 0.0136928
73.1695 0.0174694
73.3610 0.0231765
73.5525 0.0323917
73.7440 0.0487009
73.8397 0.0620290
73.9355 0.0817680
74.0312 0.112778
74.1269 0.165528
74.2227 0.266017
74.2706 0.354154
74.3184 0.493626
74.3663 0.731984
74.4142 1.18353
74.4381 1.57165
74.4620 2.16270
74.4860 3.09467
74.5099 4.57355
74.5400 7.32172
74.5700 9.15634
74.6001 7.32466
74.6301 4.57723
74.6549 3.05704
74.6797 2.11491
74.7044 1.52536
74.7292 1.14257
