Sn-122(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.7915
1.25000E-05 11.0157
1.50000E-05 10.4430
2.00000E-05 9.63904
2.75000E-05 8.87412
3.50000E-05 8.37071
4.25000E-05 8.00730
5.00000E-05 7.72908
6.25000E-05 7.38211
7.50000E-05 7.12598
0.000100000 6.76646
0.000125000 6.52111
0.000150000 6.34001
0.000200000 6.08579
0.000275000 5.84390
0.000350000 5.68470
0.000425000 5.56978
0.000500000 5.48180
0.000625000 5.37207
0.000750000 5.29108
0.00100000 5.17738
0.00125000 5.09979
0.00150000 5.04252
0.00200000 4.96212
0.00275000 4.88562
0.00350000 4.83528
0.00425000 4.79893
0.00500000 4.77110
0.00625000 4.73639
0.00750000 4.71077
0.0100000 4.67480
0.0125000 4.65025
0.0150000 4.63212
0.0200000 4.60667
0.0253000 4.58842
0.0314750 4.57327
0.0376500 4.56201
0.0500000 4.54611
0.0625000 4.53507
0.0750000 4.52691
0.100000 4.51543
0.125000 4.50756
0.150000 4.50172
0.200000 4.49346
0.275000 4.48550
0.350000 4.48015
0.500000 4.47314
0.750000 4.46613
1.00000 4.46159
1.50000 4.45547
2.00000 4.45113
2.75000 4.44610
3.50000 4.44196
5.00000 4.43505
7.50000 4.42551
10.0000 4.41729
15.0000 4.40315
20.0000 4.39108
27.5000 4.37566
35.0000 4.36264
50.0000 4.34167
62.5000 4.32785
75.0000 4.31652
81.2500 4.31173
87.5000 4.30776
90.6250 4.30632
93.7500 4.30563
95.3125 4.30582
96.8750 4.30668
98.4375 4.30875
100.000 4.31323
100.840 4.31760
101.680 4.32460
102.520 4.33650
103.360 4.35863
103.780 4.37743
104.200 4.40622
104.620 4.45339
105.040 4.53845
105.250 4.60916
105.460 4.71563
105.670 4.88661
105.880 5.18671
105.985 5.42984
106.090 5.78694
106.195 6.34159
106.300 7.26978
106.405 8.99390
106.458 10.4663
106.510 12.7327
106.563 16.4553
106.615 23.0958
106.668 36.1706
106.694 47.4772
106.720 63.9057
106.760 99.5605
106.800 123.291
106.840 99.5960
106.880 63.9503
106.926 38.8079
106.971 25.7587
107.017 18.6612
107.062 14.5036
107.107 11.8845
107.153 10.1442
107.244 8.06220
107.335 6.91539
107.426 6.22087
107.608 5.45874
107.789 5.07241
107.971 4.85034
108.153 4.71112
108.335 4.61817
108.699 4.50550
109.063 4.44243
109.426 4.40354
109.790 4.37785
110.518 4.34701
111.245 4.32979
111.973 4.31913
112.700 4.31201
114.155 4.30322
115.610 4.29803
117.065 4.29456
118.520 4.29202
121.430 4.28838
124.340 4.28571
127.250 4.28351
130.160 4.28159
135.980 4.27820
141.800 4.27517
153.440 4.26970
165.080 4.26476
176.720 4.26019
200.000 4.25187
214.891 4.24704
229.782 4.24259
237.228 4.24063
244.673 4.23923
248.396 4.23925
250.257 4.23983
252.119 4.24133
253.980 4.24518
254.911 4.24932
255.841 4.25712
256.307 4.26381
256.772 4.27415
257.238 4.29129
257.703 4.32264
257.936 4.34909
258.168 4.38951
258.401 4.45571
258.634 4.57525
258.750 4.67504
258.866 4.82574
258.983 5.06906
259.099 5.49977
259.157 5.85215
259.215 6.37446
259.273 7.19586
259.332 8.59214
259.390 11.2616
259.419 13.6088
259.448 17.3167
259.477 23.6932
259.506 35.8401
259.521 46.3824
259.535 62.4226
259.550 87.8468
259.564 128.476
259.582 203.351
259.600 252.945
259.618 202.921
259.636 128.494
259.651 87.4252
259.665 61.8925
259.680 45.8720
259.695 35.5032
259.724 23.4437
259.753 17.1478
259.783 13.4683
259.812 11.1587
259.871 8.52767
259.929 7.15027
259.988 6.34184
260.047 5.82775
260.105 5.48137
260.223 5.05682
260.340 4.81703
260.458 4.66851
260.575 4.57028
260.810 4.45232
261.044 4.38697
261.279 4.34700
261.514 4.32077
261.983 4.28955
262.453 4.27237
262.922 4.26188
263.392 4.25499
264.331 4.24673
265.270 4.24211
267.147 4.23722
269.025 4.23468
270.903 4.23306
274.659 4.23093
282.170 4.22813
289.682 4.22586
304.704 4.22178
319.727 4.21792
349.773 4.21048
379.818 4.20327
439.909 4.18912
500.000 4.17491
625.000 4.14367
750.000 4.10791
1000.00 4.00940
1187.37 3.88667
1281.06 3.79208
1374.74 3.65421
1421.58 3.55812
1468.43 3.43271
1515.27 3.26189
1562.11 3.01537
1585.53 2.84610
1608.95 2.62899
1632.37 2.34114
1655.80 1.94377
1667.51 1.68466
1679.22 1.37058
1690.93 0.989825
1702.64 0.543752
1708.49 0.313860
1714.35 0.118149
1715.81 0.0830045
1717.28 0.0573789
1718.74 0.0443256
1719.47 0.0437125
1720.20 0.0478129
1721.67 0.0730610
1723.13 0.126979
1724.60 0.218796
1726.06 0.360866
1727.52 0.570439
1728.99 0.871133
1730.45 1.29639
1731.92 1.89433
1733.38 2.73569
1734.84 3.92711
1736.31 5.63425
1737.77 8.12145
1739.23 11.8386
1740.70 17.5722
1742.16 26.8023
1743.63 42.5221
1745.09 71.5046
1745.82 95.5406
1746.55 131.020
1747.29 185.489
1748.02 272.855
1748.75 419.014
1749.48 667.139
1750.34 1129.98
1751.20 1492.04
1752.06 1257.30
1752.92 826.561
1753.89 508.356
1754.85 335.325
1755.82 237.412
1756.78 177.934
1757.75 139.341
1758.71 112.966
1760.64 80.1366
1762.57 61.1220
1764.50 49.0414
1768.36 34.9397
1772.22 27.1859
1776.08 22.3845
1779.95 19.1585
1783.81 16.8619
1791.53 13.8358
1799.25 11.9504
1806.97 10.6719
1814.69 9.75203
1830.13 8.52205
1845.58 7.74083
1861.02 7.20220
1876.46 6.80904
1907.35 6.27423
1938.23 5.92782
1969.12 5.68525
2000.00 5.50590
2045.40 5.31336
2090.80 5.17393
2181.60 4.98498
2272.40 4.86226
2363.20 4.77554
2454.00 4.71053
2544.80 4.65958
2726.40 4.58372
2908.01 4.52845
2998.81 4.50557
3089.61 4.48493
3180.41 4.46606
3271.21 4.44864
3316.61 4.44049
3362.01 4.43294
3384.71 4.42977
3407.41 4.42810
3418.76 4.42929
3430.11 4.43622
3435.78 4.44756
3438.62 4.45937
3441.46 4.48137
3444.30 4.52907
3445.71 4.57686
3447.13 4.66416
3448.55 4.85045
3449.26 5.03527
3449.97 5.36938
3450.33 5.64913
3450.68 6.07318
3451.04 6.76092
3451.39 7.98164
3451.57 8.99129
3451.74 10.4883
3451.92 12.8590
3452.10 16.9392
3452.28 24.9219
3452.37 32.0938
3452.45 43.5677
3452.54 64.0769
3452.63 104.543
3452.68 142.222
3452.72 201.796
3452.76 302.859
3452.81 480.973
3452.85 768.584
3452.90 957.554
3452.95 768.450
3452.99 480.819
3453.05 274.633
3453.10 170.892
3453.16 115.170
3453.21 82.7405
3453.26 62.1815
3453.32 48.8686
3453.43 32.9750
3453.54 24.1950
3453.64 18.9419
3453.86 13.1860
3454.08 10.2642
3454.29 8.59605
3454.51 7.54698
3454.73 6.85064
3455.16 6.00528
3455.59 5.53482
3456.03 5.24582
3456.46 5.05569
3457.33 4.82883
3458.19 4.70409
3459.92 4.57845
3461.66 4.51958
3463.39 4.48730
3466.86 4.45478
3473.79 4.43073
3480.72 4.42156
3494.58 4.41356
3508.45 4.40929
3563.90 4.39836
3674.81 4.38028
3785.73 4.36310
3841.18 4.35539
3868.91 4.35483
3875.84 4.35773
3882.77 4.36814
3886.24 4.38375
3889.70 4.42939
3891.44 4.49350
3892.30 4.55780
3893.17 4.67525
3894.04 4.92614
3894.47 5.17446
3894.90 5.62343
3895.12 5.99926
3895.34 6.56505
3895.55 7.48405
3895.77 9.10564
3895.88 10.4462
3895.99 12.4188
3896.09 15.5227
3896.20 20.8150
3896.31 31.0683
3896.37 40.0530
3896.42 54.3542
3896.47 79.0053
3896.53 126.341
3896.55 167.606
3896.58 231.394
3896.61 333.902
3896.64 504.443
3896.67 807.150
3896.70 1004.92
3896.73 807.343
3896.76 504.696
3896.79 329.383
3896.82 222.988
3896.85 158.802
3896.88 119.391
3896.94 73.3961
3896.99 50.3381
3897.05 36.8898
3897.11 28.6615
3897.22 19.3087
3897.34 14.4619
3897.45 11.6356
3897.57 9.84630
3897.68 8.64294
3897.91 7.17572
3898.14 6.34950
3898.37 5.83882
3898.60 5.50251
3899.06 5.09756
3899.52 4.87384
3900.44 4.64716
3901.36 4.54034
3902.28 4.48170
3904.12 4.42263
3907.80 4.37946
3911.47 4.36377
3918.82 4.35167
3926.18 4.34663
3940.88 4.34151
3955.59 4.33821
4014.42 4.32805
4132.07 4.30933
4249.72 4.29037
4367.37 4.27075
4485.02 4.25021
4602.67 4.22853
4720.32 4.20581
4779.15 4.19601
4793.85 4.19556
4808.56 4.20023
4815.91 4.20971
4819.59 4.22009
4823.27 4.23985
4826.94 4.28339
4828.78 4.32736
4830.62 4.40810
4832.46 4.58104
4833.38 4.75267
4834.30 5.06359
4834.76 5.32391
4835.22 5.71738
4835.68 6.35616
4836.13 7.48930
4836.36 8.42136
4836.59 9.80868
4836.82 12.0028
4837.05 15.7496
4837.28 23.0138
4837.40 29.4833
4837.51 39.8880
4837.63 58.0951
4837.74 93.8881
4837.80 126.211
4837.86 176.533
4837.92 259.675
4837.97 400.958
4838.04 638.185
4838.10 798.088
4838.16 638.342
4838.23 401.166
4838.27 296.569
4838.31 224.112
4838.39 136.618
4838.46 90.9840
4838.54 64.9526
4838.62 48.9148
4838.70 38.4064
4838.86 25.9979
4839.02 19.2627
4839.18 15.2158
4839.49 10.8128
4839.81 8.59973
4840.12 7.33392
4840.44 6.54314
4840.76 6.01642
4841.39 5.38043
4842.02 5.02568
4842.65 4.80779
4843.28 4.66441
4844.55 4.49333
4845.81 4.39894
4848.34 4.30357
4850.87 4.25852
4853.39 4.23357
4858.45 4.20795
4868.56 4.18792
4878.67 4.17929
4898.89 4.17001
4919.11 4.16359
5000.00 4.14204
5086.02 4.11892
5172.05 4.09409
5258.07 4.06706
5344.09 4.03737
5430.12 4.00452
5473.13 3.98673
5516.14 3.96792
5559.15 3.94805
5602.16 3.92722
5645.18 3.90734
5655.93 3.90450
5666.68 3.90750
5672.06 3.91725
5677.44 3.95093
5680.12 4.00079
5681.47 4.05147
5682.81 4.14472
5684.16 4.34431
5684.83 4.54214
5685.50 4.89952
5685.84 5.19743
5686.17 5.64722
5686.51 6.37236
5686.84 7.65256
5687.01 8.69587
5687.18 10.2371
5687.35 12.6495
5687.52 16.7315
5687.68 24.4439
5687.77 31.1493
5687.85 41.6636
5687.94 59.3964
5688.02 92.3159
5688.06 120.021
5688.10 161.381
5688.15 224.911
5688.19 324.262
5688.24 517.579
5688.30 645.060
5688.36 517.843
5688.41 324.601
5688.45 240.836
5688.48 182.678
5688.55 112.684
5688.62 75.2951
5688.69 54.1622
5688.76 40.8922
5688.82 32.3004
5688.96 22.0900
5689.10 16.4814
5689.23 13.1073
5689.51 9.44136
5689.78 7.58788
5690.05 6.53026
5690.33 5.86829
5690.60 5.42670
5691.15 4.89185
5691.69 4.59317
5692.79 4.28864
5693.88 4.14384
5694.97 4.06372
5697.16 3.98218
5701.53 3.92109
5705.91 3.89757
5714.65 3.87704
5723.40 3.86620
5758.38 3.83842
5793.37 3.81364
5828.35 3.78802
5863.34 3.76092
5898.32 3.73202
5968.29 3.66781
6108.22 3.50507
6248.16 3.27055
6318.13 3.10943
6388.10 2.90242
6458.07 2.62699
6528.04 2.24405
6563.02 1.99192
