Ba-138(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 24.3602
1.25000E-05 22.2175
1.50000E-05 20.6358
2.00000E-05 18.4156
2.75000E-05 16.3031
3.50000E-05 14.9128
4.25000E-05 13.9092
5.00000E-05 13.1408
6.25000E-05 12.1825
7.50000E-05 11.4752
0.000100000 10.4823
0.000125000 9.80471
0.000150000 9.30453
0.000200000 8.60245
0.000275000 7.93442
0.000350000 7.49477
0.000425000 7.17738
0.000500000 6.93440
0.000625000 6.63137
0.000750000 6.40769
0.00100000 6.09370
0.00125000 5.87943
0.00150000 5.72126
0.00200000 5.49923
0.00275000 5.28797
0.00350000 5.14893
0.00425000 5.04856
0.00500000 4.97171
0.00625000 4.87588
0.00750000 4.80513
0.0100000 4.70581
0.0125000 4.63803
0.0150000 4.58799
0.0200000 4.51774
0.0253000 4.46737
0.0314750 4.42558
0.0376500 4.39454
0.0500000 4.35071
0.0625000 4.32031
0.0750000 4.29785
0.100000 4.26628
0.125000 4.24468
0.150000 4.22870
0.200000 4.20616
0.275000 4.18455
0.350000 4.17017
0.500000 4.15150
0.750000 4.13329
1.00000 4.12184
1.50000 4.10705
2.00000 4.09706
2.75000 4.08599
3.50000 4.07727
5.00000 4.06317
7.50000 4.04414
10.0000 4.02768
15.0000 3.99851
20.0000 3.97228
27.5000 3.93655
35.0000 3.90410
50.0000 3.84676
75.0000 3.76795
100.000 3.70436
125.000 3.65184
150.000 3.60769
200.000 3.53753
275.000 3.46204
350.000 3.40834
425.000 3.36808
500.000 3.33671
536.993 3.32365
573.986 3.31186
592.483 3.30641
610.979 3.30129
629.476 3.29689
634.100 3.29630
638.724 3.29689
641.036 3.29881
643.348 3.30537
644.505 3.31503
645.083 3.32486
645.661 3.34296
646.239 3.38188
646.528 3.42068
646.817 3.49133
646.961 3.55071
647.106 3.64114
647.250 3.78868
647.395 4.05383
647.467 4.27407
647.539 4.60487
647.611 5.13640
647.684 6.06734
647.720 6.82350
647.756 7.93113
647.792 9.65073
647.828 12.5272
647.864 17.8882
647.882 22.4729
647.900 29.4910
647.918 41.0870
647.936 61.6634
647.955 102.449
647.964 137.491
647.973 188.605
647.986 300.245
648.000 373.962
648.014 299.388
648.028 188.613
648.038 129.371
648.049 92.0683
648.060 67.9894
648.071 52.2377
648.092 33.6913
648.114 23.8434
648.135 18.0588
648.157 14.3934
648.199 10.2100
648.242 8.00165
648.285 6.70140
648.328 5.87273
648.371 5.31380
648.457 4.62717
648.543 4.23910
648.629 3.99840
648.715 3.83893
648.887 3.64736
649.059 3.54118
649.231 3.47619
649.402 3.43359
649.746 3.38291
650.090 3.35506
650.777 3.32703
651.465 3.31385
652.152 3.30657
653.527 3.29913
656.277 3.29334
659.027 3.29087
664.526 3.28823
670.026 3.28645
692.024 3.28084
714.022 3.27584
736.021 3.27111
780.017 3.26232
824.014 3.25427
912.007 3.24002
1000.00 3.22774
1236.99 3.20160
1473.98 3.18206
1592.48 3.17391
1710.97 3.16658
1770.22 3.16320
1829.47 3.16002
1888.71 3.15742
1903.53 3.15723
1918.34 3.15815
1925.74 3.16012
1933.15 3.16650
1936.85 3.17578
1940.56 3.20261
1942.41 3.24024
1943.33 3.27799
1944.26 3.34712
1945.18 3.49551
1945.65 3.64349
1946.11 3.91238
1946.34 4.13959
1946.57 4.48451
1946.80 5.05090
1947.04 6.06717
1947.15 6.91649
1947.27 8.19878
1947.38 10.2668
1947.50 13.8783
1947.56 16.8407
1947.61 21.2182
1947.67 28.0733
1947.73 39.4177
1947.79 61.1064
1947.82 79.9387
1947.85 109.426
1947.87 159.045
1947.90 250.803
1947.92 330.891
1947.93 441.846
1947.95 608.536
1947.96 865.613
1947.98 1378.07
1948.00 1726.30
1948.02 1378.11
1948.04 863.516
1948.05 638.577
1948.07 472.081
1948.09 284.366
1948.12 184.199
1948.14 130.001
1948.17 95.5345
1948.19 73.9701
1948.24 48.4228
1948.29 34.2975
1948.34 25.8619
1948.45 16.7981
1948.55 12.2096
1948.65 9.61735
1948.75 7.98411
1948.85 6.90848
1949.05 5.60401
1949.26 4.87772
1949.46 4.43233
1949.66 4.14085
1950.07 3.79177
1950.47 3.59980
1950.88 3.48306
1951.29 3.40697
1952.10 3.31663
1952.91 3.26728
1954.53 3.21781
1956.15 3.19474
1957.78 3.18211
1961.02 3.16942
1967.52 3.16009
1974.01 3.15661
1986.99 3.15374
1993.48 3.15317
1996.73 3.15378
1998.35 3.15731
1999.16 3.17143
1999.57 3.22425
1999.77 3.40725
1999.82 3.57199
1999.87 3.95236
1999.90 4.38968
1999.92 5.24246
1999.95 7.28690
1999.96 9.57676
1999.97 13.5543
1999.99 19.6379
2000.00 23.9565
2000.01 19.6381
2000.03 13.5544
2000.04 10.0667
2000.05 8.01328
2000.07 5.76652
2000.11 4.24265
2000.15 3.73214
2000.19 3.51375
2000.36 3.25757
2000.69 3.18065
2001.35 3.15951
2002.67 3.15388
2005.31 3.15226
2010.59 3.15150
2021.15 3.15071
2042.27 3.14947
2084.51 3.14732
2169.00 3.14341
2253.48 3.13973
2337.97 3.13621
2506.94 3.12955
2675.91 3.12329
3013.86 3.11163
3351.80 3.10070
4027.69 3.07951
4365.64 3.06901
4450.12 3.06672
4534.61 3.06550
4576.85 3.06643
4597.97 3.06813
4619.09 3.07193
4640.22 3.08105
4650.78 3.09063
4661.34 3.10859
4666.62 3.12398
4671.90 3.14773
4677.18 3.18707
4682.46 3.25911
4685.10 3.31996
4687.74 3.41290
4690.38 3.56520
4693.02 3.84037
4694.34 4.06987
4695.66 4.41664
4696.98 4.97640
4698.30 5.96654
4698.96 6.77510
4699.62 7.97198
4700.28 9.85070
4700.94 13.0427
4701.60 19.1117
4701.93 24.4241
4702.26 32.8127
4702.59 47.1046
4702.92 74.0503
4703.08 97.0905
4703.25 132.020
4703.41 186.726
4703.58 272.931
4703.79 435.551
4704.00 543.390
4704.21 434.820
4704.42 273.086
4704.57 195.407
4704.71 143.534
4704.86 108.442
4705.00 84.5085
4705.29 55.2008
4705.58 39.0467
4705.87 29.2627
4706.15 22.9492
4706.73 15.6129
4707.31 11.6781
4707.89 9.33896
4708.46 7.83563
4709.04 6.81327
4710.20 5.55168
4711.35 4.83392
4712.50 4.38646
4713.66 4.08930
4715.97 3.73094
4718.28 3.53153
4720.59 3.40920
4722.90 3.32875
4727.51 3.23280
4732.13 3.17989
4736.75 3.14758
4741.37 3.12639
4750.61 3.10111
4759.84 3.08708
4769.08 3.07842
4778.32 3.07263
4796.79 3.06549
4815.26 3.06126
4852.21 3.05629
4889.16 3.05320
4926.11 3.05085
5000.00 3.04702
5359.11 3.03067
5538.67 3.02187
5718.22 3.01218
6077.33 2.98887
6436.44 2.95684
6616.00 2.93521
6795.55 2.90737
6975.11 2.86966
7154.66 2.81487
7244.44 2.77664
7334.22 2.72654
7423.99 2.65778
7513.77 2.55717
7558.66 2.48694
7603.55 2.39529
7648.44 2.27059
7693.33 2.09112
7715.77 1.96833
7738.21 1.81142
7760.66 1.60451
7783.10 1.32128
7794.33 1.13826
7805.55 0.918444
7816.77 0.655387
7827.99 0.353360
7833.60 0.201573
7839.21 0.0764901
7842.02 0.0401879
7844.83 0.0384305
7847.63 0.0945746
7849.03 0.155837
7850.44 0.248315
7851.84 0.381952
7853.24 0.570006
7854.65 0.830781
7856.05 1.18954
7857.45 1.68306
7858.85 2.36375
7860.26 3.30955
7861.66 4.63787
7863.06 6.53609
7864.46 9.30404
7865.87 13.4480
7867.27 19.8529
7868.67 30.1705
7870.08 47.5726
7871.48 78.3433
7872.88 133.962
7874.44 237.767
7876.00 327.984
7877.56 288.195
7879.12 197.029
7880.12 151.975
7881.11 119.312
7883.10 78.8539
7885.09 56.6561
7887.08 43.3781
7889.08 34.8184
7891.07 28.9606
7895.05 21.6259
7899.03 17.3218
7903.01 14.5418
7910.98 11.2215
7918.94 9.33902
7926.90 8.14094
7934.87 7.31669
7942.83 6.71746
7958.76 5.90770
7974.68 5.38814
7990.61 5.02750
8006.54 4.76295
8038.39 4.40139
8070.25 4.16618
8102.10 4.00106
8133.96 3.87877
8197.66 3.70976
8261.37 3.59840
8325.08 3.51940
8388.79 3.46036
8516.21 3.37781
8643.63 3.32259
8771.04 3.28282
8898.46 3.25265
9153.30 3.20946
9408.13 3.17952
9535.55 3.16759
9662.97 3.15711
9790.38 3.14798
9854.09 3.14496
9885.95 3.14893
9893.91 3.15497
9901.87 3.17352
9905.86 3.20011
9909.84 3.27608
9911.83 3.38095
9912.82 3.48468
9913.82 3.67130
9914.82 4.06005
9915.31 4.43487
9915.81 5.09021
9916.31 6.39963
9916.56 7.60590
9916.81 9.60673
9917.05 13.3113
9917.18 16.4691
9917.30 21.2570
9917.43 29.1087
9917.55 42.7974
9917.68 69.0729
9917.74 91.1988
9917.80 123.159
9917.90 195.109
9918.00 243.499
9918.10 195.342
9918.20 123.453
9918.28 84.5854
9918.36 59.9685
9918.44 44.3859
9918.52 34.1763
9918.68 22.3170
9918.84 16.0669
9919.00 12.4129
9919.16 10.1047
9919.48 7.47906
9919.80 6.09475
9920.12 5.28264
9920.76 4.41353
9921.40 3.98376
9922.03 3.74031
9923.31 3.48885
9924.59 3.36808
9925.87 3.30093
9928.43 3.23252
9933.54 3.18195
9938.65 3.16349
9948.88 3.14951
9959.10 3.14403
10000.0 3.13661
10062.7 3.13170
10125.3 3.12787
10250.6 3.12107
10375.9 3.11489
10501.2 3.10915
10751.9 3.09868
11002.5 3.08926
11503.7 3.07260
12004.9 3.05789
12506.2 3.04438
13007.4 3.03164
13508.6 3.01935
13759.2 3.01337
13884.5 3.01069
13947.2 3.01064
13978.5 3.01601
13986.4 3.02226
13994.2 3.04049
13998.1 3.06614
14002.0 3.13864
14004.0 3.23877
14005.0 3.33795
14005.9 3.51725
14006.9 3.89309
14007.4 4.25856
14007.9 4.90581
14008.4 6.21925
14008.6 7.48424
14008.9 9.55096
14009.1 13.6695
14009.2 17.1542
14009.4 22.6253
14009.5 31.8698
14009.6 49.0817
14009.7 63.6119
14009.7 85.3694
14009.8 118.923
14009.8 171.953
14009.9 272.700
14010.0 341.045
14010.1 272.801
14010.2 172.082
14010.2 119.047
14010.3 85.4824
14010.3 63.7134
14010.4 49.1728
14010.5 31.9443
14010.6 22.6878
14010.8 17.2078
14010.9 13.7163
14011.1 9.70339
14011.4 7.51485
14011.6 6.28511
14012.1 4.96238
14012.6 4.29436
14013.1 3.92431
14014.0 3.54045
14015.0 3.35429
14016.0 3.25113
14017.9 3.14704
14021.8 3.07062
14025.6 3.04333
14033.4 3.02333
14041.1 3.01610
14072.0 3.00840
14133.9 3.00509
14257.6 3.00163
