Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2113.82
1.25000E-05 1890.66
1.50000E-05 1725.93
1.77828E-05 1585.14
2.00000E-05 1494.70
2.75000E-05 1274.68
3.16228E-05 1188.69
3.50000E-05 1129.89
4.25000E-05 1025.35
5.00000E-05 945.330
5.62341E-05 891.391
7.50000E-05 771.858
0.000100000 668.448
0.000125000 597.877
0.000150000 545.785
0.000177828 501.264
0.000200000 472.663
0.000275000 403.087
0.000316228 375.893
0.000350000 357.298
0.000425000 324.242
0.000500000 298.935
0.000562341 281.878
0.000750000 244.078
0.00100000 211.376
0.00125000 189.059
0.00150000 172.585
0.00177828 158.506
0.00200000 149.461
0.00275000 127.457
0.00316228 118.857
0.00350000 112.976
0.00425000 102.522
0.00500000 94.5181
0.00562341 89.1234
0.00750000 77.1676
0.0100000 66.8239
0.0125000 59.7644
0.0150000 54.5529
0.0177828 50.0987
0.0200000 47.2369
0.0253000 41.9918
0.0316228 37.5526
0.0376500 34.4095
0.0500000 29.8479
0.0562341 28.1396
0.0750000 24.3526
0.100000 21.0748
0.125000 18.8368
0.150000 17.1840
0.177828 15.7708
0.200000 14.8627
0.275000 12.6529
0.316228 11.7891
0.350000 11.1986
0.425000 10.1496
0.500000 9.34795
0.562341 8.80893
0.750000 7.62249
0.999999 6.61774
1.00000 6.61774
1.00000 6.61774
1.00001 6.61773
1.00001 6.61772
1.00001 6.61770
1.00003 6.61766
1.00005 6.61757
1.00011 6.61741
1.00021 6.61708
1.00042 6.61642
1.00083 6.61511
1.00165 6.61248
1.00331 6.60724
1.00661 6.59681
1.01322 6.57611
1.02644 6.53538
1.05288 6.45656
1.10577 6.30870
1.21153 6.04761
1.21153 6.04761
1.21154 6.04759
1.21155 6.04757
1.21156 6.04753
1.21159 6.04746
1.21166 6.04732
1.21178 6.04704
1.21203 6.04647
1.21253 6.04533
1.21353 6.04306
1.21554 6.03854
1.21954 6.02953
1.22755 6.01167
1.24357 5.97660
1.27560 5.90900
1.33967 5.78331
1.46780 5.56614
1.46780 5.56614
1.46781 5.56612
1.46782 5.56611
1.46783 5.56609
1.46786 5.56604
1.46793 5.56594
1.46805 5.56575
1.46831 5.56536
1.46881 5.56460
1.46981 5.56306
1.47183 5.55999
1.47585 5.55389
1.48390 5.54179
1.50000 5.51807
1.53479 5.46887
1.56957 5.42240
1.63914 5.33734
1.77828 5.19695
1.77828 5.19695
1.77829 5.19695
1.77830 5.19694
1.77831 5.19693
1.77834 5.19691
1.77839 5.19686
1.77850 5.19676
1.77872 5.19657
1.77915 5.19620
1.78001 5.19544
1.78175 5.19394
1.78521 5.19096
1.79214 5.18505
1.80600 5.17352
1.83371 5.15157
1.88914 5.11203
2.00000 5.05041
2.15443 5.00416
2.15443 5.00416
2.15444 5.00416
2.15444 5.00416
2.15446 5.00416
2.15448 5.00415
2.15454 5.00415
2.15464 5.00413
2.15485 5.00410
2.15526 5.00404
2.15610 5.00392
2.15776 5.00369
2.16109 5.00324
2.16774 5.00242
2.18105 5.00104
2.20767 4.99942
2.26091 5.00078
2.36739 5.02310
2.58035 5.15929
2.61016 5.18991
2.61016 5.18991
2.61017 5.18992
2.61017 5.18992
2.61018 5.18993
2.61020 5.18995
2.61023 5.18998
2.61030 5.19006
2.61043 5.19020
2.61070 5.19049
2.61124 5.19108
2.61231 5.19225
2.61446 5.19460
2.61876 5.19935
2.62737 5.20907
2.64457 5.22937
2.67898 5.27352
2.74780 5.37727
2.88543 5.65840
3.16070 6.66754
3.16228 6.67583
3.16228 6.67584
3.16229 6.67587
3.16229 6.67590
3.16230 6.67595
3.16232 6.67605
3.16236 6.67627
3.16245 6.67670
3.16261 6.67756
3.16294 6.67928
3.16359 6.68272
3.16489 6.68963
3.16751 6.70352
3.17273 6.73161
3.18319 6.78906
3.20409 6.90924
3.24590 7.17257
3.32951 7.80849
3.49674 9.72500
3.66396 13.2564
3.83119 20.7522
3.83119 20.7523
3.83120 20.7528
3.83121 20.7533
3.83122 20.7543
3.83125 20.7563
3.83131 20.7604
3.83143 20.7685
3.83167 20.7846
3.83215 20.8170
3.83311 20.8821
3.83502 21.0133
3.83885 21.2802
3.84651 21.8322
3.86183 23.0146
3.89247 25.7425
3.95374 33.1958
4.01502 45.0404
4.07630 65.5380
4.13757 105.696
4.16821 142.027
4.19885 201.498
4.22949 308.426
4.24481 396.764
4.26012 528.305
4.27544 734.733
4.29076 1079.64
4.30608 1696.14
4.32140 2840.45
4.33570 4533.63
4.35000 5655.01
4.36430 4518.23
4.37860 2821.43
4.39504 1620.11
4.41147 1002.27
4.42791 668.469
4.44435 473.533
4.46079 351.506
4.47722 270.649
4.51010 174.151
4.54297 121.264
4.57584 89.3040
4.64159 54.3790
4.64159 54.3783
4.64160 54.3761
4.64160 54.3743
4.64161 54.3703
4.64164 54.3624
4.64168 54.3465
4.64177 54.3148
4.64194 54.2519
4.64229 54.1263
4.64299 53.8764
4.64439 53.3820
4.64719 52.4140
4.65279 50.5573
4.66399 47.1355
4.68639 41.2833
4.73119 32.5114
4.82080 21.8679
4.91040 15.9086
5.00000 12.2416
5.15585 8.53317
5.31171 6.47412
5.62341 4.37472
5.62341 4.37471
5.62342 4.37469
5.62342 4.37467
5.62343 4.37463
5.62345 4.37455
5.62348 4.37439
5.62356 4.37407
5.62370 4.37343
5.62399 4.37215
5.62457 4.36959
5.62574 4.36447
5.62806 4.35429
5.63271 4.33409
5.64200 4.29431
5.66058 4.21722
5.69776 4.07218
5.77210 3.81437
5.92079 3.40012
6.21817 2.83478
6.81292 2.21636
6.81292 2.21636
6.81293 2.21635
6.81293 2.21635
6.81294 2.21634
6.81296 2.21632
