Nd-150(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 56.9629
1.25000E-05 51.4366
1.50000E-05 47.3572
2.00000E-05 41.6311
2.75000E-05 36.1828
3.50000E-05 32.5971
4.25000E-05 30.0085
5.00000E-05 28.0268
6.25000E-05 25.5554
7.50000E-05 23.7311
0.000100000 21.1703
0.000125000 19.4227
0.000150000 18.1327
0.000200000 16.3220
0.000275000 14.5990
0.000350000 13.4651
0.000425000 12.6466
0.000500000 12.0199
0.000625000 11.2383
0.000750000 10.6614
0.00100000 9.85164
0.00125000 9.29900
0.00150000 8.89106
0.00200000 8.31844
0.00275000 7.77358
0.00350000 7.41500
0.00425000 7.15613
0.00500000 6.95794
0.00625000 6.71078
0.00750000 6.52832
0.0100000 6.27220
0.0125000 6.09740
0.0150000 5.96835
0.0200000 5.78719
0.0253000 5.65731
0.0314750 5.54956
0.0376500 5.46952
0.0500000 5.35652
0.0625000 5.27817
0.0750000 5.22029
0.100000 5.13895
0.125000 5.08332
0.150000 5.04217
0.200000 4.98419
0.275000 4.92865
0.350000 4.89174
0.500000 4.84396
0.750000 4.79758
1.00000 4.76857
1.50000 4.73146
2.00000 4.70667
2.75000 4.67949
3.50000 4.65829
5.00000 4.62429
7.50000 4.57861
10.0000 4.53891
15.0000 4.46724
20.0000 4.40054
27.5000 4.30439
35.0000 4.20891
50.0000 3.99984
57.1912 3.87161
60.7868 3.79044
64.3824 3.68762
67.9780 3.54564
69.7758 3.44927
71.5736 3.32588
72.4725 3.25101
73.3714 3.16671
74.2703 3.07661
75.1692 2.99943
75.6187 2.98545
76.0681 3.01882
76.5176 3.16343
76.9670 3.58962
77.1917 4.04444
77.4165 4.84129
77.6412 6.31353
77.7535 7.52010
77.8097 8.31207
77.8659 9.27465
77.8940 9.83453
77.9221 10.4561
77.9502 11.1484
77.9783 11.9217
78.0064 12.7883
78.0345 13.7630
78.0625 14.8631
78.0906 16.1100
78.1187 17.5295
78.1468 19.1529
78.2030 23.1771
78.2592 28.6271
78.3154 36.2239
78.3715 47.1988
78.4277 63.7777
78.4839 90.3370
78.5120 109.966
78.5401 136.397
78.5682 173.066
78.5963 225.838
78.6244 305.345
78.6524 432.372
78.6805 651.590
78.6946 824.829
78.7086 1071.11
78.7227 1434.48
78.7367 1990.83
78.7508 2873.84
78.7648 4284.58
78.7824 6928.60
78.8000 8754.02
78.8176 7079.42
78.8352 4473.41
78.8559 2575.58
78.8765 1603.34
78.8972 1078.86
78.9179 772.212
78.9386 579.695
78.9592 451.615
79.0006 297.718
79.0419 212.412
79.0832 160.248
79.1659 102.265
79.2486 72.2961
79.3313 54.7178
79.4139 43.4705
79.4966 35.8079
79.6620 26.2657
79.8273 20.7180
79.9927 17.1743
80.1580 14.7538
80.4887 11.7170
80.8194 9.92650
81.1501 8.76473
81.4808 7.95834
82.1422 6.92372
82.8036 6.29525
