Gd-152(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 37572.3
1.25893E-05 33519.2
1.58489E-05 29907.0
1.99526E-05 26687.6
2.00000E-05 26656.3
2.01600E-05 26551.5
2.03199E-05 26448.0
2.06399E-05 26244.6
2.12797E-05 25851.6
2.25595E-05 25116.3
2.51189E-05 23818.2
3.16228E-05 21260.9
3.98107E-05 18981.7
5.00000E-05 16970.1
5.01187E-05 16950.3
5.05242E-05 16883.4
5.09298E-05 16817.2
5.17408E-05 16687.3
5.33630E-05 16436.3
5.66072E-05 15967.2
6.30957E-05 15139.9
7.94328E-05 13526.3
0.000100000 12088.2
0.000125893 10806.4
0.000158489 9664.11
0.000199526 8645.97
0.000200000 8636.07
0.000201600 8602.94
0.000203199 8570.20
0.000206399 8505.87
0.000212797 8381.58
0.000225595 8149.07
0.000251189 7738.53
0.000316228 6929.77
0.000398107 6208.94
0.000500000 5572.72
0.000501187 5566.48
0.000505242 5545.30
0.000509298 5524.38
0.000517408 5483.28
0.000533630 5403.91
0.000566072 5255.52
0.000630957 4993.86
0.000794328 4483.48
0.00100000 4028.57
0.00126000 3621.68
0.00158000 3266.26
0.00200000 2936.39
0.00251000 2653.22
0.00316000 2397.07
0.00398000 2168.32
0.00500000 1966.53
0.00501000 1964.86
0.00505063 1958.13
0.00509125 1951.49
0.00517250 1938.44
0.00533500 1913.23
0.00566000 1866.11
0.00631000 1783.01
0.00794000 1621.47
0.0100000 1476.80
0.0125900 1347.90
0.0158500 1232.87
0.0199500 1130.20
0.0200000 1129.15
0.0201600 1125.80
0.0203200 1122.49
0.0206400 1115.98
0.0212800 1103.41
0.0225600 1079.88
0.0251200 1038.29
0.0253000 1035.60
0.0256950 1029.80
0.0260900 1024.13
0.0268800 1013.17
0.0284600 992.611
0.0316200 956.162
0.0398100 882.529
0.0500000 817.119
0.0501200 816.467
0.0505256 814.280
0.0509313 812.119
0.0517425 807.872
0.0533650 799.661
0.0566100 784.282
0.0631000 757.060
0.0794300 703.514
0.100000 655.007
0.125890 610.888
0.158490 570.490
0.199530 533.221
0.200000 532.854
0.201600 531.615
0.203199 530.388
0.206399 527.972
0.212798 523.283
0.225595 514.431
0.251190 498.515
0.316230 465.829
0.398110 434.661
0.500000 404.851
0.501190 404.544
0.505245 403.503
0.509301 402.472
0.517411 400.436
0.533633 396.465
0.566075 388.898
0.630960 375.054
0.794330 345.831
1.00000 316.597
1.25893 287.190
1.58489 257.589
1.99526 227.932
2.00000 227.627
2.01600 226.603
2.03199 225.588
2.06399 223.582
2.12797 219.667
2.25595 212.196
2.51189 198.533
3.16228 169.851
3.98107 142.445
5.00000 117.134
5.01187 116.881
5.05242 116.026
5.09298 115.181
5.17408 113.519
5.33630 110.304
5.66072 104.280
6.30957 93.6375
7.94328 72.9761
8.97164 63.0989
10.0000 54.9947
10.5801 51.4084
10.8701 50.2217
11.1601 50.0668
11.4501 52.7116
11.5951 56.8086
11.7402 65.6870
11.8127 73.8223
11.8852 86.7833
11.9577 108.644
12.0302 148.681
12.1027 231.744
12.1389 310.135
12.1571 367.183
12.1661 402.245
12.1752 442.883
12.1843 490.365
12.1933 546.138
12.2024 612.340
12.2115 691.468
12.2205 787.219
12.2296 904.139
12.2386 1048.86
12.2477 1230.52
12.2568 1462.47
12.2658 1763.21
12.2749 2161.26
12.2840 2699.50
12.2930 3444.82
12.3021 4496.92
12.3111 6005.86
12.3202 8159.59
12.3351 13197.6
12.3500 16692.8
12.3575 15814.1
12.3649 13537.4
12.3798 8591.39
12.3929 5673.34
12.4060 3906.01
12.4191 2820.05
12.4322 2123.59
12.4584 1329.78
12.4845 917.418
12.5107 677.608
12.5369 526.164
12.5893 352.694
12.6402 262.411
12.6911 207.850
12.7930 147.476
12.8949 116.125
12.9967 97.4912
13.0986 85.3453
13.2004 76.8792
13.4042 65.9174
13.6079 59.1209
13.8116 54.4480
14.2191 48.2802
15.0340 41.1671
15.8489 36.6569
17.9008 29.1268
19.9526 23.8429
20.0000 23.7360
20.1600 23.3788
20.3199 23.0277
20.6399 22.3421
21.2797 21.0324
22.5594 18.6181
25.1189 14.3771
28.3708 9.71467
29.9968 7.73192
31.6228 6.51638
32.2686 6.62917
32.5915 6.95498
32.7529 7.21620
32.9143 7.56017
32.9951 7.76831
33.0758 8.00369
33.1162 8.13245
33.1565 8.26908
33.1969 8.41615
33.2372 8.57475
33.2776 8.73859
33.3180 8.90784
33.3583 9.08495
33.3987 9.27795
33.4390 9.48214
33.4794 9.69811
33.5601 10.1680
33.6409 10.6932
33.7216 11.2801
33.8830 12.6690
34.0445 14.4066
34.2059 16.5880
34.3673 19.3418
34.5288 22.8438
34.6902 27.3407
34.8517 33.1840
35.0131 40.8913
35.1746 51.2435
35.3360 65.4681
35.4975 85.5697
35.6589 115.012
35.8203 160.165
35.9818 233.805
36.1432 364.551
36.2240 471.045
36.3047 627.635
36.3854 870.457
36.4661 1274.41
36.5468 2014.78
36.5872 2636.66
36.6276 3576.28
36.6679 5078.05
36.7083 7648.48
36.7486 12397.6
36.7890 21607.4
36.8245 34809.8
36.8600 43856.4
36.8955 35359.1
36.9310 22242.5
36.9673 13627.3
37.0036 8841.41
37.0399 6099.13
37.0761 4428.97
37.1124 3350.65
37.1487 2619.01
37.2213 1723.25
37.2938 1218.62
37.3664 907.204
37.5115 558.739
37.6566 378.119
37.8018 272.434
37.9469 205.483
38.0920 161.074
38.3823 113.710
38.5274 108.312
38.5999 111.945
38.6725 121.992
38.7088 130.386
38.7269 135.677
38.7451 141.828
38.7541 145.263
38.7632 148.961
38.7723 152.939
38.7814 157.218
38.7904 161.821
38.7995 166.771
38.8086 172.096
38.8176 177.825
38.8358 190.626
38.8539 205.476
38.8721 222.741
38.8902 242.872
38.9265 294.117
38.9628 365.667
38.9990 468.126
39.0353 619.622
39.0716 853.364
39.1079 1234.58
39.1442 1903.92
39.1623 2437.95
39.1804 3201.77
39.1986 4332.12
39.2167 6066.77
39.2349 8815.26
39.2530 13197.5
39.2765 21758.8
39.3000 27879.2
39.3235 22863.7
39.3470 14729.1
39.3615 11081.9
39.3760 8487.78
39.4050 5335.61
39.4340 3645.99
39.4629 2658.26
39.4919 2035.65
39.5209 1619.09
39.5789 1112.88
39.6368 827.177
39.6948 649.010
39.8107 445.046
39.9011 354.590
39.9914 293.851
40.1720 218.478
40.3527 174.091
40.5333 145.028
40.8946 109.351
41.2559 88.2214
41.6172 74.2262
41.9784 64.7866
42.1591 62.2205
42.2494 62.1900
42.3397 64.1459
42.4300 71.0030
42.4752 78.8547
42.5204 93.6008
42.5655 123.956
42.5881 151.807
42.6107 197.115
42.6333 276.467
42.6558 429.974
42.6671 563.499
42.6728 654.649
42.6784 768.311
42.6841 911.681
42.6897 1092.86
42.6954 1322.75
42.7010 1610.84
42.7083 2075.03
42.7155 2615.18
42.7300 3342.42
42.7373 3189.89
42.7446 2754.10
42.7591 1784.85
42.7733 1159.34
42.7874 796.870
42.8015 581.765
42.8157 447.046
42.8440 296.414
42.8722 219.166
42.9005 174.295
42.9288 145.833
42.9854 112.773
43.0420 94.7099
43.0985 83.5356
43.2117 70.5632
43.3248 63.2188
43.4379 58.3969
43.6642 52.1998
44.1168 45.1219
44.5693 40.6651
45.4744 34.7292
46.3796 30.6824
48.1898 25.2494
50.0000 21.6379
50.1187 21.4404
50.5243 20.7938
50.9298 20.1873
51.7409 19.0772
53.3630 17.1805
56.6072 14.2252
59.8515 11.8875
63.0957 9.81416
65.8931 8.03216
67.2917 7.08467
68.6904 6.08132
70.0890 5.09601
70.7884 4.74913
71.4877 4.82131
71.8374 5.26255
72.0122 5.68531
72.1870 6.31898
72.2744 6.74258
72.3182 6.98753
72.3619 7.25763
72.4056 7.55554
72.4493 7.88424
72.4930 8.24709
72.5367 8.64782
72.5804 9.09093
72.6241 9.58125
72.6678 10.1244
72.7115 10.7267
72.7989 12.1400
72.8864 13.8946
72.9738 16.0907
73.0612 18.8650
73.1486 22.4091
73.2360 26.9964
73.3234 33.0299
73.4109 41.1151
73.4983 52.2031
73.5857 67.8369
73.6731 90.6672
73.7605 125.509
73.8479 181.867
73.9353 280.475
73.9791 359.462
74.0228 473.594
74.0665 646.215
74.1102 922.943
74.1539 1402.22
74.1976 2322.18
74.2195 3120.30
74.2413 4343.82
74.2632 6285.59
74.2850 9392.22
74.3125 15257.6
74.3400 19359.6
74.3675 15720.9
74.3950 9975.28
74.4147 7092.45
74.4344 5170.39
74.4540 3889.51
74.4737 3014.82
74.5131 1952.70
74.5524 1366.44
74.5918 1011.98
