Gd-156(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 90.1816
1.25000E-05 80.6609
1.50000E-05 73.6330
2.00000E-05 63.7681
2.75000E-05 54.3816
3.50000E-05 48.2042
4.25000E-05 43.7446
5.00000E-05 40.3305
6.25000E-05 36.0727
7.50000E-05 32.9298
0.000100000 28.5180
0.000125000 25.5073
0.000150000 23.2849
0.000200000 20.1654
0.000275000 17.1971
0.000350000 15.2437
0.000425000 13.8334
0.000500000 12.7538
0.000625000 11.4074
0.000750000 10.4136
0.00100000 9.01850
0.00125000 8.06646
0.00150000 7.36371
0.00200000 6.37728
0.00275000 5.43871
0.00350000 4.82104
0.00425000 4.37514
0.00500000 4.03380
0.00625000 3.60811
0.00750000 3.29389
0.0100000 2.85286
0.0125000 2.55191
0.0150000 2.32979
0.0200000 2.01803
0.0253000 1.79460
0.0314750 1.60933
0.0376500 1.47179
0.0500000 1.27775
0.0625000 1.14339
0.0750000 1.04426
0.100000 0.905200
0.125000 0.810396
0.150000 0.740482
0.200000 0.642484
0.275000 0.549465
0.350000 0.488433
0.500000 0.410989
0.750000 0.338802
1.00000 0.296265
1.50000 0.246701
2.00000 0.217980
2.75000 0.191730
3.50000 0.175466
5.00000 0.157009
7.50000 0.145015
10.0000 0.144512
15.0000 0.167839
20.0000 0.241548
23.2944 0.365267
24.9416 0.488338
26.5889 0.711772
27.4125 0.899492
28.2361 1.18585
29.0597 1.65525
29.8833 2.50711
30.2951 3.22248
30.7069 4.31244
31.1187 6.09470
31.5305 9.31306
31.7364 11.9998
31.9423 16.0669
32.0453 18.9346
32.1482 22.6541
32.1997 24.9430
32.2254 26.2208
32.2512 27.5996
32.2640 28.3306
32.2769 29.0913
32.2898 29.8833
32.3026 30.7082
32.3155 31.5679
32.3284 32.4645
32.3541 34.3761
32.3798 36.4634
32.4056 38.7477
32.4313 41.2547
32.4571 44.0131
32.5085 50.4362
32.5600 58.3793
32.6115 68.3662
32.6630 81.1564
32.7144 97.9104
32.7659 120.436
32.8174 151.724
32.8689 196.929
32.9203 265.650
32.9718 377.204
32.9975 460.920
33.0233 575.272
33.0490 736.725
33.0748 973.797
33.1005 1339.11
33.1262 1933.76
33.1520 2958.02
33.1777 4769.30
33.2039 7628.16
33.2300 9533.00
33.2562 7624.65
33.2823 4763.74
33.2986 3499.35
33.3150 2616.90
33.3476 1571.41
33.3803 1027.96
33.4129 718.641
33.4456 528.318
33.4782 403.803
33.5435 256.958
33.6088 177.353
33.6741 129.584
33.8047 77.6829
33.9353 51.6388
34.0660 36.7667
34.1966 27.4903
34.3272 21.3213
34.5884 13.8879
34.8496 9.75433
35.1108 7.22323
35.3720 5.56300
35.8945 3.59124
36.4169 2.51112
36.9393 1.85709
37.4617 1.43189
38.5066 0.932183
39.5514 0.662053
40.5963 0.500600
41.6412 0.397143
43.7309 0.278732
45.8206 0.218321
50.0000 0.169037
53.3788 0.162613
55.0681 0.169171
55.9128 0.184421
56.3352 0.229000
56.4408 0.268643
56.5463 0.364990
56.5991 0.475582
56.6519 0.711910
56.6783 0.943652
56.7047 1.34979
56.7311 2.12924
56.7443 2.78523
56.7575 3.72229
56.7788 5.85297
56.8000 7.27425
56.8213 5.85535
56.8425 3.72546
56.8575 2.68598
56.8724 1.99393
56.9023 1.21938
56.9322 0.839457
56.9622 0.631166
57.0220 0.425975
57.0818 0.333073
57.2015 0.254510
57.3211 0.223469
57.7997 0.192733
58.7569 0.191433
60.6713 0.211128
64.5000 0.289146
66.4144 0.357936
68.3288 0.464387
70.2431 0.641974
71.2003 0.788519
71.6789 0.925332
71.9182 1.14700
71.9780 1.30600
72.0379 1.64172
72.0678 1.97592
72.0977 2.58018
72.1276 3.80537
72.1426 4.89762
72.1575 6.53538
72.1788 9.89166
72.2000 12.1316
72.2213 9.90400
72.2425 6.55810
72.2577 4.90581
72.2729 3.81399
72.3033 2.60429
72.3336 2.01884
72.3640 1.70278
72.4248 1.40010
72.4855 1.27178
72.7285 1.16616
73.2145 1.26509
74.1864 1.67186
75.1584 2.36095
76.1303 3.61674
76.3733 4.09286
76.6163 4.67162
76.7378 5.00898
76.7985 5.19174
76.8593 5.38481
76.9200 5.58903
76.9808 5.80521
77.0415 6.03439
77.1023 6.27754
77.1630 6.53592
77.2238 6.81077
77.2845 7.10354
77.3452 7.41575
77.4667 8.10609
77.5882 8.89851
77.7097 9.81437
77.8312 10.8805
77.9527 12.1319
78.0742 13.6141
78.3172 17.5340
78.5602 23.4415
78.6817 27.5892
78.8032 32.9478
78.9247 40.0391
79.0462 49.6983
79.1677 63.3319
79.2891 83.4502
79.4106 114.910
79.5321 168.078
79.5929 209.580
79.6536 268.402
79.7144 355.527
79.7751 491.971
79.8359 721.807
79.8966 1147.55
79.9270 1505.25
79.9574 2038.01
79.9877 2854.14
80.0181 4107.73
80.0591 6572.19
80.1000 8220.74
80.1410 6581.00
80.1819 4113.03
80.2206 2595.21
80.2593 1718.24
80.2980 1200.24
80.3367 878.120
80.4142 522.470
80.4916 343.921
80.5690 242.701
80.6464 180.118
80.8012 110.208
80.9561 74.2105
81.1109 53.3105
81.2657 40.1219
81.4205 31.2746
81.7302 20.5185
82.0399 14.4815
82.3495 10.7604
82.6592 8.30691
83.2785 5.37635
83.8978 3.76069
84.5171 2.77717
85.1364 2.13476
86.3751 1.37502
87.6137 0.960554
88.8523 0.710279
90.0910 0.547903
92.5682 0.357544
95.0455 0.255084
97.5227 0.194402
100.000 0.156477
102.614 0.132002
105.229 0.122067
106.536 0.127240
107.843 0.155907
108.496 0.200925
108.823 0.246866
109.150 0.330990
109.477 0.509170
109.640 0.683632
109.804 0.994554
109.885 1.25028
109.967 1.63145
110.049 2.23540
110.130 3.27552
110.212 5.29569
110.253 7.10752
110.294 10.0316
110.335 15.2076
110.375 25.5055
110.396 34.8444
110.416 49.8765
110.437 75.3721
110.457 119.619
110.468 153.317
110.479 191.496
110.500 239.476
110.522 191.466
110.543 119.578
110.563 76.8153
110.582 51.6727
110.601 36.4616
110.621 26.9181
110.660 16.2081
110.699 10.7725
110.737 7.65674
110.776 5.71981
110.854 3.54723
110.932 2.42121
111.010 1.76601
111.087 1.35137
111.165 1.07256
111.320 0.732531
111.476 0.541208
111.787 0.344622
112.098 0.250713
112.409 0.198537
113.030 0.145305
114.274 0.105405
115.518 0.0903011
120.492 0.0742493
125.467 0.0749400
130.441 0.0856196
135.416 0.114059
137.903 0.143478
140.390 0.197438
142.877 0.312607
144.121 0.427086
145.365 0.635617
145.986 0.811369
146.608 1.07996
147.230 1.52090
147.852 2.32134
148.163 2.99282
148.474 4.01396
148.785 5.67774
148.940 6.93422
148.979 7.31451
149.018 7.72614
149.057 8.17502
149.095 8.66319
149.134 9.19818
149.173 9.78466
149.212 10.4294
149.251 11.1386
149.290 11.9252
149.329 12.7961
149.406 14.8552
149.484 17.4606
149.562 20.8141
149.640 25.2377
149.717 31.2391
149.795 39.6784
149.873 52.0360
149.950 71.1819
150.028 103.116
150.067 127.754
150.106 162.259
150.145 212.567
150.184 289.449
150.223 415.273
150.261 637.118
150.281 815.834
150.300 1069.30
150.320 1436.69
150.339 1967.29
150.370 3153.06
150.400 3950.21
150.431 3161.06
150.461 1973.22
150.484 1352.88
150.508 955.596
150.531 699.936
150.555 530.256
150.601 330.569
150.648 224.179
150.695 161.319
150.742 121.405
150.835 75.7231
150.929 51.6054
151.022 37.4002
151.116 28.3366
151.209 22.2062
151.396 14.6867
151.584 10.4308
151.771 7.79182
151.958 6.04479
152.332 3.94689
152.706 2.78474
153.080 2.07448
153.454 1.60935
154.203 1.05753
154.951 0.755635
155.699 0.573097
156.447 0.454705
157.944 0.316363
159.440 0.242776
162.434 0.174343
165.427 0.149523
168.420 0.144311
174.406 0.170339
177.399 0.203011
180.392 0.256704
183.385 0.347231
186.379 0.512322
187.875 0.650260
189.372 0.858893
190.868 1.19664
191.243 1.31407
191.617 1.45045
191.804 1.52708
191.991 1.61016
192.178 1.70051
192.365 1.79892
192.552 1.90651
192.739 2.02439
192.926 2.15396
193.113 2.29673
193.300 2.45477
193.487 2.63026
193.861 3.04482
194.236 3.56969
194.610 4.24803
194.984 5.14733
195.358 6.37675
195.732 8.12351
196.106 10.7279
196.480 14.8709
196.855 22.0688
197.042 27.8589
197.229 36.3167
197.416 49.3735
197.603 71.0540
197.790 110.973
197.883 144.752
197.977 196.309
198.071 280.160
198.164 427.277
198.258 710.376
198.304 949.846
198.351 1292.97
198.426 2071.43
198.500 2609.53
198.575 2105.09
198.649 1319.05
198.734 763.427
198.818 475.294
198.902 318.558
198.987 226.843
199.071 169.263
199.156 131.139
199.325 85.7001
199.493 60.9690
199.662 46.2891
200.000 31.2602
200.216 26.9825
200.431 25.4260
200.647 26.5756
200.862 31.5888
200.970 36.5517
201.078 44.3843
201.131 49.9566
201.158 53.3229
201.185 57.1463
201.199 59.2676
201.212 61.5405
201.226 63.9787
201.239 66.5777
201.253 69.3936
201.266 72.4040
201.293 79.1845
201.320 87.1617
201.347 96.5493
201.374 107.776
201.401 121.231
201.428 137.656
201.455 157.806
201.482 182.956
201.509 214.848
201.536 256.204
201.562 310.550
201.589 384.232
201.616 486.078
201.643 632.157
201.670 846.440
201.697 1169.31
201.724 1655.03
201.762 2637.18
201.800 3257.97
201.838 2578.03
201.876 1608.39
201.918 946.170
201.960 596.841
202.002 404.094
202.044 289.774
202.086 217.371
202.128 168.955
202.212 110.632
202.296 78.2461
202.380 58.5021
202.548 36.6322
202.716 25.4059
202.884 18.8572
203.219 11.8468
203.555 8.31450
203.891 6.25328
204.563 4.01436
205.234 2.85396
205.906 2.15877
207.249 1.38344
208.592 0.973628
209.935 0.727183
212.622 0.454932
215.308 0.314545
217.995 0.232505
223.367 0.145531
228.740 0.103715
234.113 0.0830316
236.799 0.0794825
239.486 0.0858768
240.829 0.100842
241.501 0.117195
242.172 0.148104
242.844 0.215345
243.180 0.282558
243.515 0.404749
243.683 0.507170
243.851 0.662623
244.019 0.915056
244.187 1.36547
244.271 1.73679
244.355 2.29060
244.439 3.17144
244.523 4.69240
244.607 7.66821
244.649 10.3516
244.691 14.7116
244.733 22.5068
244.754 28.8941
244.775 38.3248
244.796 52.9500
244.817 76.9743
244.827 94.9013
244.838 118.874
