Ta-181(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1055.05
1.25000E-05 943.664
1.50000E-05 861.444
2.00000E-05 746.033
2.75000E-05 636.221
3.50000E-05 563.950
4.25000E-05 511.778
5.00000E-05 471.837
6.25000E-05 422.025
7.50000E-05 385.256
0.000100000 333.643
0.000125000 298.422
0.000150000 272.422
0.000200000 235.928
0.000275000 201.204
0.000350000 178.352
0.000425000 161.855
0.000500000 149.226
0.000625000 133.476
0.000750000 121.851
0.00100000 105.533
0.00125000 94.3978
0.00150000 86.1788
0.00200000 74.6431
0.00275000 63.6687
0.00350000 56.4477
0.00425000 51.2358
0.00500000 47.2466
0.00625000 42.2729
0.00750000 38.6027
0.0100000 33.4535
0.0125000 29.9420
0.0150000 27.3517
0.0200000 23.7194
0.0253000 21.1196
0.0314750 18.9668
0.0376500 17.3712
0.0500000 15.1252
0.0625000 13.5753
0.0750000 12.4357
0.100000 10.8456
0.125000 9.76995
0.150000 8.98323
0.200000 7.89485
0.275000 6.88760
0.350000 6.25101
0.500000 5.49763
0.750000 4.92049
0.840000 4.81945
1.00000 4.72752
1.50000 4.96072
2.00000 5.95034
2.56290 8.66303
2.84435 11.4352
3.12580 16.4709
3.39435 26.3304
3.52863 35.5847
3.66290 51.3978
3.79718 81.8999
3.86431 109.146
3.93145 153.306
3.99859 231.998
4.03216 296.778
4.06573 393.437
4.09929 546.788
4.13286 811.068
4.14965 1021.03
4.16643 1323.11
4.18322 1778.34
4.20000 2504.97
4.21290 3394.44
4.22580 4804.42
4.23870 7146.65
4.25160 11106.0
4.26580 17720.0
4.28000 22093.5
4.29425 17629.9
4.30850 10988.7
4.31931 7559.93
4.33011 5353.88
4.34092 3928.34
4.35172 2979.26
4.37333 1858.76
4.39494 1259.26
4.41655 905.490
4.43816 680.714
4.48138 423.223
4.52459 287.552
4.56781 207.670
4.61103 156.801
4.65425 122.467
4.74069 80.4988
4.82713 56.8478
4.91356 42.2484
5.00000 32.6241
5.15625 21.9658
5.31250 15.8263
5.46875 11.9844
5.62500 9.43141
5.93750 6.37917
6.25000 4.72204
6.56250 3.75410
6.87500 3.17368
7.50000 2.68485
8.12500 2.86019
8.43750 3.26196
8.75000 4.03940
9.06250 5.55639
9.21875 6.86116
9.37500 8.86421
9.53125 12.1466
9.68750 18.0573
9.76563 22.9662
9.84375 30.3532
9.92188 42.2145
10.0000 63.0479
10.0776 104.367
10.1163 142.463
10.1551 206.074
10.1745 255.162
10.1939 323.982
10.2133 424.479
10.2327 578.792
10.2520 831.781
10.2714 1281.68
10.2811 1644.48
10.2908 2163.67
10.3005 2921.08
10.3102 4022.10
10.3251 6426.27
10.3400 8022.92
10.3549 6415.86
10.3698 4009.62
10.3837 2545.73
10.3976 1693.79
10.4115 1187.26
10.4253 870.681
10.4531 519.601
10.4809 342.692
10.5086 242.146
10.5364 179.906
10.5919 110.301
10.6474 74.4250
10.7030 53.5927
10.7585 40.4491
10.8140 31.6367
10.9251 20.9299
11.0361 14.9310
11.1472 11.2415
11.2582 8.81644
11.4803 5.94011
11.7024 4.38311
11.9246 3.47111
12.1467 2.92357
12.5909 2.50174
12.8130 2.59827
13.0351 3.01803
13.2572 4.13615
13.3682 5.30563
13.4793 7.44164
13.5904 11.8881
13.6459 16.1438
13.7014 23.5251
13.7569 38.0067
13.7847 51.1047
13.8125 72.5232
13.8402 110.965
13.8541 142.629
13.8680 189.637
13.8819 263.089
13.8957 385.043
13.9027 476.980
13.9096 601.025
13.9166 769.688
13.9235 997.086
13.9301 1275.86
13.9368 1593.81
13.9500 1990.86
13.9633 1592.24
13.9765 995.144
13.9883 645.118
14.0000 436.235
14.0118 309.372
14.0236 228.945
14.0471 138.403
14.0706 92.1196
14.0942 65.5879
14.1177 49.0562
14.1647 30.4571
14.2118 20.8141
14.2589 15.1892
14.3059 11.6270
14.3530 9.23058
14.4471 6.30512
14.5412 4.65434
14.7294 2.95208
14.9177 2.13306
15.1059 1.67457
15.4824 1.20323
15.8589 0.978488
16.2353 0.857802
16.9883 0.760990
17.7412 0.781868
18.4941 0.954450
18.8706 1.17570
19.2471 1.66721
19.4353 2.17553
19.6235 3.14985
19.7177 4.01798
19.8118 5.42475
19.9059 7.93648
19.9530 10.0106
20.0000 13.1162
20.0674 21.1748
20.1011 28.4951
20.1348 40.5239
20.1684 62.2874
20.1853 80.3812
20.2021 107.463
20.2190 150.317
20.2358 222.641
20.2442 278.047
20.2527 353.861
20.2611 458.627
20.2695 602.296
20.2771 770.622
20.2848 962.639
20.3000 1202.47
20.3076 1131.53
20.3153 961.904
20.3305 601.392
20.3397 447.135
20.3488 338.013
20.3671 206.246
20.3854 136.455
20.4037 96.2326
20.4221 71.2788
20.4404 54.8484
20.4770 35.3618
20.5136 24.7390
20.5502 18.3447
20.6234 11.3820
20.6967 7.88933
20.7699 5.90254
20.9164 3.86593
21.0628 2.92392
21.2093 2.44237
21.5022 2.08782
21.7951 2.15925
22.0881 2.63703
