W-182(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1044.65
1.25000E-05 935.298
1.50000E-05 854.579
2.00000E-05 741.275
2.75000E-05 633.466
3.50000E-05 562.515
4.25000E-05 511.294
5.00000E-05 472.082
6.25000E-05 423.179
7.50000E-05 387.081
0.000100000 336.411
0.000125000 301.832
0.000150000 276.306
0.000200000 240.478
0.000275000 206.387
0.000350000 183.952
0.000425000 167.756
0.000500000 155.357
0.000625000 139.894
0.000750000 128.480
0.00100000 112.459
0.00125000 101.527
0.00150000 93.4571
0.00200000 82.1306
0.00275000 71.3549
0.00350000 64.2641
0.00425000 59.1460
0.00500000 55.2283
0.00625000 50.3433
0.00750000 46.7382
0.0100000 41.6793
0.0125000 38.2285
0.0150000 35.6823
0.0200000 32.1104
0.0253000 29.5521
0.0314750 27.4320
0.0376500 25.8591
0.0500000 23.6421
0.0625000 22.1087
0.0750000 20.9785
0.100000 19.3953
0.125000 18.3178
0.150000 17.5243
0.200000 16.4142
0.275000 15.3635
0.350000 14.6768
0.500000 13.8117
0.750000 13.0257
1.00000 12.5981
1.50000 12.2669
2.00000 12.4992
2.53130 13.7911
2.79695 15.3649
3.06260 18.4664
3.19543 21.1809
3.32825 25.4105
3.46108 32.4496
3.59390 45.3233
3.66031 56.1293
3.72673 72.5064
3.79314 98.9803
3.85955 145.762
3.89276 183.857
3.90936 209.056
3.91766 223.716
3.92596 240.020
3.93427 258.226
3.94257 278.634
3.95087 301.616
3.95917 327.612
3.96747 357.177
3.97577 390.977
3.98407 429.863
3.99238 474.886
4.00898 589.141
4.02558 750.031
4.04219 986.201
4.05879 1351.40
4.06709 1612.81
4.07539 1954.87
4.08369 2412.62
4.09199 3040.38
4.10030 3924.84
4.10860 5204.41
4.11690 7094.45
4.12520 9880.00
4.13760 15846.0
4.15000 19854.6
4.16240 15912.3
4.17480 9964.11
4.18769 6035.28
4.20059 3882.24
4.21348 2661.60
4.22638 1924.11
4.23927 1450.88
4.25216 1131.44
4.27795 742.716
4.30374 525.335
4.32953 392.024
4.38110 244.073
4.43268 168.209
4.48425 124.196
4.53583 96.3917
4.58740 77.6969
4.69055 54.8635
4.79370 41.9430
4.89685 33.9019
5.00000 28.5430
5.15625 23.2655
5.31250 19.9023
5.62500 15.9737
5.93750 13.8104
6.25000 12.4609
6.87500 10.8689
7.50000 9.93786
8.75000 8.81202
10.0000 8.06802
12.5000 6.99102
13.7500 6.59646
15.0000 6.37551
16.2500 6.59529
16.8750 7.10835
17.5000 8.23357
18.1250 10.6572
18.2813 11.6321
18.4375 12.8362
18.5156 13.5439
18.5938 14.3350
18.6328 14.7656
18.6524 14.9904
18.6719 15.2218
18.6914 15.4600
18.7109 15.7053
18.7305 15.9579
18.7500 16.2182
18.7695 16.4864
18.7891 16.7628
18.8086 17.0476
18.8281 17.3412
18.8672 17.9563
18.9063 18.6108
18.9844 20.0511
19.0625 21.6909
19.1406 23.5659
19.2188 25.7187
19.3750 31.0850
19.5313 38.3976
19.6875 48.6408
19.8438 63.4886
20.0000 85.9672
20.1259 113.476
20.2518 155.620
20.3776 224.406
20.5035 346.876
20.5664 446.958
20.6294 594.631
20.6923 824.641
20.7553 1209.49
20.8182 1920.96
20.8497 2523.58
20.8811 3441.52
20.9126 4924.72
20.9441 7502.38
20.9755 12370.6
20.9913 16400.9
21.0070 22089.1
21.0335 35604.2
21.0600 44819.9
21.0865 36110.5
21.1130 22738.2
21.1412 13695.1
21.1694 8784.65
21.1976 6019.31
21.2258 4355.06
21.2541 3289.44
21.2823 2570.68
21.3387 1695.73
21.3951 1205.48
21.4515 903.878
21.5644 567.356
21.6772 393.314
21.7900 291.428
21.9029 226.471
22.0157 182.397
22.2414 127.878
22.4671 96.4862
22.6928 76.6262
22.9184 63.1849
23.3698 46.5253
23.8212 36.8526
24.2725 30.6578
24.7239 26.4047
25.6266 21.0130
26.5293 17.7744
27.4320 15.6259
28.3348 14.0968
30.1402 12.0545
31.9456 10.7344
33.7511 9.79294
35.5565 9.07423
39.1674 8.01749
42.7783 7.24519
50.0000 6.11419
56.2500 5.35932
62.5000 4.70704
75.0000 3.52225
81.2500 2.92562
87.5000 2.28792
93.7500 1.59095
96.8750 1.23539
100.000 0.932694
101.767 0.844510
102.650 0.850732
103.092 0.873525
103.313 0.891134
103.533 0.913498
103.754 0.941162
