Pt-194(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 84.9375
1.25000E-05 77.3152
1.50000E-05 71.6886
1.51356E-05 71.4239
1.86209E-05 65.6475
2.00000E-05 63.7907
2.29087E-05 60.4397
2.75000E-05 56.2758
2.81838E-05 55.7444
2.98063E-05 54.5575
3.14288E-05 53.4638
3.46737E-05 51.5113
3.50000E-05 51.3301
3.59573E-05 50.8130
3.69145E-05 50.3161
3.88290E-05 49.3779
4.26579E-05 47.6949
5.00000E-05 45.0265
5.24808E-05 44.2541
5.85231E-05 42.5828
6.45654E-05 41.1520
7.50000E-05 39.1014
7.94328E-05 38.3552
8.85783E-05 36.9967
9.77238E-05 35.8337
0.000100000 35.5693
0.000105057 35.0131
0.000110113 34.4956
0.000120226 33.5604
0.000147911 31.5108
0.000150000 31.3796
0.000157993 30.9020
0.000165985 30.4592
0.000181970 29.6630
0.000200000 28.8821
0.000223872 27.9970
0.000275000 26.5056
0.000275423 26.4951
0.000276414 26.4704
0.000277405 26.4458
0.000279387 26.3971
0.000283350 26.3012
0.000291278 26.1154
0.000307133 25.7655
0.000338844 25.1409
0.000350000 24.9416
0.000383435 24.3974
0.000416870 23.9201
0.000500000 22.9482
0.000512861 22.8194
0.000542385 22.5411
0.000571909 22.2847
0.000630958 21.8270
0.000750000 21.0745
0.000776247 20.9323
0.000865620 20.4978
0.000954993 20.1257
0.00100000 19.9575
0.00117490 19.3985
0.00144544 18.7428
0.00150000 18.6326
0.00163914 18.3768
0.00177828 18.1517
0.00200000 17.8427
0.00218776 17.6187
0.00269154 17.1382
0.00275000 17.0912
0.00289033 16.9842
0.00303066 16.8847
0.00331131 16.7050
0.00350000 16.5965
0.00407380 16.3144
0.00500000 15.9661
0.00501187 15.9622
0.00504794 15.9507
0.00508401 15.9393
0.00515614 15.9168
0.00530040 15.8732
0.00558892 15.7912
0.00616596 15.6447
0.00750000 15.3734
0.00758578 15.3584
0.00780412 15.3215
0.00802247 15.2860
0.00845916 15.2193
0.00933255 15.1003
0.0100000 15.0200
0.0114816 14.8675
0.0141254 14.6576
0.0150000 14.6007
0.0173780 14.4684
0.0200000 14.3507
0.0213796 14.2977
0.0253000 14.1714
0.0323594 14.0048
0.0376500 13.9120
0.0398107 13.8796
0.0443943 13.8187
0.0489778 13.7665
0.0500000 13.7559
0.0525640 13.7305
0.0551280 13.7070
0.0602560 13.6645
0.0741311 13.5723
0.0750000 13.5674
0.0770252 13.5563
0.0790503 13.5456
0.0831006 13.5254
0.0912012 13.4891
0.100000 13.4547
0.112202 13.4138
0.138039 13.3457
0.150000 13.3202
0.169824 13.2840
0.200000 13.2393
0.208930 13.2279
0.232985 13.2006
0.257040 13.1770
0.275000 13.1614
0.316228 13.1305
0.350000 13.1092
0.389045 13.0880
0.478630 13.0488
0.500000 13.0409
0.544422 13.0260
0.588844 13.0125
0.724437 12.9787
0.750000 12.9732
0.820626 12.9593
0.891251 12.9467
1.00000 12.9296
1.34896 12.8867
1.50000 12.8717
1.65959 12.8575
2.00000 12.8312
2.04174 12.8282
2.15928 12.8202
2.27681 12.8126
2.51189 12.7983
2.75000 12.7848
3.09030 12.7669
3.50000 12.7472
3.80190 12.7336
4.67735 12.6975
5.00000 12.6851
5.75440 12.6578
7.07946 12.6138
7.50000 12.6007
8.70965 12.5646
10.0000 12.5285
13.1826 12.4473
15.0000 12.4049
16.2181 12.3777
19.9526 12.3002
20.0000 12.2993
20.1421 12.2965
20.2842 12.2937
20.5684 12.2881
21.1368 12.2772
22.2736 12.2557
24.5471 12.2143
27.5000 12.1637
30.1996 12.1200
35.0000 12.0478
40.0000 11.9788
45.7089 11.9065
50.0000 11.8559
56.2342 11.7874
69.1831 11.6598
75.0000 11.6076
85.1138 11.5226
100.000 11.4075
128.825 11.2055
150.000 11.0655
158.489 11.0100
179.245 10.8730
200.000 10.7310
239.883 10.4261
264.158 10.2023
288.433 9.92368
300.000 9.75849
315.770 9.47495
331.539 9.06802
339.424 8.77489
347.309 8.36495
351.251 8.08601
355.193 7.72611
359.136 7.23883
363.078 6.53504
364.802 6.11724
366.525 5.59809
368.249 4.93964
369.972 4.09343
370.834 3.58868
371.696 3.04068
372.557 2.50600
373.419 2.19350
373.635 2.21549
373.850 2.31568
374.066 2.52904
374.173 2.69339
374.281 2.90725
374.389 3.18171
374.496 3.52973
374.604 3.96850
374.712 4.51952
374.820 5.21034
374.927 6.07657
375.035 7.16477
375.143 8.53657
375.358 12.4941
375.574 19.0558
375.789 30.4715
375.897 39.3733
376.004 51.7865
376.112 69.6123
376.220 96.0788
376.328 137.200
376.435 204.892
376.543 325.200
376.597 422.353
376.651 562.397
376.705 772.533
