Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 180.687
1.25000E-05 161.611
1.50000E-05 147.530
1.56878E-05 144.260
1.96492E-05 128.901
2.00000E-05 127.765
2.11527E-05 124.235
2.23054E-05 120.982
2.46108E-05 115.177
2.75000E-05 108.958
3.08253E-05 102.914
3.50000E-05 96.5813
3.86090E-05 91.9565
4.83583E-05 82.1659
5.00000E-05 80.8057
5.52847E-05 76.8466
6.05693E-05 73.4177
7.50000E-05 65.9775
7.58636E-05 65.6009
7.82582E-05 64.5895
8.06527E-05 63.6234
8.54419E-05 61.8146
9.50201E-05 58.6164
0.000100000 57.1382
0.000119014 52.3755
0.000149066 46.7991
0.000150000 46.6531
0.000152294 46.3004
0.000154588 45.9555
0.000159177 45.2883
0.000168353 44.0367
0.000186707 41.8163
0.000200000 40.4027
0.000233852 37.3642
0.000275000 34.4555
0.000292903 33.3860
0.000350000 30.5415
0.000366863 29.8313
0.000413182 28.1096
0.000459500 26.6552
0.000500000 25.5528
0.000575530 23.8172
0.000720857 21.2813
0.000750000 20.8637
0.000826441 19.8754
0.000902881 19.0154
0.00100000 18.0685
0.00113087 16.9908
0.00141643 15.1818
0.00150000 14.7527
0.00177409 13.5653
0.00200000 12.7762
0.00222206 12.1209
0.00275000 10.8954
0.00278316 10.8303
0.00287100 10.6633
0.00295885 10.5038
0.00313455 10.2052
0.00348594 9.67713
0.00350000 9.65767
0.00355414 9.58383
0.00360827 9.51165
0.00371654 9.37207
0.00393309 9.11039
0.00436618 8.64670
0.00500000 8.08002
0.00546868 7.72598
0.00684958 6.90326
0.00750000 6.59708
0.00857917 6.16813
0.0100000 5.71305
0.0107455 5.51125
0.0134589 4.92428
0.0150000 4.66437
0.0168574 4.39980
0.0200000 4.03919
0.0211141 3.93112
0.0253000 3.59102
0.0331234 3.13808
0.0376500 2.94322
0.0414874 2.80366
0.0500000 2.55357
0.0519634 2.50480
0.0585240 2.36002
0.0650847 2.23772
0.0750000 2.08429
0.0815193 1.99903
0.100000 1.80445
0.102104 1.78571
0.108550 1.73173
0.114995 1.68236
0.127886 1.59505
0.150000 1.47236
0.160179 1.42462
0.200000 1.27428
0.200626 1.27228
0.202209 1.26726
0.203792 1.26231
0.206958 1.25256
0.213291 1.23373
0.225956 1.19846
0.251286 1.13609
0.275000 1.08568
0.314739 1.01433
0.350000 0.961465
0.394213 0.905462
0.493756 0.808111
0.500000 0.802991
0.514805 0.791226
0.529609 0.779957
0.559218 0.758772
0.618436 0.721053
0.750000 0.653832
0.774597 0.643201
0.830948 0.620648
0.887299 0.600274
1.00000 0.564813
1.21518 0.511361
1.50000 0.459175
1.52202 0.455764
1.57006 0.448573
1.61810 0.441707
1.71418 0.428853
1.90635 0.406142
2.00000 0.396289
2.19386 0.377954
2.38772 0.361928
2.75000 0.336728
2.99065 0.322637
3.50000 0.297894
3.74582 0.287866
4.69167 0.257290
5.00000 0.249369
5.87637 0.230654
7.36023 0.207780
7.50000 0.206035
7.81250 0.202337
8.12500 0.198896
8.75000 0.192695
10.0000 0.182518
11.5466 0.173002
14.4622 0.161214
15.0000 0.159678
16.5571 0.156081
18.1141 0.153555
20.0000 0.151672
22.6881 0.150814
27.5000 0.153613
28.4171 0.154705
31.7086 0.160025
35.0000 0.167565
35.5928 0.169170
37.8397 0.175984
40.0866 0.184037
44.5803 0.204476
50.0000 0.239077
55.8373 0.294492
61.9187 0.386036
68.0000 0.543650
72.7778 0.763001
76.4825 1.05410
80.1872 1.57181
82.0396 1.99792
82.5027 2.13280
82.9658 2.28233
83.1973 2.36328
83.4289 2.44876
83.6604 2.53911
83.8920 2.63472
84.1235 2.73600
84.3550 2.84341
84.5866 2.95747
84.8181 3.07873
85.0497 3.20781
85.2812 3.34541
85.7443 3.64932
86.2074 3.99777
86.6705 4.39992
87.1336 4.86748
87.5967 5.41548
88.0941 6.11631
88.5915 6.96541
89.0890 8.00795
89.5864 9.30762
90.0838 10.9569
90.5813 13.0935
91.0787 15.9309
91.5761 19.8133
92.0736 25.3255
92.5710 33.5258
93.0684 46.4939
93.5659 68.7791
93.8146 86.4688
94.0633 111.952
94.3120 150.526
94.5607 212.799
94.8095 322.442
94.9338 411.073
95.0582 540.215
95.1825 737.033
95.3069 1052.73
95.4313 1585.66
95.5556 2505.03
95.6878 4006.58
95.8200 5010.14
95.9522 4009.28
96.0844 2504.55
96.2068 1594.11
96.3291 1062.30
96.4515 745.380
96.5739 546.989
96.8186 326.676
97.0633 215.453
97.3080 152.200
97.5528 113.006
98.0422 69.1494
98.5317 46.5366
99.0211 33.4000
99.5106 25.1092
100.000 19.5480
101.169 11.8866
102.339 7.96648
103.508 5.69892
104.678 4.27193
107.016 2.64704
109.355 1.79378
111.694 1.29195
114.033 0.972616
118.710 0.605375
123.388 0.410948
128.065 0.296174
132.743 0.223040
137.420 0.173725
143.710 0.129376
150.000 0.0999930
161.060 0.0680316
172.120 0.0493935
186.060 0.0353218
200.000 0.0267637
218.750 0.0197557
237.500 0.0155174
275.000 0.0109925
300.000 0.00944069
340.000 0.00814840
350.000 0.00797616
386.801 0.00771278
423.602 0.00795027
500.000 0.0103282
530.567 0.0125339
