Au-197(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4914.44
1.25000E-05 4395.61
1.50000E-05 4012.63
2.00000E-05 3475.04
2.75000E-05 2963.54
3.50000E-05 2626.90
4.25000E-05 2383.88
5.00000E-05 2197.84
6.25000E-05 1965.81
7.50000E-05 1794.54
0.000100000 1554.14
0.000125000 1390.07
0.000150000 1268.97
0.000200000 1098.98
0.000275000 937.242
0.000350000 830.800
0.000425000 753.960
0.000500000 695.137
0.000625000 621.779
0.000750000 567.632
0.00100000 491.631
0.00125000 439.770
0.00150000 401.492
0.00200000 347.769
0.00275000 296.664
0.00350000 263.040
0.00425000 238.774
0.00500000 220.203
0.00625000 197.050
0.00750000 179.968
0.0100000 156.007
0.0125000 139.671
0.0150000 127.625
0.0200000 110.740
0.0253000 98.6618
0.0314750 88.6675
0.0376500 81.2652
0.0500000 70.8575
0.0625000 63.6863
0.0750000 58.4220
0.100000 51.0938
0.125000 46.1530
0.150000 42.5520
0.200000 37.5968
0.275000 33.0556
0.350000 30.2249
0.500000 26.9552
0.750000 24.6156
1.00000 24.0249
1.50000 25.5948
2.00000 30.2583
2.70510 45.1009
3.05765 60.0811
3.41020 86.9130
3.58648 109.022
3.76275 142.047
3.93903 194.601
4.02716 233.433
4.11530 285.911
4.20344 359.302
4.29158 466.433
4.37971 631.693
4.46785 906.076
4.51192 1116.73
4.55599 1410.84
4.60006 1838.25
4.64413 2491.06
4.68819 3552.80
4.73226 5421.48
4.75430 6912.83
4.77633 9030.51
4.79837 12088.4
4.82040 16483.6
4.85520 26274.7
4.89000 32705.9
4.92480 26056.0
4.95960 16225.4
5.00000 9240.66
5.03906 5763.67
5.07813 3862.42
5.11719 2742.33
5.15625 2036.83
5.23438 1240.54
5.31250 829.174
5.39063 590.893
5.46875 441.169
5.62500 271.320
5.78125 182.648
5.93750 130.786
6.09375 97.9450
6.25000 75.8935
6.56250 49.1252
6.87500 34.1809
7.18750 25.0389
7.50000 19.0641
8.12500 12.0243
8.75000 8.22019
9.37500 5.95035
10.0000 4.49613
11.2500 2.82007
12.5000 1.93576
13.7500 1.41723
15.0000 1.08934
17.5000 0.716505
20.0000 0.522804
23.2982 0.385810
26.5965 0.313084
33.1930 0.256760
39.7894 0.277042
43.0877 0.329490
44.7368 0.393970
45.1491 0.431219
45.5614 0.511811
45.7675 0.605899
45.9736 0.833414
46.0767 1.10127
46.1282 1.33492
46.1798 1.70375
46.2313 2.33363
46.2828 3.52759
46.3086 4.55563
46.3344 6.12464
46.3601 8.60625
46.3859 12.5589
46.4180 19.8442
46.4500 24.6979
46.4821 19.8334
46.5141 12.5475
46.5413 8.42175
46.5686 5.90414
46.5958 4.34819
46.6230 3.34807
46.6775 2.20824
46.7320 1.61935
46.8409 1.06834
46.9498 0.831268
47.1677 0.641930
47.3856 0.574792
48.2571 0.543792
50.0000 0.669001
51.9657 0.962861
52.9486 1.21557
53.9314 1.60662
54.9143 2.26350
55.8971 3.53105
56.3885 4.72071
56.8800 6.95917
57.1257 9.15628
57.3714 13.7668
57.4942 18.8180
57.5557 23.1606
57.6171 30.0625
57.6785 42.1821
57.7400 66.6389
57.7707 89.3507
57.7860 105.667
57.8014 126.998
57.8167 155.401
57.8321 193.739
57.8475 245.987
57.8628 316.531
57.8774 402.423
57.8919 500.577
57.9210 623.319
57.9356 587.322
57.9501 500.882
57.9792 317.346
58.0110 192.222
58.0427 125.902
58.0744 89.3339
58.1062 67.7817
58.1697 45.4103
58.2332 35.1328
58.3601 27.3305
58.4871 25.8850
58.7411 30.4162
58.9950 42.9664
59.1220 53.8418
59.2490 70.1335
59.3759 95.7731
59.5029 139.171
59.5664 173.017
59.6299 220.907
59.6934 291.653
59.7569 402.017
59.8203 586.842
59.8838 926.214
59.9156 1208.69
59.9473 1625.66
59.9791 2257.19
60.0108 3214.57
60.0549 5140.78
60.0990 6422.05
60.1431 5134.71
60.1872 3208.01
60.2224 2169.21
60.2576 1515.25
60.2928 1100.56
60.3280 828.554
60.3983 512.065
60.4687 345.105
60.5391 247.427
60.6095 185.725
60.7502 115.390
60.8909 78.4715
61.0317 56.7718
61.1724 42.9581
61.3132 33.6320
61.5947 22.2160
61.8762 15.7644
62.1577 11.7676
62.4391 9.12228
63.0021 5.94974
63.5651 4.19342
64.1281 3.12143
64.6911 2.42026
65.8171 1.59147
66.9430 1.14250
68.0690 0.876846
69.1950 0.712583
71.4469 0.559778
72.5729 0.553856
73.6988 0.612841
74.8248 0.805784
75.3878 1.01900
75.9508 1.41972
76.2323 1.76029
76.5138 2.28034
76.7953 3.12833
77.0767 4.64557
77.2175 5.89737
77.3582 7.76807
77.4990 10.7427
77.6397 15.8906
77.7805 25.9669
77.8508 35.0648
77.9212 49.9157
77.9916 76.4932
78.0268 98.3324
78.0620 130.659
78.0972 180.998
78.1323 264.119
78.1675 410.283
78.1851 523.622
78.2027 675.636
78.2369 1080.34
78.2710 1349.76
78.3052 1079.78
78.3393 674.973
78.3605 497.154
78.3816 372.701
78.4239 224.586
78.4662 147.287
78.5085 103.179
78.5508 75.9880
78.5931 58.1718
78.6778 37.1275
78.7624 25.7033
78.8470 18.8403
79.0162 11.3749
79.1854 7.62356
79.3547 5.47870
79.5239 4.13897
79.6931 3.24673
80.0316 2.16916
80.3700 1.56759
80.7085 1.19751
81.0469 0.953392
81.7238 0.660645
82.4007 0.497572
83.7545 0.329765
85.1083 0.247978
86.4621 0.201158
89.1697 0.151556
91.8772 0.127952
94.5848 0.117909
97.2924 0.120054
100.000 0.144064
101.735 0.191169
102.603 0.240281
103.471 0.331276
103.904 0.408467
104.338 0.526642
104.772 0.720585
105.206 1.07167
105.423 1.36506
105.640 1.80930
105.857 2.52861
106.073 3.80728
106.182 4.85756
106.290 6.41914
106.399 8.89114
106.507 13.1337
106.616 21.3512
106.670 28.6753
106.724 40.4736
106.778 61.2253
106.833 102.162
106.860 138.933
106.887 197.538
106.900 240.244
106.914 295.615
106.928 368.752
106.941 463.054
106.956 593.698
106.971 742.255
107.000 928.925
107.015 873.517
107.030 742.029
107.059 462.782
107.088 285.297
107.118 185.732
107.147 128.244
107.176 93.1580
107.205 70.3517
107.235 54.9061
107.293 35.9517
107.352 25.2941
107.410 18.7391
107.527 11.4530
107.644 7.71810
107.761 5.55555
107.878 4.19339
107.995 3.28076
108.229 2.17218
108.463 1.55091
108.697 1.16813
108.931 0.915782
109.399 0.614277
109.867 0.448002
110.335 0.346710
110.803 0.280504
111.739 0.202198
112.675 0.159644
114.548 0.118461
116.420 0.103032
118.292 0.105534
119.228 0.120227
119.696 0.136772
120.164 0.167979
120.632 0.234975
120.866 0.300810
121.100 0.418186
121.334 0.658305
121.451 0.885511
121.568 1.27576
121.685 2.03040
121.744 2.70298
121.802 3.78556
121.861 5.68236
121.919 9.41910
121.948 12.7722
121.978 18.0789
122.007 26.9432
122.036 41.9011
122.068 66.7404
122.100 83.1901
122.132 66.7227
122.164 41.8789
122.186 30.0583
122.207 22.0440
122.229 16.6249
122.251 12.8989
122.294 8.31545
122.337 5.76800
122.381 4.22604
122.424 3.22838
122.511 2.06481
122.597 1.44073
122.684 1.06868
122.857 0.666847
123.030 0.466164
123.203 0.351967
123.550 0.233578
123.896 0.176641
124.243 0.144995
124.936 0.112958
126.321 0.0901085
127.707 0.0830808
130.479 0.0822863
133.250 0.0904121
136.022 0.109527
138.793 0.156301
140.179 0.212256
140.872 0.263770
141.565 0.352713
142.257 0.532862
142.604 0.705767
142.950 1.01198
143.297 1.64186
143.470 2.24580
143.643 3.30304
143.816 5.41584
143.903 7.36959
143.990 10.6447
144.076 16.7477
144.120 21.9793
144.163 30.0641
144.206 43.4202
144.249 67.4509
144.271 87.0942
144.293 115.399
144.314 157.416
144.336 219.032
144.368 348.994
144.400 435.063
144.432 348.911
144.464 218.933
144.491 145.478
144.518 100.219
144.545 72.0586
144.572 53.9094
144.625 33.0234
144.679 22.1806
144.733 15.8847
144.787 11.9404
144.894 7.47121
145.001 5.13859
145.109 3.77591
145.324 2.33249
145.539 1.62960
145.754 1.24007
146.183 0.858608
146.613 0.703069
147.043 0.648467
147.903 0.711841
148.332 0.826617
148.762 1.02478
149.192 1.36685
149.622 1.99941
149.837 2.53162
150.052 3.33935
150.267 4.64880
150.481 6.97754
150.589 8.89030
150.696 11.7338
150.804 16.2336
150.911 23.9525
151.019 38.8907
151.072 52.1923
151.126 73.5989
151.153 89.5572
151.180 111.196
151.207 141.465
151.234 185.194
151.261 251.656
151.287 356.929
151.314 533.231
151.341 832.011
151.371 1335.61
151.400 1673.14
151.430 1335.27
151.459 831.626
151.481 573.686
151.503 407.349
151.526 299.605
151.548 227.979
151.592 142.764
151.636 97.1225
151.681 70.0558
151.725 52.8584
151.814 33.0780
151.903 22.6210
151.991 16.4455
152.080 12.5019
152.169 9.83569
152.346 6.56090
152.523 4.70772
152.701 3.55825
152.878 2.79809
153.233 1.88790
153.587 1.38752
154.297 0.892854
155.006 0.677415
155.716 0.580343
157.135 0.563432
158.553 0.747409
159.263 0.968822
159.972 1.38414
160.327 1.73401
160.682 2.26367
161.037 3.11930
161.391 4.63512
161.569 5.87707
161.746 7.72236
161.923 10.6420
162.101 15.6618
162.278 25.4237
162.367 34.1852
162.455 48.3852
162.544 73.6121
162.588 94.2052
162.633 124.396
162.677 171.028
162.721 246.803
162.766 377.339
162.810 608.333
162.855 972.809
162.900 1215.62
162.945 972.477
162.990 608.017
163.019 442.668
163.048 328.957
163.106 195.942
163.164 127.654
163.221 89.2307
163.279 65.7250
163.337 50.4638
163.453 32.6075
163.569 23.0912
163.684 17.5456
163.916 12.1190
164.147 10.7804
164.263 11.4989
164.378 13.7052
164.494 18.9165
164.552 23.9005
164.610 32.1688
164.668 47.0770
164.725 77.2420
164.754 104.934
164.783 149.989
164.812 227.451
164.827 286.548
164.841 364.040
164.856 465.233
164.871 579.913
164.900 723.414
164.930 579.652
164.959 363.612
164.984 242.316
165.008 167.571
165.033 121.030
165.058 91.0127
165.107 56.4466
165.156 38.4058
165.206 27.8928
165.255 21.2793
165.354 13.7275
165.452 9.72944
165.551 7.35197
165.748 4.75308
165.946 3.41474
166.143 2.62039
166.537 1.74075
166.932 1.27417
167.326 0.989547
168.116 0.665635
168.905 0.490797
169.694 0.384246
171.272 0.265685
172.850 0.205463
174.429 0.172556
177.585 0.148713
180.742 0.166497
182.320 0.198587
183.898 0.264307
185.476 0.411476
186.265 0.559763
187.055 0.830152
187.449 1.05722
187.844 1.40234
188.238 1.96378
188.633 2.96780
188.830 3.79728
189.027 5.03914
189.225 7.01916
189.422 10.4583
189.619 17.2382
189.718 23.4097
189.817 33.5548
189.915 51.9476
189.965 67.2348
190.014 90.1457
190.063 126.409
190.112 187.720
190.162 299.161
190.186 388.498
190.211 510.673
190.256 816.940
190.300 1020.99
190.345 816.666
190.389 510.370
190.427 337.596
190.464 231.988
190.502 166.339
190.539 124.119
190.614 75.7732
190.689 50.6826
190.765 36.1599
190.840 27.0507
190.990 16.7426
191.140 11.3623
191.290 8.21277
191.440 6.21381
191.590 4.86778
191.891 3.22263
192.191 2.29516
192.492 1.72126
192.792 1.34193
193.393 0.887311
193.993 0.635736
194.594 0.482111
195.195 0.381497
196.396 0.262069
197.597 0.196655
