Hg-200(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 87.0949
1.25000E-05 79.4334
1.50000E-05 73.7779
2.00000E-05 65.8394
2.75000E-05 58.2859
3.50000E-05 53.3148
4.25000E-05 49.7261
5.00000E-05 46.9787
6.25000E-05 43.5524
7.50000E-05 41.0232
0.000100000 37.4730
0.000125000 35.0502
0.000150000 33.2618
0.000200000 30.7514
0.000275000 28.3628
0.000350000 26.7908
0.000425000 25.6559
0.000500000 24.7871
0.000625000 23.7036
0.000750000 22.9038
0.00100000 21.7811
0.00125000 21.0150
0.00150000 20.4494
0.00200000 19.6556
0.00275000 18.9002
0.00350000 18.4031
0.00425000 18.0442
0.00500000 17.7695
0.00625000 17.4268
0.00750000 17.1739
0.0100000 16.8189
0.0125000 16.5766
0.0150000 16.3977
0.0200000 16.1466
0.0253000 15.9666
0.0314750 15.8174
0.0376500 15.7065
0.0500000 15.5500
0.0625000 15.4416
0.0750000 15.3615
0.100000 15.2491
0.125000 15.1723
0.150000 15.1156
0.200000 15.0360
0.275000 14.9600
0.350000 14.9099
0.500000 14.8457
0.750000 14.7847
1.00000 14.7478
1.50000 14.7030
2.00000 14.6752
2.75000 14.6473
3.50000 14.6275
5.00000 14.5995
7.50000 14.5675
10.0000 14.5431
15.0000 14.5039
20.0000 14.4703
27.5000 14.4249
35.0000 14.3828
50.0000 14.3037
75.0000 14.1811
100.000 14.0661
150.000 13.8512
200.000 13.6511
275.000 13.3687
350.000 13.0982
500.000 12.5567
625.000 12.0624
750.000 11.4700
875.000 10.6797
937.500 10.1504
1000.00 9.46811
1040.04 8.90964
1080.08 8.20983
1120.11 7.30262
1160.15 6.07867
1180.17 5.29511
1200.19 4.35939
1220.21 3.24654
1240.23 1.98047
1250.24 1.35371
1260.24 0.854738
1262.75 0.775674
1265.25 0.726783
1266.50 0.716321
1267.75 0.716919
1269.00 0.730080
1270.25 0.757525
1271.51 0.801261
1272.76 0.863464
1274.01 0.946731
1275.26 1.05401
1276.51 1.18870
1277.76 1.35472
1280.26 1.79956
1282.77 2.43462
1285.27 3.32188
1287.77 4.54865
1290.27 6.23579
1292.78 8.55954
1295.28 11.7743
1297.78 16.2657
1300.28 22.6288
1302.79 31.8184
1305.29 45.4070
1307.79 66.1426
1310.29 99.0570
1312.79 153.982
1315.30 251.266
1317.80 435.462
1319.05 586.692
1320.30 798.540
1322.65 1382.83
1325.00 1866.69
1327.40 1610.31
1329.80 1080.87
1332.42 689.581
1335.04 469.665
1337.65 342.001
1340.27 262.840
1342.89 210.633
1345.51 174.382
1350.74 128.451
1355.98 101.284
1361.22 83.6999
1371.69 62.7276
1382.16 50.9008
1392.63 43.4192
1403.10 38.3031
1413.58 34.6028
1434.52 29.6328
1455.46 26.4628
1476.41 24.2699
1497.35 22.6630
1539.24 20.4616
1581.13 19.0161
1623.01 17.9848
1664.90 17.2036
1748.68 16.0730
1832.45 15.2590
1916.23 14.6064
2000.00 14.0333
2175.94 12.8599
2263.91 12.1755
2351.88 11.3093
2395.86 10.7555
2439.84 10.0708
2483.83 9.18724
2527.81 7.98611
2549.81 7.20372
2571.80 6.24683
2593.79 5.05822
2615.78 3.57622
2626.78 2.72110
2637.77 1.82408
2648.77 0.996962
2654.27 0.699869
2657.02 0.613142
2658.39 0.592044
2659.77 0.589291
2661.14 0.608058
2662.52 0.652044
2663.89 0.725709
2665.26 0.834127
2666.64 0.983604
2668.01 1.18123
2669.39 1.43601
2670.76 1.75802
2673.51 2.65759
2676.26 4.01635
2679.01 6.03860
2681.76 9.03793
2684.51 13.5096
2687.26 20.2616
2690.01 30.6635
2692.75 47.1366
2695.50 74.1659
2698.25 120.436
2701.00 203.161
2703.75 354.146
2706.88 648.221
2710.00 918.807
2713.13 827.465
2716.25 578.797
2718.48 440.005
2720.71 342.013
2722.94 273.576
2725.17 224.905
2729.63 162.724
2734.09 126.173
2738.55 102.795
2743.01 86.8497
2751.93 66.8682
2760.86 55.0833
2769.78 47.4163
2778.70 42.0733
2787.62 38.1563
2805.46 32.8262
2823.30 29.3858
2841.14 26.9889
2858.99 25.2257
2894.67 22.8056
2930.35 21.2205
2966.04 20.0982
3001.72 19.2585
3073.09 18.0768
3144.45 17.2739
3215.82 16.6829
3287.19 16.2219
3429.92 15.5280
3572.66 15.0035
3858.13 14.1683
4143.59 13.3732
4286.33 12.9118
4429.06 12.3419
4571.80 11.5575
4643.17 11.0171
4714.53 10.3023
4785.90 9.29287
