Hg-204(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.866603
1.50000E-05 0.835741
2.00000E-05 0.814513
2.23485E-05 0.806466
2.85228E-05 0.789062
3.46970E-05 0.775354
5.00000E-05 0.750428
5.93940E-05 0.738962
7.96970E-05 0.719783
0.000100000 0.705321
0.000108788 0.700028
0.000154394 0.678449
0.000200000 0.662926
0.000207577 0.660725
0.000306366 0.638118
0.000405155 0.622366
0.000500000 0.610768
0.000650155 0.596591
0.000800310 0.585606
0.00100000 0.574056
0.00129531 0.560924
0.00159062 0.550715
0.00200000 0.539550
0.00258563 0.527299
0.00317125 0.517759
0.00408563 0.506159
0.00500000 0.497099
0.00633250 0.486706
0.00816625 0.475761
0.0100000 0.467219
0.0126550 0.457483
0.0163275 0.447176
0.0200000 0.439136
0.0253000 0.430000
0.0376500 0.420593
0.0500000 0.414006
0.0558165 0.411478
0.0710748 0.405982
0.0863330 0.401612
0.100000 0.398342
0.147366 0.389839
0.200000 0.383270
0.269432 0.376967
0.384716 0.369570
0.500000 0.364219
0.513565 0.363677
0.756783 0.355915
1.00000 0.350438
1.00183 0.350403
1.49010 0.342747
1.97836 0.337384
2.00000 0.337180
2.96571 0.329868
3.93142 0.324735
5.00000 0.320419
6.41878 0.315996
7.83755 0.312504
10.0000 0.308296
12.8249 0.304057
15.6498 0.300708
20.0000 0.296631
25.6372 0.292561
31.2744 0.289343
40.6372 0.285157
50.0000 0.281886
62.5236 0.278402
81.2618 0.274371
100.000 0.271221
125.022 0.267872
162.511 0.263991
200.000 0.260960
250.019 0.257738
375.016 0.251989
500.013 0.247987
750.007 0.242455
1000.00 0.238605
1281.25 0.208688
1562.50 0.187460
2000.00 0.164042
2125.00 0.158753
2687.50 0.139827
3250.00 0.126175
4375.00 0.107446
5000.00 0.0999637
5500.00 0.0949439
6625.00 0.0858572
7750.00 0.0788780
10000.0 0.0687253
12812.5 0.0616700
15625.0 0.0565464
20000.0 0.0507630
21250.0 0.0494356
26875.0 0.0446133
32500.0 0.0410573
43750.0 0.0360552
50000.0 0.0340112
55000.0 0.0326235
77500.0 0.0280824
100000 0.0251219
140000 0.0238401
180000 0.0229256
200000 0.0225527
260000 0.0216503
340000 0.0207649
420000 0.0200931
438659 0.0180007
438710 0.0179955
448790 0.0169905
458871 0.0160620
461708 0.0158135
479032 0.0144065
503417 0.0127060
519355 0.0117426
551708 0.0100779
559677 0.00971882
600000 0.00815041
700000 0.00794026
800000 0.00776261
945191 0.00814308
1.00000E+06 0.00827584
1.13388E+06 0.00774532
1.13388E+06 0.00774531
1.13390E+06 0.00774524
1.16292E+06 0.00764272
1.19195E+06 0.00754400
1.25000E+06 0.00735719
1.37500E+06 0.00747576
1.50000E+06 0.00758568
1.75000E+06 0.00810466
1.83764E+06 0.00827648
1.83764E+06 0.00827648
1.85051E+06 0.00830131
1.86045E+06 0.00832042
1.86046E+06 0.00832043
1.87823E+06 0.00835447
1.91882E+06 0.00843150
1.95733E+06 0.00850374
1.95733E+06 0.00850374
1.99884E+06 0.00858069
2.00000E+06 0.00858283
2.09913E+06 0.00826191
2.15139E+06 0.00810341
2.20163E+06 0.00795739
2.20164E+06 0.00795737
2.20190E+06 0.00795662
2.27399E+06 0.00775724
2.27399E+06 0.00775724
2.27420E+06 0.00775668
2.27642E+06 0.00775072
2.31178E+06 0.00765718
2.31210E+06 0.00765635
2.33065E+06 0.00760830
2.35095E+06 0.00755650
2.38710E+06 0.00746621
2.40605E+06 0.00741985
2.40795E+06 0.00741524
2.50000E+06 0.00719931
2.68860E+06 0.00680123
2.69225E+06 0.00679401
2.73757E+06 0.00670589
2.73757E+06 0.00670588
2.74018E+06 0.00670089
2.74019E+06 0.00670088
2.75000E+06 0.00668217
2.76918E+06 0.00664594
2.77395E+06 0.00663700
2.77395E+06 0.00663700
