Pb-206(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1.49813
1.25000E-05 1.33997
1.50000E-05 1.22322
2.00000E-05 1.05934
2.75000E-05 0.903409
3.50000E-05 0.800786
4.25000E-05 0.726702
5.00000E-05 0.669986
6.25000E-05 0.599253
7.50000E-05 0.547041
0.000100000 0.473751
0.000125000 0.423736
0.000150000 0.386816
0.000200000 0.334993
0.000275000 0.285683
0.000350000 0.253231
0.000425000 0.229803
0.000500000 0.211868
0.000625000 0.189500
0.000750000 0.172989
0.00100000 0.149813
0.00125000 0.133997
0.00150000 0.122322
0.00200000 0.105934
0.00275000 0.0903406
0.00350000 0.0800783
0.00425000 0.0726698
0.00500000 0.0669982
0.00625000 0.0599250
0.00750000 0.0547037
0.0100000 0.0473747
0.0125000 0.0423731
0.0150000 0.0386811
0.0200000 0.0334987
0.0253000 0.0297835
0.0314750 0.0267024
0.0376500 0.0244144
0.0500000 0.0211854
0.0625000 0.0189485
0.0750000 0.0172973
0.100000 0.0149794
0.125000 0.0133975
0.150000 0.0122298
0.200000 0.0105906
0.275000 0.00903083
0.350000 0.00800419
0.500000 0.00669546
0.750000 0.00546503
1.00000 0.00473131
1.50000 0.00386057
2.00000 0.00334116
2.75000 0.00284656
3.50000 0.00252074
5.00000 0.00210488
7.50000 0.00171306
10.0000 0.00147876
15.0000 0.00119967
20.0000 0.00103235
27.5000 0.000872103
35.0000 0.000765853
50.0000 0.000629124
75.0000 0.000498726
100.000 0.000419841
150.000 0.000325001
200.000 0.000267951
237.500 0.000237573
275.000 0.000213735
312.500 0.000194458
350.000 0.000178513
425.000 0.000153623
500.000 0.000135070
625.000 0.000112827
750.000 9.72805E-05
875.000 8.58629E-05
1000.00 7.71714E-05
1500.00 5.69686E-05
2000.00 4.82169E-05
2339.21 4.67383E-05
2678.42 5.24200E-05
2848.03 6.39729E-05
2932.83 7.64740E-05
3017.63 0.000100209
3102.43 0.000152538
3187.24 0.000303997
3229.64 0.000517242
3272.04 0.00112805
3293.24 0.00198365
3303.84 0.00284364
3314.44 0.00442502
3325.04 0.00783421
3330.34 0.0112530
3335.64 0.0175249
3338.29 0.0228391
3340.94 0.0309971
3343.59 0.0444585
3346.24 0.0690543
3347.56 0.0898105
3348.89 0.121549
3350.21 0.173639
3351.54 0.268071
3352.20 0.347208
3352.86 0.467100
3353.53 0.662089
3354.19 1.00959
3354.52 1.29695
3354.85 1.72510
3355.18 2.40560
3355.51 3.58290
3355.85 5.89608
3356.01 7.98825
3356.18 11.3824
3356.34 17.4936
3356.43 22.5225
3356.51 29.8682
3356.59 41.4280
3356.67 60.5432
3356.76 94.1889
3356.84 154.373
3356.92 247.638
3357.00 308.904
3357.08 246.608
3357.16 154.531
3357.21 113.047
3357.26 84.7129
3357.36 51.0331
3357.46 33.3349
3357.56 23.3597
3357.66 17.1580
3357.76 13.1387
3357.96 8.38501
3358.17 5.79081
3358.37 4.23982
3358.77 2.54714
3359.17 1.69645
3359.57 1.20999
3359.97 0.906158
3360.37 0.703844
3361.17 0.459453
3361.98 0.323447
3362.78 0.239975
3363.58 0.185095
3365.18 0.119678
3366.79 0.0837060
3368.39 0.0618207
3370.00 0.0475228
3373.21 0.0305920
3376.41 0.0213347
3382.83 0.0120766
3389.25 0.00776673
3395.67 0.00541737
3408.50 0.00307317
3434.17 0.00139114
3459.84 0.000799814
3511.18 0.000375532
3562.52 0.000226128
3665.19 0.000118480
3767.87 8.02043E-05
3870.55 6.21274E-05
3973.23 5.20571E-05
4178.58 4.15859E-05
4589.29 3.31800E-05
5000.00 2.95148E-05
6250.00 2.47189E-05
7500.00 2.25467E-05
10000.0 2.13425E-05
10430.0 2.29396E-05
10645.0 2.85449E-05
10752.5 4.92315E-05
10806.2 0.000130021
10833.1 0.000450968
10846.5 0.00172879
10853.2 0.00679610
10856.6 0.0267166
10858.3 0.103667
10858.7 0.180660
10859.1 0.390667
10859.3 0.667609
10859.5 1.38880
10859.6 2.34766
10859.7 4.42027
10859.8 6.64358
10859.8 10.9994
10859.9 15.9038
10859.9 21.0933
10859.9 34.4421
10859.9 59.5852
10860.0 119.386
10860.0 88.8355
10860.1 59.8007
10860.1 34.5551
10860.1 21.1516
10860.2 11.0226
10860.2 6.09343
10860.3 4.11557
10860.4 2.11343
10860.5 1.33325
10860.7 0.648887
10860.9 0.382247
10861.7 0.102517
10863.4 0.0264168
10866.8 0.00674086
10873.6 0.00171608
10887.0 0.000449262
10914.0 0.000131270
10968.0 5.28634E-05
11075.9 3.98764E-05
11183.9 7.40967E-05
11237.8 0.000224556
11264.8 0.000824988
11278.3 0.00318904
11285.1 0.0123587
11288.4 0.0466825
11290.1 0.167954
11290.6 0.277549
11291.0 0.541529
11291.2 0.839274
11291.4 1.45963
11291.6 3.05411
11291.7 5.01435
11291.8 8.67208
11291.9 14.0357
11292.0 17.3682
11292.1 14.0404
11292.2 8.67589
11292.3 5.54128
11292.4 3.62243
11292.5 1.82087
11292.7 1.07346
11292.9 0.702643
11293.3 0.365745
11293.6 0.225862
11295.0 0.0639665
11297.9 0.0171042
11303.6 0.00443809
11315.0 0.00114420
11337.8 0.000305029
11383.5 9.30049E-05
11474.7 3.94602E-05
11657.2 2.58566E-05
12022.3 2.25851E-05
12752.4 2.32590E-05
13482.5 3.07121E-05
13847.5 5.83577E-05
14030.0 0.000166315
14121.3 0.000594525
14144.1 0.00103617
14166.9 0.00228813
14178.3 0.00402485
14189.7 0.00891395
14195.5 0.0156377
14198.3 0.0222740
14201.2 0.0342478
14204.0 0.0592934
14205.4 0.0837138
14206.9 0.126589
14208.3 0.214086
14209.0 0.295556
14209.7 0.433797
14210.4 0.701450
14210.8 0.937600
14211.1 1.30028
14211.5 1.93737
14211.8 3.10664
14212.0 4.13580
14212.2 5.70943
14212.4 8.19919
14212.6 11.9454
14212.8 19.2487
14213.0 23.9405
14213.2 19.3460
14213.4 11.9952
14213.7 6.84808
14214.0 4.15601
14214.3 2.73614
14214.5 1.92082
14214.8 1.41640
14215.1 1.08497
14215.6 0.692602
14216.1 0.479151
14216.7 0.350723
14217.8 0.211730
14218.8 0.140967
14219.9 0.100518
14222.1 0.0585827
14224.2 0.0382391
14226.4 0.0269502
14230.7 0.0154311
14239.3 0.00699066
14247.9 0.00397955
14265.2 0.00179779
14282.4 0.00102693
14316.9 0.000472484
14351.3 0.000277524
14489.2 8.92123E-05
14764.9 4.39091E-05
15040.6 3.87914E-05
15316.4 4.24660E-05
15592.1 5.54686E-05
15729.9 6.94171E-05
15867.8 9.54200E-05
15936.7 0.000117596
16005.7 0.000151760
16074.6 0.000208359
16143.5 0.000312346
16178.0 0.000400610
16212.5 0.000536311
16246.9 0.000760894
16281.4 0.00117285
16298.6 0.00152227
16315.9 0.00205873
16333.1 0.00294477
16350.3 0.00456631
16358.9 0.00593808
16367.6 0.00804014
16376.2 0.0115005
16384.8 0.0177918
16389.1 0.0230873
16393.4 0.0311580
16397.7 0.0443445
16402.0 0.0680195
16404.2 0.0877961
16406.3 0.117465
16408.5 0.165435
16410.6 0.249530
16411.7 0.318231
16412.8 0.419638
16413.9 0.578217
16415.0 0.842944
16416.0 1.34505
16416.6 1.78018
16417.1 2.44428
16417.6 3.57345
16418.2 5.64855
16418.5 7.37672
16418.7 9.92996
16419.0 13.7992
16419.3 19.4054
16419.4 24.9286
16419.6 31.2744
16420.0 39.1676
16420.2 36.9643
16420.4 31.3941
16420.8 19.7596
16421.2 11.6398
16421.6 7.40378
16422.0 4.98680
16422.4 3.58283
16422.8 2.66856
16423.2 2.07151
16424.0 1.34055
16424.8 0.935648
16425.6 0.689090
16427.2 0.417571
16428.9 0.279579
16430.5 0.200112
16432.1 0.150241
16433.7 0.117087
16436.9 0.0766458
16440.2 0.0540888
16443.4 0.0401650
16446.6 0.0310227
16453.1 0.0200904
16459.6 0.0140640
16466.1 0.0103938
16472.5 0.00799438
16485.5 0.00515202
16498.4 0.00359690
16511.3 0.00265468
16524.3 0.00204101
16550.2 0.00131668
16576.1 0.000922119
16601.9 0.000683710
16627.8 0.000528756
16679.6 0.000346286
16731.3 0.000247111
16783.1 0.000187308
16834.9 0.000148512
16938.4 0.000102958
17041.9 7.83149E-05
17249.0 5.40688E-05
17456.0 4.31776E-05
17663.1 3.76185E-05
18077.2 3.32606E-05
18491.3 3.36257E-05
18905.4 3.97470E-05
19319.5 7.48228E-05
19526.5 0.000208731
19630.1 0.000717560
19655.9 0.00122879
19681.8 0.00265421
19694.8 0.00460881
19707.7 0.0100745
19714.2 0.0175642
19717.4 0.0249855
19720.6 0.0383607
19723.9 0.0665500
19725.5 0.0940863
19727.1 0.142727
19728.7 0.242761
19729.5 0.337617
19730.3 0.500999
19731.2 0.818411
19731.6 1.10711
19732.0 1.56284
19732.4 2.38904
19732.8 3.99654
19733.0 5.44532
19733.2 7.76317
19733.4 11.6651
