Pb-206(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 12.7347
1.25000E-05 12.5766
1.50000E-05 12.4598
2.00000E-05 12.2959
2.75000E-05 12.1400
3.50000E-05 12.0374
4.25000E-05 11.9633
5.00000E-05 11.9066
6.25000E-05 11.8358
7.50000E-05 11.7836
0.000100000 11.7103
0.000125000 11.6603
0.000150000 11.6234
0.000200000 11.5716
0.000275000 11.5223
0.000350000 11.4898
0.000425000 11.4664
0.000500000 11.4485
0.000625000 11.4261
0.000750000 11.4096
0.00100000 11.3864
0.00125000 11.3706
0.00150000 11.3589
0.00200000 11.3425
0.00275000 11.3269
0.00350000 11.3167
0.00425000 11.3093
0.00500000 11.3036
0.00625000 11.2965
0.00750000 11.2913
0.0100000 11.2839
0.0125000 11.2789
0.0150000 11.2752
0.0200000 11.2701
0.0253000 11.2663
0.0314750 11.2632
0.0376500 11.2609
0.0500000 11.2577
0.0625000 11.2554
0.0750000 11.2538
0.100000 11.2514
0.125000 11.2498
0.150000 11.2486
0.200000 11.2468
0.275000 11.2451
0.350000 11.2440
0.500000 11.2424
0.750000 11.2408
1.00000 11.2396
1.50000 11.2378
2.00000 11.2365
2.75000 11.2347
3.50000 11.2330
5.00000 11.2300
7.50000 11.2254
10.0000 11.2209
15.0000 11.2121
20.0000 11.2035
27.5000 11.1909
35.0000 11.1786
50.0000 11.1545
75.0000 11.1160
100.000 11.0793
150.000 11.0108
200.000 10.9482
237.500 10.9047
275.000 10.8637
312.500 10.8251
350.000 10.7888
425.000 10.7218
500.000 10.6615
625.000 10.5736
750.000 10.4981
875.000 10.4327
1000.00 10.3754
1500.00 10.2023
2000.00 10.0850
2339.21 10.0243
2678.42 9.97388
2848.03 9.95175
2932.83 9.94135
3017.63 9.93139
3102.43 9.92192
3187.24 9.91320
3229.64 9.90953
3272.04 9.90750
3293.24 9.90864
3303.84 9.91088
3314.44 9.91587
3325.04 9.92779
3330.34 9.94020
3335.64 9.96334
3338.29 9.98307
3340.94 10.0134
3343.59 10.0636
3346.24 10.1553
3347.56 10.2326
3348.89 10.3508
3350.21 10.5447
3351.54 10.8958
3352.20 11.1899
3352.86 11.6352
3353.53 12.3591
3354.19 13.6485
3354.52 14.7144
3354.85 16.3021
3355.18 18.8248
3355.51 23.1881
3355.85 31.7586
3356.01 39.5088
3356.18 52.0804
3356.34 74.7119
3356.43 93.3334
3356.51 120.532
3356.59 163.331
3356.67 234.096
3356.76 358.643
3356.84 581.407
3356.92 926.562
3357.00 1153.19
3357.08 922.502
3357.16 581.680
3357.21 428.150
3357.26 323.291
3357.36 198.660
3357.46 133.176
3357.56 96.2700
3357.66 73.3275
3357.76 58.4598
3357.96 40.8778
3358.17 31.2846
3358.37 25.5501
3358.77 19.2932
3359.17 16.1497
3359.57 14.3528
3359.97 13.2308
3360.37 12.4839
3361.17 11.5821
3361.98 11.0806
3362.78 10.7730
3363.58 10.5708
3365.18 10.3300
3366.79 10.1977
3368.39 10.1173
3370.00 10.0647
3373.21 10.0025
3376.41 9.96841
3382.83 9.93413
3389.25 9.91792
3395.67 9.90884
3408.50 9.89921
3434.17 9.89076
3459.84 9.88622
3511.18 9.87985
3562.52 9.87451
3665.19 9.86473
3767.87 9.85551
3870.55 9.84667
3973.23 9.83814
4178.58 9.82193
4589.29 9.79239
5000.00 9.76602
6250.00 9.69959
7500.00 9.64677
10000.0 9.56303
10430.0 9.55044
10645.0 9.54433
10752.5 9.54139
10806.2 9.54018
10833.1 9.54032
10846.5 9.54288
10853.2 9.55305
10856.6 9.59115
10858.3 9.73379
10858.7 9.87479
10859.1 10.2569
10859.3 10.7584
10859.5 12.0602
10859.6 13.7869
10859.7 17.5129
10859.8 21.5054
10859.8 29.3206
10859.9 38.1141
10859.9 47.4149
10859.9 71.3266
10859.9 116.335
10860.0 223.175
10860.0 168.356
10860.1 116.377
10860.1 71.2171
10860.1 47.2568
10860.2 29.1630
10860.2 20.3664
10860.3 16.8400
10860.4 13.2746
10860.5 11.8878
10860.7 10.6740
10860.9 10.2027
10861.7 9.71143
10863.4 9.58017
10866.8 9.54740
10873.6 9.53950
10887.0 9.53750
10914.0 9.53650
10968.0 9.53500
11075.9 9.53204
11183.9 9.52909
11237.8 9.52771
11264.8 9.52752
11278.3 9.52951
11285.1 9.53888
11288.4 9.57534
11290.1 9.70581
11290.6 9.82420
11291.0 10.1099
11291.2 10.4327
11291.4 11.1058
11291.6 12.8379
11291.7 14.9690
11291.8 18.9483
11291.9 24.7891
11292.0 28.4286
11292.1 24.8195
11292.2 18.9844
11292.3 15.5718
11292.4 13.4815
11292.5 11.5176
11292.7 10.7021
11292.9 10.2971
11293.3 9.92870
11293.6 9.77549
11295.0 9.59756
11297.9 9.54555
11303.6 9.53112
11315.0 9.52697
11337.8 9.52530
11383.5 9.52376
11474.7 9.52118
11657.2 9.51621
12022.3 9.50641
12752.4 9.48711
13482.5 9.46790
13847.5 9.45815
14030.0 9.45349
14121.3 9.45295
14144.1 9.45465
14166.9 9.46110
14178.3 9.47105
14189.7 9.50056
14195.5 9.54226
14198.3 9.58392
14201.2 9.65971
14204.0 9.81950
14205.4 9.97613
14206.9 10.2522
14208.3 10.8175
14209.0 11.3453
14209.7 12.2425
14210.4 13.9827
14210.8 15.5201
14211.1 17.8834
14211.5 22.0387
14211.8 29.6725
14212.0 36.3962
14212.2 46.6827
14212.4 62.9674
14212.6 87.4861
14212.8 135.339
14213.0 166.194
14213.2 136.249
14213.4 88.1573
14213.7 54.4410
14214.0 36.7898
14214.3 27.4725
14214.5 22.1182
14214.8 18.8033
14215.1 16.6236
14215.6 14.0407
14216.1 12.6336
14216.7 11.7859
14217.8 10.8667
14218.8 10.3974
14219.9 10.1285
14222.1 9.84856
14224.2 9.71203
14226.4 9.63585
14230.7 9.55749
14239.3 9.49912
14247.9 9.47772
14265.2 9.46148
14282.4 9.45521
14316.9 9.44987
14351.3 9.44724
14489.2 9.44148
14764.9 9.43260
15040.6 9.42339
15316.4 9.41287
15592.1 9.39954
15729.9 9.39073
15867.8 9.37905
15936.7 9.37137
16005.7 9.36164
16074.6 9.34863
16143.5 9.32992
16178.0 9.31690
16212.5 9.29984
16246.9 9.27633
16281.4 9.24162
16298.6 9.21711
16315.9 9.18473
16333.1 9.13988
16350.3 9.07349
16358.9 9.02663
16367.6 8.96488
16376.2 8.87974
16384.8 8.75499
16389.1 8.66779
16393.4 8.55406
16397.7 8.39959
16402.0 8.17861
16404.2 8.02728
16406.3 7.83547
16408.5 7.58242
16410.6 7.23917
16411.7 7.01689
16412.8 6.74944
16413.9 6.42640
16415.0 6.04620
16416.0 5.63049
16416.6 5.45878
16417.1 5.40120
16417.6 5.65930
16418.2 6.81684
16418.5 8.20162
16418.7 10.7156
16419.0 15.2991
16419.3 23.2099
16419.4 32.3182
16419.6 44.6492
16420.0 69.3947
16420.2 73.7026
16420.4 70.5391
16420.8 55.8826
16421.2 42.0065
16421.6 33.3836
16422.0 27.7942
16422.4 24.1864
16422.8 21.6128
16423.2 19.7892
16424.0 17.3149
16424.8 15.7566
16425.6 14.6950
16427.2 13.3529
16428.9 12.5456
16430.5 12.0092
16432.1 11.6278
16433.7 11.3447
16436.9 10.9482
16440.2 10.6867
16443.4 10.5003
16446.6 10.3617
16453.1 10.1683
16459.6 10.0400
16466.1 9.94877
16472.5 9.88052
16485.5 9.78522
16498.4 9.72181
16511.3 9.67656
16524.3 9.64261
16550.2 9.59499
16576.1 9.56314
16601.9 9.54026
16627.8 9.52298
16679.6 9.49848
16731.3 9.48180
16783.1 9.46959
16834.9 9.46016
16938.4 9.44631
17041.9 9.43636
17249.0 9.42232
17456.0 9.41219
17663.1 9.40403
18077.2 9.39070
18491.3 9.37942
18905.4 9.36930
19319.5 9.36030
19526.5 9.35738
19630.1 9.36006
19655.9 9.36386
19681.8 9.37449
19694.8 9.38859
19707.7 9.42642
19714.2 9.47645
19717.4 9.52500
19720.6 9.61111
19723.9 9.78956
19725.5 9.96176
19727.1 10.2632
19728.7 10.8775
19729.5 11.4561
19730.3 12.4481
19731.2 14.3659
19731.6 16.1042
19732.0 18.8414
19732.4 23.7913
19732.8 33.3970
19733.0 42.0380
19733.2 55.8430
19733.4 79.0471
19733.6 119.726
19733.8 186.971
19734.0 230.893
19734.2 188.522
19734.4 120.512
19734.7 76.1411
19734.9 51.4076
19735.1 37.6898
19735.3 29.5428
19735.6 24.3855
19735.8 20.9415
19736.3 16.8662
19736.7 14.5550
19737.2 13.1796
19738.1 11.6472
19739.0 10.8651
19739.9 10.4229
19741.7 9.96257
19743.6 9.74051
19745.4 9.61843
19749.0 9.49547
19756.3 9.40802
19763.6 9.37848
19778.2 9.36212
19785.5 9.37826
19789.2 9.46165
19790.1 9.54649
19791.0 9.77314
19791.4 10.0647
19791.9 10.7558
19792.1 11.5544
19792.3 13.2343
19792.5 14.9372
19792.6 17.6002
19792.7 22.3709
19792.8 31.8342
19792.9 45.8543
19793.0 54.7615
19793.1 46.1824
19793.2 32.2318
19793.3 23.3253
19793.4 18.5703
19793.6 14.0640
19793.8 12.1681
19794.0 11.2168
19794.4 10.3288
19794.8 9.96007
19795.6 9.65335
19796.4 9.53319
19799.7 9.40437
19806.1 9.36601
19819.1 9.35349
19844.9 9.34841
19896.6 9.34567
20000.0 9.34313
20935.9 9.32414
21403.8 9.31502
21637.8 9.31097
21754.8 9.31004
21813.2 9.31278
21842.5 9.32467
21857.1 9.36753
21860.8 9.40930
21864.4 9.52203
21866.3 9.67187
21868.1 10.0714
21869.0 10.5913
21869.9 11.8969
21870.4 13.4922
21870.6 14.9080
21870.8 17.0529
21871.1 20.9061
21871.3 28.3886
21871.4 35.3461
21871.5 45.3138
21871.6 61.2259
21871.7 88.4237
21871.9 136.641
21872.0 167.777
21872.1 137.622
21872.3 88.6524
21872.4 65.2181
21872.5 48.8780
21872.6 38.3049
21872.7 31.2672
21872.9 22.9707
21873.1 18.7093
21873.3 16.0361
21873.5 14.3460
21873.8 12.4539
21874.6 10.8426
21875.4 10.2066
21877.0 9.71757
21878.6 9.53821
21881.7 9.40593
21884.9 9.35950
21897.5 9.31561
21922.7 9.30560
21973.2 9.30306
22074.2 9.30119
22276.1 9.29770
22679.9 9.29085
23083.7 9.28475
23487.5 9.28031
23891.3 9.27977
24093.3 9.28275
24295.2 9.29035
24497.1 9.30732
24699.0 9.34615
24799.9 9.38406
24900.9 9.44889
24951.4 9.49943
25001.8 9.57066
25027.1 9.61780
25052.3 9.67630
25077.6 9.75469
25090.2 9.82462
25096.5 9.94847
25098.1 10.0523
25099.6 10.3171
25100.4 10.6560
25101.2 11.5159
25101.6 12.5789
25102.0 14.9802
25102.2 17.6362
25102.4 22.5463
25102.5 27.1144
25102.6 34.3868
25102.7 46.5125
25102.8 64.4576
25102.9 97.1447
25103.0 119.326
25103.1 97.7075
25103.2 64.6927
25103.3 48.1191
25103.4 38.3670
