U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 143.717
1.25000E-05 129.524
1.50000E-05 119.048
2.00000E-05 104.342
2.75000E-05 90.3500
3.50000E-05 81.1413
4.25000E-05 74.4935
5.00000E-05 69.4042
6.25000E-05 63.0571
7.50000E-05 58.3720
0.000100000 51.7955
0.000125000 47.3075
0.000150000 43.9946
0.000200000 39.3444
0.000275000 34.9197
0.000350000 32.0078
0.000425000 29.9057
0.000500000 28.2964
0.000625000 26.2894
0.000750000 24.8079
0.00100000 22.7285
0.00125000 21.3094
0.00150000 20.2619
0.00200000 18.7917
0.00275000 17.3928
0.00350000 16.4723
0.00425000 15.8077
0.00500000 15.2991
0.00625000 14.6647
0.00750000 14.1965
0.0100000 13.5393
0.0125000 13.0909
0.0150000 12.7599
0.0200000 12.2954
0.0253000 11.9624
0.0314750 11.6862
0.0376500 11.4811
0.0500000 11.1916
0.0625000 10.9908
0.0750000 10.8425
0.100000 10.6338
0.125000 10.4908
0.150000 10.3849
0.200000 10.2349
0.275000 10.0899
0.350000 9.99206
0.500000 9.86215
0.750000 9.72880
1.00000 9.63826
1.50000 9.50706
2.00000 9.40360
2.59900 9.29495
3.19799 9.19655
3.79699 9.11357
4.09648 9.08688
4.24623 9.08850
4.32111 9.12148
4.35854 9.22107
4.37726 9.43404
4.38662 9.74050
4.39598 10.5085
4.40748 11.9485
4.41898 10.5114
4.42806 9.75765
4.43714 9.44899
4.45529 9.23034
4.49161 9.12673
4.56424 9.09355
4.70949 9.10005
5.00000 9.18878
5.20766 9.33575
5.41531 9.61779
5.62297 10.1707
5.83063 11.3330
5.93445 12.4013
6.03828 14.1267
6.14211 17.1078
6.24594 22.7802
6.29785 27.6873
6.34977 35.3014
6.40168 47.9412
6.45359 71.0010
6.47955 90.3038
6.49253 103.291
6.50551 119.462
6.51200 129.073
6.51524 134.335
6.51849 139.932
6.52173 145.899
6.52498 152.263
6.52822 159.066
6.53147 166.341
6.53796 182.510
6.54444 201.193
6.55093 222.936
6.55742 248.436
6.56391 278.604
6.57040 314.623
6.57689 358.095
6.58338 411.196
6.58987 476.959
6.59636 559.654
6.60285 665.541
6.60934 803.988
6.61583 989.551
6.62232 1245.58
6.62880 1611.52
6.63529 2157.42
6.64178 3015.42
6.64827 4449.69
6.65476 7012.46
6.65801 9029.69
6.66125 11765.2
6.66737 18904.1
6.67349 23734.6
6.67961 19072.4
6.68573 11974.6
6.68955 8824.93
6.69337 6621.47
6.70101 4003.03
6.70865 2637.09
6.71630 1857.02
6.72394 1375.62
6.73158 1059.58
6.74686 685.239
6.76214 481.095
6.77742 357.847
6.79271 277.782
6.80799 222.829
6.83855 154.282
6.86912 114.685
6.89968 89.7040
6.93025 72.9011
6.99137 52.3317
7.05250 40.6365
7.11363 33.3174
7.17476 28.4118
7.23589 24.9499
7.29702 22.4069
7.41928 18.9756
7.54153 16.8106
7.66379 15.4804
7.67529 15.5071
7.68679 15.2570
7.72293 14.8074
7.75908 14.5010
7.83137 13.9779
7.97594 13.1601
8.26509 12.0784
8.55424 11.3991
8.84340 10.9329
9.42170 10.3291
9.71085 10.1218
10.0000 9.97939
10.0570 9.97912
10.1140 10.0314
10.1424 10.1215
10.1709 10.3645
10.1852 10.6542
10.1994 11.2823
10.2065 11.9017
10.2137 12.9903
10.2208 15.0806
10.2243 16.8389
10.2279 19.3501
10.2337 25.0615
10.2394 28.8230
10.2452 24.9797
10.2509 19.2831
10.2550 16.4738
10.2591 14.6150
10.2673 12.5487
10.2756 11.5383
10.2838 10.9852
10.3002 10.4373
10.3166 10.1850
10.3495 9.96172
10.3823 9.86302
10.4480 9.76767
10.5137 9.71371
10.7766 9.57804
11.0394 9.47581
11.1708 9.44536
11.2365 9.48388
11.2529 9.53066
11.2694 9.64124
11.2776 9.75706
11.2858 9.97142
11.2940 10.4144
11.2981 10.8147
11.3022 11.4189
11.3080 12.6484
11.3137 13.4786
11.3195 12.6643
11.3252 11.4271
11.3292 10.8274
11.3332 10.4255
11.3412 9.97179
11.3492 9.74662
11.3572 9.62160
11.3732 9.49504
11.3892 9.43442
11.4531 9.34651
11.5811 9.28279
11.8369 9.19327
12.3486 9.03255
13.3720 8.72860
14.3953 8.41925
15.4187 8.07954
16.4421 7.68467
17.4655 7.21131
17.9771 6.94795
18.4888 6.69666
19.0005 6.57170
19.2564 6.68124
19.3843 6.86749
19.4482 7.11861
19.4802 7.56718
19.4962 8.35204
19.5042 9.34972
19.5122 11.5338
19.5237 16.0742
19.5352 11.6280
19.5425 9.59886
19.5497 8.63025
19.5643 7.87195
19.5933 7.53502
19.6514 7.59252
19.7676 8.17369
20.0000 10.7734
20.1069 13.1875
20.1603 14.9343
20.2138 17.2192
20.2271 17.8979
20.2405 18.6275
20.2538 19.4128
20.2672 20.2590
20.2739 20.7068
20.2806 21.1721
20.2872 21.6559
20.2939 22.1589
20.3006 22.6821
20.3073 23.2266
20.3206 24.3839
20.3340 25.6402
20.3474 27.0064
20.3741 30.1192
20.4008 33.8431
20.4275 38.3356
20.4542 43.8134
20.4809 50.5658
20.5077 58.9968
20.5344 69.6803
20.5611 83.4522
20.5878 101.567
20.6145 125.974
20.6413 159.811
20.6680 208.473
20.6947 281.670
20.7214 398.457
20.7481 600.269
20.7615 760.591
20.7749 991.040
20.7882 1337.95
20.8016 1892.04
20.8149 2848.84
20.8283 4683.83
20.8350 6277.35
20.8417 8727.40
20.8483 12632.2
20.8550 18901.8
20.8633 30524.7
20.8715 38536.2
20.8798 31105.8
20.8880 19594.9
20.8945 13428.2
20.9009 9498.33
20.9074 6976.05
20.9138 5304.55
20.9267 3337.02
20.9396 2286.34
20.9525 1664.71
20.9654 1268.64
20.9912 811.760
21.0170 568.174
21.0428 423.006
21.0687 329.314
21.0945 265.255
21.1461 185.412
21.1977 139.190
21.2493 109.877
21.3009 90.0277
21.4041 65.4605
21.5074 51.2598
21.6106 42.2193
21.7138 36.0574
21.9203 28.3364
22.1267 23.7837
22.3332 20.8240
22.5396 18.7626
22.9525 16.0983
23.3654 14.4560
23.7783 13.3385
23.9848 12.9026
24.0880 12.7111
24.1396 12.6326
24.1654 12.6233
24.1783 12.6635
24.1912 12.8513
24.2027 13.1642
24.2142 12.8145
24.2252 12.6010
24.2362 12.5150
24.2582 12.4358
24.3021 12.3455
24.3901 12.2015
24.5659 11.9438
24.9177 11.4962
25.6212 10.7821
26.3246 10.2164
26.6764 9.96841
26.8522 9.85277
26.9402 9.80379
26.9841 9.80140
27.0061 9.84739
27.0171 9.93557
27.0226 10.0322
27.0281 10.2027
27.0396 10.6638
27.0511 10.1881
27.0605 9.93168
27.0699 9.82584
27.0886 9.74446
27.1261 9.68792
27.2012 9.62889
27.3512 9.53177
27.6513 9.34784
28.2514 8.99317
29.4518 8.29200
30.6521 7.53924
31.8525 6.66487
32.4526 6.16311
33.0528 5.61930
33.6530 5.06870
34.2531 4.66230
34.5532 4.66363
34.8533 5.03009
35.0034 5.47580
35.1534 6.22503
35.1909 6.47820
35.2284 6.76446
35.2659 7.08804
35.3034 7.45382
35.3409 7.86745
35.3597 8.09427
35.3785 8.33546
35.3972 8.59226
35.4160 8.86546
35.4535 9.46633
35.4910 10.1487
35.5285 10.9244
35.6035 12.8175
35.6785 15.2989
35.7536 18.5906
35.8286 23.0231
35.9036 29.1032
35.9786 37.6371
36.0536 49.9638
36.1287 68.4295
36.2037 97.4277
36.2787 145.926
36.3537 234.470
36.3912 308.188
36.4287 418.531
36.4663 593.171
36.5038 891.010
36.5413 1455.04
36.5600 1943.72
36.5788 2703.45
36.5975 3966.27
36.6163 6246.76
36.6257 8110.29
36.6351 10810.2
36.6444 14802.0
36.6538 20686.5
36.6680 33529.5
36.6821 42465.3
36.6963 34394.7
36.7104 21751.2
36.7233 14109.6
36.7361 9566.05
36.7490 6818.22
36.7619 5077.89
36.7876 3115.63
36.8133 2108.02
36.8391 1526.10
36.8648 1160.69
36.9163 744.384
36.9677 524.460
37.0192 393.781
37.0707 309.464
