11-Na_n-g
>  11-Na-23:1.000000
1.000000e-05 2.65600000e+01
1.250000e-05 2.37560000e+01
1.500000e-05 2.16862000e+01
2.000000e-05 1.87808000e+01
2.750000e-05 1.60163000e+01
3.500000e-05 1.41969000e+01
4.250000e-05 1.28835000e+01
5.000000e-05 1.18780000e+01
6.250000e-05 1.06240000e+01
7.500000e-05 9.69834000e+00
1.000000e-04 8.39901000e+00
1.250000e-04 7.51230000e+00
1.500000e-04 6.85776000e+00
2.000000e-04 5.93900000e+00
2.750000e-04 5.06479000e+00
3.500000e-04 4.48946000e+00
4.250000e-04 4.07412000e+00
5.000000e-04 3.75615000e+00
6.250000e-04 3.35960000e+00
7.500000e-04 3.06689000e+00
1.000000e-03 2.65600000e+00
1.250000e-03 2.37557000e+00
1.500000e-03 2.16857000e+00
2.000000e-03 1.87801000e+00
2.750000e-03 1.60154000e+00
3.500000e-03 1.41960000e+00
4.250000e-03 1.28825000e+00
5.000000e-03 1.18770000e+00
6.250000e-03 1.06230000e+00
7.500000e-03 9.69732000e-01
1.000000e-02 8.39800000e-01
1.250000e-02 7.51148000e-01
1.500000e-02 6.85707000e-01
2.000000e-02 5.93847000e-01
2.530000e-02 5.28000000e-01
3.265000e-02 4.64775000e-01
4.000000e-02 4.19900000e-01
5.000000e-02 3.75581000e-01
6.250000e-02 3.35940000e-01
7.500000e-02 3.06677000e-01
1.000000e-01 2.65600000e-01
1.250000e-01 2.37557000e-01
1.500000e-01 2.16856000e-01
2.000000e-01 1.87800000e-01
2.750000e-01 1.60168000e-01
3.500000e-01 1.41982000e-01
5.000000e-01 1.18800000e-01
7.500000e-01 9.69969000e-02
1.000000e+00 8.40000000e-02
1.500000e+00 6.86704000e-02
2.000000e+00 5.95225000e-02
2.750000e+00 5.08102000e-02
3.500000e+00 4.50715000e-02
5.000000e+00 3.77505000e-02
7.500000e+00 3.08612000e-02
1.000000e+01 2.67500000e-02
1.500000e+01 2.19947000e-02
2.000000e+01 1.91428000e-02
2.750000e+01 1.64150000e-02
3.500000e+01 1.46111000e-02
5.000000e+01 1.23000000e-02
7.500000e+01 1.02658000e-02
1.000000e+02 9.03000000e-03
1.500000e+02 7.65000000e-03
2.000000e+02 6.88000000e-03
3.000000e+02 6.07000000e-03
3.500000e+02 5.86885000e-03
4.000000e+02 5.70000000e-03
4.500000e+02 5.62033000e-03
5.000000e+02 5.55000000e-03
5.500000e+02 5.53954000e-03
6.000000e+02 5.56128000e-03
8.097500e+02 5.86446000e-03
9.896000e+02 6.39176000e-03
1.000000e+03 6.43088000e-03
1.130000e+03 7.00987000e-03
1.249200e+03 7.70972000e-03
1.369600e+03 8.62564000e-03
1.510200e+03 1.00533000e-02
1.629400e+03 1.16873000e-02
1.730700e+03 1.35116000e-02
1.865350e+03 1.68576000e-02
2.000000e+03 2.18788000e-02
2.155450e+03 3.15066000e-02
2.233180e+03 3.90741000e-02
2.310900e+03 4.98161000e-02
2.388630e+03 6.56432000e-02
2.466350e+03 8.99193000e-02
2.544080e+03 1.28498000e-01
2.621800e+03 1.90022000e-01
2.715900e+03 2.96682000e-01
2.810000e+03 3.54846000e-01
2.904100e+03 2.71951000e-01
2.998200e+03 1.66192000e-01
3.053510e+03 1.23294000e-01
3.108820e+03 9.30025000e-02
3.219440e+03 5.63954000e-02
3.330060e+03 3.69593000e-02
3.440680e+03 2.57573000e-02
3.551290e+03 1.88226000e-02
3.661910e+03 1.42739000e-02
3.883150e+03 8.91717000e-03
4.104390e+03 6.03348000e-03
4.325630e+03 4.32023000e-03
4.546860e+03 3.22685000e-03
4.768100e+03 2.49025000e-03
5.000000e+03 1.95160000e-03
5.006500e+03 1.93900000e-03
5.028100e+03 1.89796000e-03
5.049700e+03 1.85815000e-03
5.092900e+03 1.78204000e-03
5.179300e+03 1.64265000e-03
5.352100e+03 1.40707000e-03
5.912200e+03 9.05567000e-04
6.651100e+03 5.62463000e-04
7.104000e+03 4.38859000e-04
7.330450e+03 3.92901000e-04
7.443680e+03 3.76101000e-04
7.556900e+03 4.05851000e-04
7.586800e+03 5.66721000e-04
7.601750e+03 1.21222000e-03
7.609220e+03 3.68371000e-03
7.612960e+03 1.26783000e-02
7.614830e+03 4.24890000e-02
7.615760e+03 1.25214000e-01
7.616230e+03 2.96173000e-01
7.616460e+03 5.34696000e-01
7.616700e+03 1.10380000e+00
7.617000e+03 2.20804000e+00
7.617300e+03 1.10384000e+00
7.617540e+03 5.34732000e-01
7.617770e+03 2.96868000e-01
7.618230e+03 1.25807000e-01
7.619160e+03 4.27681000e-02
7.621030e+03 1.27751000e-02
7.624750e+03 3.71141000e-03
7.632190e+03 1.21647000e-03
7.647070e+03 5.59949000e-04
7.676840e+03 3.87759000e-04
7.736380e+03 3.36415000e-04
7.855450e+03 3.08949000e-04
8.093600e+03 2.76336000e-04
8.569900e+03 2.27414000e-04
9.946400e+03 1.41507000e-04
1.000000e+04 1.39209000e-04
1.017300e+04 1.32162000e-04
1.034600e+04 1.25644000e-04
