13-Al_n-tot
>  13-Al-27:1.000000
1.000000e-05 1.31678000e+01
1.250000e-05 1.19281000e+01
1.500000e-05 1.10130000e+01
2.000000e-05 9.72844000e+00
2.750000e-05 8.50621000e+00
3.500000e-05 7.70183000e+00
4.250000e-05 7.12113000e+00
5.000000e-05 6.67658000e+00
6.250000e-05 6.12216000e+00
7.500000e-05 5.71291000e+00
1.000000e-04 5.13845000e+00
1.250000e-04 4.74641000e+00
1.500000e-04 4.45703000e+00
2.000000e-04 4.05082000e+00
2.750000e-04 3.66432000e+00
3.500000e-04 3.40995000e+00
4.250000e-04 3.22632000e+00
5.000000e-04 3.08574000e+00
6.250000e-04 2.91041000e+00
7.500000e-04 2.78100000e+00
1.000000e-03 2.59934000e+00
1.250000e-03 2.47536000e+00
1.500000e-03 2.38385000e+00
2.000000e-03 2.25540000e+00
2.750000e-03 2.13317000e+00
3.500000e-03 2.05273000e+00
4.250000e-03 1.99467000e+00
5.000000e-03 1.95021000e+00
6.250000e-03 1.89477000e+00
7.500000e-03 1.85384000e+00
1.000000e-02 1.79640000e+00
1.250000e-02 1.75719000e+00
1.500000e-02 1.72825000e+00
2.000000e-02 1.68763000e+00
2.530000e-02 1.65851000e+00
3.147500e-02 1.63436000e+00
3.765000e-02 1.61643000e+00
5.000000e-02 1.59112000e+00
6.250000e-02 1.57359000e+00
7.500000e-02 1.56064000e+00
1.000000e-01 1.54248000e+00
1.250000e-01 1.53008000e+00
1.500000e-01 1.52092000e+00
2.000000e-01 1.50808000e+00
2.750000e-01 1.49585000e+00
3.500000e-01 1.48780000e+00
5.000000e-01 1.47753000e+00
7.500000e-01 1.46788000e+00
1.000000e+00 1.46211000e+00
1.500000e+00 1.45526000e+00
2.000000e+00 1.45117000e+00
2.750000e+00 1.44725000e+00
3.500000e+00 1.44465000e+00
5.000000e+00 1.44130000e+00
7.500000e+00 1.43808000e+00
1.000000e+01 1.43608000e+00
1.500000e+01 1.43358000e+00
2.000000e+01 1.43194000e+00
2.750000e+01 1.43020000e+00
3.500000e+01 1.42888000e+00
5.000000e+01 1.42682000e+00
7.500000e+01 1.42415000e+00
1.000000e+02 1.42190000e+00
1.500000e+02 1.41790000e+00
2.000000e+02 1.41423000e+00
2.750000e+02 1.40908000e+00
3.500000e+02 1.40417000e+00
5.000000e+02 1.39489000e+00
7.500000e+02 1.38051000e+00
1.000000e+03 1.36716000e+00
1.500000e+03 1.34267000e+00
2.000000e+03 1.32032000e+00
2.750000e+03 1.28952000e+00
3.500000e+03 1.26103000e+00
4.250000e+03 1.23462000e+00
4.625000e+03 1.22277000e+00
5.000000e+03 1.21374000e+00
5.224010e+03 1.21274000e+00
5.336010e+03 1.21589000e+00
5.448020e+03 1.22516000e+00
5.504020e+03 1.23449000e+00
5.560020e+03 1.24995000e+00
5.616020e+03 1.27682000e+00
5.672020e+03 1.32748000e+00
5.700020e+03 1.37072000e+00
5.728030e+03 1.43692000e+00
5.756030e+03 1.54502000e+00
5.784030e+03 1.73819000e+00
5.798030e+03 1.89702000e+00
5.812030e+03 2.13324000e+00
5.826030e+03 2.50592000e+00
5.840030e+03 3.14260000e+00
5.854030e+03 4.36157000e+00
5.861030e+03 5.43505000e+00
5.868030e+03 7.13992000e+00
5.875030e+03 1.00670000e+01
5.882030e+03 1.56472000e+01
5.885530e+03 2.04717000e+01
5.889030e+03 2.78636000e+01
5.892530e+03 3.95966000e+01
5.896030e+03 5.83688000e+01
5.900360e+03 9.27823000e+01
5.904680e+03 1.15646000e+02
5.909010e+03 9.27372000e+01
5.913330e+03 5.84770000e+01
5.917320e+03 3.77888000e+01
5.921310e+03 2.56628000e+01
5.925300e+03 1.84139000e+01
5.929290e+03 1.38636000e+01
5.937280e+03 8.79439000e+00
5.945260e+03 6.22515000e+00
5.953240e+03 4.75917000e+00
5.961220e+03 3.84801000e+00
5.977190e+03 2.82440000e+00
5.993150e+03 2.29364000e+00
6.009110e+03 1.98360000e+00
6.025080e+03 1.78680000e+00
6.041040e+03 1.65402000e+00
6.072970e+03 1.49120000e+00
6.104890e+03 1.39861000e+00
6.136820e+03 1.34069000e+00
6.168750e+03 1.30185000e+00
6.232600e+03 1.25411000e+00
6.296460e+03 1.22646000e+00
6.424160e+03 1.19596000e+00
6.551870e+03 1.17906000e+00
6.679580e+03 1.16768000e+00
6.935000e+03 1.15173000e+00
7.445830e+03 1.12884000e+00
7.956670e+03 1.10938000e+00
1.000000e+04 1.03713000e+00
1.500000e+04 8.56381000e-01
2.000000e+04 6.62592000e-01
2.215260e+04 5.84087000e-01
2.322900e+04 5.51718000e-01
2.376710e+04 5.38805000e-01
2.403620e+04 5.33329000e-01
2.417070e+04 5.30835000e-01
2.423800e+04 5.30676000e-01
2.427170e+04 5.37234000e-01
2.428010e+04 5.45559000e-01
2.428850e+04 5.70706000e-01
2.429270e+04 6.06275000e-01
2.429690e+04 7.04330000e-01
2.429900e+04 8.32562000e-01
2.430110e+04 1.15610000e+00
2.430210e+04 1.53858000e+00
2.430320e+04 2.38108000e+00
2.430370e+04 3.24256000e+00
2.430420e+04 4.77156000e+00
2.430450e+04 6.07569000e+00
2.430480e+04 7.90746000e+00
2.430500e+04 1.06181000e+01
2.430530e+04 1.46235000e+01
2.430570e+04 2.32831000e+01
2.430610e+04 2.91354000e+01
2.430650e+04 2.34339000e+01
2.430680e+04 1.48679000e+01
2.430710e+04 1.07522000e+01
2.430740e+04 7.99302000e+00
2.430770e+04 6.14321000e+00
2.430790e+04 4.87400000e+00
2.430850e+04 3.32631000e+00
2.430900e+04 2.46987000e+00
2.431010e+04 1.61710000e+00
2.431120e+04 1.22543000e+00
2.431330e+04 8.87710000e-01
2.431550e+04 7.49681000e-01
2.431980e+04 6.39410000e-01
2.432410e+04 5.96679000e-01
2.433280e+04 5.63381000e-01
2.434140e+04 5.50540000e-01
2.437600e+04 5.36197000e-01
2.444510e+04 5.30876000e-01
2.458330e+04 5.27853000e-01
2.485970e+04 5.25427000e-01
2.541250e+04 5.26599000e-01
2.651810e+04 5.58515000e-01
2.762380e+04 6.57356000e-01
2.872940e+04 8.87399000e-01
2.983510e+04 1.39150000e+00
3.038790e+04 1.83998000e+00
3.094070e+04 2.51836000e+00
3.149350e+04 3.56410000e+00
3.204640e+04 5.21083000e+00
3.259920e+04 7.85131000e+00
3.315200e+04 1.20872000e+01
3.399000e+04 2.26552000e+01
3.482800e+04 3.28913000e+01
3.566550e+04 3.03866000e+01
3.650300e+04 2.18741000e+01
3.734660e+04 1.53789000e+01
3.819010e+04 1.13468000e+01
3.903370e+04 8.82358000e+00
3.987730e+04 7.16603000e+00
4.072080e+04 6.02070000e+00
4.156440e+04 5.19338000e+00
4.325150e+04 4.09286000e+00
4.493860e+04 3.40150000e+00
4.662580e+04 2.92877000e+00
5.000000e+04 2.32237000e+00
5.384980e+04 1.90544000e+00
5.769950e+04 1.63789000e+00
6.154930e+04 1.47114000e+00
6.539900e+04 1.40757000e+00
6.924880e+04 1.50366000e+00
7.309850e+04 1.92955000e+00
7.502340e+04 2.39480000e+00
7.694830e+04 3.17830000e+00
7.887310e+04 4.50062000e+00
8.079800e+04 6.72467000e+00
8.626800e+04 1.86457000e+01
8.870770e+04 1.89708000e+01
8.992760e+04 1.71548000e+01
9.053750e+04 1.62031000e+01
9.069000e+04 1.60631000e+01
9.084240e+04 1.61059000e+01
9.091870e+04 1.63043000e+01
9.099490e+04 1.67997000e+01
9.107120e+04 1.80077000e+01
9.110930e+04 1.91894000e+01
9.114740e+04 2.10655000e+01
9.119800e+04 2.47973000e+01
9.124850e+04 2.74121000e+01
9.129910e+04 2.49211000e+01
9.134960e+04 2.09926000e+01
9.139820e+04 1.84843000e+01
9.144670e+04 1.70032000e+01
9.149530e+04 1.60958000e+01
9.154380e+04 1.54996000e+01
9.164090e+04 1.47646000e+01
9.173800e+04 1.43095000e+01
9.198770e+04 1.35702000e+01
9.223740e+04 1.30339000e+01
9.273680e+04 1.21366000e+01
9.373570e+04 1.06219000e+01
9.573330e+04 8.28711000e+00
9.773090e+04 6.62979000e+00
9.872980e+04 5.98389000e+00
9.922920e+04 5.69650000e+00
9.947890e+04 5.56026000e+00
9.960370e+04 5.49397000e+00
9.966620e+04 5.46464000e+00
9.969740e+04 5.46832000e+00
9.971300e+04 5.53708000e+00
9.972080e+04 5.74941000e+00
9.972470e+04 6.16670000e+00
