15-P_n-tot
>   15-P-31:1.000000
1.000000e-05 1.23994000e+01
1.090510e-05 1.20498000e+01
1.176400e-05 1.17561000e+01
1.257080e-05 1.15081000e+01
1.332210e-05 1.12976000e+01
1.474650e-05 1.09435000e+01
1.500000e-05 1.08883000e+01
1.591380e-05 1.06895000e+01
1.684950e-05 1.05051000e+01
1.835730e-05 1.02383000e+01
2.000000e-05 9.98251000e+00
2.181020e-05 9.73478000e+00
2.352800e-05 9.52660000e+00
2.514170e-05 9.35075000e+00
2.664420e-05 9.20157000e+00
2.750000e-05 9.12619000e+00
2.949290e-05 8.95063000e+00
3.182750e-05 8.77057000e+00
3.369900e-05 8.63991000e+00
3.500000e-05 8.55830000e+00
3.671460e-05 8.45075000e+00
4.000000e-05 8.26948000e+00
4.362030e-05 8.09389000e+00
4.705590e-05 7.94633000e+00
5.000000e-05 7.83264000e+00
5.028330e-05 7.82170000e+00
5.328830e-05 7.71596000e+00
5.898560e-05 7.53809000e+00
6.365490e-05 7.41046000e+00
6.739790e-05 7.31785000e+00
7.342910e-05 7.18378000e+00
7.500000e-05 7.15306000e+00
8.000000e-05 7.05529000e+00
8.724060e-05 6.93084000e+00
9.411170e-05 6.82625000e+00
1.000000e-04 6.74566000e+00
1.005660e-04 6.73792000e+00
1.065760e-04 6.66297000e+00
1.179710e-04 6.53690000e+00
1.273100e-04 6.44643000e+00
1.347960e-04 6.38079000e+00
1.468580e-04 6.28576000e+00
1.500000e-04 6.26399000e+00
1.600000e-04 6.19469000e+00
1.744810e-04 6.10648000e+00
1.882230e-04 6.03235000e+00
2.000000e-04 5.97522000e+00
2.011330e-04 5.96973000e+00
2.131530e-04 5.91661000e+00
2.359420e-04 5.82725000e+00
2.546190e-04 5.76313000e+00
2.695910e-04 5.71661000e+00
2.750000e-04 5.70150000e+00
2.937160e-04 5.64925000e+00
3.200000e-04 5.58470000e+00
3.489620e-04 5.52217000e+00
3.500000e-04 5.52019000e+00
3.764470e-04 5.46963000e+00
4.022660e-04 5.42525000e+00
4.263060e-04 5.38760000e+00
4.718850e-04 5.32426000e+00
5.000000e-04 5.29005000e+00
5.092400e-04 5.27881000e+00
5.391840e-04 5.24584000e+00
5.874330e-04 5.19809000e+00
6.400000e-04 5.15234000e+00
6.979250e-04 5.10803000e+00
7.500000e-04 5.07274000e+00
7.528940e-04 5.07078000e+00
8.045320e-04 5.03933000e+00
8.526120e-04 5.01264000e+00
9.437700e-04 4.96775000e+00
1.000000e-03 4.94350000e+00
1.018480e-03 4.93553000e+00
1.078370e-03 4.91216000e+00
1.174870e-03 4.87832000e+00
1.280000e-03 4.84589000e+00
1.395850e-03 4.81448000e+00
1.500000e-03 4.78947000e+00
1.505790e-03 4.78808000e+00
1.609070e-03 4.76579000e+00
1.705230e-03 4.74687000e+00
1.887540e-03 4.71505000e+00
2.000000e-03 4.69787000e+00
2.036960e-03 4.69222000e+00
2.156740e-03 4.67565000e+00
2.349730e-03 4.65167000e+00
2.560000e-03 4.62868000e+00
2.750000e-03 4.61042000e+00
2.791700e-03 4.60642000e+00
3.011580e-03 4.58771000e+00
3.218130e-03 4.57190000e+00
3.410450e-03 4.55850000e+00
3.500000e-03 4.55296000e+00
3.775080e-03 4.53594000e+00
4.073920e-03 4.51976000e+00
4.313470e-03 4.50802000e+00
4.699460e-03 4.49102000e+00
5.000000e-03 4.47937000e+00
5.120000e-03 4.47473000e+00
5.583400e-03 4.45894000e+00
6.023150e-03 4.44568000e+00
6.436260e-03 4.43448000e+00
6.820900e-03 4.42498000e+00
7.500000e-03 4.41009000e+00
7.550160e-03 4.40899000e+00
8.147830e-03 4.39752000e+00
8.626940e-03 4.38920000e+00
9.398930e-03 4.37715000e+00
1.000000e-02 4.36890000e+00
1.024000e-02 4.36560000e+00
1.116680e-02 4.35442000e+00
1.204630e-02 4.34502000e+00
1.287250e-02 4.33708000e+00
1.364180e-02 4.33034000e+00
1.500000e-02 4.31979000e+00
1.510030e-02 4.31901000e+00
1.629570e-02 4.31088000e+00
1.725390e-02 4.30498000e+00
1.879790e-02 4.29644000e+00
2.000000e-02 4.29059000e+00
2.048000e-02 4.28826000e+00
2.159120e-02 4.28338000e+00
2.337220e-02 4.27630000e+00
2.530000e-02 4.26950000e+00
