17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
1.000000e-05 1.70132047e+03
1.019300e-05 1.68535270e+03
1.021900e-05 1.68319532e+03
1.038590e-05 1.66980920e+03
1.043570e-05 1.66582070e+03
1.057890e-05 1.65467478e+03
1.065000e-05 1.64914360e+03
1.077180e-05 1.63998737e+03
1.096480e-05 1.62548934e+03
1.115770e-05 1.61165044e+03
1.125000e-05 1.60503117e+03
1.127750e-05 1.60306286e+03
1.135070e-05 1.59798577e+03
1.154360e-05 1.58461659e+03
1.173660e-05 1.57180043e+03
1.188000e-05 1.56227573e+03
1.192950e-05 1.55913581e+03
1.231540e-05 1.53465506e+03
1.250000e-05 1.52353023e+03
1.270130e-05 1.51140580e+03
1.308720e-05 1.48919765e+03
1.347310e-05 1.46795165e+03
1.375000e-05 1.45333744e+03
1.385900e-05 1.44759204e+03
1.424490e-05 1.42806580e+03
1.463080e-05 1.40935776e+03
1.465700e-05 1.40808825e+03
1.500000e-05 1.39206160e+03
1.501670e-05 1.39128692e+03
1.540260e-05 1.37405998e+03
1.548130e-05 1.37055078e+03
1.578850e-05 1.35726488e+03
1.617440e-05 1.34117434e+03
1.625000e-05 1.33813521e+03
1.656030e-05 1.32564443e+03
1.694620e-05 1.31065241e+03
1.733210e-05 1.29616041e+03
1.750000e-05 1.29010295e+03
1.771800e-05 1.28223661e+03
1.782850e-05 1.27825402e+03
1.810390e-05 1.26857039e+03
1.848980e-05 1.25542692e+03
1.887570e-05 1.24268497e+03
1.926160e-05 1.23040516e+03
1.936380e-05 1.22715083e+03
1.964750e-05 1.21833748e+03
2.000000e-05 1.20769795e+03
2.003340e-05 1.20669547e+03
2.041930e-05 1.19540926e+03
2.043800e-05 1.19486242e+03
2.080520e-05 1.18445639e+03
2.087140e-05 1.18258027e+03
2.119110e-05 1.17379142e+03
2.130000e-05 1.17079850e+03
2.157700e-05 1.16339918e+03
2.172360e-05 1.15948680e+03
2.187500e-05 1.15558164e+03
2.196290e-05 1.15330998e+03
2.234880e-05 1.14335715e+03
2.273470e-05 1.13383615e+03
2.296250e-05 1.12822079e+03
2.312060e-05 1.12444394e+03
2.350650e-05 1.11524871e+03
2.375000e-05 1.10962463e+03
2.389240e-05 1.10633379e+03
2.466420e-05 1.08913275e+03
2.543600e-05 1.07271962e+03
2.562500e-05 1.06887990e+03
2.620780e-05 1.05704137e+03
2.697960e-05 1.04202980e+03
2.750000e-05 1.03233227e+03
2.775140e-05 1.02765334e+03
2.852320e-05 1.01388084e+03
2.929500e-05 1.00066138e+03
2.931400e-05 1.00033470e+03
3.006680e-05 9.87934372e+02
3.083860e-05 9.75752831e+02
3.096240e-05 9.73799830e+02
3.125000e-05 9.69407036e+02
3.161040e-05 9.63904635e+02
3.238220e-05 9.52541303e+02
3.315400e-05 9.41571923e+02
3.392580e-05 9.30973766e+02
3.469750e-05 9.20739263e+02
3.500000e-05 9.16883646e+02
3.546930e-05 9.10904998e+02
3.565690e-05 9.08512028e+02
3.624110e-05 9.01264189e+02
3.701290e-05 8.91987027e+02
3.778470e-05 8.82997754e+02
3.855650e-05 8.74319097e+02
3.872760e-05 8.72396413e+02
3.875000e-05 8.72153201e+02
3.932830e-05 8.65807111e+02
4.010010e-05 8.57590590e+02
4.087190e-05 8.49608925e+02
4.087590e-05 8.49563330e+02
4.164370e-05 8.41862116e+02
4.174270e-05 8.40873789e+02
4.241550e-05 8.34327434e+02
4.250000e-05 8.33506285e+02
4.259990e-05 8.32533895e+02
4.318730e-05 8.26987762e+02
4.344710e-05 8.24541367e+02
4.395910e-05 8.19868483e+02
4.473090e-05 8.12832540e+02
4.550270e-05 8.06107213e+02
4.592480e-05 8.02429181e+02
4.625000e-05 7.99685579e+02
4.627450e-05 7.99480375e+02
4.704630e-05 7.92974752e+02
4.858990e-05 7.80531706e+02
5.000000e-05 7.69690754e+02
5.013350e-05 7.68665332e+02
5.167710e-05 7.57344042e+02
5.322070e-05 7.46586407e+02
5.349910e-05 7.44646703e+02
5.476430e-05 7.36173480e+02
5.486160e-05 7.35522276e+02
5.625000e-05 7.26582187e+02
5.630790e-05 7.26209051e+02
5.785150e-05 7.16668879e+02
5.939500e-05 7.07502206e+02
6.093860e-05 6.98684026e+02
6.248220e-05 6.90193888e+02
6.250000e-05 6.90099590e+02
6.402580e-05 6.82019299e+02
6.556940e-05 6.74163753e+02
6.575590e-05 6.73214765e+02
6.711300e-05 6.66559730e+02
6.738750e-05 6.65214737e+02
6.865660e-05 6.59193593e+02
6.875000e-05 6.58750538e+02
6.884830e-05 6.58284682e+02
7.020020e-05 6.52056252e+02
7.174380e-05 6.45174979e+02
7.328740e-05 6.38524775e+02
7.339270e-05 6.38070937e+02
7.483100e-05 6.32072303e+02
7.499150e-05 6.31403253e+02
7.500000e-05 6.31369036e+02
7.637460e-05 6.25800113e+02
7.791820e-05 6.19731701e+02
7.946180e-05 6.13884508e+02
8.000000e-05 6.11846308e+02
8.100540e-05 6.08163077e+02
8.125000e-05 6.07267340e+02
8.175180e-05 6.05430280e+02
8.254900e-05 6.02609833e+02
8.409250e-05 5.97150533e+02
8.563610e-05 5.91889722e+02
8.717970e-05 5.86768310e+02
8.750000e-05 5.85733150e+02
8.872330e-05 5.81780236e+02
9.026690e-05 5.76920954e+02
9.181050e-05 5.72187433e+02
9.185000e-05 5.72065809e+02
9.335410e-05 5.67575128e+02
9.345690e-05 5.67268753e+02
9.644130e-05 5.58660377e+02
9.952870e-05 5.50171395e+02
1.000000e-04 5.48934669e+02
1.026160e-04 5.42075857e+02
1.057030e-04 5.34338696e+02
1.087900e-04 5.26932607e+02
1.118780e-04 5.19868946e+02
1.123410e-04 5.18810345e+02
1.125000e-04 5.18459213e+02
1.149650e-04 5.13020450e+02
1.180520e-04 5.06477267e+02
1.211390e-04 5.00222730e+02
1.217530e-04 4.98979726e+02
1.242270e-04 4.94125767e+02
1.250000e-04 4.92671786e+02
1.273140e-04 4.88324757e+02
1.278780e-04 4.87265728e+02
1.304010e-04 4.82670634e+02
1.334880e-04 4.77243033e+02
1.365760e-04 4.71998766e+02
1.375000e-04 4.70490121e+02
1.396630e-04 4.66958298e+02
1.403050e-04 4.65910227e+02
1.427500e-04 4.62026925e+02
1.458370e-04 4.57313741e+02
1.467850e-04 4.55866337e+02
1.489240e-04 4.52711166e+02
1.499830e-04 4.51149545e+02
1.500000e-04 4.51125213e+02
1.520110e-04 4.48223079e+02
1.550980e-04 4.43901818e+02
1.581850e-04 4.39707834e+02
1.612730e-04 4.35632790e+02
1.625000e-04 4.34059319e+02
1.643600e-04 4.31673661e+02
1.674470e-04 4.27824385e+02
1.705340e-04 4.24080416e+02
1.736210e-04 4.20440995e+02
1.737890e-04 4.20242648e+02
1.750000e-04 4.18854847e+02
1.767080e-04 4.16897789e+02
1.771360e-04 4.16407574e+02
1.797950e-04 4.13444738e+02
1.804400e-04 4.12725693e+02
1.828820e-04 4.10096993e+02
1.859700e-04 4.06773488e+02
1.890570e-04 4.03596960e+02
1.900810e-04 4.02543187e+02
1.952310e-04 3.97387092e+02
2.000000e-04 3.92833166e+02
2.014050e-04 3.91492747e+02
2.075790e-04 3.85895689e+02
2.083330e-04 3.85212102e+02
2.137540e-04 3.80497878e+02
2.139970e-04 3.80286702e+02
2.187500e-04 3.76321019e+02
2.199280e-04 3.75337955e+02
2.261030e-04 3.70397734e+02
2.322770e-04 3.65656007e+02
2.375000e-04 3.61814996e+02
2.384520e-04 3.61115041e+02
2.391120e-04 3.60629405e+02
2.446260e-04 3.56714991e+02
2.508000e-04 3.52492977e+02
2.562500e-04 3.48901448e+02
2.569740e-04 3.48423998e+02
2.631490e-04 3.44498204e+02
2.693230e-04 3.40712567e+02
2.695500e-04 3.40573401e+02
2.750000e-04 3.37340217e+02
2.754970e-04 3.37046268e+02
2.816710e-04 3.33509469e+02
2.878460e-04 3.30085551e+02
2.940200e-04 3.26770728e+02
3.001940e-04 3.23558940e+02
3.063680e-04 3.20444124e+02
3.125000e-04 3.17442254e+02
3.125430e-04 3.17420976e+02
3.187170e-04 3.14500863e+02
3.200000e-04 3.13894342e+02
3.248920e-04 3.11654236e+02
3.270070e-04 3.10685829e+02
3.310660e-04 3.08884886e+02
3.339410e-04 3.07610007e+02
3.372410e-04 3.06194325e+02
3.434150e-04 3.03547706e+02
3.495890e-04 3.00995029e+02
3.500000e-04 3.00830003e+02
3.557630e-04 2.98512222e+02
3.619380e-04 2.96091711e+02
3.681120e-04 2.93733325e+02
3.742860e-04 2.91459790e+02
3.801610e-04 2.89297194e+02
3.804600e-04 2.89192316e+02
3.875000e-04 2.86722367e+02
3.928090e-04 2.84859645e+02
4.051570e-04 2.80729255e+02
4.175060e-04 2.76782961e+02
4.250000e-04 2.74491306e+02
4.298550e-04 2.73008379e+02
4.422040e-04 2.69394828e+02
4.545520e-04 2.65929009e+02
