19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
1.000000e-05 1.06862432e+02
1.250000e-05 9.58036347e+01
1.500000e-05 8.76399952e+01
2.000000e-05 7.61806609e+01
2.750000e-05 6.52769656e+01
3.500000e-05 5.81008696e+01
4.250000e-05 5.29202829e+01
5.000000e-05 4.89542328e+01
6.250000e-05 4.40079978e+01
7.500000e-05 4.03567695e+01
1.000000e-04 3.52315116e+01
1.250000e-04 3.17337785e+01
1.500000e-04 2.91518168e+01
2.000000e-04 2.55275232e+01
2.750000e-04 2.20789467e+01
3.500000e-04 1.98093541e+01
4.250000e-04 1.81707716e+01
5.000000e-04 1.69164100e+01
6.250000e-04 1.53519322e+01
7.500000e-04 1.41971234e+01
1.000000e-03 1.25759747e+01
1.250000e-03 1.14697206e+01
1.500000e-03 1.06530295e+01
2.000000e-03 9.50660909e+00
2.750000e-03 8.41576985e+00
3.500000e-03 7.69783180e+00
4.250000e-03 7.17951860e+00
5.000000e-03 6.78270638e+00
6.250000e-03 6.28780903e+00
7.500000e-03 5.92246833e+00
1.000000e-02 5.40962734e+00
1.250000e-02 5.05961479e+00
1.500000e-02 4.80122603e+00
2.000000e-02 4.43849542e+00
2.530000e-02 4.17844964e+00
3.147500e-02 3.96270739e+00
3.765000e-02 3.80247769e+00
5.000000e-02 3.57630218e+00
6.250000e-02 3.41956700e+00
7.500000e-02 3.30383669e+00
1.000000e-01 3.14129854e+00
1.250000e-01 3.03029707e+00
1.500000e-01 2.94829030e+00
2.000000e-01 2.83303404e+00
2.750000e-01 2.72312430e+00
3.500000e-01 2.65055887e+00
5.000000e-01 2.55760325e+00
7.500000e-01 2.46931994e+00
1.000000e+00 2.41586881e+00
1.500000e+00 2.35086133e+00
2.000000e+00 2.31054355e+00
2.750000e+00 2.27010460e+00
3.500000e+00 2.24160141e+00
5.000000e+00 2.20137753e+00
7.500000e+00 2.15607650e+00
1.000000e+01 2.12251297e+00
1.500000e+01 2.07044389e+00
2.000000e+01 2.02829396e+00
2.750000e+01 1.97481313e+00
3.500000e+01 1.92864367e+00
5.000000e+01 1.85039125e+00
7.500000e+01 1.74691332e+00
1.000000e+02 1.66541251e+00
1.250000e+02 1.60361543e+00
1.500000e+02 1.54345196e+00
2.000000e+02 1.45564689e+00
2.750000e+02 1.36122040e+00
3.500000e+02 1.29364570e+00
5.000000e+02 1.20209711e+00
6.250000e+02 1.15056886e+00
6.985040e+02 1.12709682e+00
7.500000e+02 1.11099095e+00
7.977570e+02 1.09891589e+00
8.225700e+02 1.09268761e+00
8.473830e+02 1.08648807e+00
8.597890e+02 1.08341564e+00
8.721960e+02 1.08041137e+00
8.750000e+02 1.07977355e+00
8.783990e+02 1.07911121e+00
8.815010e+02 1.07857686e+00
8.846020e+02 1.07815807e+00
8.877040e+02 1.07802568e+00
8.892550e+02 1.07822294e+00
8.908060e+02 1.07884762e+00
8.915810e+02 1.07947863e+00
8.923560e+02 1.08051466e+00
8.931320e+02 1.08228287e+00
8.939070e+02 1.08552336e+00
8.942950e+02 1.08820939e+00
8.946830e+02 1.09220762e+00
8.950700e+02 1.09849217e+00
8.954580e+02 1.10913819e+00
8.958460e+02 1.12919414e+00
8.960400e+02 1.14655048e+00
8.962330e+02 1.17358752e+00
8.964270e+02 1.21878928e+00
8.966210e+02 1.30144629e+00
8.967180e+02 1.37004304e+00
8.968150e+02 1.47085160e+00
8.969120e+02 1.62279479e+00
8.970090e+02 1.85187242e+00
