22-Ti_n-g
>  22-Ti-46:0.082500
>  22-Ti-47:0.074400
>  22-Ti-48:0.737200
>  22-Ti-49:0.054100
>  22-Ti-50:0.051800
1.000000e-05 3.22415787e+02
1.250000e-05 2.88377398e+02
1.500000e-05 2.63251372e+02
2.000000e-05 2.27982721e+02
2.750000e-05 1.94423822e+02
3.500000e-05 1.72338689e+02
4.250000e-05 1.56394812e+02
5.000000e-05 1.44188699e+02
6.250000e-05 1.28966312e+02
7.500000e-05 1.17729890e+02
1.000000e-04 1.01957131e+02
1.250000e-04 9.11932360e+01
1.500000e-04 8.32475090e+01
2.000000e-04 7.20944275e+01
2.750000e-04 6.14823081e+01
3.500000e-04 5.44982663e+01
4.250000e-04 4.94563340e+01
5.000000e-04 4.55964712e+01
6.250000e-04 4.07826986e+01
7.500000e-04 3.72293990e+01
1.000000e-03 3.22415765e+01
1.250000e-03 2.88377376e+01
1.500000e-03 2.63251350e+01
2.000000e-03 2.27981957e+01
2.750000e-03 1.94423790e+01
3.500000e-03 1.72337914e+01
4.250000e-03 1.56394044e+01
5.000000e-03 1.44188656e+01
6.250000e-03 1.28966270e+01
7.500000e-03 1.17729099e+01
1.000000e-02 1.01956328e+01
1.250000e-02 9.11924276e+00
1.500000e-02 8.32467027e+00
2.000000e-02 7.20935975e+00
2.530000e-02 6.40989074e+00
3.147500e-02 5.74680557e+00
3.765000e-02 5.25442866e+00
5.000000e-02 4.55953038e+00
6.250000e-02 4.07813675e+00
7.500000e-02 3.72279041e+00
1.000000e-01 3.22399087e+00
1.250000e-01 2.88358263e+00
1.500000e-01 2.63230545e+00
2.000000e-01 2.27958581e+00
2.750000e-01 1.94395511e+00
3.500000e-01 1.72307023e+00
5.000000e-01 1.44150427e+00
7.500000e-01 1.17683261e+00
1.000000e+00 1.01903056e+00
1.500000e+00 8.31817437e-01
2.000000e+00 7.20183720e-01
2.750000e+00 6.13932185e-01
3.500000e+00 5.43978083e-01
5.000000e+00 4.54767050e-01
7.500000e+00 3.70830975e-01
1.000000e+01 3.20731788e-01
1.500000e+01 2.61201165e-01
2.000000e+01 2.25628013e-01
2.750000e+01 1.91686890e-01
3.500000e+01 1.69275677e-01
5.000000e+01 1.40586807e-01
7.500000e+01 1.13430943e-01
1.000000e+02 9.71147496e-02
1.500000e+02 7.75902314e-02
2.000000e+02 6.58456872e-02
2.750000e+02 5.46006280e-02
3.500000e+02 4.71808821e-02
5.000000e+02 3.77679524e-02
7.500000e+02 2.91396653e-02
1.000000e+03 2.42753099e-02
1.250000e+03 2.17270637e-02
1.500000e+03 1.91925225e-02
1.750000e+03 1.80909329e-02
2.000000e+03 1.72122773e-02
2.212280e+03 1.74515322e-02
2.254350e+03 1.75046337e-02
2.381530e+03 1.80884241e-02
2.424550e+03 1.85043417e-02
2.508700e+03 1.93374310e-02
2.635880e+03 2.20533888e-02
2.636830e+03 2.20915756e-02
2.699460e+03 2.46367584e-02
2.750000e+03 2.80383675e-02
2.763050e+03 2.89359870e-02
2.826640e+03 3.67700254e-02
2.849100e+03 4.13241111e-02
2.858430e+03 4.32215762e-02
2.890230e+03 5.28015462e-02
2.922020e+03 6.77478359e-02
2.953810e+03 9.25314425e-02
2.955240e+03 9.45026187e-02
2.985610e+03 1.36387566e-01
2.994890e+03 1.59788575e-01
3.017400e+03 2.16551431e-01
3.047700e+03 3.35765647e-01
3.061380e+03 3.69750885e-01
3.078000e+03 4.11059446e-01
3.108300e+03 3.27804278e-01
3.138600e+03 2.08985165e-01
3.167510e+03 1.38723170e-01
3.171490e+03 1.29058542e-01
3.204380e+03 8.66756422e-02
3.237270e+03 6.32489694e-02
3.270160e+03 4.93851518e-02
3.273650e+03 4.84587220e-02
3.303050e+03 4.07722728e-02
3.335940e+03 3.51182855e-02
3.379790e+03 3.07314043e-02
3.401720e+03 2.86587182e-02
3.432860e+03 2.72292396e-02
3.467500e+03 2.58601806e-02
3.485930e+03 2.55657557e-02
3.492340e+03 2.55289847e-02
3.500000e+03 2.54850833e-02
3.533280e+03 2.53279958e-02
3.538990e+03 2.53948698e-02
3.592060e+03 2.69195632e-02
3.645130e+03 2.99781539e-02
