25-Mn_n-g
>  25-Mn-55:1.000000
1.000000e-05 6.67637000e+02
1.250000e-05 5.97153000e+02
1.500000e-05 5.45124000e+02
2.000000e-05 4.72091000e+02
2.750000e-05 4.02601000e+02
3.500000e-05 3.56867000e+02
4.250000e-05 3.23852000e+02
5.000000e-05 2.98577000e+02
6.250000e-05 2.67055000e+02
7.500000e-05 2.43787000e+02
1.000000e-04 2.11126000e+02
1.250000e-04 1.88837000e+02
1.500000e-04 1.72383000e+02
2.000000e-04 1.49288000e+02
2.750000e-04 1.27314000e+02
3.500000e-04 1.12851000e+02
4.250000e-04 1.02411000e+02
5.000000e-04 9.44183000e+01
6.250000e-04 8.44504000e+01
7.500000e-04 7.70923000e+01
1.000000e-03 6.67640000e+01
1.250000e-03 5.97156000e+01
1.500000e-03 5.45126000e+01
2.000000e-03 4.72094000e+01
2.750000e-03 4.02604000e+01
3.500000e-03 3.56871000e+01
4.250000e-03 3.23856000e+01
5.000000e-03 2.98582000e+01
6.250000e-03 2.67061000e+01
7.500000e-03 2.43793000e+01
1.000000e-02 2.11133000e+01
1.250000e-02 1.88844000e+01
1.500000e-02 1.72392000e+01
2.000000e-02 1.49299000e+01
2.530000e-02 1.32745000e+01
3.147500e-02 1.19016000e+01
3.765000e-02 1.08821000e+01
5.000000e-02 9.44344000e+00
6.250000e-02 8.44683000e+00
7.500000e-02 7.71120000e+00
1.000000e-01 6.67866000e+00
1.250000e-01 5.97409000e+00
1.500000e-01 5.45404000e+00
2.000000e-01 4.72415000e+00
2.750000e-01 4.02981000e+00
3.500000e-01 3.57297000e+00
5.000000e-01 2.99090000e+00
7.500000e-01 2.44417000e+00
1.000000e+00 2.11854000e+00
1.500000e+00 1.73390000e+00
2.000000e+00 1.50548000e+00
2.750000e+00 1.28925000e+00
3.500000e+00 1.14793000e+00
5.000000e+00 9.69786000e-01
7.500000e+00 8.01507000e-01
1.000000e+01 7.02700000e-01
1.500000e+01 5.89580000e-01
2.000000e+01 5.25353000e-01
2.750000e+01 4.68542000e-01
3.000000e+01 4.55556000e-01
3.500000e+01 4.32641000e-01
5.000000e+01 3.91475000e-01
6.000000e+01 3.77313000e-01
7.500000e+01 3.67392000e-01
1.000000e+02 3.71041000e-01
1.250000e+02 3.92854000e-01
1.500000e+02 4.35582000e-01
1.750000e+02 5.06872000e-01
2.000000e+02 6.24355000e-01
2.160930e+02 7.39931000e-01
2.321850e+02 9.10635000e-01
2.482780e+02 1.17587000e+00
2.643700e+02 1.61850000e+00
2.804630e+02 2.43724000e+00
2.885090e+02 3.13449000e+00
2.965550e+02 4.20629000e+00
3.046010e+02 5.96648000e+00
3.126480e+02 9.11201000e+00
3.166710e+02 1.16619000e+01
3.206940e+02 1.53355000e+01
