25-Mn_n-tot
>  25-Mn-55:1.000000
1.000000e-05 6.69734000e+02
1.250000e-05 5.99250000e+02
1.500000e-05 5.47221000e+02
2.000000e-05 4.74188000e+02
2.750000e-05 4.04697000e+02
3.500000e-05 3.58964000e+02
4.250000e-05 3.25949000e+02
5.000000e-05 3.00673000e+02
6.250000e-05 2.69152000e+02
7.500000e-05 2.45884000e+02
1.000000e-04 2.13222000e+02
1.250000e-04 1.90933000e+02
1.500000e-04 1.74480000e+02
2.000000e-04 1.51385000e+02
2.750000e-04 1.29410000e+02
3.500000e-04 1.14948000e+02
4.250000e-04 1.04508000e+02
5.000000e-04 9.65151000e+01
6.250000e-04 8.65471000e+01
7.500000e-04 7.91891000e+01
1.000000e-03 6.88607000e+01
1.250000e-03 6.18123000e+01
1.500000e-03 5.66094000e+01
2.000000e-03 4.93062000e+01
2.750000e-03 4.23572000e+01
3.500000e-03 3.77839000e+01
4.250000e-03 3.44825000e+01
5.000000e-03 3.19550000e+01
6.250000e-03 2.88029000e+01
7.500000e-03 2.64761000e+01
1.000000e-02 2.32101000e+01
1.250000e-02 2.09813000e+01
1.500000e-02 1.93361000e+01
2.000000e-02 1.70268000e+01
2.530000e-02 1.53715000e+01
3.147500e-02 1.39987000e+01
3.765000e-02 1.29793000e+01
5.000000e-02 1.15408000e+01
6.250000e-02 1.05443000e+01
7.500000e-02 9.80882000e+00
1.000000e-01 8.77658000e+00
1.250000e-01 8.07230000e+00
1.500000e-01 7.55254000e+00
2.000000e-01 6.82323000e+00
2.750000e-01 6.12976000e+00
3.500000e-01 5.67379000e+00
5.000000e-01 5.09348000e+00
7.500000e-01 4.54967000e+00
1.000000e+00 4.22697000e+00
1.500000e+00 3.84823000e+00
2.000000e+00 3.62574000e+00
2.750000e+00 3.41848000e+00
3.500000e+00 3.28621000e+00
5.000000e+00 3.12641000e+00
7.500000e+00 2.98947000e+00
1.000000e+01 2.92298000e+00
1.500000e+01 2.87755000e+00
2.000000e+01 2.88531000e+00
2.750000e+01 2.94516000e+00
3.000000e+01 2.97353000e+00
3.500000e+01 3.03731000e+00
5.000000e+01 3.29148000e+00
6.000000e+01 3.50813000e+00
7.500000e+01 3.90652000e+00
1.000000e+02 4.80750000e+00
1.250000e+02 6.12141000e+00
1.500000e+02 8.08821000e+00
1.750000e+02 1.11540000e+01
2.000000e+02 1.62137000e+01
2.160930e+02 2.13650000e+01
2.321850e+02 2.91626000e+01
2.482780e+02 4.16477000e+01
2.643700e+02 6.32007000e+01
2.804630e+02 1.04555000e+02
2.885090e+02 1.40734000e+02
2.965550e+02 1.97454000e+02
3.046010e+02 2.92518000e+02
3.126480e+02 4.66041000e+02
3.166710e+02 6.08944000e+02
3.206940e+02 8.17290000e+02
3.247170e+02 1.12731000e+03
3.287400e+02 1.58737000e+03
3.347650e+02 2.58061000e+03
3.407900e+02 3.24744000e+03
3.468100e+02 2.61644000e+03
3.528300e+02 1.66284000e+03
3.587260e+02 1.05461000e+03
3.646230e+02 7.05303000e+02
3.705190e+02 4.99395000e+02
3.764150e+02 3.71148000e+02
3.823110e+02 2.86848000e+02
3.882080e+02 2.28801000e+02
4.000000e+02 1.56514000e+02
4.125000e+02 1.13092000e+02
4.250000e+02 8.65147000e+01
4.375000e+02 6.90520000e+01
4.500000e+02 5.69490000e+01
4.750000e+02 4.16810000e+01
5.000000e+02 3.27632000e+01
5.312500e+02 2.60296000e+01
5.625000e+02 2.19059000e+01
6.250000e+02 1.75080000e+01
6.875000e+02 1.56726000e+01
7.500000e+02 1.52460000e+01
8.000000e+02 1.56966000e+01
8.500000e+02 1.69182000e+01
9.000000e+02 1.92641000e+01
9.500000e+02 2.37860000e+01
9.750000e+02 2.77702000e+01
1.000000e+03 3.42826000e+01
1.022650e+03 4.49446000e+01
1.033980e+03 5.38994000e+01
1.045300e+03 6.78338000e+01
1.056630e+03 9.18032000e+01
1.062290e+03 1.11160000e+02
1.067950e+03 1.39782000e+02
1.073610e+03 1.85001000e+02
1.079280e+03 2.62819000e+02
1.082110e+03 3.24462000e+02
1.084940e+03 4.12183000e+02
1.087770e+03 5.40390000e+02
1.090600e+03 7.29257000e+02
1.098400e+03 1.39826000e+03
1.100380e+03 1.33545000e+03
1.102350e+03 1.13123000e+03
1.106300e+03 6.61671000e+02
1.108460e+03 4.78714000e+02
1.110610e+03 3.49458000e+02
1.112770e+03 2.59378000e+02
1.114920e+03 1.96088000e+02
1.119230e+03 1.17976000e+02
1.123540e+03 7.51632000e+01
1.127850e+03 5.00613000e+01
1.132160e+03 3.45306000e+01
1.136470e+03 2.45054000e+01
1.140780e+03 1.78194000e+01
1.145090e+03 1.32451000e+01
1.149400e+03 1.00582000e+01
1.158020e+03 6.21207000e+00
1.166640e+03 4.27187000e+00
1.175260e+03 3.33392000e+00
1.183880e+03 2.95267000e+00
1.192500e+03 2.89340000e+00
1.209730e+03 3.27367000e+00
1.244210e+03 4.74505000e+00
1.278690e+03 6.40478000e+00
1.313170e+03 8.06176000e+00
1.382120e+03 1.13906000e+01
1.520030e+03 1.91188000e+01
1.588990e+03 2.41514000e+01
1.623470e+03 2.71271000e+01
1.640710e+03 2.87600000e+01
1.649320e+03 2.96297000e+01
1.651480e+03 2.98635000e+01
1.653630e+03 3.01269000e+01
1.654710e+03 3.02953000e+01
1.655250e+03 3.04060000e+01
1.655790e+03 3.05571000e+01
1.656330e+03 3.08009000e+01
1.656600e+03 3.09988000e+01
1.656870e+03 3.13048000e+01
1.657140e+03 3.18347000e+01
1.657270e+03 3.22633000e+01
1.657410e+03 3.28888000e+01
1.657540e+03 3.38671000e+01
1.657670e+03 3.54726000e+01
1.657810e+03 3.83342000e+01
1.657940e+03 4.35480000e+01
1.658070e+03 5.14192000e+01
1.658200e+03 5.66809000e+01
1.658330e+03 5.14483000e+01
1.658460e+03 4.36047000e+01
1.658540e+03 3.99993000e+01
1.658620e+03 3.75586000e+01
1.658790e+03 3.47126000e+01
1.658960e+03 3.32732000e+01
1.659120e+03 3.24727000e+01
1.659290e+03 3.19917000e+01
1.659460e+03 3.16851000e+01
1.659790e+03 3.13409000e+01
1.660120e+03 3.11708000e+01
1.660460e+03 3.10834000e+01
1.661120e+03 3.10207000e+01
1.661790e+03 3.10244000e+01
1.662460e+03 3.10569000e+01
1.663790e+03 3.11589000e+01
1.666460e+03 3.14144000e+01
1.669130e+03 3.16915000e+01
1.679800e+03 3.28624000e+01
1.701150e+03 3.53765000e+01
1.743840e+03 4.11139000e+01
1.829230e+03 5.63431000e+01
1.914610e+03 7.92401000e+01
2.000000e+03 1.15247000e+02
2.096350e+03 1.84449000e+02
2.192700e+03 3.08429000e+02
2.293700e+03 5.13710000e+02
2.394700e+03 6.55192000e+02
2.495700e+03 5.35073000e+02
2.596700e+03 3.46879000e+02
2.665860e+03 2.54782000e+02
2.735030e+03 1.91367000e+02
2.804190e+03 1.47781000e+02
2.873350e+03 1.17195000e+02
3.011680e+03 7.88283000e+01
3.150000e+03 5.68342000e+01
3.298630e+03 4.23056000e+01
3.474110e+03 3.15224000e+01
3.649590e+03 2.45139000e+01
3.825070e+03 1.96714000e+01
3.912810e+03 1.77851000e+01
3.956680e+03 1.69441000e+01
3.978610e+03 1.65461000e+01
3.989580e+03 1.63526000e+01
3.995070e+03 1.62577000e+01
3.997810e+03 1.62126000e+01
3.999180e+03 1.61968000e+01
3.999860e+03 1.62069000e+01
4.000210e+03 1.62470000e+01
4.000550e+03 1.64619000e+01
4.000770e+03 1.67573000e+01
4.000990e+03 1.64546000e+01
4.001280e+03 1.62408000e+01
4.001580e+03 1.61850000e+01
4.002170e+03 1.61484000e+01
4.003360e+03 1.61182000e+01
4.005730e+03 1.60746000e+01
4.010470e+03 1.59932000e+01
4.019960e+03 1.58336000e+01
4.038930e+03 1.55221000e+01
4.076860e+03 1.49260000e+01
