26-Fe_n-tot
>  26-Fe-54:0.058450
>  26-Fe-56:0.917533
>  26-Fe-57:0.021190
>  26-Fe-58:0.002828
1.000000e-05 1.40088737e+02
1.250000e-05 1.26487016e+02
1.500000e-05 1.16445642e+02
2.000000e-05 1.02352156e+02
2.375000e-05 9.56460366e+01
2.750000e-05 8.89419726e+01
3.500000e-05 8.01163456e+01
4.250000e-05 7.37450680e+01
5.000000e-05 6.88675389e+01
6.250000e-05 6.27845058e+01
7.500000e-05 5.82941793e+01
1.000000e-04 5.19912903e+01
1.250000e-04 4.76899546e+01
1.500000e-04 4.45148681e+01
2.000000e-04 4.00579901e+01
2.375000e-04 3.79373808e+01
2.750000e-04 3.58174185e+01
3.500000e-04 3.30264587e+01
4.250000e-04 3.10117508e+01
5.000000e-04 2.94693338e+01
6.250000e-04 2.75456678e+01
7.500000e-04 2.61257490e+01
1.000000e-03 2.41326176e+01
1.250000e-03 2.27724638e+01
1.500000e-03 2.17683343e+01
2.000000e-03 2.03590051e+01
2.375000e-03 1.96883775e+01
2.750000e-03 1.90179536e+01
3.500000e-03 1.81354280e+01
4.250000e-03 1.74982982e+01
5.000000e-03 1.70105781e+01
6.250000e-03 1.64022455e+01
7.500000e-03 1.59532170e+01
1.000000e-02 1.53229162e+01
1.250000e-02 1.48927872e+01
1.500000e-02 1.45752632e+01
2.000000e-02 1.41295983e+01
2.530000e-02 1.38100963e+01
3.147500e-02 1.35451155e+01
3.765000e-02 1.33483118e+01
5.000000e-02 1.30705700e+01
6.250000e-02 1.28781226e+01
7.500000e-02 1.27361313e+01
1.000000e-01 1.25366627e+01
1.250000e-01 1.24005181e+01
1.500000e-01 1.23000859e+01
2.000000e-01 1.21589025e+01
2.750000e-01 1.20245453e+01
3.500000e-01 1.19359117e+01
4.140000e-01 1.18802169e+01
4.140010e-01 1.18802169e+01
4.140020e-01 1.18802167e+01
4.140030e-01 1.18802167e+01
4.140050e-01 1.18802167e+01
4.140110e-01 1.18802161e+01
4.140210e-01 1.18802159e+01
4.140420e-01 1.18802145e+01
4.140840e-01 1.18801207e+01
4.141680e-01 1.18801158e+01
4.143360e-01 1.18799232e+01
4.146720e-01 1.18797208e+01
4.153440e-01 1.18792247e+01
4.166880e-01 1.18781412e+01
4.193750e-01 1.18761586e+01
4.247500e-01 1.18721061e+01
4.355000e-01 1.18642920e+01
4.570000e-01 1.18495507e+01
5.000000e-01 1.18228473e+01
6.250000e-01 1.17615285e+01
7.500000e-01 1.17161397e+01
1.000000e+00 1.16520834e+01
1.500000e+00 1.15754126e+01
2.000000e+00 1.15289225e+01
2.750000e+00 1.14835830e+01
3.500000e+00 1.14527855e+01
5.000000e+00 1.14114745e+01
7.500000e+00 1.13686040e+01
1.000000e+01 1.13391958e+01
1.500000e+01 1.12967013e+01
2.000000e+01 1.12638950e+01
2.750000e+01 1.12226381e+01
3.500000e+01 1.11862129e+01
5.000000e+01 1.11202568e+01
7.500000e+01 1.10203583e+01
1.000000e+02 1.09267444e+01
1.330000e+02 1.08103968e+01
1.500000e+02 1.07504624e+01
1.660000e+02 1.06973277e+01
2.000000e+02 1.05844237e+01
2.074500e+02 1.05611664e+01
2.149000e+02 1.05379194e+01
2.186250e+02 1.05263100e+01
2.204880e+02 1.05205146e+01
2.223500e+02 1.05147402e+01
2.242130e+02 1.05090071e+01
2.251440e+02 1.05061828e+01
2.260750e+02 1.05034240e+01
2.265410e+02 1.05020917e+01
2.270060e+02 1.05008238e+01
2.274720e+02 1.04996630e+01
2.279380e+02 1.04987210e+01
2.284030e+02 1.04982854e+01
2.286360e+02 1.04984869e+01
2.288690e+02 1.04992962e+01
2.291020e+02 1.05013734e+01
2.292180e+02 1.05033629e+01
2.293340e+02 1.05065536e+01
2.294510e+02 1.05118737e+01
2.295670e+02 1.05212738e+01
2.296840e+02 1.05390563e+01
2.298000e+02 1.05741856e+01
2.299000e+02 1.06233932e+01
2.300000e+02 1.06560335e+01
2.301010e+02 1.06225542e+01
2.302010e+02 1.05725870e+01
2.302640e+02 1.05504713e+01
2.303270e+02 1.05349933e+01
2.304520e+02 1.05165111e+01
2.305780e+02 1.05067215e+01
2.307030e+02 1.05009846e+01
2.308290e+02 1.04973025e+01
2.309550e+02 1.04947566e+01
2.312060e+02 1.04914344e+01
2.314570e+02 1.04892733e+01
2.317080e+02 1.04876627e+01
2.322100e+02 1.04851957e+01
2.327130e+02 1.04831731e+01
2.332150e+02 1.04813471e+01
2.337170e+02 1.04796182e+01
2.342200e+02 1.04779401e+01
2.352240e+02 1.04746752e+01
2.362290e+02 1.04714647e+01
2.382380e+02 1.04651179e+01
2.402480e+02 1.04588069e+01
2.422570e+02 1.04525146e+01
2.462750e+02 1.04399492e+01
2.543120e+02 1.04148400e+01
2.623500e+02 1.03897370e+01
2.750000e+02 1.03502363e+01
2.784240e+02 1.03402369e+01
2.944980e+02 1.02932994e+01
3.105720e+02 1.02463673e+01
3.186090e+02 1.02229057e+01
3.266470e+02 1.01994487e+01
3.346840e+02 1.01760132e+01
3.387020e+02 1.01643143e+01
3.427210e+02 1.01526415e+01
3.447300e+02 1.01468286e+01
3.467390e+02 1.01410445e+01
3.487490e+02 1.01353109e+01
3.500000e+02 1.01318119e+01
3.507580e+02 1.01298842e+01
3.517630e+02 1.01274126e+01
3.527670e+02 1.01250523e+01
3.537720e+02 1.01228893e+01
3.547770e+02 1.01211370e+01
3.552790e+02 1.01205673e+01
3.557810e+02 1.01203835e+01
3.562840e+02 1.01208912e+01
3.567860e+02 1.01227853e+01
3.572880e+02 1.01278754e+01
3.575390e+02 1.01331120e+01
3.577900e+02 1.01422574e+01
3.580420e+02 1.01596434e+01
3.581670e+02 1.01745744e+01
3.582930e+02 1.01974656e+01
3.584180e+02 1.02347484e+01
3.585440e+02 1.03000728e+01
3.586700e+02 1.04248138e+01
3.587320e+02 1.05291593e+01
3.587950e+02 1.06772282e+01
3.588980e+02 1.10174563e+01
3.590000e+02 1.12437421e+01
3.591030e+02 1.10154138e+01
3.592060e+02 1.06737260e+01
3.592750e+02 1.05142789e+01
3.593440e+02 1.04060153e+01
3.594810e+02 1.02814937e+01
3.596190e+02 1.02186660e+01
3.597560e+02 1.01834906e+01
3.598940e+02 1.01620096e+01
3.600310e+02 1.01479629e+01
3.603060e+02 1.01312470e+01
3.605810e+02 1.01219270e+01
3.608560e+02 1.01160684e+01
3.611310e+02 1.01120371e+01
3.614060e+02 1.01090591e+01
3.619560e+02 1.01048219e+01
3.625060e+02 1.01017761e+01
3.630560e+02 1.00993253e+01
3.636060e+02 1.00972044e+01
3.647060e+02 1.00934824e+01
3.658060e+02 1.00901101e+01
3.669060e+02 1.00869075e+01
3.680060e+02 1.00837973e+01
3.702060e+02 1.00777201e+01
3.724060e+02 1.00717377e+01
3.746050e+02 1.00658034e+01
3.768050e+02 1.00598910e+01
3.812050e+02 1.00481038e+01
3.856050e+02 1.00363415e+01
3.944050e+02 1.00128467e+01
4.032040e+02 9.98937073e+00
4.120040e+02 9.96589854e+00
4.296030e+02 9.91896455e+00
4.648020e+02 9.82510404e+00
5.000000e+02 9.73125010e+00
6.250000e+02 9.44372840e+00
7.500000e+02 9.15620939e+00
9.999990e+02 8.67073505e+00
1.000000e+03 8.67073505e+00
1.000010e+03 8.67072070e+00
1.000020e+03 8.67069724e+00
1.000030e+03 8.67068307e+00
1.000040e+03 8.67066862e+00
1.000050e+03 8.67064652e+00
1.000070e+03 8.67060254e+00
1.000080e+03 8.67058590e+00
1.000100e+03 8.67055263e+00
1.000150e+03 8.67046945e+00
1.000160e+03 8.67045118e+00
1.000200e+03 8.67037805e+00
1.000290e+03 8.67021357e+00
1.000310e+03 8.67017877e+00
1.000390e+03 8.67003964e+00
1.000590e+03 8.66969173e+00
1.000620e+03 8.66963781e+00
1.000780e+03 8.66935007e+00
1.001170e+03 8.66864873e+00
1.001230e+03 8.66854219e+00
1.001560e+03 8.66795628e+00
1.002340e+03 8.66657160e+00
1.002460e+03 8.66635768e+00
1.003130e+03 8.66516340e+00
1.004670e+03 8.66241788e+00
1.004920e+03 8.66197409e+00
1.006250e+03 8.65961304e+00
1.009340e+03 8.65412782e+00
1.009840e+03 8.65324425e+00
1.012500e+03 8.64854355e+00
1.018670e+03 8.63764035e+00
1.019680e+03 8.63587922e+00
1.025000e+03 8.62660256e+00
1.037350e+03 8.60506889e+00
1.039360e+03 8.60168390e+00
1.050000e+03 8.58376443e+00
1.074690e+03 8.54218743e+00
1.078710e+03 8.53592887e+00
1.093370e+03 8.51310257e+00
1.100000e+03 8.50388364e+00
1.102700e+03 8.50013037e+00
1.112040e+03 8.48963747e+00
1.121370e+03 8.48529263e+00
1.126040e+03 8.48880403e+00
1.130710e+03 8.50171097e+00
1.133040e+03 8.51527560e+00
1.135380e+03 8.53807922e+00
1.137710e+03 8.57796786e+00
1.140050e+03 8.65332775e+00
1.141210e+03 8.71763506e+00
1.142380e+03 8.81606484e+00
1.143550e+03 8.97672169e+00
1.144710e+03 9.26400779e+00
1.145300e+03 9.50087158e+00
1.145880e+03 9.85326249e+00
1.146470e+03 1.04122812e+01
1.147050e+03 1.13719869e+01
1.147630e+03 1.32336273e+01
1.147920e+03 1.48956293e+01
1.148220e+03 1.75633382e+01
1.148510e+03 2.22587949e+01
1.148800e+03 3.15363180e+01
1.148950e+03 3.98699832e+01
1.149090e+03 5.31485996e+01
1.149240e+03 7.53541658e+01
1.149380e+03 1.12864177e+02
1.149540e+03 1.75597711e+02
1.149700e+03 2.17448202e+02
1.149860e+03 1.75620631e+02
1.150020e+03 1.12897172e+02
1.150140e+03 7.98942491e+01
1.150260e+03 5.89512840e+01
1.150390e+03 4.54602433e+01
1.150510e+03 3.64977774e+01
1.150750e+03 2.59388895e+01
1.151000e+03 2.02974255e+01
1.151240e+03 1.69698878e+01
1.151480e+03 1.48552364e+01
1.151970e+03 1.24307199e+01
1.152460e+03 1.11488068e+01
1.152950e+03 1.03941080e+01
1.153440e+03 9.91209990e+00
1.153920e+03 9.58570590e+00
1.154900e+03 9.18432988e+00
1.155880e+03 8.95654186e+00
1.156850e+03 8.81443361e+00
1.157420e+03 8.75939575e+00
1.157830e+03 8.71980694e+00
1.159780e+03 8.60478208e+00
1.161740e+03 8.53952361e+00
1.163690e+03 8.49836013e+00
1.165640e+03 8.47025314e+00
1.169550e+03 8.43425183e+00
1.173450e+03 8.41161037e+00
1.177360e+03 8.39537271e+00
1.181270e+03 8.38258497e+00
1.189080e+03 8.36231342e+00
1.196890e+03 8.34557436e+00
1.200000e+03 8.33977284e+00
1.212510e+03 8.31644686e+00
1.243760e+03 8.26420643e+00
1.275010e+03 8.21475530e+00
1.314850e+03 8.15527272e+00
1.400000e+03 8.02810095e+00
1.400010e+03 8.02808650e+00
1.400020e+03 8.02806800e+00
1.400030e+03 8.02805388e+00
1.400040e+03 8.02803938e+00
1.400050e+03 8.02802579e+00
1.400060e+03 8.02801233e+00
1.400090e+03 8.02797199e+00
1.400100e+03 8.02795763e+00
1.400110e+03 8.02794333e+00
1.400170e+03 8.02785752e+00
1.400200e+03 8.02781380e+00
1.400230e+03 8.02776993e+00
1.400340e+03 8.02760905e+00
1.400390e+03 8.02753793e+00
1.400450e+03 8.02745265e+00
1.400690e+03 8.02711160e+00
1.400780e+03 8.02698131e+00
1.400900e+03 8.02680769e+00
1.401370e+03 8.02612757e+00
1.401560e+03 8.02585583e+00
1.401800e+03 8.02551264e+00
1.402740e+03 8.02416862e+00
