28-Ni_n-g
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
1.000000e-05 2.05697382e+02
1.250000e-05 1.83981447e+02
1.500000e-05 1.67951375e+02
2.000000e-05 1.45449762e+02
2.750000e-05 1.24039904e+02
3.500000e-05 1.09949593e+02
4.250000e-05 9.97775311e+01
5.000000e-05 9.19904342e+01
6.250000e-05 8.22787821e+01
7.500000e-05 7.51099323e+01
1.000000e-04 6.50471057e+01
1.250000e-04 5.81798543e+01
1.500000e-04 5.31106985e+01
2.000000e-04 4.59951967e+01
2.750000e-04 3.92248152e+01
3.500000e-04 3.47691051e+01
4.250000e-04 3.15524133e+01
5.000000e-04 2.90899118e+01
6.250000e-04 2.60187845e+01
7.500000e-04 2.37517882e+01
1.000000e-03 2.05696476e+01
1.250000e-03 1.83980766e+01
1.500000e-03 1.67950563e+01
2.000000e-03 1.45449639e+01
2.250000e-03 1.38313002e+01
2.500000e-03 1.31176365e+01
2.750000e-03 1.24039728e+01
3.000000e-03 1.19342946e+01
3.500000e-03 1.09949381e+01
4.000000e-03 1.03167990e+01
4.250000e-03 9.97772938e+00
4.500000e-03 9.71815978e+00
5.000000e-03 9.19902060e+00
5.500000e-03 8.81055342e+00
6.000000e-03 8.42208625e+00
6.250000e-03 8.22785266e+00
6.500000e-03 8.08447461e+00
7.000000e-03 7.79771852e+00
7.500000e-03 7.51096243e+00
8.000000e-03 7.30970539e+00
8.500000e-03 7.10844835e+00
9.000000e-03 6.90719132e+00
9.500000e-03 6.70593428e+00
1.000000e-02 6.50467724e+00
1.125000e-02 6.16131540e+00
1.250000e-02 5.81795356e+00
1.500000e-02 5.31103889e+00
2.000000e-02 4.59948073e+00
2.500000e-02 4.11829590e+00
2.530000e-02 4.08942481e+00
2.607190e-02 4.03425919e+00
2.647500e-02 4.00566297e+00
2.684380e-02 3.97950002e+00
2.765000e-02 3.92288765e+00
2.838750e-02 3.87109947e+00
3.000000e-02 3.75985410e+00
3.036000e-02 3.73501793e+00
3.147500e-02 3.67130096e+00
3.456250e-02 3.50673861e+00
3.500000e-02 3.48387933e+00
3.643000e-02 3.40916215e+00
3.765000e-02 3.35224425e+00
4.000000e-02 3.25643944e+00
4.068500e-02 3.22851335e+00
4.372000e-02 3.11428600e+00
4.382500e-02 3.11073144e+00
4.500000e-02 3.07232985e+00
5.000000e-02 2.90891886e+00
5.246000e-02 2.84243312e+00
5.500000e-02 2.77890590e+00
5.770500e-02 2.71125191e+00
6.000000e-02 2.65905027e+00
6.250000e-02 2.60218575e+00
6.295000e-02 2.59280911e+00
6.500000e-02 2.55577379e+00
7.000000e-02 2.46544374e+00
7.500000e-02 2.37511370e+00
7.555000e-02 2.36694356e+00
7.743750e-02 2.33940535e+00
7.932500e-02 2.31259557e+00
8.000000e-02 2.30337071e+00
8.310000e-02 2.26100469e+00
8.499900e-02 2.23684315e+00
8.999900e-02 2.17322666e+00
9.065000e-02 2.16494380e+00
9.499900e-02 2.11467501e+00
9.999900e-02 2.05688151e+00
1.000000e-01 2.05686995e+00
1.000030e-01 2.05684185e+00
1.000060e-01 2.05681376e+00
1.000120e-01 2.05675756e+00
1.000250e-01 2.05663581e+00
1.000490e-01 2.05641103e+00
1.000980e-01 2.05595211e+00
1.001950e-01 2.05504363e+00
1.003910e-01 2.05320794e+00
1.007810e-01 2.04955529e+00
1.015630e-01 2.04223127e+00
1.031250e-01 2.02760196e+00
1.062500e-01 1.99833397e+00
1.087900e-01 1.97454494e+00
1.125000e-01 1.94437220e+00
1.250000e-01 1.84271200e+00
1.305400e-01 1.80139461e+00
1.500000e-01 1.67938915e+00
1.566500e-01 1.64516379e+00
1.723150e-01 1.57045058e+00
1.879800e-01 1.50261316e+00
2.000000e-01 1.45436144e+00
2.255800e-01 1.37294806e+00
2.500000e-01 1.30682928e+00
2.706900e-01 1.25080973e+00
