28-Ni_n-tot
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
1.000000e-05 2.23332595e+02
1.250000e-05 2.01616635e+02
1.500000e-05 1.85586616e+02
2.000000e-05 1.63085062e+02
2.750000e-05 1.41675177e+02
3.500000e-05 1.27584831e+02
4.250000e-05 1.17413449e+02
5.000000e-05 1.09626348e+02
6.250000e-05 9.99141919e+01
7.500000e-05 9.27455099e+01
1.000000e-04 8.26825483e+01
1.250000e-04 7.58152958e+01
1.500000e-04 7.07461754e+01
2.000000e-04 6.36306746e+01
2.750000e-04 5.68602930e+01
3.500000e-04 5.24045466e+01
4.250000e-04 4.91878902e+01
5.000000e-04 4.67253533e+01
6.250000e-04 4.36542477e+01
7.500000e-04 4.13872405e+01
1.000000e-03 3.82050998e+01
1.250000e-03 3.60335289e+01
1.500000e-03 3.44305244e+01
2.000000e-03 3.21804217e+01
2.250000e-03 3.14667587e+01
2.500000e-03 3.07530957e+01
2.750000e-03 3.00394328e+01
3.000000e-03 2.95697551e+01
3.500000e-03 2.86303997e+01
4.000000e-03 2.79522603e+01
4.250000e-03 2.76131906e+01
4.500000e-03 2.73536184e+01
5.000000e-03 2.68344741e+01
5.500000e-03 2.64460153e+01
6.000000e-03 2.60575564e+01
6.250000e-03 2.58633270e+01
6.500000e-03 2.57199394e+01
7.000000e-03 2.54331642e+01
7.500000e-03 2.51463889e+01
8.000000e-03 2.49451325e+01
8.500000e-03 2.47438760e+01
9.000000e-03 2.45426196e+01
9.500000e-03 2.43413631e+01
1.000000e-02 2.41401067e+01
1.125000e-02 2.37967674e+01
1.250000e-02 2.34534281e+01
1.500000e-02 2.29465130e+01
2.000000e-02 2.22348978e+01
2.500000e-02 2.17537420e+01
2.530000e-02 2.17248726e+01
2.607190e-02 2.16696975e+01
2.647500e-02 2.16410963e+01
2.684380e-02 2.16149289e+01
2.765000e-02 2.15583080e+01
2.838750e-02 2.15065120e+01
3.000000e-02 2.13952455e+01
3.036000e-02 2.13704046e+01
3.147500e-02 2.13066840e+01
3.456250e-02 2.11421165e+01
3.500000e-02 2.11192565e+01
3.643000e-02 2.10445369e+01
3.765000e-02 2.09876198e+01
4.000000e-02 2.08918465e+01
4.068500e-02 2.08639296e+01
4.372000e-02 2.07497022e+01
4.382500e-02 2.07461469e+01
4.500000e-02 2.07077372e+01
5.000000e-02 2.05442914e+01
5.246000e-02 2.04778203e+01
5.500000e-02 2.04142712e+01
5.770500e-02 2.03465938e+01
6.000000e-02 2.02943872e+01
6.250000e-02 2.02375173e+01
6.295000e-02 2.02281395e+01
6.500000e-02 2.01911079e+01
7.000000e-02 2.01007869e+01
7.500000e-02 2.00104659e+01
7.555000e-02 2.00022617e+01
7.743750e-02 1.99747099e+01
7.932500e-02 1.99479069e+01
8.000000e-02 1.99386869e+01
8.310000e-02 1.98963433e+01
8.499900e-02 1.98721681e+01
8.999900e-02 1.98085155e+01
9.065000e-02 1.98002280e+01
9.499900e-02 1.97499529e+01
9.999900e-02 1.96921521e+01
1.000000e-01 1.96921406e+01
1.000030e-01 1.96921124e+01
1.000060e-01 1.96920843e+01
1.000120e-01 1.96920281e+01
1.000250e-01 1.96919063e+01
1.000490e-01 1.96916815e+01
1.000980e-01 1.96912224e+01
1.001950e-01 1.96903135e+01
1.003910e-01 1.96884771e+01
1.007810e-01 1.96848230e+01
1.015630e-01 1.96774962e+01
1.031250e-01 1.96628611e+01
1.062500e-01 1.96335817e+01
1.087900e-01 1.96097834e+01
1.125000e-01 1.95796102e+01
1.250000e-01 1.94779488e+01
1.305400e-01 1.94366297e+01
1.500000e-01 1.93145766e+01
1.566500e-01 1.92803044e+01
1.723150e-01 1.92056068e+01
1.879800e-01 1.91377168e+01
2.000000e-01 1.90893985e+01
2.255800e-01 1.90079608e+01
2.500000e-01 1.89418006e+01
2.706900e-01 1.88857459e+01
