30-Zn_n-tot
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
1.000000e-05 5.73941542e+01
1.250000e-05 5.19067035e+01
1.308720e-05 5.07381025e+01
1.500000e-05 4.76364893e+01
1.617430e-05 4.61142266e+01
2.000000e-05 4.18197243e+01
2.234860e-05 3.98928274e+01
2.750000e-05 3.62851397e+01
2.852300e-05 3.57339208e+01
3.161020e-05 3.41840531e+01
3.469730e-05 3.27744703e+01
3.500000e-05 3.26426513e+01
3.575290e-05 3.23546849e+01
3.650570e-05 3.20727987e+01
3.801150e-05 3.15260552e+01
4.102300e-05 3.04934263e+01
4.250000e-05 3.00352792e+01
4.704590e-05 2.87553935e+01
5.000000e-05 2.80000875e+01
5.939450e-05 2.60645212e+01
6.250000e-05 2.55249871e+01
7.174320e-05 2.40884943e+01
7.500000e-05 2.36363072e+01
8.409180e-05 2.26032412e+01
1.000000e-04 2.10350078e+01
1.087890e-04 2.03656758e+01
1.250000e-04 1.92941246e+01
1.334860e-04 1.87881680e+01
1.500000e-04 1.79493420e+01
1.581840e-04 1.76099302e+01
1.790920e-04 1.68176625e+01
2.000000e-04 1.61099277e+01
2.075780e-04 1.59055820e+01
2.322760e-04 1.52890970e+01
2.569730e-04 1.47341172e+01
2.750000e-04 1.43597383e+01
3.063670e-04 1.38445095e+01
3.500000e-04 1.32078682e+01
4.051560e-04 1.25815775e+01
4.250000e-04 1.23912319e+01
5.000000e-04 1.17397692e+01
5.039450e-04 1.17118264e+01
5.162940e-04 1.16257725e+01
5.286420e-04 1.15418001e+01
5.533400e-04 1.13795842e+01
6.027340e-04 1.10753441e+01
6.250000e-04 1.09562072e+01
7.500000e-04 1.03598072e+01
8.003130e-04 1.01743309e+01
9.978910e-04 9.54328143e+00
1.000000e-03 9.53720838e+00
1.006110e-03 9.52189009e+00
1.012220e-03 9.50667031e+00
1.024430e-03 9.47652118e+00
1.048870e-03 9.41729456e+00
1.097740e-03 9.30290420e+00
1.195470e-03 9.08838115e+00
1.250000e-03 8.98485379e+00
1.500000e-03 8.56143291e+00
1.590630e-03 8.44292448e+00
1.788210e-03 8.20663256e+00
1.985780e-03 7.99428052e+00
2.000000e-03 7.97976138e+00
2.047620e-03 7.93886159e+00
2.095240e-03 7.89894567e+00
2.190470e-03 7.82185038e+00
2.380940e-03 7.67728860e+00
2.750000e-03 7.42630010e+00
3.171250e-03 7.21131007e+00
3.500000e-03 7.06205407e+00
3.961560e-03 6.89444183e+00
4.250000e-03 6.80397227e+00
4.751880e-03 6.66093168e+00
5.000000e-03 6.59778813e+00
5.666250e-03 6.45722012e+00
6.250000e-03 6.34741779e+00
6.332500e-03 6.33341120e+00
7.500000e-03 6.16140609e+00
7.913130e-03 6.11295982e+00
9.493750e-03 5.94845858e+00
1.000000e-02 5.90127427e+00
1.132750e-02 5.80222646e+00
1.250000e-02 5.72419768e+00
1.265500e-02 5.71488691e+00
1.500000e-02 5.59269249e+00
1.581630e-02 5.55883962e+00
1.897750e-02 5.44244413e+00
2.000000e-02 5.40874551e+00
2.265000e-02 5.33903413e+00
2.530000e-02 5.27688020e+00
3.147500e-02 5.17015970e+00
3.209780e-02 5.16038536e+00
3.387200e-02 5.13481239e+00
3.765000e-02 5.08629263e+00
3.889560e-02 5.07347368e+00
4.167170e-02 5.04555711e+00
4.244410e-02 5.03800823e+00
4.444780e-02 5.01990625e+00
5.000000e-02 4.97165665e+00
5.101610e-02 4.96454473e+00
5.249130e-02 4.95440283e+00
5.315910e-02 4.94997812e+00
5.530210e-02 4.93610847e+00
5.928920e-02 4.91109499e+00
5.958810e-02 4.90930608e+00
6.250000e-02 4.89321671e+00
6.608700e-02 4.87547579e+00
7.500000e-02 4.83360179e+00
7.673220e-02 4.82712700e+00
7.968260e-02 4.81634296e+00
8.101820e-02 4.81165048e+00
8.530430e-02 4.79704427e+00
8.984130e-02 4.78219449e+00
9.387630e-02 4.76960365e+00
1.000000e-01 4.75128361e+00
1.068740e-01 4.73486752e+00
1.140820e-01 4.71868732e+00
1.250000e-01 4.69581453e+00
1.281640e-01 4.68983400e+00
1.340650e-01 4.67948086e+00
1.500000e-01 4.65358460e+00
1.612560e-01 4.63897587e+00
1.624520e-01 4.63749744e+00
1.884480e-01 4.60775744e+00
