31-Ga_n-g
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.000000e-05 1.47195782e+02
1.250000e-05 1.31655784e+02
1.500000e-05 1.20184802e+02
2.000000e-05 1.04082906e+02
2.750000e-05 8.87623645e+01
3.500000e-05 7.86794061e+01
4.250000e-05 7.14005230e+01
5.000000e-05 6.58278920e+01
6.250000e-05 5.88782449e+01
7.500000e-05 5.37482634e+01
1.000000e-04 4.65473945e+01
1.250000e-04 4.16332142e+01
1.500000e-04 3.80057696e+01
2.000000e-04 3.29139460e+01
2.750000e-04 2.80691289e+01
3.500000e-04 2.48806584e+01
4.250000e-04 2.25787864e+01
5.000000e-04 2.08166571e+01
6.250000e-04 1.86190297e+01
7.500000e-04 1.69967454e+01
1.000000e-03 1.47196301e+01
1.250000e-03 1.31656702e+01
1.500000e-03 1.20185720e+01
2.000000e-03 1.04083824e+01
2.750000e-03 8.87633427e+00
3.500000e-03 7.86807231e+00
4.250000e-03 7.14019602e+00
5.000000e-03 6.58292691e+00
6.250000e-03 5.88799614e+00
7.500000e-03 5.37500597e+00
1.000000e-02 4.65494902e+00
1.250000e-02 4.16355892e+00
1.500000e-02 3.80083642e+00
2.000000e-02 3.29169597e+00
2.530000e-02 2.92674191e+00
3.147500e-02 2.62406693e+00
3.765000e-02 2.39931768e+00
5.000000e-02 2.08213671e+00
6.250000e-02 1.86242987e+00
7.500000e-02 1.70025133e+00
1.000000e-01 1.47263341e+00
1.250000e-01 1.31731267e+00
1.500000e-01 1.20267629e+00
2.000000e-01 1.04178706e+00
2.750000e-01 8.88748700e-01
3.500000e-01 7.88062617e-01
5.000000e-01 6.59798356e-01
7.500000e-01 5.39351348e-01
1.000000e+00 4.67639048e-01
1.500000e+00 3.82726964e-01
2.000000e+00 3.32242646e-01
2.750000e+00 2.84366522e-01
3.500000e+00 2.52994593e-01
5.000000e+00 2.13275570e-01
7.500000e+00 1.76444233e-01
1.000000e+01 1.54945337e-01
1.500000e+01 1.30403000e-01
2.000000e+01 1.16842734e-01
2.750000e+01 1.05760701e-01
3.500000e+01 1.00806793e-01
5.000000e+01 1.03594123e-01
6.138670e+01 1.20618427e-01
6.250000e+01 1.23809682e-01
6.708010e+01 1.40020239e-01
7.277340e+01 1.72495683e-01
7.500000e+01 1.97087239e-01
7.846680e+01 2.39615494e-01
8.125000e+01 3.01210264e-01
8.131340e+01 3.02745793e-01
8.416010e+01 4.17863829e-01
8.558340e+01 5.10379591e-01
8.700680e+01 6.48192753e-01
8.750000e+01 7.24994381e-01
8.843010e+01 8.72915773e-01
8.985350e+01 1.27359162e+00
9.056510e+01 1.60507573e+00
9.062500e+01 1.64716282e+00
9.127680e+01 2.10809962e+00
9.198850e+01 2.92034380e+00
9.270010e+01 4.36560499e+00
9.305600e+01 5.55669055e+00
9.341180e+01 7.33849563e+00
9.375000e+01 1.00391310e+01
9.376760e+01 1.01798315e+01
9.412350e+01 1.51266097e+01
9.447930e+01 2.49002381e+01
9.465720e+01 3.38225469e+01
9.483510e+01 4.85655773e+01
9.501310e+01 7.54465884e+01
9.510200e+01 9.79687052e+01
9.519100e+01 1.31970944e+02
9.527990e+01 1.86354402e+02
9.536890e+01 2.79678438e+02
9.545790e+01 4.53054150e+02
9.554680e+01 7.91946554e+02
9.562340e+01 1.26639570e+03
9.570000e+01 1.58195103e+03
9.577660e+01 1.26482322e+03
9.585320e+01 7.90245677e+02
9.591800e+01 5.22416152e+02
9.598280e+01 3.58517256e+02
9.604760e+01 2.57011442e+02
9.611240e+01 1.91625042e+02
9.624200e+01 1.16937202e+02
9.637160e+01 7.82159888e+01
9.650110e+01 5.58181814e+01
9.663070e+01 4.17785478e+01
9.687500e+01 2.68092087e+01
9.688990e+01 2.58965295e+01
9.714910e+01 1.76279890e+01
9.740830e+01 1.27954661e+01
9.766740e+01 9.73394436e+00
