32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
1.000000e-05 1.20154682e+02
1.250000e-05 1.08409812e+02
1.500000e-05 9.97401417e+01
2.000000e-05 8.75706341e+01
2.750000e-05 7.59915112e+01
3.500000e-05 6.83710102e+01
4.250000e-05 6.28696902e+01
5.000000e-05 5.86581120e+01
6.250000e-05 5.34056362e+01
7.500000e-05 4.95284309e+01
1.000000e-04 4.40861810e+01
1.250000e-04 4.03721223e+01
1.500000e-04 3.76305549e+01
2.000000e-04 3.37822655e+01
2.750000e-04 3.01205347e+01
3.500000e-04 2.77107642e+01
4.250000e-04 2.59710570e+01
5.000000e-04 2.46392169e+01
6.250000e-04 2.29782425e+01
7.500000e-04 2.17521742e+01
1.000000e-03 2.00311601e+01
1.250000e-03 1.88566791e+01
1.500000e-03 1.79897008e+01
2.000000e-03 1.67727286e+01
2.750000e-03 1.56147793e+01
3.500000e-03 1.48527061e+01
4.250000e-03 1.43025663e+01
5.000000e-03 1.38813684e+01
6.250000e-03 1.33561023e+01
7.500000e-03 1.29683559e+01
1.000000e-02 1.24240645e+01
1.250000e-02 1.20526125e+01
1.500000e-02 1.17784029e+01
2.000000e-02 1.13934423e+01
2.530000e-02 1.11174931e+01
3.147500e-02 1.08885837e+01
3.765000e-02 1.07185812e+01
5.000000e-02 1.04786012e+01
6.250000e-02 1.03122819e+01
7.500000e-02 1.01894610e+01
1.000000e-01 1.00169615e+01
1.250000e-01 9.89911692e+00
1.500000e-01 9.81202067e+00
2.000000e-01 9.68956582e+00
2.750000e-01 9.57264689e+00
3.500000e-01 9.49534737e+00
5.000000e-01 9.39605363e+00
7.500000e-01 9.30122747e+00
1.000000e+00 9.24335025e+00
1.500000e+00 9.17201965e+00
2.000000e+00 9.12688808e+00
2.750000e+00 9.08046474e+00
3.500000e+00 9.04673091e+00
5.000000e+00 8.99713739e+00
7.500000e+00 8.93783944e+00
1.000000e+01 8.89127855e+00
1.500000e+01 8.81502023e+00
2.000000e+01 8.75035104e+00
2.750000e+01 8.66599045e+00
3.500000e+01 8.59305944e+00
5.000000e+01 8.48365894e+00
6.250000e+01 8.46266472e+00
6.875000e+01 8.50677450e+00
7.500000e+01 8.64076180e+00
7.812500e+01 8.77681312e+00
8.125000e+01 8.99760062e+00
8.437500e+01 9.36915661e+00
8.750000e+01 1.00344764e+01
9.062500e+01 1.13499204e+01
9.218750e+01 1.25265242e+01
9.375000e+01 1.44106178e+01
9.531250e+01 1.76734830e+01
9.687500e+01 2.39980553e+01
9.765630e+01 2.96157350e+01
9.843750e+01 3.85959077e+01
9.921880e+01 5.41381598e+01
1.000000e+02 8.41438501e+01
1.004330e+02 1.14041608e+02
1.008650e+02 1.63345372e+02
1.012980e+02 2.49686380e+02
1.017300e+02 4.05603794e+02
1.021600e+02 6.50073495e+02
1.025900e+02 8.15663695e+02
1.030200e+02 6.56444421e+02
1.034500e+02 4.15347171e+02
1.038270e+02 2.74982405e+02
1.042040e+02 1.90352538e+02
1.045820e+02 1.38519116e+02
1.049590e+02 1.05379475e+02
1.057130e+02 6.77319471e+01
1.064670e+02 4.82640593e+01
1.072220e+02 3.69915582e+01
1.079760e+02 2.99027454e+01
1.094840e+02 2.18299499e+01
1.109930e+02 1.75746435e+01
1.125020e+02 1.50522836e+01
1.140100e+02 1.34292163e+01
1.155190e+02 1.23194644e+01
1.185360e+02 1.09329985e+01
1.215530e+02 1.01231713e+01
1.245700e+02 9.60230289e+00
1.275880e+02 9.24269839e+00
1.336220e+02 8.78064602e+00
1.396560e+02 8.49414665e+00
1.456910e+02 8.29454996e+00
1.500000e+02 8.18623973e+00
1.517250e+02 8.14416811e+00
1.637940e+02 7.92404177e+00
1.758630e+02 7.74941335e+00
1.818970e+02 7.66844001e+00
1.879310e+02 7.58930420e+00
1.909490e+02 7.55232903e+00
1.939660e+02 7.52418695e+00
1.954740e+02 7.52035619e+00
1.969830e+02 7.53526762e+00
1.984920e+02 7.59807559e+00
1.992460e+02 7.67218035e+00
2.000000e+02 7.81031639e+00
2.004740e+02 7.95920497e+00
2.009480e+02 8.19692792e+00
2.014210e+02 8.59892431e+00
2.016580e+02 8.90796691e+00
2.018950e+02 9.33625102e+00
2.021320e+02 9.94988412e+00
2.023690e+02 1.08653642e+01
2.026060e+02 1.23048296e+01
2.028430e+02 1.47304049e+01
2.030790e+02 1.92349842e+01
2.031980e+02 2.30535793e+01
2.033160e+02 2.88523813e+01
2.034350e+02 3.81810714e+01
2.035530e+02 5.42193284e+01
2.036720e+02 8.39905810e+01
