33-As_n-g
>  33-As-75:1.000000
1.000000e-05 2.26261000e+02
1.250000e-05 2.02374000e+02
1.500000e-05 1.84741000e+02
2.000000e-05 1.59991000e+02
2.750000e-05 1.36440000e+02
3.500000e-05 1.20942000e+02
4.250000e-05 1.09753000e+02
5.000000e-05 1.01187000e+02
6.250000e-05 9.05043000e+01
7.500000e-05 8.26188000e+01
1.000000e-04 7.15500000e+01
1.250000e-04 6.39963000e+01
1.500000e-04 5.84204000e+01
2.000000e-04 5.05936000e+01
2.750000e-04 4.31464000e+01
3.500000e-04 3.82452000e+01
4.250000e-04 3.47070000e+01
5.000000e-04 3.19983000e+01
6.250000e-04 2.86202000e+01
7.500000e-04 2.61266000e+01
1.000000e-03 2.26264000e+01
1.250000e-03 2.02377000e+01
1.500000e-03 1.84745000e+01
2.000000e-03 1.59995000e+01
2.750000e-03 1.36446000e+01
3.500000e-03 1.20948000e+01
4.250000e-03 1.09759000e+01
5.000000e-03 1.01194000e+01
6.250000e-03 9.05126000e+00
7.500000e-03 8.26278000e+00
1.000000e-02 7.15604000e+00
1.250000e-02 6.40079000e+00
1.500000e-02 5.84331000e+00
2.000000e-02 5.06083000e+00
2.530000e-02 4.49997000e+00
3.147500e-02 4.03484000e+00
3.765000e-02 3.68949000e+00
5.000000e-02 3.20216000e+00
6.250000e-02 2.86462000e+00
7.500000e-02 2.61551000e+00
1.000000e-01 2.26594000e+00
1.250000e-01 2.02746000e+00
1.500000e-01 1.85149000e+00
2.000000e-01 1.60463000e+00
2.750000e-01 1.36996000e+00
3.500000e-01 1.21569000e+00
5.000000e-01 1.01941000e+00
7.500000e-01 8.35506000e-01
1.000000e+00 7.26351000e-01
1.500000e+00 5.97723000e-01
2.000000e+00 5.21819000e-01
2.750000e+00 4.50587000e-01
3.500000e+00 4.04614000e-01
5.000000e+00 3.47975000e-01
7.500000e+00 2.99035000e-01
1.000000e+01 2.74639000e-01
1.500000e+01 2.59485000e-01
2.000000e+01 2.73755000e-01
2.671360e+01 3.50241000e-01
3.007040e+01 4.36799000e-01
3.342720e+01 5.99200000e-01
3.678400e+01 9.48074000e-01
3.846240e+01 1.29391000e+00
4.014080e+01 1.91991000e+00
4.098000e+01 2.44377000e+00
4.181920e+01 3.23910000e+00
4.265840e+01 4.53321000e+00
4.349760e+01 6.85390000e+00
4.391720e+01 8.77808000e+00
4.433680e+01 1.16720000e+01
4.475640e+01 1.63184000e+01
4.517600e+01 2.44842000e+01
4.538580e+01 3.11149000e+01
4.559560e+01 4.08814000e+01
4.580540e+01 5.61163000e+01
4.601520e+01 8.17862000e+01
4.612010e+01 1.01765000e+02
4.622500e+01 1.30008000e+02
4.632990e+01 1.71702000e+02
4.643480e+01 2.36724000e+02
4.653970e+01 3.45564000e+02
4.659220e+01 4.29210000e+02
4.664460e+01 5.45374000e+02
4.669710e+01 7.11649000e+02
4.674950e+01 9.57179000e+02
4.680200e+01 1.32911000e+03
4.685440e+01 1.89307000e+03
4.692720e+01 3.02640000e+03
4.700000e+01 3.77948000e+03
4.707280e+01 3.02081000e+03
4.714560e+01 1.88651000e+03
4.719020e+01 1.39344000e+03
4.723480e+01 1.04695000e+03
4.732400e+01 6.32806000e+02
4.741320e+01 4.15644000e+02
4.750240e+01 2.91327000e+02
4.759160e+01 2.14559000e+02
4.768080e+01 1.64182000e+02
4.785920e+01 1.04619000e+02
4.803760e+01 7.22606000e+01
4.821600e+01 5.28133000e+01
4.857280e+01 3.16629000e+01
4.892960e+01 2.10441000e+01
4.928640e+01 1.49800000e+01
4.964320e+01 1.11985000e+01
5.000000e+01 8.68460000e+00
5.066040e+01 5.82452000e+00
5.132070e+01 4.17614000e+00
5.198110e+01 3.14163000e+00
5.264140e+01 2.45079000e+00
5.396210e+01 1.61556000e+00
5.528280e+01 1.15017000e+00
5.660350e+01 8.65322000e-01
5.792420e+01 6.78885000e-01
6.056560e+01 4.58842000e-01
6.320700e+01 3.40218000e-01
6.584840e+01 2.70576000e-01
7.113120e+01 2.02446000e-01
7.641390e+01 1.87922000e-01
7.905530e+01 2.00724000e-01
8.169670e+01 2.37667000e-01
8.433810e+01 3.29749000e-01
8.565880e+01 4.25453000e-01
8.697950e+01 6.01856000e-01
8.763990e+01 7.50671000e-01
8.830020e+01 9.77374000e-01
8.896060e+01 1.34687000e+00
8.962090e+01 2.00916000e+00
8.995110e+01 2.55722000e+00
9.028130e+01 3.37916000e+00
9.061140e+01 4.69290000e+00
9.094160e+01 6.98470000e+00
9.127180e+01 1.15291000e+01
9.143690e+01 1.56915000e+01
9.160200e+01 2.25927000e+01
9.176710e+01 3.52380000e+01
9.184960e+01 4.58862000e+01
9.193210e+01 6.20456000e+01
9.201470e+01 8.80751000e+01
9.209720e+01 1.33194000e+02
9.213850e+01 1.68652000e+02
9.217980e+01 2.18288000e+02
9.222100e+01 2.88742000e+02
9.226230e+01 3.88162000e+02
9.233120e+01 6.20869000e+02
9.240000e+01 7.75821000e+02
9.246890e+01 6.20349000e+02
9.253770e+01 3.87539000e+02
9.259600e+01 2.56061000e+02
9.265430e+01 1.75641000e+02
9.271260e+01 1.25868000e+02
9.277090e+01 9.38134000e+01
9.288750e+01 5.72156000e+01
9.300410e+01 3.82466000e+01
9.312070e+01 2.72770000e+01
9.323730e+01 2.04011000e+01
9.347050e+01 1.26226000e+01
9.370370e+01 8.56926000e+00
9.393690e+01 6.19795000e+00
9.417010e+01 4.69369000e+00
9.440330e+01 3.68073000e+00
9.486970e+01 2.44428000e+00
9.533610e+01 1.74754000e+00
9.580250e+01 1.31682000e+00
9.626890e+01 1.03216000e+00
9.720160e+01 6.91225000e-01
9.813440e+01 5.02573000e-01
9.906720e+01 3.87304000e-01
1.000000e+02 3.11698000e-01
1.015630e+02 2.32675000e-01
1.031250e+02 1.85329000e-01
1.062500e+02 1.33521000e-01
1.093750e+02 1.06995000e-01
1.125000e+02 9.14226000e-02
1.187500e+02 7.45110000e-02
1.250000e+02 6.58447000e-02
1.500000e+02 5.46180000e-02
1.750000e+02 5.54560000e-02
2.000000e+02 6.47496000e-02
2.131360e+02 7.61890000e-02
2.262710e+02 1.01442000e-01
2.328390e+02 1.30516000e-01
2.361230e+02 1.57138000e-01
2.394070e+02 2.03296000e-01
2.426900e+02 2.97861000e-01
2.443320e+02 3.89809000e-01
2.459740e+02 5.54948000e-01
2.467950e+02 6.92705000e-01
2.476160e+02 9.01566000e-01
2.484370e+02 1.24111000e+00
2.492580e+02 1.84940000e+00
2.496690e+02 2.35334000e+00
2.500790e+02 3.11039000e+00
2.504900e+02 4.32362000e+00
2.509000e+02 6.44819000e+00
2.513110e+02 1.06897000e+01
2.515160e+02 1.46040000e+01
2.517210e+02 2.11420000e+01
2.519260e+02 3.32702000e+01
2.520290e+02 4.36056000e+01
2.521320e+02 5.94862000e+01
2.522340e+02 8.55097000e+01
2.523370e+02 1.31777000e+02
2.523880e+02 1.69053000e+02
2.524390e+02 2.22434000e+02
2.524910e+02 3.00294000e+02
2.525420e+02 4.13456000e+02
2.526210e+02 6.61057000e+02
2.527000e+02 8.25885000e+02
2.527790e+02 6.60803000e+02
2.528580e+02 4.13161000e+02
2.529220e+02 2.78065000e+02
2.529860e+02 1.93619000e+02
2.530500e+02 1.40242000e+02
2.531130e+02 1.05407000e+02
2.532410e+02 6.50027000e+01
2.533690e+02 4.37746000e+01
2.534960e+02 3.13743000e+01
2.536240e+02 2.35579000e+01
2.538790e+02 1.46567000e+01
2.541350e+02 9.99138000e+00
2.543900e+02 7.25172000e+00
2.546450e+02 5.50917000e+00
2.549010e+02 4.33342000e+00
2.554110e+02 2.89566000e+00
2.559220e+02 2.08419000e+00
2.564320e+02 1.58228000e+00
2.569430e+02 1.25069000e+00
2.579640e+02 8.54351000e-01
2.589850e+02 6.36326000e-01
2.610280e+02 4.19285000e-01
2.630700e+02 3.21290000e-01
2.651130e+02 2.71410000e-01
2.691970e+02 2.31629000e-01
2.773670e+02 2.41224000e-01
2.855370e+02 3.16014000e-01
2.937060e+02 4.90451000e-01
2.977910e+02 6.60409000e-01
3.018760e+02 9.58906000e-01
3.059610e+02 1.56193000e+00
3.080030e+02 2.13231000e+00
3.090240e+02 2.55358000e+00
3.100450e+02 3.12448000e+00
3.110670e+02 3.92812000e+00
3.120880e+02 5.11596000e+00
3.131090e+02 6.98911000e+00
3.136200e+02 8.36562000e+00
3.141300e+02 1.02204000e+01
3.146410e+02 1.28089000e+01
3.151510e+02 1.65837000e+01
3.156620e+02 2.24098000e+01
3.161730e+02 3.21088000e+01
3.164280e+02 3.95822000e+01
3.166830e+02 5.00579000e+01
3.169390e+02 6.53645000e+01
3.171940e+02 8.89217000e+01
3.174490e+02 1.27649000e+02
3.177040e+02 1.96894000e+02
3.178320e+02 2.53048000e+02
3.179600e+02 3.33874000e+02
3.180870e+02 4.52719000e+02
3.182150e+02 6.26713000e+02
3.184080e+02 1.00092000e+03
3.186000e+02 1.24971000e+03
3.187930e+02 9.99936000e+02
3.189850e+02 6.25915000e+02
3.192120e+02 3.55873000e+02
3.194400e+02 2.19344000e+02
3.196670e+02 1.46534000e+02
3.198940e+02 1.04434000e+02
3.201220e+02 7.83089000e+01
3.203490e+02 6.11552000e+01
3.208030e+02 4.10296000e+01
3.212580e+02 3.04268000e+01
3.217120e+02 2.45105000e+01
3.226220e+02 1.98560000e+01
3.235310e+02 2.15780000e+01
3.239850e+02 2.53139000e+01
3.244400e+02 3.24451000e+01
3.248940e+02 4.61400000e+01
3.251220e+02 5.76852000e+01
3.253490e+02 7.49467000e+01
3.255760e+02 1.02001000e+02
3.258040e+02 1.46847000e+02
3.260310e+02 2.25799000e+02
3.262580e+02 3.69066000e+02
3.264790e+02 5.87801000e+02
3.267000e+02 7.33030000e+02
3.269220e+02 5.86186000e+02
3.271430e+02 3.66832000e+02
3.273930e+02 2.13410000e+02
3.276440e+02 1.33645000e+02
3.278940e+02 9.01421000e+01
3.281440e+02 6.45442000e+01
3.283950e+02 4.84111000e+01
3.286450e+02 3.76628000e+01
3.291460e+02 2.47308000e+01
3.296460e+02 1.75601000e+01
3.301470e+02 1.31752000e+01
3.311480e+02 8.29559000e+00
3.321500e+02 5.76718000e+00
3.331510e+02 4.27801000e+00
3.351530e+02 2.66571000e+00
3.371560e+02 1.84510000e+00
3.391590e+02 1.36524000e+00
3.431640e+02 8.48421000e-01
3.471690e+02 5.87402000e-01
3.511740e+02 4.36384000e-01
3.591850e+02 2.76988000e-01
3.671950e+02 1.99491000e-01
3.752050e+02 1.56960000e-01
3.912260e+02 1.17535000e-01
4.072470e+02 1.06424000e-01
4.232680e+02 1.13223000e-01
4.312780e+02 1.25549000e-01
4.392880e+02 1.52919000e-01
4.432940e+02 1.83470000e-01
4.472990e+02 2.57763000e-01
4.493010e+02 3.52286000e-01
4.503030e+02 4.42978000e-01
4.513040e+02 6.03758000e-01
4.523050e+02 9.34584000e-01
4.528060e+02 1.25187000e+00
4.533070e+02 1.80682000e+00
4.538070e+02 2.91419000e+00
4.540580e+02 3.93581000e+00
4.543080e+02 5.64390000e+00
4.545580e+02 8.81393000e+00
4.546830e+02 1.15209000e+01
4.548080e+02 1.56821000e+01
4.548710e+02 1.86496000e+01
4.549340e+02 2.25192000e+01
4.549960e+02 2.76750000e+01
4.550590e+02 3.46975000e+01
4.551210e+02 4.45423000e+01
4.551840e+02 5.86770000e+01
4.552470e+02 7.93562000e+01
4.553090e+02 1.09450000e+02
4.553570e+02 1.40010000e+02
4.554050e+02 1.74820000e+02
4.555000e+02 2.18305000e+02
4.555480e+02 2.05477000e+02
4.555960e+02 1.74778000e+02
4.556910e+02 1.09401000e+02
4.557730e+02 7.19272000e+01
4.558550e+02 4.91632000e+01
4.559380e+02 3.51584000e+01
4.560200e+02 2.61891000e+01
4.561840e+02 1.59850000e+01
4.563480e+02 1.07176000e+01
4.565130e+02 7.67945000e+00
4.566770e+02 5.77850000e+00
4.570060e+02 3.63173000e+00
4.573340e+02 2.51498000e+00
4.576630e+02 1.86298000e+00
4.583200e+02 1.17266000e+00
4.589770e+02 8.35362000e-01
4.596350e+02 6.46922000e-01
