35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.000000e-05 3.39124009e+02
1.250000e-05 3.03321492e+02
1.500000e-05 2.76893463e+02
2.000000e-05 2.39796457e+02
2.750000e-05 2.04499214e+02
3.500000e-05 1.81269251e+02
4.250000e-05 1.64499145e+02
5.000000e-05 1.51660901e+02
6.250000e-05 1.35649502e+02
7.500000e-05 1.23830466e+02
1.000000e-04 1.07240504e+02
1.250000e-04 9.59185110e+01
1.500000e-04 8.75613300e+01
2.000000e-04 7.58304750e+01
2.750000e-04 6.46683967e+01
3.500000e-04 5.73223033e+01
4.250000e-04 5.20191205e+01
5.000000e-04 4.79592295e+01
6.250000e-04 4.28960185e+01
7.500000e-04 3.91585265e+01
1.000000e-03 3.39122967e+01
1.250000e-03 3.03319957e+01
1.500000e-03 2.76891866e+01
2.000000e-03 2.39795007e+01
2.750000e-03 2.04497455e+01
3.500000e-03 1.81267133e+01
4.250000e-03 1.64496668e+01
5.000000e-03 1.51658064e+01
6.250000e-03 1.35646863e+01
7.500000e-03 1.23827517e+01
1.000000e-02 1.07236837e+01
1.250000e-02 9.59146334e+00
1.500000e-02 8.75571920e+00
2.000000e-02 7.58253094e+00
2.530000e-02 6.74160536e+00
3.147500e-02 6.04409252e+00
3.765000e-02 5.52615737e+00
5.000000e-02 4.79517262e+00
6.250000e-02 4.28876863e+00
7.500000e-02 3.91494680e+00
1.000000e-01 3.39019434e+00
1.250000e-01 3.03207024e+00
1.500000e-01 2.76770243e+00
2.000000e-01 2.39659235e+00
2.750000e-01 2.04346753e+00
3.500000e-01 1.81106690e+00
5.000000e-01 1.51489823e+00
7.500000e-01 1.23667592e+00
1.000000e+00 1.07105768e+00
1.500000e+00 8.75269024e-01
2.000000e+00 7.59403805e-01
2.750000e+00 6.50587963e-01
3.500000e+00 5.80577130e-01
5.000000e+00 4.95473097e-01
7.500000e+00 4.26103075e-01
1.000000e+01 3.98177604e-01
1.500000e+01 4.10464076e-01
2.000000e+01 5.16657159e-01
2.391000e+01 7.38331998e-01
2.586500e+01 9.61298232e-01
2.750000e+01 1.29873413e+00
2.782000e+01 1.36491121e+00
2.879750e+01 1.70215798e+00
2.977500e+01 2.21275948e+00
3.075250e+01 3.04135962e+00
3.173000e+01 4.52384556e+00
3.221880e+01 5.75157315e+00
3.270750e+01 7.59737908e+00
3.319630e+01 1.05613051e+01
3.368500e+01 1.57754615e+01
3.392940e+01 2.00158476e+01
3.417380e+01 2.62723777e+01
3.441810e+01 3.60585032e+01
3.466250e+01 5.26149879e+01
3.478470e+01 6.55566848e+01
3.490690e+01 8.39288015e+01
3.500000e+01 1.04708926e+02
3.502910e+01 1.11204127e+02
3.515130e+01 1.54070740e+02
3.527340e+01 2.26652337e+02
3.539560e+01 3.62255291e+02
3.545670e+01 4.77166026e+02
3.551780e+01 6.49822302e+02
3.557890e+01 9.17217175e+02
3.564000e+01 1.33306785e+03
3.572000e+01 2.13027969e+03
3.580000e+01 2.65921470e+03
3.588000e+01 2.12454679e+03
3.596000e+01 1.32636184e+03
3.601490e+01 9.45685061e+02
3.606970e+01 6.89680333e+02
3.612450e+01 5.17653728e+02
3.617940e+01 3.99532896e+02
3.628910e+01 2.55491781e+02
3.639880e+01 1.75931388e+02
3.650840e+01 1.27974182e+02
3.661810e+01 9.70432400e+01
3.683750e+01 6.10930704e+01
3.705690e+01 4.18811442e+01
3.727630e+01 3.04626028e+01
3.749560e+01 2.31410299e+01
3.771500e+01 1.81737542e+01
3.815380e+01 1.20683759e+01
