35-Br_n-tot
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.000000e-05 3.43618362e+02
1.250000e-05 3.07815859e+02
1.500000e-05 2.81387718e+02
2.000000e-05 2.44291120e+02
2.750000e-05 2.08993877e+02
3.500000e-05 1.85763914e+02
4.250000e-05 1.68993809e+02
5.000000e-05 1.56155057e+02
6.250000e-05 1.40143658e+02
7.500000e-05 1.28325129e+02
1.000000e-04 1.11734660e+02
1.250000e-04 1.00413174e+02
1.500000e-04 9.20559931e+01
2.000000e-04 8.03246313e+01
2.750000e-04 6.91625530e+01
3.500000e-04 6.18167130e+01
4.250000e-04 5.65135302e+01
5.000000e-04 5.24536885e+01
6.250000e-04 4.73904775e+01
7.500000e-04 4.36529362e+01
1.000000e-03 3.84066557e+01
1.250000e-03 3.48264548e+01
1.500000e-03 3.21835914e+01
2.000000e-03 2.84738450e+01
2.750000e-03 2.49440897e+01
3.500000e-03 2.26210526e+01
4.250000e-03 2.09440258e+01
5.000000e-03 1.96601753e+01
6.250000e-03 1.80589700e+01
7.500000e-03 1.68770206e+01
1.000000e-02 1.52179118e+01
1.250000e-02 1.40856815e+01
1.500000e-02 1.32498768e+01
2.000000e-02 1.20766182e+01
2.530000e-02 1.12355666e+01
3.147500e-02 1.05379733e+01
3.765000e-02 1.00198868e+01
5.000000e-02 9.28868557e+00
6.250000e-02 8.78207019e+00
7.500000e-02 8.40802699e+00
1.000000e-01 7.88283643e+00
1.250000e-01 7.52426929e+00
1.500000e-01 7.25946140e+00
2.000000e-01 6.88746475e+00
2.750000e-01 6.53301787e+00
3.500000e-01 6.29929418e+00
5.000000e-01 6.00047941e+00
7.500000e-01 5.71785913e+00
1.000000e+00 5.54784714e+00
1.500000e+00 5.34329596e+00
2.000000e+00 5.21868138e+00
2.750000e+00 5.09675296e+00
3.500000e+00 5.01362326e+00
5.000000e+00 4.90216163e+00
7.500000e+00 4.78799631e+00
1.000000e+01 4.71332338e+00
1.500000e+01 4.62138056e+00
2.000000e+01 4.59661686e+00
2.391000e+01 4.67813660e+00
2.586500e+01 4.80983433e+00
2.750000e+01 5.05195303e+00
2.782000e+01 5.09917249e+00
2.879750e+01 5.36721592e+00
2.977500e+01 5.80005761e+00
3.075250e+01 6.54409028e+00
3.173000e+01 7.94653029e+00
3.221880e+01 9.14829596e+00
3.270750e+01 1.09968160e+01
3.319630e+01 1.40314307e+01
3.368500e+01 1.94853784e+01
3.392940e+01 2.39868567e+01
3.417380e+01 3.06968984e+01
3.441810e+01 4.12992230e+01
3.466250e+01 5.94180123e+01
3.478470e+01 7.36818506e+01
3.490690e+01 9.40325441e+01
3.500000e+01 1.17165834e+02
3.502910e+01 1.24396496e+02
3.515130e+01 1.72357342e+02
3.527340e+01 2.53980911e+02
3.539560e+01 4.07281153e+02
3.545670e+01 5.37689286e+02
3.551780e+01 7.34198700e+02
3.557890e+01 1.03950406e+03
3.564000e+01 1.51603517e+03
3.572000e+01 2.43513545e+03
3.580000e+01 3.05743057e+03
3.588000e+01 2.45850220e+03
3.596000e+01 1.54577740e+03
3.601490e+01 1.10790151e+03
3.606970e+01 8.12454392e+02
3.612450e+01 6.13353753e+02
3.617940e+01 4.76285001e+02
3.628910e+01 3.08555439e+02
3.639880e+01 2.15476026e+02
3.650840e+01 1.59116957e+02
3.661810e+01 1.22607077e+02
3.683750e+01 7.99115962e+01
3.705690e+01 5.68980286e+01
3.727630e+01 4.31030457e+01
3.749560e+01 3.41822113e+01
3.771500e+01 2.80783715e+01
3.815380e+01 2.04842928e+01
3.859250e+01 1.61051775e+01
3.903130e+01 1.33435286e+01
3.947000e+01 1.14853791e+01
4.034750e+01 9.20832044e+00
4.122500e+01 7.91211326e+00
4.210250e+01 7.10204345e+00
4.298000e+01 6.56337298e+00
4.473500e+01 5.93112571e+00
4.649000e+01 5.64875603e+00
4.824500e+01 5.67801327e+00
4.912250e+01 5.88836864e+00
5.000000e+01 6.38816899e+00
5.087750e+01 7.58122716e+00
5.131630e+01 8.80285460e+00
5.175500e+01 1.10089337e+01
5.219380e+01 1.55058448e+01
