46-Pd_n-tot
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
1.000000e-05 4.08362736e+02
1.250000e-05 3.65744900e+02
1.500000e-05 3.34285477e+02
2.000000e-05 2.90126581e+02
2.750000e-05 2.48109390e+02
3.500000e-05 2.20457017e+02
4.250000e-05 2.00494564e+02
5.000000e-05 1.85211940e+02
6.250000e-05 1.66152320e+02
7.500000e-05 1.52083403e+02
1.000000e-04 1.32334873e+02
1.250000e-04 1.18857939e+02
1.500000e-04 1.08909651e+02
2.000000e-04 9.49451877e+01
2.750000e-04 8.16581725e+01
3.500000e-04 7.29136558e+01
4.250000e-04 6.66009661e+01
5.000000e-04 6.17680888e+01
6.250000e-04 5.57409550e+01
7.500000e-04 5.12918374e+01
1.000000e-03 4.50465149e+01
1.250000e-03 4.07846839e+01
1.500000e-03 3.76384778e+01
2.000000e-03 3.32223302e+01
2.750000e-03 2.90203092e+01
3.500000e-03 2.62547543e+01
4.250000e-03 2.42582210e+01
5.000000e-03 2.27297483e+01
6.250000e-03 2.08234063e+01
7.500000e-03 1.94161574e+01
1.000000e-02 1.74406770e+01
1.250000e-02 1.60923825e+01
1.500000e-02 1.50970181e+01
2.000000e-02 1.36995932e+01
2.530000e-02 1.26976435e+01
3.147500e-02 1.18664307e+01
3.765000e-02 1.12489707e+01
5.000000e-02 1.03771690e+01
6.250000e-02 9.77278466e+00
7.500000e-02 9.32632066e+00
1.000000e-01 8.69891940e+00
1.250000e-01 8.27002827e+00
1.500000e-01 7.95287525e+00
2.000000e-01 7.50651728e+00
2.750000e-01 7.07976988e+00
3.500000e-01 6.79710885e+00
5.000000e-01 6.43339996e+00
7.500000e-01 6.08537040e+00
1.000000e+00 5.87305574e+00
1.500000e+00 5.61477438e+00
2.000000e+00 5.46555860e+00
2.228530e+00 5.43437415e+00
2.457050e+00 5.44349276e+00
2.571310e+00 5.49632328e+00
2.685580e+00 5.66465842e+00
2.742710e+00 5.87637910e+00
2.750000e+00 5.93633633e+00
2.799840e+00 6.34860716e+00
2.828400e+00 6.81875856e+00
2.856970e+00 7.64961064e+00
2.885540e+00 9.25440574e+00
2.899820e+00 1.06110312e+01
2.914100e+00 1.25567722e+01
2.937050e+00 1.69892417e+01
2.960000e+00 1.99814875e+01
2.982950e+00 1.70732253e+01
3.005900e+00 1.26561615e+01
3.021480e+00 1.05557847e+01
3.037060e+00 9.13276350e+00
3.068220e+00 7.50523585e+00
3.099370e+00 6.68761672e+00
3.130530e+00 6.23068631e+00
3.192850e+00 5.76925910e+00
3.255160e+00 5.55169184e+00
3.379790e+00 5.35317057e+00
3.500000e+00 5.26418123e+00
3.504430e+00 5.26106183e+00
3.753690e+00 5.17399661e+00
4.002950e+00 5.12324345e+00
5.000000e+00 4.99020158e+00
7.500000e+00 4.81741876e+00
8.750000e+00 4.78829786e+00
9.375000e+00 4.80088475e+00
1.000000e+01 4.85615867e+00
1.042850e+01 4.95222661e+00
1.085700e+01 5.17451672e+00
1.107130e+01 5.41787148e+00
1.128550e+01 5.94860420e+00
1.139260e+01 6.52169101e+00
1.149980e+01 7.72253527e+00
1.155330e+01 8.90961502e+00
1.160690e+01 1.10468309e+01
1.166040e+01 1.53727326e+01
1.168720e+01 1.92310096e+01
1.171400e+01 2.50332967e+01
1.175200e+01 3.69638053e+01
1.179000e+01 4.50487378e+01
1.182800e+01 3.72909552e+01
1.186600e+01 2.55311753e+01
1.190590e+01 1.77513255e+01
1.194570e+01 1.35530548e+01
1.198550e+01 1.12259461e+01
1.202540e+01 9.86986664e+00
1.210510e+01 8.54420337e+00
1.218480e+01 8.07503776e+00
1.234410e+01 8.24205353e+00
1.250350e+01 9.43992019e+00
1.266290e+01 1.21966627e+01
1.274260e+01 1.47515072e+01
1.282230e+01 1.89152095e+01
1.290190e+01 2.62609387e+01
1.298160e+01 4.07715910e+01
1.302150e+01 5.37638772e+01
1.306130e+01 7.43609620e+01
1.310120e+01 1.08562954e+02
1.314100e+01 1.66381680e+02
1.316330e+01 2.12380353e+02
1.318550e+01 2.65249525e+02
1.323000e+01 3.32405634e+02
1.327450e+01 2.67552186e+02
1.331900e+01 1.69248003e+02
1.337120e+01 9.85326594e+01
1.342340e+01 6.25661645e+01
1.347560e+01 4.32639507e+01
1.352780e+01 3.20289173e+01
1.358000e+01 2.50001852e+01
1.363220e+01 2.03411698e+01
1.373660e+01 1.47666266e+01
1.384100e+01 1.16955323e+01
1.394540e+01 9.82731887e+00
1.415410e+01 7.76344317e+00
1.436290e+01 6.70449148e+00
1.457170e+01 6.08627146e+00
1.478050e+01 5.69173086e+00
1.498930e+01 5.42290401e+00
1.500000e+01 5.41428416e+00
1.540680e+01 5.08989091e+00
1.582440e+01 4.89478890e+00
1.665950e+01 4.67961641e+00
1.749460e+01 4.56348713e+00
1.750000e+01 4.56301128e+00
1.832980e+01 4.50255903e+00
2.000000e+01 4.44209725e+00
2.127020e+01 4.47457110e+00
2.162430e+01 4.49656558e+00
2.190530e+01 4.52282260e+00
2.243640e+01 4.60230386e+00
2.254040e+01 4.62129942e+00
2.317550e+01 4.82700213e+00
2.324850e+01 4.86996752e+00
2.349310e+01 5.02214670e+00
2.365460e+01 5.19323710e+00
2.381060e+01 5.36177785e+00
2.385760e+01 5.44344969e+00
2.396940e+01 5.63950720e+00
2.406060e+01 5.87606136e+00
2.412820e+01 6.05227115e+00
2.416220e+01 6.19276151e+00
2.426370e+01 6.61312591e+00
2.428690e+01 6.70943734e+00
2.436520e+01 7.27340762e+00
2.444570e+01 7.85405344e+00
2.446670e+01 8.15427809e+00
2.456820e+01 9.60647291e+00
2.460450e+01 1.01262463e+01
2.466970e+01 1.18376695e+01
2.468390e+01 1.22105751e+01
2.476330e+01 1.56688587e+01
2.477120e+01 1.62997005e+01
2.484260e+01 2.20021295e+01
2.487280e+01 2.60508864e+01
2.488230e+01 2.73246335e+01
2.492200e+01 3.53729638e+01
2.496170e+01 4.82629430e+01
2.497430e+01 5.52830590e+01
2.500140e+01 7.03822687e+01
2.502130e+01 8.75877187e+01
2.504110e+01 1.11422327e+02
2.506100e+01 1.44867363e+02
2.507580e+01 1.79683183e+02
2.508080e+01 1.91445400e+02
2.509810e+01 2.44441239e+02
2.511540e+01 3.05266490e+02
2.515000e+01 3.82726458e+02
2.518460e+01 3.09150332e+02
2.521920e+01 1.96324198e+02
2.525690e+01 1.18766915e+02
2.527880e+01 9.46655414e+01
2.529460e+01 7.72778719e+01
2.533230e+01 5.41728681e+01
2.537000e+01 4.03871235e+01
2.540770e+01 3.16132345e+01
2.544540e+01 2.57269171e+01
2.548190e+01 2.22787698e+01
2.552080e+01 1.86053921e+01
2.559610e+01 1.46464919e+01
2.567150e+01 1.22306460e+01
2.568490e+01 1.19941738e+01
2.582230e+01 9.57875095e+00
2.597310e+01 8.24520252e+00
2.609090e+01 7.65844550e+00
2.612380e+01 7.49823468e+00
2.627460e+01 7.06190101e+00
2.642540e+01 6.79347235e+00
2.649700e+01 6.73002980e+00
2.672690e+01 6.55964448e+00
2.690310e+01 6.53748199e+00
2.702850e+01 6.54571836e+00
2.730910e+01 6.65033035e+00
2.733000e+01 6.66348320e+00
2.750000e+01 6.79992368e+00
2.763160e+01 6.90554681e+00
2.771520e+01 6.98484166e+00
2.812130e+01 7.51269631e+00
2.823460e+01 7.71575811e+00
2.852730e+01 8.28061501e+00
2.883770e+01 9.09897315e+00
2.893340e+01 9.36653983e+00
2.913930e+01 1.01585170e+01
2.929010e+01 1.07678275e+01
2.933940e+01 1.09812921e+01
2.944080e+01 1.15844273e+01
2.959160e+01 1.25794068e+01
2.966700e+01 1.31575785e+01
2.974240e+01 1.38499220e+01
2.974550e+01 1.38879315e+01
2.981780e+01 1.49638412e+01
2.989310e+01 1.66277012e+01
2.993080e+01 1.79131695e+01
2.996850e+01 1.98290024e+01
3.000620e+01 2.29362577e+01
3.004390e+01 2.82541021e+01
3.008200e+01 3.65121910e+01
3.012000e+01 4.22619086e+01
3.015160e+01 3.82765237e+01
3.015810e+01 3.74860414e+01
3.019610e+01 3.00883785e+01
3.022800e+01 2.60365139e+01
3.025990e+01 2.36855032e+01
3.029180e+01 2.23670400e+01
3.032370e+01 2.16512440e+01
3.038750e+01 2.11638458e+01
3.045130e+01 2.12869560e+01
3.051510e+01 2.16896212e+01
3.055760e+01 2.20539605e+01
3.057890e+01 2.24151065e+01
3.070650e+01 2.47908323e+01
3.083410e+01 2.73002624e+01
3.096170e+01 2.98708648e+01
3.096370e+01 2.99118010e+01
3.121690e+01 3.95033491e+01
3.136980e+01 4.53244383e+01
3.147220e+01 5.18847636e+01
3.157280e+01 5.83380917e+01
3.172740e+01 7.33402833e+01
3.177580e+01 7.80396098e+01
3.197890e+01 1.09722826e+02
3.218190e+01 1.65078579e+02
3.223780e+01 1.89570349e+02
3.228340e+01 2.09551164e+02
3.238490e+01 2.74168934e+02
3.248640e+01 3.72877183e+02
3.258790e+01 5.33763435e+02
3.268950e+01 8.20106889e+02
3.274020e+01 1.05358071e+03
3.279100e+01 1.39609563e+03
3.284170e+01 1.92237987e+03
3.289250e+01 2.77468139e+03
3.294330e+01 4.23038661e+03
3.299400e+01 6.77540580e+03
3.304700e+01 1.08923491e+04
3.310000e+01 1.36811970e+04
3.315300e+01 1.10199683e+04
3.320600e+01 6.94264404e+03
3.323880e+01 5.13959790e+03
3.325860e+01 4.37433894e+03
3.327160e+01 3.87189643e+03
3.333720e+01 2.35559390e+03
3.340280e+01 1.55925633e+03
3.346840e+01 1.10228595e+03
3.353400e+01 8.19211836e+02
3.359960e+01 6.32854001e+02
3.373080e+01 4.11363165e+02
3.386200e+01 2.90075641e+02
3.399320e+01 2.16595055e+02
3.425560e+01 1.35743719e+02
3.427950e+01 1.31983565e+02
3.451800e+01 9.44628985e+01
3.478040e+01 7.04918986e+01
3.500000e+01 5.77759650e+01
3.504290e+01 5.52918391e+01
3.530030e+01 4.52153366e+01
3.530530e+01 4.50196555e+01
3.583010e+01 3.23663077e+01
3.632110e+01 2.55764623e+01
3.635490e+01 2.51098038e+01
3.683160e+01 2.09602787e+01
3.687970e+01 2.05431373e+01
3.708680e+01 1.93332631e+01
3.734200e+01 1.78556059e+01
3.740450e+01 1.75014977e+01
3.759720e+01 1.68428217e+01
3.772480e+01 1.64345539e+01
3.785240e+01 1.60687886e+01
3.798000e+01 1.57977537e+01
3.804380e+01 1.57384208e+01
3.810760e+01 1.57836706e+01
3.817140e+01 1.60331737e+01
3.823520e+01 1.67312978e+01
3.826710e+01 1.74285389e+01
3.829900e+01 1.85709888e+01
3.833090e+01 2.04769789e+01
3.836280e+01 2.36437238e+01
3.840140e+01 2.94729772e+01
3.844000e+01 3.34203692e+01
3.845410e+01 3.19702823e+01
3.847860e+01 2.94881715e+01
3.851720e+01 2.35009513e+01
3.854840e+01 2.01933355e+01
3.857950e+01 1.80875973e+01
3.861070e+01 1.67276846e+01
3.864180e+01 1.58126858e+01
3.870410e+01 1.46909766e+01
3.876640e+01 1.40346866e+01
3.882880e+01 1.35942640e+01
3.889110e+01 1.32664511e+01
3.901570e+01 1.27773619e+01
3.914030e+01 1.23937357e+01
3.926490e+01 1.20585105e+01
3.950380e+01 1.14782530e+01
3.951420e+01 1.14609032e+01
3.976340e+01 1.10833951e+01
4.001260e+01 1.07224600e+01
4.051110e+01 1.00223220e+01
4.055340e+01 9.96409842e+00
4.100960e+01 9.52956964e+00
4.150810e+01 9.06591274e+00
4.160300e+01 8.98094927e+00
4.175730e+01 8.89514929e+00
4.200650e+01 8.77615469e+00
4.213120e+01 8.73898826e+00
4.219350e+01 8.73496603e+00
4.225580e+01 8.75076458e+00
4.231810e+01 8.80511198e+00
4.238040e+01 8.94381154e+00
4.241160e+01 9.07846018e+00
4.244270e+01 9.29645213e+00
4.247390e+01 9.65707440e+00
4.250500e+01 1.02525769e+01
4.254250e+01 1.13334504e+01
4.258000e+01 1.20473763e+01
4.261750e+01 1.12910330e+01
4.265500e+01 1.01657946e+01
4.268370e+01 9.57264655e+00
4.271240e+01 9.18568677e+00
4.274110e+01 8.92995748e+00
4.276980e+01 8.75414622e+00
4.282720e+01 8.53269687e+00
4.288450e+01 8.39836477e+00
4.294190e+01 8.30495627e+00
4.299930e+01 8.23306075e+00
4.311410e+01 8.12129258e+00
4.322880e+01 8.02991978e+00
4.334360e+01 7.94782714e+00
4.357310e+01 7.79624398e+00
4.370230e+01 7.71593098e+00
4.403220e+01 7.58797790e+00
4.449130e+01 7.41719383e+00
4.580150e+01 6.94021025e+00
4.632750e+01 6.81061261e+00
4.790080e+01 6.42873907e+00
4.816380e+01 6.38232929e+00
5.000000e+01 6.06614076e+00
5.128300e+01 5.93433327e+00
5.192450e+01 5.88295111e+00
5.256610e+01 5.85765679e+00
5.288680e+01 5.86579380e+00
5.320760e+01 5.90176396e+00
5.352830e+01 5.99045136e+00
5.384910e+01 6.19041094e+00
5.400950e+01 6.37451903e+00
5.416980e+01 6.66635487e+00
5.433020e+01 7.15331169e+00
5.449060e+01 8.03048956e+00
5.465100e+01 9.80660928e+00
5.473120e+01 1.14441204e+01
5.481140e+01 1.41538408e+01
5.489150e+01 1.90655359e+01
5.493160e+01 2.31378494e+01
5.497170e+01 2.92030420e+01
5.501180e+01 3.87062907e+01
5.505190e+01 5.44980347e+01
5.507200e+01 6.64032086e+01
5.508110e+01 7.37020204e+01
5.509200e+01 8.24449677e+01
5.511210e+01 1.04242833e+02
5.513210e+01 1.33594154e+02
5.515160e+01 1.70322405e+02
5.517110e+01 2.12581555e+02
5.521000e+01 2.66987498e+02
5.522950e+01 2.52807244e+02
5.524900e+01 2.16729273e+02
5.528790e+01 1.38777100e+02
5.531320e+01 1.02822400e+02
5.533850e+01 7.79818571e+01
5.538920e+01 4.89114965e+01
5.543980e+01 3.39734430e+01
5.549050e+01 2.55164446e+01
5.554110e+01 2.03199421e+01
5.559170e+01 1.69159356e+01
5.569300e+01 1.28838874e+01
5.579430e+01 1.06783563e+01
5.589550e+01 9.33954907e+00
5.609810e+01 7.85685846e+00
5.630060e+01 7.08882109e+00
5.650320e+01 6.63379614e+00
5.668330e+01 6.37058053e+00
5.670570e+01 6.33784422e+00
5.690830e+01 6.13152350e+00
5.731330e+01 5.86305759e+00
5.771840e+01 5.69384518e+00
5.812350e+01 5.57429855e+00
5.852860e+01 5.48253037e+00
5.933880e+01 5.34354270e+00
6.002490e+01 5.25186092e+00
6.014900e+01 5.23530903e+00
6.016210e+01 5.23388302e+00
6.086030e+01 5.16819873e+00
6.169570e+01 5.09013342e+00
6.176930e+01 5.08337930e+00
6.211340e+01 5.05682019e+00
6.232230e+01 5.04123034e+00
6.253110e+01 5.02650283e+00
6.274000e+01 5.01381067e+00
6.284440e+01 5.00926258e+00
6.294880e+01 5.00746358e+00
6.305320e+01 5.01186554e+00
6.310540e+01 5.01914213e+00
6.315770e+01 5.03353433e+00
6.320990e+01 5.06231457e+00
6.323600e+01 5.08706179e+00
6.326210e+01 5.12433165e+00
6.328820e+01 5.18279248e+00
6.331430e+01 5.27899149e+00
6.334040e+01 5.44567640e+00
6.336650e+01 5.74075472e+00
6.338970e+01 6.14765738e+00
6.339330e+01 6.21083024e+00
6.342000e+01 6.52393321e+00
6.344680e+01 6.20757545e+00
6.347350e+01 5.73363448e+00
6.349130e+01 5.51196048e+00
6.350920e+01 5.36066631e+00
6.354490e+01 5.18573228e+00
6.358050e+01 5.09635544e+00
6.361620e+01 5.04538160e+00
6.365190e+01 5.01345641e+00
6.368750e+01 4.99187828e+00
6.375890e+01 4.96455561e+00
6.383020e+01 4.94754286e+00
6.390160e+01 4.93534332e+00
6.404420e+01 4.91752450e+00
6.418690e+01 4.90356537e+00
6.432960e+01 4.89126561e+00
6.461500e+01 4.86878364e+00
6.490030e+01 4.84749746e+00
6.501000e+01 4.83949977e+00
6.518570e+01 4.82904453e+00
6.524320e+01 4.82568340e+00
6.575640e+01 4.79783431e+00
6.582020e+01 4.79441612e+00
6.622530e+01 4.78078122e+00
6.663040e+01 4.78086353e+00
6.689790e+01 4.80413566e+00
6.703540e+01 4.81613226e+00
6.723800e+01 4.86661173e+00
6.744050e+01 4.97044775e+00
6.764310e+01 5.20260003e+00
6.774440e+01 5.43073215e+00
6.784560e+01 5.82799384e+00
6.794690e+01 6.59643202e+00
6.799750e+01 7.27380967e+00
6.803930e+01 8.15639125e+00
6.804820e+01 8.34431015e+00
6.809880e+01 1.01616404e+01
6.814940e+01 1.35483185e+01
6.817480e+01 1.64015702e+01
6.820010e+01 2.06569782e+01
6.822540e+01 2.71774344e+01
6.825070e+01 3.71892676e+01
6.826800e+01 4.65483238e+01
6.828540e+01 5.73228558e+01
6.832000e+01 7.12423454e+01
6.835470e+01 5.85160790e+01
6.838930e+01 3.86775055e+01
6.842550e+01 2.53859274e+01
6.846170e+01 1.80661573e+01
6.849790e+01 1.38963134e+01
6.853400e+01 1.13660402e+01
6.857020e+01 9.73437462e+00
6.860640e+01 8.62779796e+00
6.867880e+01 7.27091465e+00
6.875120e+01 6.50352008e+00
6.882350e+01 6.02704310e+00
6.896830e+01 5.48778039e+00
6.911300e+01 5.20212080e+00
6.925770e+01 5.02984390e+00
6.954720e+01 4.83521544e+00
6.983670e+01 4.72756219e+00
7.012620e+01 4.65720317e+00
7.032430e+01 4.62554742e+00
7.070510e+01 4.56449018e+00
7.128410e+01 4.49959451e+00
7.186300e+01 4.44727562e+00
7.260510e+01 4.39358025e+00
7.286480e+01 4.37478607e+00
7.302100e+01 4.36338862e+00
7.417890e+01 4.30951732e+00
7.475780e+01 4.30816982e+00
7.500000e+01 4.32637328e+00
7.533680e+01 4.35160113e+00
7.540530e+01 4.36519257e+00
7.562630e+01 4.40965106e+00
7.591570e+01 4.51598482e+00
7.620520e+01 4.71356840e+00
7.649470e+01 5.10409349e+00
7.663940e+01 5.44520683e+00
7.678420e+01 5.97277349e+00
7.692890e+01 6.83719246e+00
7.707370e+01 8.37201210e+00
7.721840e+01 1.14370541e+01
7.729080e+01 1.42310986e+01
7.736310e+01 1.88040105e+01
7.743550e+01 2.69621369e+01
7.747170e+01 3.36177122e+01
7.750790e+01 4.33734343e+01
7.754410e+01 5.83337562e+01
7.758020e+01 8.24608164e+01
7.761640e+01 1.23413784e+02
7.765260e+01 1.94484682e+02
7.769130e+01 3.12593891e+02
7.773000e+01 3.94558754e+02
7.776870e+01 3.20342618e+02
7.780740e+01 2.04180584e+02
7.784200e+01 1.34920617e+02
7.787650e+01 9.33245101e+01
7.791100e+01 6.79477538e+01
7.794560e+01 5.17690907e+01
7.794590e+01 5.16894654e+01
7.801470e+01 3.34298915e+01
7.808380e+01 2.39558694e+01
7.815280e+01 1.84651807e+01
