47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
1.000000e-05 3.14973626e+03
1.250000e-05 2.81721248e+03
1.500000e-05 2.57175237e+03
2.000000e-05 2.22720584e+03
2.750000e-05 1.89937107e+03
3.500000e-05 1.68361522e+03
4.250000e-05 1.52785767e+03
5.000000e-05 1.40861621e+03
6.250000e-05 1.25990784e+03
7.500000e-05 1.15013465e+03
1.000000e-04 9.96052751e+02
1.250000e-04 8.90901378e+02
1.500000e-04 8.13282184e+02
2.000000e-04 7.04332334e+02
2.750000e-04 6.00663897e+02
3.500000e-04 5.32439551e+02
4.250000e-04 4.83188811e+02
5.000000e-04 4.45484850e+02
6.250000e-04 3.98463680e+02
7.500000e-04 3.63755222e+02
1.000000e-03 3.15037206e+02
1.250000e-03 2.81791904e+02
1.500000e-03 2.57253044e+02
2.000000e-03 2.22810247e+02
2.750000e-03 1.90041887e+02
3.500000e-03 1.68480086e+02
4.250000e-03 1.52916720e+02
5.000000e-03 1.41003623e+02
6.250000e-03 1.26149815e+02
7.500000e-03 1.15187531e+02
1.000000e-02 9.98062845e+01
1.250000e-02 8.93153415e+01
1.500000e-02 8.15752970e+01
2.000000e-02 7.07187858e+01
2.530000e-02 6.29450972e+01
3.147500e-02 5.65058431e+01
3.765000e-02 5.17308646e+01
5.000000e-02 4.50053828e+01
6.250000e-02 4.03597311e+01
7.500000e-02 3.69406600e+01
1.000000e-01 3.21626556e+01
1.250000e-01 2.89231784e+01
1.500000e-01 2.65483429e+01
2.000000e-01 2.32502777e+01
2.750000e-01 2.01750781e+01
3.500000e-01 1.82090280e+01
5.000000e-01 1.58287380e+01
7.500000e-01 1.38667163e+01
1.000000e+00 1.29998536e+01
1.500000e+00 1.28157169e+01
2.000000e+00 1.40446389e+01
2.750000e+00 1.91648171e+01
3.125000e+00 2.44798151e+01
3.500000e+00 3.38037347e+01
3.687500e+00 4.13061848e+01
3.875000e+00 5.21880922e+01
4.062500e+00 6.88232163e+01
4.250000e+00 9.61293732e+01
4.343750e+00 1.16898480e+02
4.437500e+00 1.45703732e+02
4.531250e+00 1.87309695e+02
4.625000e+00 2.50608818e+02
4.718750e+00 3.53765503e+02
4.812500e+00 5.38614803e+02
4.859380e+00 6.91247444e+02
4.906250e+00 9.19059408e+02
4.953130e+00 1.27909258e+03
5.000000e+00 1.89113300e+03
5.029650e+00 2.52118232e+03
5.059300e+00 3.49185030e+03
5.088950e+00 5.04477033e+03
5.118600e+00 7.55361878e+03
5.154300e+00 1.20452069e+04
5.190000e+00 1.49997849e+04
5.225700e+00 1.19508535e+04
5.261400e+00 7.44129519e+03
5.298420e+00 4.48590672e+03
5.335440e+00 2.87019835e+03
5.372460e+00 1.95616684e+03
5.409480e+00 1.40520667e+03
5.446500e+00 1.05257831e+03
5.483520e+00 8.15165516e+02
5.557560e+00 5.27368349e+02
5.631600e+00 3.67322087e+02
5.705640e+00 2.69726194e+02
5.853730e+00 1.62283267e+02
6.001810e+00 1.07827073e+02
6.149890e+00 7.65984482e+01
6.297970e+00 5.70970266e+01
6.446050e+00 4.41354836e+01
6.742210e+00 2.85597883e+01
7.038380e+00 1.99450905e+01
7.334540e+00 1.47028675e+01
7.500000e+00 1.27935638e+01
7.630700e+00 1.12952237e+01
8.223030e+00 7.31238565e+00
8.815350e+00 5.16789640e+00
