49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
1.000000e-05 9.42555673e+03
1.250000e-05 8.43050614e+03
1.500000e-05 7.69598660e+03
2.000000e-05 6.66496626e+03
2.750000e-05 5.68395614e+03
3.500000e-05 5.03834362e+03
4.250000e-05 4.57227263e+03
5.000000e-05 4.21546404e+03
6.250000e-05 3.77048733e+03
7.500000e-05 3.44202839e+03
1.000000e-04 2.98098620e+03
1.250000e-04 2.66636619e+03
1.500000e-04 2.43412723e+03
2.000000e-04 2.10816349e+03
2.750000e-04 1.79802522e+03
3.500000e-04 1.59394394e+03
4.250000e-04 1.44662922e+03
5.000000e-04 1.33385428e+03
6.250000e-04 1.19323825e+03
7.500000e-04 1.08945570e+03
1.000000e-03 9.43818434e+02
1.250000e-03 8.44462949e+02
1.500000e-03 7.71146187e+02
2.000000e-03 6.68284814e+02
2.750000e-03 5.70494456e+02
3.500000e-03 5.06203586e+02
4.250000e-03 4.59840028e+02
5.000000e-03 4.24383525e+02
6.250000e-03 3.80224320e+02
7.500000e-03 3.47686200e+02
1.000000e-02 3.02131377e+02
1.250000e-02 2.71157406e+02
1.500000e-02 2.48378390e+02
2.000000e-02 2.16579734e+02
2.530000e-02 1.93971240e+02
3.147500e-02 1.75394420e+02
3.765000e-02 1.61745740e+02
5.000000e-02 1.42795994e+02
6.250000e-02 1.29988439e+02
7.500000e-02 1.20788474e+02
1.000000e-01 1.08442455e+02
1.250000e-01 1.00619577e+02
1.500000e-01 9.53528691e+01
2.000000e-01 8.91901758e+01
2.750000e-01 8.58933373e+01
3.500000e-01 8.66740031e+01
5.000000e-01 9.67410801e+01
6.250000e-01 1.14192859e+02
7.500000e-01 1.43959644e+02
8.750000e-01 1.96069027e+02
9.375000e-01 2.37280355e+02
1.000000e+00 2.96181762e+02
1.052440e+00 3.67499076e+02
1.104880e+00 4.71879410e+02
1.157310e+00 6.33460817e+02
1.190230e+00 8.02814253e+02
1.209750e+00 9.03249787e+02
1.235970e+00 1.11166960e+03
1.262190e+00 1.40450373e+03
1.285340e+00 1.78356172e+03
1.288410e+00 1.83383398e+03
1.314630e+00 2.49789521e+03
1.340840e+00 3.59825044e+03
1.367060e+00 5.59124502e+03
1.380170e+00 7.22916201e+03
1.380450e+00 7.28023270e+03
1.393280e+00 9.62040370e+03
1.406390e+00 1.31930522e+04
1.419500e+00 1.85259033e+04
1.438250e+00 2.94476791e+04
1.457000e+00 3.65601012e+04
1.475560e+00 2.91237787e+04
1.475750e+00 2.90476535e+04
1.494500e+00 1.80372911e+04
1.510300e+00 1.18832209e+04
1.523120e+00 8.83144831e+03
1.526090e+00 8.12446823e+03
1.541890e+00 5.80122076e+03
1.557690e+00 4.30731958e+03
1.570680e+00 3.60780657e+03
1.589280e+00 2.60648079e+03
1.618230e+00 1.80273178e+03
1.620880e+00 1.72922027e+03
1.642010e+00 1.39217305e+03
1.652470e+00 1.22563312e+03
1.665790e+00 1.09376082e+03
1.684060e+00 9.13848709e+02
1.689570e+00 8.83708812e+02
1.713340e+00 7.56128686e+02
1.737120e+00 6.33627249e+02
1.747250e+00 5.84511672e+02
1.749010e+00 5.80757979e+02
1.760900e+00 5.59148382e+02
1.770680e+00 5.44612369e+02
1.780450e+00 5.32001476e+02
1.800000e+00 4.94667107e+02
1.810440e+00 4.53718983e+02
1.819550e+00 4.29083655e+02
1.839100e+00 3.66676730e+02
1.859210e+00 3.13667369e+02
1.873630e+00 2.81905697e+02
